date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-29,null,2,null,null,null,3,null,
2017-06-30,null,1,null,null,null,2,null,
2017-07-01,null,null,null,null,null,null,null,
2017-07-02,null,null,null,null,null,null,null,
2017-07-03,null,null,null,null,null,null,null,
2017-07-04,null,null,null,null,null,null,null,
2017-07-05,null,null,null,null,null,null,null,
2017-07-06,null,null,null,null,null,null,null,
2017-07-07,null,null,null,null,null,null,null,
2017-07-08,null,496,null,null,null,259,null,
2017-07-09,null,130,null,null,null,84,null,
2017-07-10,null,135,null,null,null,83,null,
2017-07-11,null,105,null,null,null,79,null,
2017-07-12,4668189.23537,155,69412900.0,3.29,43670400.0,110,6580.0,
2017-07-13,1166942.75622,116,76986000.0,3.65,8436170.0,67,1700.41902771,
2017-07-14,1183930.53203,76,68606200.0,3.25,13049400.0,56,2453.75,
2017-07-15,2891300.03935,52,54742200.0,2.6,1652160.0,41,391.287,
2017-07-16,1122806.07394,39,50996900.0,2.42,498244.0,28,726.0,
2017-07-17,574693.21613,74,44767000.0,2.12,1740580.0,52,604.009956734,
2017-07-18,1123221.31264,81,72094900.0,3.42,1624240.0,61,342.0,
2017-07-19,1983368.29639,54,70197800.0,3.33,1582240.0,39,673.007429972,
2017-07-20,153691088.888,69,68143700.0,3.23,1406890.0,56,381.15536469,
2017-07-21,835675.627129,57,87194700.0,4.13,962166.0,44,723.725016306,
2017-07-22,919096.200618,59,79420100.0,3.77,640571.0,46,2229.33690831,
2017-07-23,554954.854907,39,85345900.0,4.05,526299.0,39,664.024549059,
2017-07-24,423702.057537,48,87805600.0,4.16,1170890.0,40,985.8784,
2017-07-25,211301417.756,126,93426500.0,4.43,2000850.0,68,693.506229931,
2017-07-26,6108773.1798,105,87151500.0,4.13,688758.0,65,346.92,
2017-07-27,455842.477057,88,92882400.0,4.4,747201.0,69,378.823924512,
2017-07-28,393383.974273,98,86946400.0,4.12,727796.0,55,301.94347,
2017-07-29,1909998.96322,84,74501100.0,3.53,773633.0,58,922.562944103,
2017-07-30,2491081.8322,52,81928000.0,3.88,1298790.0,37,201.958351342,
2017-07-31,2495454.194,79,75797800.0,3.59,688906.0,52,351.056970235,
2017-08-01,331017.3523,42,69606500.0,3.61,1069850.0,38,645.167397033,
2017-08-02,496595.819014,63,74969500.0,3.88,680319.0,49,1163.9612,
2017-08-03,142524.799526,50,69212200.0,3.59,396523.0,31,699.531013301,
2017-08-04,165095.694355,85,74284300.0,3.85,577748.0,47,473.5115,
2017-08-05,700301.815385,108,78515700.0,4.07,885587.0,64,1017.5,
2017-08-06,738504.310214,142,80316300.0,4.16,884380.0,74,648.18425177,
2017-08-07,335296.739582,119,88359400.0,4.58,1179490.0,88,265.64,
2017-08-08,3854994.99239,110,98197400.0,5.09,626820.0,86,765.092667668,
2017-08-09,485164.278778,71,95420200.0,4.94,494339.0,60,497.063959863,
2017-08-10,418011.910793,114,89652700.0,4.64,1699690.0,98,643.106815575,
2017-08-11,5022441.59161,188,110165000.0,5.71,8651990.0,155,1281.09335691,
2017-08-12,2163940.22971,173,145059000.0,7.52,6038650.0,126,752.0,
2017-08-13,1373670.50749,116,176352000.0,9.14,3063580.0,93,600.449087747,
2017-08-14,1765618.21038,126,180512000.0,9.35,2895710.0,103,1201.5522734,
2017-08-15,2287764.01328,87,152943000.0,7.92,1793580.0,68,1250.587776,
2017-08-16,1199069.11913,123,138561000.0,7.18,1803970.0,94,758.936633221,
2017-08-17,2206543.3786,210,182980000.0,9.48,8980110.0,163,625.774880485,
2017-08-18,1387746.22549,171,193617000.0,10.03,4491210.0,126,901.301139771,
2017-08-19,8094213.7144,186,204918000.0,10.62,8207440.0,142,1939.3713,
2017-08-20,1709705.85337,105,193000000.0,10.0,2761560.0,90,435.9431408,
2017-08-21,1129877.129,144,178276000.0,9.24,2593030.0,113,415.7076,
2017-08-22,376243.645968,122,177582000.0,9.2,1520480.0,90,717.508,
2017-08-23,10268955.5434,183,188610000.0,9.77,1220680.0,143,1299.41,
2017-08-24,3233315.43528,139,173997000.0,9.01,1562100.0,91,796.76494982,
2017-08-25,680147.703817,188,194377000.0,10.07,961836.0,128,461.205854035,
2017-08-26,990484.91065,168,185811000.0,9.63,1025560.0,128,454.372995831,
2017-08-27,1316393.3956,154,196114000.0,10.16,1262120.0,109,741.372596094,
2017-08-28,2340135.62181,188,191810000.0,9.94,1806910.0,141,379.152653691,
2017-08-29,328770.19794,180,182712000.0,9.47,2137900.0,138,407.21,
2017-08-30,485791.367146,212,182778000.0,9.47,1099310.0,151,473.5,
2017-08-31,795962.423051,191,182222000.0,9.44,1511690.0,150,471.9056,
2017-09-01,3062026.82298,340,184762000.0,9.57,11796600.0,258,451.065223123,
2017-09-02,1736079.3346,179,255678000.0,13.25,7753150.0,144,293.681348295,
2017-09-03,600227.396238,151,207931000.0,10.77,2574300.0,115,244.175978942,
2017-09-04,1335022.02216,253,213205000.0,11.05,5212850.0,187,442.442,
2017-09-05,2992201.22419,186,190224000.0,9.86,2746360.0,149,417.696564734,
2017-09-06,13483898.3742,200,219290000.0,11.36,3288170.0,151,834.801679031,
2017-09-07,6146758.41653,229,232422000.0,12.04,12706700.0,167,1204.0,
2017-09-08,3018253.60184,259,261166000.0,13.53,7425800.0,205,660.264,
2017-09-09,3181834.35802,217,237495000.0,12.3,2628730.0,155,381.896583948,
2017-09-10,2129933.72557,218,236050000.0,12.23,2751050.0,159,314.41645984,
2017-09-11,1833229.84634,171,221260000.0,11.46,2243030.0,139,355.1454,
2017-09-12,2829915.86847,222,209118000.0,10.83,2627510.0,168,352.256907066,
2017-09-13,2154589.54346,223,206133000.0,10.68,4002980.0,182,438.841245924,
2017-09-14,1551494.38823,294,193996000.0,10.05,3149780.0,248,141.713375117,
2017-09-15,1484753.5435,302,145373000.0,7.53,3214850.0,249,86.5197,
2017-09-16,1535531.02135,148,191438000.0,9.92,1107890.0,129,500.231223034,
2017-09-17,2367640.94887,113,180469000.0,9.35,1106120.0,98,93.5,
2017-09-18,2186157.85525,188,175767000.0,9.11,2008760.0,160,329.779421824,
2017-09-19,787660.779783,207,184521000.0,9.56,2168430.0,159,366.812285491,
2017-09-20,674923.762566,137,163816000.0,8.49,1260170.0,111,393.318006957,
2017-09-21,676567.614639,222,161554000.0,8.37,2194620.0,172,280.268986679,
2017-09-22,168130.474468,125,149562000.0,7.75,1034690.0,104,183.326101355,
2017-09-23,351383.284593,114,156397000.0,8.1,523498.0,100,264.059602128,
2017-09-24,11805286.3101,125,158698000.0,8.22,581347.0,111,317.293565088,
2017-09-25,720855.923581,147,149285000.0,7.73,1069680.0,117,577.149252322,
2017-09-26,618689.922793,173,172348000.0,8.93,988198.0,118,200.760154968,
2017-09-27,333963.682449,156,173135000.0,8.97,1153240.0,123,221.98900673,
2017-09-28,514456.703018,136,182470000.0,9.45,992060.0,127,313.395459804,
2017-09-29,1163016.01565,146,175929000.0,9.12,1737870.0,103,622.241576206,
2017-09-30,672877.114,131,164307000.0,8.51,1581360.0,110,244.304872441,
2017-10-01,1760680.66689,127,180871000.0,9.37,2044240.0,109,281.1,
2017-10-02,1018294.83537,132,177372000.0,9.19,1376290.0,127,1149.52474985,
2017-10-03,1642357.41129,122,171394000.0,8.88,1687090.0,99,581.64,
2017-10-04,3237983.82503,158,158554000.0,8.21,1795230.0,114,365.241520503,
2017-10-05,2211286.79593,132,162768000.0,8.43,1141480.0,112,234.84115284,
2017-10-06,524190.475308,133,161291000.0,8.36,1490480.0,106,534.283743114,
2017-10-07,903617.9637,145,147648000.0,7.65,1891750.0,124,381.735,
2017-10-08,3493852.1375,194,138622000.0,7.18,2656110.0,144,444.442,
2017-10-09,2567727.07557,307,119981000.0,6.22,3314680.0,260,620.756,
2017-10-10,1329672.13745,286,115492000.0,5.98,3715860.0,207,624.923372117,
2017-10-11,989200.072221,161,153240000.0,7.94,1467130.0,139,238.0412,
2017-10-12,746179.614367,195,145426000.0,7.53,2723680.0,157,597.352420446,
2017-10-13,1541601.7871,155,138558000.0,7.18,2180050.0,126,718.0,
2017-10-14,1110445.53208,172,149189000.0,7.73,1142450.0,145,602.167,
2017-10-15,307229.455216,143,138831000.0,7.19,780428.0,125,333.092634867,
2017-10-16,702823.58504,117,139830000.0,7.24,840787.0,109,404.246403609,
2017-10-17,2465355.90341,401,144906000.0,7.51,2050680.0,320,747.77807144,
2017-10-18,590240.321898,167,147753000.0,7.66,2273460.0,146,317.797727717,
2017-10-19,1648793.08086,192,153273000.0,7.94,1990140.0,159,437.115115586,
2017-10-20,1760085.37336,188,143525000.0,7.44,2315030.0,170,542.648012203,
2017-10-21,582401.937922,172,134923000.0,6.99,2052540.0,150,295.930092033,
2017-10-22,365842.907884,170,127355000.0,6.6,1986670.0,131,239.584002207,
2017-10-23,819531.556576,190,133014000.0,6.89,1618060.0,153,440.96,
2017-10-24,1194931.95199,274,132735000.0,6.88,3486770.0,219,482.665508696,
2017-10-25,1539109.45586,334,153219000.0,7.94,5312160.0,241,365.562837343,
2017-10-26,1107205.72786,276,179769000.0,9.31,6551840.0,213,618.50805168,
