time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-06-03,3,1,1614335540,1614335540,,,,1000000000,,,,,,,,,,,1000000000,1,1,
2017-06-04,0,1,1614335541,1614335541,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-05,0,1,1614335541,1614335541,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-06,0,1,1614335541,1614335541,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-07,0,1,1614335541,1614335541,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-08,0,1,1614335541,1614335541,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-09,0,1,1614335541,1614335541,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-10,0,1,1614335542,1614335542,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-11,0,1,1614335542,1614335542,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-12,0,1,1614335542,1614335542,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-13,0,1,1614335542,1614335542,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-14,0,1,1614335542,1614335542,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-15,0,1,1614335542,1614335542,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-16,0,1,1614335542,1614335542,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-17,0,1,1614335543,1614335543,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-18,0,1,1614335543,1614335543,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-19,0,1,1614335543,1614335543,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-20,0,1,1614335543,1614335543,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-21,0,1,1614335543,1614335543,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-22,0,1,1614335543,1614335543,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-23,0,1,1614335544,1614335544,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-24,0,1,1614335544,1614335544,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-25,0,1,1614335544,1614335544,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-26,0,1,1614335544,1614335544,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-27,0,1,1614335544,1614335544,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-28,0,1,1614335544,1614335544,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-29,0,1,1614335544,1614335544,,,,0,,,,,,,,,,,1000000000,0,0,
2017-06-30,0,1,1614335545,1614335545,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-01,0,1,1614335545,1614335545,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-02,0,1,1614335545,1614335545,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-03,0,1,1614335545,1614335545,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-04,0,1,1614335545,1614335545,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-05,0,1,1614335545,1614335545,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-06,0,1,1614335546,1614335546,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-07,0,1,1614335546,1614335546,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-08,0,1,1614335546,1614335546,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-09,0,1,1614335546,1614335546,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-10,0,1,1614335546,1614335546,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-11,0,1,1614335546,1614335546,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-12,0,1,1614335546,1614335546,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-13,0,1,1614335547,1614335547,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-14,0,1,1614335547,1614335547,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-15,0,1,1614335547,1614335547,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-16,0,1,1614335547,1614335547,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-17,0,1,1614335547,1614335547,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-18,0,1,1614335547,1614335547,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-19,0,1,1614335547,1614335547,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-20,0,1,1614335548,1614335548,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-21,0,1,1614335548,1614335548,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-22,0,1,1614335548,1614335548,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-23,0,1,1614335548,1614335548,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-24,0,1,1614335548,1614335548,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-25,0,1,1614335549,1614335549,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-26,0,1,1614335549,1614335549,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-27,0,1,1614335549,1614335549,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-28,0,1,1614335549,1614335549,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-29,0,1,1614335549,1614335549,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-30,0,1,1614335549,1614335549,,,,0,,,,,,,,,,,1000000000,0,0,
2017-07-31,0,1,1614335549,1614335549,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-01,0,1,1614335550,1614335550,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-02,0,1,1614335550,1614335550,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-03,0,1,1614335550,1614335550,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-04,0,1,1614335550,1614335550,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-05,0,1,1614335550,1614335550,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-06,0,1,1614335550,1614335550,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-07,0,1,1614335551,1614335551,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-08,0,1,1614335551,1614335551,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-09,5,5,1614335551,1614335551,,,,0,,,,,,,,,,,1000000000,5,5,
2017-08-10,27,29,1614335551,1614335551,,,,0,,,,,,,,,,,1000000000,25,25,
2017-08-11,2,30,1614335551,1614335551,,,,0,,,,,,,,,,,1000000000,1,1,
2017-08-12,0,30,1614335551,1614335551,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-13,0,30,1614335551,1614335551,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-14,0,30,1614335552,1614335552,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-15,0,30,1614335552,1614335552,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-16,0,30,1614335552,1614335552,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-17,0,30,1614335552,1614335552,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-18,0,30,1614335552,1614335552,,,,0,,,,,,,,,,,1000000000,0,0,
2017-08-19,0,30,1614335552,1614335552,,,,0,,,,,,,,,,,1000000000,0,0,
