time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-05-15,8,6,1614335328,1614335328,,,,226666.666666666678,,,,,,226666.666666666678,7,7,
2017-05-16,0,6,1614335328,1614335328,,,,0,,,,,,226666.666666666678,0,0,
2017-05-17,2945,2285,1614335328,1614335328,,,,39382857.142857142862,,,,,,39609523.80952380954,1466,1466,
2017-05-18,911,2333,1614335328,1614335328,,,,0,,,,,,39609523.80952380954,1304,1303,
2017-05-19,477,2421,1614335329,1614335329,,,,0,,,,,,39609523.80952380954,667,667,
2017-05-20,476,2658,1614335329,1614335329,,,,0,,,,,,39609523.80952380954,610,609,
2017-05-21,311,2722,1614335329,1614335329,,,,0,,,,,,39609523.80952380954,420,420,
2017-05-22,327,2764,1614335329,1614335329,,,,0,,,,,,39609523.80952380954,478,478,
2017-05-23,359,2876,1614335329,1614335329,,,,0,,,,,,39609523.80952380954,541,541,
2017-05-24,587,3034,1614335329,1614335329,,,,0,,,,,,39609523.80952380954,824,824,
2017-05-25,353,3110,1614335329,1614335329,,,,0,,,,,,39609523.80952380954,460,460,
2017-05-26,335,3237,1614335329,1614335329,,,,0,,,,,,39609523.80952380954,445,445,
2017-05-27,216,3293,1614335329,1614335329,,,,0,,,,,,39609523.80952380954,287,287,
2017-05-28,215,3345,1614335330,1614335330,,,,0,,,,,,39609523.80952380954,307,307,
2017-05-29,241,3421,1614335330,1614335330,,,,0,,,,,,39609523.80952380954,306,306,
2017-05-30,338,3400,1614335330,1614335330,,,,0,,,,,,39609523.80952380954,463,462,
2017-05-31,297,3424,1614335330,1614335330,,,,0,,,,,,39609523.80952380954,378,377,
2017-06-01,205,3469,1614335330,1614335330,,,,0,,,,,,39609523.80952380954,245,245,
2017-06-02,210,3524,1614335330,1614335330,,,,0,,,,,,39609523.80952380954,272,272,
2017-06-03,240,3596,1614335330,1614335330,,,,0,,,,,,39609523.80952380954,306,306,
2017-06-04,274,3641,1614335331,1614335331,,,,0,,,,,,39609523.80952380954,381,381,
2017-06-05,219,3683,1614335331,1614335331,,,,0,,,,,,39609523.80952380954,260,260,
2017-06-06,285,3742,1614335331,1614335331,,,,0,,,,,,39609523.80952380954,414,414,
2017-06-07,327,3827,1614335331,1614335331,,,,0,,,,,,39609523.80952380954,530,530,
2017-06-08,452,3976,1614335331,1614335331,,,,0,,,,,,39609523.80952380954,880,880,
2017-06-09,431,3956,1614335331,1614335331,,,,0,,,,,,39609523.80952380954,566,566,
2017-06-10,333,4052,1614335331,1614335331,,,,0,,,,,,39609523.80952380954,440,440,
2017-06-11,426,4163,1614335332,1614335332,,,,0,,,,,,39609523.80952380954,568,568,
2017-06-12,407,4241,1614335332,1614335332,,,,0,,,,,,39609523.80952380954,499,499,
2017-06-13,322,4295,1614335332,1614335332,,,,0,,,,,,39609523.80952380954,395,395,
2017-06-14,326,4387,1614335332,1614335332,,,,0,,,,,,39609523.80952380954,377,377,
2017-06-15,264,4431,1614335332,1614335332,,,,0,,,,,,39609523.80952380954,311,310,
2017-06-16,252,4499,1614335332,1614335332,,,,0,,,,,,39609523.80952380954,313,313,
2017-06-17,240,4557,1614335332,1614335332,,,,0,,,,,,39609523.80952380954,360,360,
