time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-09-17,2,1,1614335043,1614335043,,,,300000000,,,,,,300000000,0,0,
2017-09-18,0,1,1614335043,1614335043,,,,0,,,,,,300000000,0,0,
2017-09-19,0,1,1614335043,1614335043,,,,0,,,,,,300000000,0,0,
2017-09-20,0,1,1614335044,1614335044,,,,0,,,,,,300000000,0,0,
2017-09-21,0,1,1614335044,1614335044,,,,0,,,,,,300000000,0,0,
2017-09-22,0,1,1614335044,1614335044,,,,0,,,,,,300000000,0,0,
2017-09-23,0,1,1614335044,1614335044,,,,0,,,,,,300000000,0,0,
2017-09-24,0,1,1614335044,1614335044,,,,0,,,,,,300000000,0,0,
2017-09-25,175,175,1614335045,1614335045,,,,42147601.79726999937,,,,,,342147601.79726999937,0,0,
2017-09-26,67,238,1614335045,1614335045,,,,6320421.20131414831659,,,,,,348468022.99858414768659,0,0,
2017-09-27,66,298,1614335045,1614335045,,,,5147545.57131,,,,,,353615568.56989414768659,0,0,
2017-09-28,46,342,1614335045,1614335045,,,,6362783.823387,,,,,,359978352.39328114768659,0,0,
2017-09-29,0,342,1614335045,1614335045,,,,0,,,,,,359978352.39328114768659,0,0,
2017-09-30,0,342,1614335045,1614335045,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-01,0,342,1614335045,1614335045,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-02,0,342,1614335046,1614335046,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-03,0,342,1614335046,1614335046,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-04,0,342,1614335046,1614335046,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-05,0,342,1614335046,1614335046,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-06,0,342,1614335046,1614335046,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-07,0,342,1614335046,1614335046,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-08,0,342,1614335047,1614335047,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-09,0,342,1614335047,1614335047,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-10,0,342,1614335047,1614335047,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-11,0,342,1614335047,1614335047,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-12,0,342,1614335047,1614335047,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-13,0,342,1614335047,1614335047,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-14,0,342,1614335048,1614335048,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-15,0,342,1614335048,1614335048,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-16,0,342,1614335048,1614335048,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-17,0,342,1614335048,1614335048,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-18,0,342,1614335048,1614335048,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-19,0,342,1614335048,1614335048,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-20,0,342,1614335048,1614335048,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-21,0,342,1614335049,1614335049,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-22,0,342,1614335049,1614335049,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-23,0,342,1614335049,1614335049,,,,0,,,,,,359978352.39328114768659,0,0,
2017-10-24,0,342,1614335049,1614335049,,,,0,,,,,,359978352.39328114768659,0,0,
