time,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-08-29,9.0,39399823.23255971700269021860728,1000000.0,999980.531466424,26.2373707,,0.00010545746221152504,0.999980531466424,,0.13628401361549924,39400590.30427497,39400590.30427497,39400590.30427497,6.0,6.0,1501697.35951999,1501668.12367452519453144181576,250282.89325333,250278.02061241919912102119192,809.186959995,809.17120631150007597370788,1501697.35951999,1501668.12367452519453144181576,,0.001496378531709573,
2019-08-30,10.0,38710810.8981228805138229806321,0.0,0.0,55.20787428,,0.0001044370052950804,1.00026409400393,,0.1814620379186788,38700590.30427497,38700590.30427497,38700590.30427497,7.0,7.0,700997.65313699,701182.7824139524810138883707,100219.49873386,100245.9661025524826528640698,538.838,538.98030388488963334,701536.49113699,701721.7627178373706472283707,,0.0014964313470865337,
2019-08-31,2.0,38730171.2659442215077927754805,0.0,0.0,554290.89522021,,0.00010419175487732857,1.00076435427565,,-0.028008831649390158,38700590.30427497,38700590.30427497,38700590.30427497,1.0,1.0,69.82,69.873367215525883,69.82,69.873367215525883,69.82,69.873367215525883,69.82,69.873367215525883,,0.001421177808532471,
2019-09-01,16.0,38762275.2038891760693523957304,0.0,0.0,14339.2975625,,0.00010259145851304267,1.00159390074232,,0.11407951854380122,38700590.30427497,38700590.30427497,38700590.30427497,14.0,14.0,2698.91813986,2703.2199474865837675808752,192.77986713,193.0871391033228579679416,74.39831422,74.5168977482626146117904,2698.91813986,2703.2199474865837675808752,,0.0014247606484791909,
2019-09-02,10.0,49317156.2194493114102653337359,10499991.0,10524869.47760550734577,4.67827436,,0.00009659214566433027,1.00236938085047,,0.22789206546561985,49200581.30427497,49200581.30427497,49200581.30427497,10.0,10.0,10516822.54854726,10541740.9065015789797617882122,1051682.25485473,1054174.0906501619074537022231,508322.6533,509527.063260589120952051,10516822.54854726,10541740.9065015789797617882122,,0.0014288496807971039,
2019-09-03,17.0,58206439.0177049838307538557136,8999997.0,9000903.28658382437136,6.46392741,,0.00009418224661581292,1.00010069854288,,-0.11403441627894112,58200578.30427497,58200578.30427497,58200578.30427497,13.0,13.0,9003903.44589595,9004810.125853183933081093336,692607.95737661,692677.7019887049177743940368,75.76219595,75.769825092737554037336,9003903.44589595,9004810.125853183933081093336,,0.001475600197731498,
2019-09-04,11.0,62733224.6710713847224401141255,4500000.0,4502343.019068675,13.93025671,,0.00009459183760352002,1.00052067090415,,0.3232624597331076,62700578.30427497,62700578.30427497,62700578.30427497,6.0,6.0,4501035.378651651,4503378.93681186469273406025165,750172.56310861,750563.1561353122829033497315,250500.0,250630.428061489575,4501035.37865165,4503378.9368118636922133893475,,0.0012788165726696013,
2019-09-05,21.0,76951206.2201914197083666127918,14211124.0,14218423.21495370460056,5.41187268,,0.00009456485451483908,1.00051362685694,,0.2746964862309757,76911702.30427497,76911702.30427498,76911702.30427497,19.0,19.0,14211661.443718448,14218960.93471768048915253482912,747982.18124834,748366.3649851417102797924796,13.5083892,13.515327471487118241048,14211661.44371845,14218960.934717682490179788543,,0.0012770454559305922,
2019-09-06,9.0,77852973.1303387578061622110704,1000000.0,999246.20856432,72.80765966,,0.00009672449358599882,0.99924620856432,,-0.00028119317150225646,77911702.30427497,77911702.30427498,77911702.30427497,6.0,6.0,1070103.1,1069296.465447925381392,190017.18333333,189873.9500079012994113047856,35049.55,35023.129949385562056,1140103.1,1139243.700047427781392,,0.0012726065539060024,
2019-09-07,8.0,78549565.3582843826374200375757,600000.0,600289.356003486,130.70957266,,0.0000953338983288022,1.00048226000581,,0.27901480569308584,78511702.30427497,78511702.30427498,78511702.30427497,5.0,5.0,600657.6313345999,600947.304487377144985828025419,120134.33316692,120192.2691511310593148998052,321.7984,321.953590498253648704,600671.6658346,600961.345755655296574499026,,0.0012570408540257094,
2019-09-08,13.0,78479638.29941779584023563124905,0.0,0.0,14833.58313579,,0.0000960474763619354,0.999591602220865,,-0.03978412986434362,78511702.30427497,78511702.30427498,78511702.30427497,9.0,9.0,5292.83461626,5290.6730343573905660402649,817.52211606,817.1882418434073502835919,1001.0,1000.591193823085865,7357.69904452,7354.6941765706743205079098,,0.0011978529627609154,
2019-09-09,18.0,78579993.28222753642722249774993,520000.0,519978.79916823516,70.7487758,,0.00009677838571243957,0.999959229169683,,-0.011730921523570727,78583197.18442571,78583197.18442571,78583197.18442571,13.0,13.0,1110735.78727681,1110690.50165649991777198095123,85578.67594437,85575.18683069431856099853471,1787.0,1786.927142526223521,1112522.78727681,1112477.42879902614129298095123,,0.001199757764867591,
2019-09-10,13.0,78585131.5476928615300545553919,0.0,0.0,216.63312466,,0.00009915024610331725,1.00002461548189,,-0.03601239350028758,78583197.18442571,78583197.18442571,78583197.18442571,13.0,13.0,362747.83603104,362756.7652438284587545978656,27911.29507931,27911.9821292885512014186959,714.0125707,714.030146463503298194623,362846.83603104,362855.7676807611658645978656,,0.0011983973186704953,
2019-09-11,7.0,83103579.74340507811340592485807,4996994.0,4995394.374049225518298,830.51956657,,0.0000985668791664478,0.999679882355117,,-0.06418241698612695,83130191.18442571,83130191.18442571,83130191.18442571,2.0,2.0,100094.1995,100062.1575805896108438415,50047.09975,50031.07879029480542192075,50047.09975,50031.07879029480542192075,100094.1995,100062.1575805896108438415,,0.0011999141720401686,
2019-09-12,7.0,81783547.0087963000534143989793,0.0,0.0,12.82899052,,0.00009612673573671514,1.00004103468483,,0.037609451550939664,81780191.18442571,81780191.18442571,81780191.18442571,6.0,6.0,6374639.6132,6374901.194527432495107756,1062439.93553333,1062483.5324212354157145103839,425000.0,425017.43974105275,6374639.6132,6374901.194527432495107756,,0.001195711695978117,
2019-09-13,12.0,81599197.8888842431583196041814,9982.0,9990.23221378531692,289.58831463,,0.00009674160801606443,1.00082470584906,,0.1589402116056455,81531958.00623119,81531958.00623119,81531958.00623119,10.0,10.0,281544.36449302,281776.5557771872741755435612,28154.4364493,28177.655577716725768142658,3375.43123385,3378.214971731655907662681,281544.36449302,281776.5557771872741755435612,,0.0012007535078294137,
2019-09-14,7.0,81516578.83193811614988698933186,0.0,0.0,29448.60585632,,0.00009647473505624014,0.999811372440094,,-0.14341642542385433,81531958.00623119,81531958.00623119,81531958.00623119,5.0,5.0,2768.618603,2768.096365228605751468682,553.7237206,553.6192730457211502937364,27.526,27.520807837786027444,2768.618603,2768.096365228605751468682,,0.0011568785121968234,
2019-09-15,10.0,82732467.0032623307955912026526,1234567.0,1234058.98197522379918,35846.73179913,,0.00009698933137661613,0.99958850509954,,-0.2823839828238939,82766525.00623119,82766525.00623119,82766525.00623119,5.0,5.0,2308.90016613,2307.9500654859662581865802,521.71803323,521.5033489198478341777142,299.69,299.5666790932811426,2608.59016613,2607.5167445792474007865802,,0.0011340537556310205,
2019-09-16,16.0,82033265.87220955775466752444882,99000.0,98984.464858086786,38.06984957,,0.00009747127656787626,0.999843079374614,,-0.048196343431735955,82046140.60390363,82046140.60390364,82046140.60390363,12.0,12.0,2155147.48613116,2154809.29903983723261117837224,179595.62384426,179567.44158664976990733361564,19665.523526665,19662.43760041465263195308231,2155147.48613116,2154809.29903983723261117837224,,0.0010707261419607402,0.002846730541205399
2019-09-17,14.0,80303419.2842233345725374160606,0.0,0.0,46.59398982,,0.00009805832692606685,0.99976457441527,,-0.14436049898517433,80322329.21554578,80322329.21554577,80322329.21554578,9.0,9.0,1723877.46833575,1723471.6234747641839962869025,191541.94092619,191496.8470527471326014789213,999.0,998.76480984085473,1723877.46833575,1723471.6234747641839962869025,,0.0010571592380773146,0.002840432391998359
