time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevNtv,RevUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2017-10-24,31458,9450,1584066,7797811,884,436440,3834511,57,111429,20825277,8789875,4984311,2007630,18016,2,152291,119,654665,1706,0,,,,,,,,,1614335072,9,471269.88888889,,,,,,,0,1,531907864044.46356,0.00000117,0.0005955163273381387,,0.0003287,,4.96660617,,178481385.95308548,0,0,0,,112.5,,0.332216784926,613.07350241,,0.03679966,,,,,,,,,,,,0,,0.053975338575,14828166.31252495,7542660.8640616,497058.39537132,8714567.70618563,10247964.85873212,2681082.92860721,11210991.89955623,12867559.76038191,13714798.11615659,1167289.07044026,6125847.96960873,14828166.31252495,52.363377,9305844.74738331,16476940.91704977,16636520.89064569,5528913.22166106,15833482.27398724,16609593.27476337,2349620.65542781,14226350.17763849,16637746.39858346,16622869.41114658,16529881.26109014,16087688.28725157,14720592.99540736,10287352.96764331,289241.39924235,3076457.43340613,6488516.35576071,0,,,,,,,,,2886457.31340915,16537145.06713458,15140284.35727067,16642486.08899401,20240662.5,998.96311374,8340,0.09652778,21079,27145.98824389,,3.11367977,,0.01264334,,0.003943717028677255,,,,
2017-10-25,0,9450,1584066,7797811,884,436440,3834511,57,111429,20825277,8789875,4984311,2007630,18016,2,152291,119,654665,1706,0,810767,2495,2355835,24436,10,5729604,190027,162,1614335072,0,,1325466737.03772465024264371348,,,2532309526.83376932242285620964,,152001.51207333124090406136,0,,,,,,,,0,0,,0,0,0,0,0,0,0.332216784926,,,,,0.02652699745762711,152.159329639364,,,,,,,,0,0,0,0.053975338575,14828166.31252495,7528824.66703843,34467.40547859,8711044.79875957,10246590.00077983,2659610.10856943,11209989.99726614,12866307.67176222,13713654.31872466,1071353.85923413,6079071.92342618,14828166.31252495,52.342209,9305844.74738331,16476940.91704977,16636520.89064569,5528913.22166106,15833482.27398724,16609593.27476337,2349620.65542781,14226350.17763849,16637746.39858346,16622869.41114658,16529881.26109014,16087688.28725157,14720592.99540736,10287352.96764331,289241.39924235,3076457.43340613,6488516.35576071,0,16629200.92078361,16558563.64866762,16218100.57052638,7133588.20274311,10820031.85726778,882217.45684865,15031203.2431273,3414526.64633692,2886457.31340915,16537145.06713458,15140284.35727067,16642486.08899401,,998.96281374,0,0,0,,,,,,,0.003943717028677255,,,,
2017-10-26,0,9450,1584066,7797811,884,436440,3834511,57,111429,20825277,8789875,4984311,2007630,18016,2,152291,119,654665,1706,0,782019,2319,2287589,23166,5,5620527,181994,149,1614335072,0,,1221570896.12556097530981816944,,,2334883856.35282211155208910416,,138046.65824762334427461984,0,,,,,,,,0,0,,0,0,0,0,0,0,0.332216784926,,,,,0.023777800613676164,140.296578520016,,,152.159329639364,0.0265269974576271,0.510663511774358,129.625837523492,152.159329639364,0,0,0,0.053975338575,14828166.31252495,7511560.26325239,0,8707061.20571059,10245123.78651572,2581609.57833881,11209434.47245476,12794133.36208897,13712262.63225879,975120.75430994,6052239.7258153,14828166.31252495,52.318272,9305844.74738331,16476940.91704977,16636520.89064569,5528913.22166106,15833482.27398724,16609593.27476337,2349620.65542781,14226350.17763849,16637746.39858346,16622869.41114658,16529881.26109014,16087688.28725157,14720592.99540736,10287352.96764331,289241.39924235,3076457.43340613,6488516.35576071,0,16628452.74317911,16553881.90155852,16198372.88408295,7012865.62194102,10732725.6549196,547546.89128414,14975848.99932452,3325325.00493936,2886457.31340915,16537145.06713458,15140284.35727067,16642486.08899401,,983.96311374,0,0,0,,,,,,,0.003943717028677255,,,,
2017-10-27,0,9450,1584066,7797811,884,436440,3834511,57,111429,20825277,8789875,4984311,2007630,18016,2,152291,119,654665,1706,0,752875,2191,2221016,21953,5,5503794,175465,138,1614335072,0,,1115159909.19254350350546199897,,,2132404617.21530969089239497951,,127997.31631295733875839074,0,,,,,,,,0,0,,0,0,0,0,0,0,0.332216784926,,,,,0.022198785973115205,128.130172728551,,,140.296578520016,0.0237778006136762,0.473756093437304,120.452365153611,140.296578520016,0,0,0,0.053975338575,14828166.31252495,7503187.2024692,0,8703335.72058047,10242812.53939736,2477996.22824295,11207959.54451514,12793320.24106615,13711778.32010291,846522.39913453,5970353.55091226,14828166.31252495,52.295887,9305844.74738331,16476940.91704977,16636520.89064569,5528913.22166106,15833482.27398724,16609593.27476337,2349620.65542781,14226350.17763849,16637746.39858346,16622869.41114658,16529881.26109014,16087688.28725157,14720592.99540736,10287352.96764331,289241.39924235,3076457.43340613,6488516.35576071,0,16627580.57822535,16548914.96885414,16176625.23826893,6917234.50632855,10642073.28190638,547546.89128414,14927173.54449321,3242960.46673333,2886457.31340915,16537041.26401656,15139927.92467513,16642486.08899401,,998.96311374,0,0,0,,,,,,,0.003943717028677255,,,,
2017-10-28,0,9450,1584066,7797811,884,436440,3834511,57,111429,20825277,8789875,4984311,2007630,18016,2,152291,119,654665,1706,0,735652,2058,2177896,21140,3,5425902,170053,132,1614335072,0,,1059367261.889465764307996098,,,2030063004.00905663254214612956,,121854.27397859699805727944,0,,,,,,,,0,0,,0,0,0,0,0,0,0.332216784926,,,,,0.02116843606078318,121.980754146556,,,128.130172728551,0.0221987859731151,0.43130438482146,110.933863321483,128.130172728551,0,0,0,0.053975338575,14828166.31252495,7489980.33510811,0,8684708.2500955,10241589.54296468,2414111.59600152,11206597.43399756,12792087.99229132,13711459.42875583,737278.80301745,5927519.7712968,14828166.31252495,52.18396,9305844.74738331,16476940.91704977,16636520.89064569,5528913.22166106,15833482.27398724,16609593.27476337,2349620.65542781,14226350.17763849,16637746.39858346,16622869.41114658,16529881.26109014,16087688.28725157,14720592.99540736,10287352.96764331,289241.39924235,3076457.43340613,6488516.35576071,0,16626958.11092544,16545466.46475078,16162846.77239281,6810850.17662919,10577025.14258598,386589.7263584,14883874.99930384,3195058.86452937,2886457.31340915,16537041.26401656,15139927.92467513,16642486.08899401,,998.96311374,0,0,0,,,,,,,0.003943717028677255,,,,
2017-10-29,0,9450,1584066,7797811,884,436440,3834511,57,111429,20825277,8789875,4984311,2007630,18016,2,152291,119,654665,1706,0,804199,2452,2340181,24163,6,5704464,188599,159,1614335073,0,,1295073951.19031024021948254574,,,2482109717.26568902391449729249,,148988.32052765287946013726,0,,,,,,,,0,0,,0,0,0,0,0,0,0.332216784926,,,,,0.0241537674878764,149.142964818649,,,121.980754146556,0.0211684360607832,0.413409263928543,105.141980814832,121.980754146556,0,0,0,0.053975338575,14828166.31252495,7481470.50952228,0,8683439.76375326,10239728.63542531,2349953.55253292,11205379.81822351,12790546.12211416,13711108.17900519,638009.31563562,5747327.19572264,14828166.31252495,52.176338,9305844.74738331,16476940.91704977,16636520.89064569,5528913.22166106,15833482.27398724,16609593.27476337,2349620.65542781,14226350.17763849,16637746.39858346,16622869.41114658,16529881.26109014,16087688.28725157,14720592.99540736,10287352.96764331,289241.39924235,3076457.43340613,6488516.35576071,0,16629034.00610416,16557524.25492515,16213739.52713208,7104951.01831877,10801909.57271201,616916.99859271,15021722.07221321,3394572.38454176,2886457.31340915,16537041.26401656,15139927.92467513,16642486.08899401,,998.96311374,0,0,0,,,,,,,0.003943717028677255,,,,
2017-10-30,0,9450,1584066,7797811,884,436440,3834511,57,111429,20825277,8789875,4984311,2007630,18016,2,152291,119,654665,1706,0,768827,2265,2256086,22677,5,5568310,178882,143,1614335073,0,,1166503766.04673019712815220273,,,2236414057.33124636246993298337,,132224.77265093371902887838,0,,,,,,,,0,0,,0,0,0,0,0,0,0.332216784926,,,,,0.02196015298071307,134.379806320537,,,149.142964818649,0.0241537674878764,0.490058832776561,127.911688098509,149.142964818649,0,0,0,0.053975338575,14828166.31252495,7472255.3520127,0,8680647.76983129,10235905.92008955,2317044.1141493,11204687.2909298,12789339.04552972,13710655.58123793,497058.39537132,5646689.18549975,14828166.31252495,52.159562,9305844.74738331,16476940.91704977,16636520.89064569,5528913.22166106,15833482.27398724,16609593.27476337,2349620.65542781,14226350.17763849,16637746.39858346,16622869.41114658,16529881.26109014,16087688.28725157,14720592.99540736,10287352.96764331,289241.39924235,3076457.43340613,6488516.35576071,0,16628072.39535069,16551587.49815724,16188767.20488785,6973482.30390749,10697098.28301797,547546.89128414,14953181.58869871,3281591.4783435,2886457.31340915,16537145.06713458,15140284.35727067,16642486.08899401,,983.96311374,0,0,0,,,,,,,0.003943717028677255,,,,
2017-10-31,0,9450,1584066,7797811,884,436440,3834511,57,111429,20825277,8789875,4984311,2007630,18016,2,152291,119,654665,1706,0,834217,2622,2411070,25417,10,5819568,195746,173,1614335073,0,,1420325157.8390724581883749364,,,2724069192.03510185564672542095,,161056.6828720772114920653,0,,,,,,,,0,0,,0,0,0,0,0,0,0.332216784926,,,,,0.025461811279953245,163.681626499095,,,134.379806320537,0.021960152980713,0.4389247135675,115.462228276352,134.379806320537,0,0,0,0.053975338575,14828166.31252495,7467085.96372601,0,8677364.63901112,10227144.54616214,2268896.1479145,11203857.87913836,12788559.62991518,13709977.35329534,34467.40547859,5590732.64851642,14828166.31252495,52.139834,9305844.74738331,16476940.91704977,16636520.89064569,5528913.22166106,15833482.27398724,16609593.27476337,2349620.65542781,14226350.17763849,16637746.39858346,16622869.41114658,16529881.26109014,16087688.28725157,14720592.99540736,10287352.96764331,289241.39924235,3076457.43340613,6488516.35576071,0,16629771.38030991,16562063.87126321,16232971.42600926,7214196.58478415,10882316.52150905,882217.45684865,15067451.07839295,3484249.10271833,2886457.31340915,16537145.06713458,15140284.35727067,16642486.08899401,,983.96311374,0,0,0,,,,,,,0.003943717028677255,,,,
2017-11-01,0,9450,1584066,7797811,884,436440,3834511,57,111429,20825277,8789875,4984311,2007630,18016,2,152291,119,654665,1706,0,815069,2524,2365397,24662,10,5746015,191121,164,1614335073,0,,1336095866.525903001655188885,,,2563101346.747922566716176991,,151539.689953240677416034,0,,,,,,,,0,0,,0,0,0,0,0,0,0.332216784926,,,,,0.0228962375403329,154.0095231591,,,163.681626499095,0.0254618112799532,0.537085825815838,140.366512846704,163.681626499095,0,0,0,0.053975338575,14828166.31252495,7444385.6438143,0,8675410.70915235,10220940.20447981,2238517.57811592,11202623.50160677,12787330.54488191,13709110.09573673,0,5452360.2306571,14828166.31252495,52.128093,9305844.74738331,16476940.91704977,16636520.89064569,5528913.22166106,15833482.27398724,16609593.27476337,2349620.65542781,14226350.17763849,16637746.39858346,16622869.41114658,16529881.26109014,16087688.28725157,14720592.99540736,10287352.96764331,289241.39924235,3076457.43340613,6488516.35576071,0,16629308.04262377,16559187.92826375,16220908.67164616,7152499.46795379,10834760.81779278,882217.45684865,15038338.8305266,3427561.01600568,2886457.31340915,16537145.06713458,15140284.35727067,16642486.08899401,,983.96311374,0,0,0,,,,,,,0.003943717028677255,,,,
2017-11-02,0,9450,1584066,7797811,884,436440,3834511,57,111429,20825277,8789875,4984311,2007630,18016,2,152291,119,654665,1706,0,756866,2209,2230610,22115,5,5522184,176336,141,1614335073,0,,1126082768.05851648362859283336,,,2160895223.18181434179705489916,,127759.82992552979692494984,0,,,,,,,,0,0,,0,0,0,0,0,0,0.332216784926,,,,,0.018433586908240793,129.842092799516,,,154.0095231591,0.0228962375403329,0.530116527614644,133.162254295679,154.0095231591,0,0,0,0.053975338575,14828166.31252495,7434909.70298686,0,8672709.62581646,10219475.28783829,2180238.71822448,11201423.05202847,12783733.17707931,13708389.3596298,0,5355230.57403703,14828166.31252495,52.111863,9305844.74738331,16476940.91704977,16636520.89064569,5528913.22166106,15833482.27398724,16609593.27476337,2349620.65542781,14226350.17763849,16637746.39858346,16622869.41114658,16529881.26109014,16087688.28725157,14720592.99540736,10287352.96764331,289241.39924235,3076457.43340613,6488516.35576071,0,16627723.21779823,16549659.10882766,16179721.48681626,6931200.49105875,10654647.7462212,547546.89128414,14933928.13090836,3266304.75673333,2886457.31340915,16537145.06713458,15140284.35727067,16642486.08899401,,983.96311374,0,0,0,,,,,,,0.003943717028677255,,,,
