time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD
2024-06-17,615379483.96144687949716550001,,,,,
2024-06-18,607932671.8637226714951966766,,,,,
2024-06-19,621075272.98235482537337992759,,,,,
2024-06-20,612585826.61501767515617757087,,,,,
2024-06-21,613281406.9568124450740512647,,,,,
2024-06-22,608933447.518283494954053952,,,,,
2024-06-23,597178157.54296943603542137012,,,,,
2024-06-24,583383452.2009539809379166689,,,,,
2024-06-25,591787577.92013387043962392375,,,,,
2024-06-26,586407582.04668608923214211,,,,,
2024-06-27,599448784.55692366193487010328,,,,,
2024-06-28,584667740.62703086140232672241,,,,,
2024-06-29,584578101.12620638337898069404,,,,,
2024-06-30,594145042.28229945254161431037,,,,,
2024-07-01,593554408.72629036101232264531,,,,,
2024-07-02,587875538.275975801962588959,,,,,
2024-07-03,569068207.063439546435287959,,,,,
2024-07-04,530309795.01900101416570670118,,,,,
2024-07-05,513651148.05793519297512959332,,,,,
2024-07-06,526453608.42605734731730273302,,,,,
2024-07-07,502761499.44778431838272447864,,,,,
2024-07-08,516692913.52314670890668341242,,,,,
2024-07-09,523684698.72376309765894670916,,,,,
2024-07-10,529945603.81837740321442362243,,,,,
2024-07-11,529009361.84330271859327238712,,,,,
2024-07-12,533711148.12503582374019941767,,,,,
2024-07-13,537387002.78369520991356438547,,,,,
2024-07-14,543037045.71309749949305568348,,,,,
2024-07-15,579932836.217500561562132556,,,,,
2024-07-16,573988241.74687499040914856879,,,,,
2024-07-17,564211842.50515409117555314788,,,,,
2024-07-18,570271114.60027494397195258944,,,,,
2024-07-19,581392617.98381539808560450802,,,,,
2024-07-20,584056199.75917438818659025396,,,,,
2024-07-21,586922952.48436417880259032744,,,,,
2024-07-22,571377861.30751147298568762088,,,,,
2024-07-23,577660544.76882801214835732199,,,,,
2024-07-24,553195425.49175956821332289702,,,,,
2024-07-25,525987415.90418965698882284438,,,,,
2024-07-26,543570277.8395866260189992292,,,,,
2024-07-27,536965691.94351857915479659636,,,,,
2024-07-28,540187857.15987597028781276528,,,,,
2024-07-29,547732067.53773558286190036418,,,,,
2024-07-30,539076304.18431261194898834935,,,,,
2024-07-31,531614075.7550430679146837938,,,,,
2024-08-01,527035586.79447913006492911636,,,,,
2024-08-02,497052835.04910011021901396403,,,,,
2024-08-03,479354569.19537637194307156465,,,,,
2024-08-04,442067505.6305448863583723562,,,,,
2024-08-05,399315384.645209075076530866,,,,,
2024-08-06,395876617.72299946051762133574,,,,,
2024-08-07,377436612.09671841062659174896,,,,,
2024-08-08,429088650.79313008662637012164,,,,,
2024-08-09,415256282.48598639737760027391,,,,,
2024-08-10,409332021.73329985835769983264,,,,,
2024-08-11,401731035.53989794049699511751,,,,,
2024-08-12,419388119.05545154379930956345,,,,,
2024-08-13,411479663.2763361740831435097,,,,,
2024-08-14,403987907.07602182345244458055,,,,,
2024-08-15,389621977.89622612631448656387,,,,,
2024-08-16,394496609.90730415521079753,,,,,
2024-08-17,391605314.33813172877463350266,,,,,
2024-08-18,396823777.667088083327955464,,,,,
2024-08-19,398132391.46459355693172214054,,,,,
2024-08-20,389466608.40230855703362173947,,,,,
2024-08-21,397434953.79587028119030235867,,,,,
2024-08-22,395963333.9819588667941193112,,,,,
2024-08-23,415995284.2104851281654795365,,,,,
2024-08-24,413949259.40817237999432828381,,,,,
2024-08-25,411851080.59043432348568511808,,,,,
2024-08-26,400578226.83344102985253189145,,,,,
2024-08-27,366792430.63980215781688688645,,,,,
2024-08-28,376439876.4622820450992762545,,,,,
2024-08-29,375393421.3864184924048206863,,,,,
2024-08-30,374606987.7893095908746679592,,,,,
2024-08-31,370666746.60248326550256142252,,,,,
2024-09-01,356289010.05968190989618328822,,,,,
2024-09-02,367562663.99483856567065857205,,,,,
2024-09-03,352477426.13347001208191562696,,,,,
2024-09-04,353243702.70368525496738612,,,,,
2024-09-05,339003389.8626293149785686613,,,,,
2024-09-06,315556411.79490915076496686395,,,,,
2024-09-07,320256302.3676461139310762591,,,,,
2024-09-08,324872573.2360107926652307989,,,,,
2024-09-09,333235694.8446048150940472576,,,,,
2024-09-10,336489432.20458847144089004985,,,,,
2024-09-11,329203562.8884584219604971748,,,,,
2024-09-12,331898843.52246775966312098395,,,,,
2024-09-13,342355972.95474912239068778084,,,,,
2024-09-14,337119486.55461756222207121197,,,,,
2024-09-15,318231265.0218718842244763016,,,,,
2024-09-16,314517995.50599293939755722486,,,,,
2024-09-17,318820941.40638916091577110992,,,,,
2024-09-18,320698471.81245644794140032832,,,,,
2024-09-19,335381140.38794808431775000288,,,,,
2024-09-20,345531650.07984105507742276524,,,,,
2024-09-21,350951357.76855993460990419378,,,,,
2024-09-22,347622507.37687089661736899703,,,,,
2024-09-23,355564833.20532232530446939422,,,,,
2024-09-24,355845094.25288470650486880097,,,,,
2024-09-25,344342775.151926682233037154,,,,,
2024-09-26,351615832.7865178760407668753,,,,,
2024-09-27,359778603.27747005576482753512,,,,,
2024-09-28,350830266.13750400157960215316,,,,,
2024-09-29,348329497.20205301973421523316,,,,,
2024-09-30,339006200.53865272126330126401,,,,,
2024-10-01,318982624.1970283774854292362,,,,,
2024-10-02,308004551.86023264645604831499,,,,,
2024-10-03,304374324.64749694642290916884,,,,,
2024-10-04,313203735.64200717419852525693,,,,,
2024-10-05,313039038.70778270146796625726,,,,,
2024-10-06,316349592.7596761585481992104,,,,,
2024-10-07,314698298.79233973903557050123,,,,,
2024-10-08,316715125.86096389465034064771,,,,,
2024-10-09,306943433.83216225423821948252,,,,,
2024-10-10,308874915.72129472193564111893,,,,,
2024-10-11,316507740.77744789057452049771,,,,,
2024-10-12,321505331.27737611282088718944,,,,,
2024-10-13,319950908.29507296605740291177,,,,,
2024-10-14,341339675.85049416969321544283,,,,,
2024-10-15,337756320.22079379096657221771,,,,,
2024-10-16,339808705.50411925445892253946,,,,,
2024-10-17,337984906.4031237065426444489,,,,,
2024-10-18,343390647.31234765444710696627,,,,,
2024-10-19,344029856.96074976192538592433,,,,,
2024-10-20,356844920.94024374308833257497,,,,,
2024-10-21,346565796.57985448085781782966,,,,,
2024-10-22,341421058.4713511682624309832,,,,,
2024-10-23,327717899.4344243393821740159,,,,,
2024-10-24,328942143.08854146893203307919,,,,,
2024-10-25,322175936.71518025698014225986,,,,,
2024-10-26,322334940.00729046361090234095,,,,,
2024-10-27,326137328.53641281861429980556,,,,,
2024-10-28,333263987.66682831228365224665,,,,,
2024-10-29,342360800.39669652030357894892,,,,,
2024-10-30,346231028.09593722870928597346,,,,,
2024-10-31,327900862.75892864233693732605,,,,,
2024-11-01,327183254.34770988066541899314,,,,,
2024-11-02,323947459.97953438682253395785,,,,,
2024-11-03,319383833.23844238777626712088,,,,,
2024-11-04,311327916.51959895573479713266,,,,,
2024-11-05,316077373.32651592824028036152,,,,,
2024-11-06,354093558.48156873314597847255,,,,,
2024-11-07,375217999.44031480405700381314,,,,,
2024-11-08,385432107.79036830576391402189,,,,,
2024-11-09,408109126.31685357288536083368,,,,,
2024-11-10,413999109.17890417594580899399,,,,,
2024-11-11,437681525.24621589792855362466,,,,,
2024-11-12,422498375.74219478663854071821,,,,,
2024-11-13,414433431.24191724737380556918,,,,,
2024-11-14,396890151.03249886945060480449,,,,,
2024-11-15,402828198.19880718994523188347,,,,,
2024-11-16,408464761.15301548285956442237,,,,,
2024-11-17,399222135.61475835359137011835,,,,,
2024-11-18,414547138.79319351412234278205,,,,,
2024-11-19,404264614.36382566526549772819,,,,,
2024-11-20,400382793.81483908842111015847,,,,,
2024-11-21,437843504.33579099684153435443,,,,,
2024-11-22,431678283.33548331409241458547,,,,,
2024-11-23,442472063.72225674534900313628,,,,,
2024-11-24,438147709.70634123684682318086,,,,,
2024-11-25,447155379.06571417347294662279,,,,,
2024-11-26,432781174.07051927931007820126,,,,,
2024-11-27,478257322.44393829947802762066,,,,,
2024-11-28,466603798.09300132627204309271,,,,,
2024-11-29,467940096.31173231145000444379,,,,,
2024-11-30,483926684.26687959394365176703,,,,,
2024-12-01,484558376.94962352753743909421,,,,,
2024-12-02,474309349.39687879071190009226,,,,,
2024-12-03,473266634.88560077045707260866,,,,,
2024-12-04,501111682.7201932037268993911,,,,,
