time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI30d,SplyCur,TxCnt,TxTfrCnt
2017-06-20,3,2,1614335042,1614335042,,,1000000000,,,,,1000000000,1,1
2017-06-21,0,2,1614335042,1614335042,,,0,,,,,1000000000,0,0
2017-06-22,0,2,1614335042,1614335042,,,0,,,,,1000000000,0,0
2017-06-23,0,2,1614335042,1614335042,,,0,,,,,1000000000,0,0
2017-06-24,0,2,1614335042,1614335042,,,0,,,,,1000000000,0,0
2017-06-25,0,2,1614335042,1614335042,,,0,,,,,1000000000,0,0
2017-06-26,0,2,1614335042,1614335042,,,0,,,,,1000000000,0,0
2017-06-27,0,2,1614335042,1614335042,,,0,,,,,1000000000,0,0
2017-06-28,0,2,1614335042,1614335042,,,0,,,,,1000000000,0,0
2017-06-29,1,2,1614335042,1614335042,,891264607.004107,0,0,0.0003508303850593074,0.891264607004107,,1000000000,1,0
2017-06-30,0,2,1614335043,1614335043,,949979534.183624,0,0,0.00038731800116890703,0.949979534183624,,1000000000,0,0
2017-07-01,7746,6363,1614335043,1614335043,7.46609719,1283889348.89319,0,0,0.0005322116276933827,1.28388934889319,,1000000000,9775,9476
2017-07-02,8274,9950,1614335043,1614335043,11.22618543,2651021595.59374,0,0,0.001052463721216286,2.65102159559374,,1000000000,11613,11070
2017-07-03,12510,13986,1614335043,1614335043,12.06274705,4174906090.71876,0,0,0.0016359815090349077,4.17490609071876,,1000000000,19247,18247
2017-07-04,7174,15765,1614335043,1614335043,9.2057305,3100703867.5769,0,0,0.0011926955012339052,3.1007038675769,,1000000000,9736,9154
2017-07-05,5758,17658,1614335043,1614335043,8.40045173,2770260715.5927,0,0,0.0010621738124745863,2.7702607155927,,1000000000,7358,7014
2017-07-06,9250,21801,1614335043,1614335043,6.30628877,3271512374.36636,0,0,0.001256729434043221,3.27151237436636,,1000000000,12009,11671
2017-07-07,5357,23451,1614335043,1614335043,5.25836578,2693939432.0486,0,0,0.0010793973974542455,2.6939394320486,,1000000000,7004,6763
2017-07-08,3824,24434,1614335043,1614335043,4.30005932,2377190080.62441,0,0,0.0009309557545144243,2.37719008062441,,1000000000,5444,5254
2017-07-09,4472,25690,1614335043,1614335043,3.85581661,2234834668.65991,0,0,0.0008917319268152062,2.23483466865991,,1000000000,5652,5465
2017-07-10,7129,27675,1614335043,1614335043,2.77517326,1523382695.15611,0,0,0.000656809708236996,1.52338269515611,,1000000000,8816,8701
2017-07-11,8069,33008,1614335043,1614335043,3.68669153,1564349916.68279,0,0,0.0006745308205365735,1.56434991668279,,1000000000,10377,10298
2017-07-12,11870,38375,1614335043,1614335043,4.33310023,1971363526.14849,0,0,0.0008300875515581357,1.97136352614849,,1000000000,15042,14947
