time,CapMrktEstUSD,volume_reported_spot_usd_1d
2023-04-24,,137998.164931459
2023-04-25,,130919.098794957
2023-04-26,,290908.495675574
2023-04-27,,165565.272131318
2023-04-28,,332777.412415905
2023-04-29,,190036.861223427
2023-04-30,,294535.849207118
2023-05-01,,260699.065568404
2023-05-02,,188514.105149945
2023-05-03,,162641.199001197
2023-05-04,,134219.332317251
2023-05-05,,197121.121029577
2023-05-06,,116458.823231735
2023-05-07,,104711.798553088
2023-05-08,,2381340.24527775
2023-05-09,,202736.404647675
2023-05-10,,192622.466632577
2023-05-11,,92480.5322510814
2023-05-12,,98451.1649518931
2023-05-13,,114715.883145894
2023-05-14,,56643.4559098203
2023-05-15,,182699.549731479
2023-05-16,,122024.960471169
2023-05-17,,141267.398961243
2023-05-18,,181999.314888191
2023-05-19,,134309.534021018
2023-05-20,,118903.766585521
2023-05-21,,274544.907819355
2023-05-22,,189519.401528833
2023-05-23,,186935.330030617
2023-05-24,,141597.87965917
2023-05-25,,76635.6149129467
2023-05-26,,148586.561740027
2023-05-27,,149600.925381447
2023-05-28,,125853.785560401
2023-05-29,,249710.841657181
2023-05-30,,336690.617271165
2023-05-31,,266806.473525892
2023-06-01,,115128.229261211
2023-06-02,,148710.352067642
2023-06-03,,165743.531067744
2023-06-04,,326388.688449046
2023-06-05,,967231.963854182
2023-06-06,,606060.281463231
2023-06-07,,674902.222923405
2023-06-08,,1404633.98197893
2023-06-09,,554051.463575424
2023-06-10,,600044.184589748
2023-06-11,,476165.790963052
2023-06-12,,392598.506378301
2023-06-13,,404132.307529473
2023-06-14,,216255.357179629
2023-06-15,,169423.542280221
2023-06-16,,230648.694835881
2023-06-17,,195296.628529355
2023-06-18,,157119.030064441
2023-06-19,,126668.767003336
2023-06-20,,119559.872167327
2023-06-21,,279176.744306415
2023-06-22,,149068.126037771
2023-06-23,,561093.07707724
2023-06-24,,126557.286564928
2023-06-25,,87549.7131642428
2023-06-26,,92000.9156423885
2023-06-27,,116032.077657404
2023-06-28,,200649.467193567
2023-06-29,,168194.981361854
2023-06-30,,172151.504362393
2023-07-01,,108210.200252126
2023-07-02,,285971.03516413
2023-07-03,,116257.162092924
2023-07-04,,344896.16261992
2023-07-05,,129487.777263158
2023-07-06,,226946.727676649
2023-07-07,,75424.0770793613
2023-07-08,,123990.380880809
2023-07-09,,90921.7014375651
2023-07-10,,279191.747030615
2023-07-11,,201986.700349578
2023-07-12,,197178.985627409
2023-07-13,,300517.606780356
2023-07-14,,228150.902208944
2023-07-15,,80701.8677580074
2023-07-16,,153314.523410001
2023-07-17,,119554.936441609
2023-07-18,,178903.689216005
2023-07-19,,134611.23756015
2023-07-20,,93889.2017937766
2023-07-21,,79485.4661201999
2023-07-22,,76408.6438920223
2023-07-23,,79250.9128990124
2023-07-24,,121360.825275351
2023-07-25,,69617.5974085173
2023-07-26,,149275.71539616
2023-07-27,,159894.936998063
2023-07-28,,61117.1719633856
2023-07-29,,30628.5757979213
2023-07-30,,25866.7734578965
2023-07-31,,153687.597543914
2023-08-01,,139141.838833865
2023-08-02,,60997.2360072362
2023-08-03,,116383.729801774
2023-08-04,,89406.4373371749
2023-08-05,,529402.727700098
2023-08-06,,93892.4686694565
2023-08-07,,160397.725724568
2023-08-08,,157290.669060154
2023-08-09,,151828.212886082
2023-08-10,,65657.0151849177
2023-08-11,,34210.0786630072
2023-08-12,,35818.6401456694
2023-08-13,,91734.8374447945
2023-08-14,,69114.8012976374
2023-08-15,,213002.90114211
2023-08-16,,90170.1330384325
2023-08-17,,242639.34029668
2023-08-18,,106172.93529222
2023-08-19,,46991.8594372842
2023-08-20,,44798.2022780737
2023-08-21,,103827.906306067
2023-08-22,,42737.8760943571
2023-08-23,,53098.9009688807
2023-08-24,,28536.678191683
2023-08-25,,52739.5336198974
2023-08-26,,55564.8821972926
2023-08-27,,28967.0787171967
2023-08-28,,44374.2669912552
2023-08-29,,125302.596083767
2023-08-30,,93667.7073945132
2023-08-31,,231849.601909707
2023-09-01,,93568.0195412379
2023-09-02,,60221.7859402175
2023-09-03,,52174.0638262032
2023-09-04,,54360.617184431
2023-09-05,,92502.8532614034
2023-09-06,,77083.0593594414
2023-09-07,,69518.828538232
2023-09-08,,82867.2804927591
2023-09-09,,42304.3792548034
2023-09-10,,51663.7784343176
2023-09-11,,91792.8388460576
2023-09-12,,95151.1130911472
2023-09-13,,85779.0378661701
2023-09-14,,85534.3245424862
2023-09-15,,118246.410895532
2023-09-16,,46857.572090403
2023-09-17,,49941.9244210885
2023-09-18,,132785.219581931
2023-09-19,,88499.0972773176
2023-09-20,,114608.186041723
2023-09-21,,109142.812364182
2023-09-22,,71225.3499870778
2023-09-23,,60311.2514297785
2023-09-24,,63775.9476498504
2023-09-25,,86591.8998773431
2023-09-26,,92415.5919186605
2023-09-27,,109485.379958473
2023-09-28,,146993.704999177
2023-09-29,,148475.898476247
2023-09-30,,95058.0014147836
2023-10-01,,111360.752642953
2023-10-02,,156902.277493434
2023-10-03,,125759.584532622
2023-10-04,,164924.078762878
2023-10-05,,101397.61141399
2023-10-06,,150514.838877209
2023-10-07,,116730.954507025
2023-10-08,,66001.5924559055
2023-10-09,,110992.946697934
2023-10-10,,82081.2888254487
2023-10-11,,119121.689716503
2023-10-12,,130941.221019734
2023-10-13,,100849.361929135
2023-10-14,,127129.618659964
2023-10-15,,105916.971457462
2023-10-16,,216258.08162011
2023-10-17,,142854.423148147
2023-10-18,,71368.9148301161
2023-10-19,,63885.2559753898
2023-10-20,,84609.0559191926
2023-10-21,,118468.242954636
2023-10-22,,101928.98024915
2023-10-23,,377146.243636149
2023-10-24,,176374.021820762
2023-10-25,,119247.64279368
2023-10-26,,115177.669257727
2023-10-27,,142625.322068034
2023-10-28,,69949.078744033
2023-10-29,,81095.5429865974
2023-10-30,,151019.579100157
2023-10-31,,211622.657554225
2023-11-01,,134792.540775301
2023-11-02,,118491.774126784
2023-11-03,,332221.303308142
2023-11-04,,346424.765044817
2023-11-05,,220996.592722062
2023-11-06,,180614.169623446
2023-11-07,,90527.4436913672
2023-11-08,,166021.202089477
2023-11-09,,430865.538536548
2023-11-10,,323092.372399721
2023-11-11,,191972.51600621
2023-11-12,,241093.484373341
2023-11-13,,258200.472613
2023-11-14,,168167.58520303
2023-11-15,,266078.440194296
2023-11-16,,392376.022090432
2023-11-17,,180666.031459537
2023-11-18,,130351.811562651
2023-11-19,,164238.124419373
2023-11-20,,265464.330360203
2023-11-21,,252814.18867736
2023-11-22,,142867.135069395
2023-11-23,,137192.098076947
2023-11-24,,153372.919880718
2023-11-25,,196131.093929573
2023-11-26,,172170.489274576
2023-11-27,,189170.761760839
2023-11-28,,217600.02781002
2023-11-29,,197832.550121626
2023-11-30,,205460.923458071
2023-12-01,23262644.04279463105240065259094871917,169433.673808299
2023-12-02,22807347.6780171281241471177033251218,171510.393783482
2023-12-03,22923313.85423849954377507891393317562,169855.543773351
2023-12-04,24714678.27002400710529362452512098157,459516.252953282
2023-12-05,26888652.43773360105260062412359754327,276193.48741818
2023-12-06,27104754.25638309219506934002709547176,305054.490658495
2023-12-07,28423484.64575878338886553756485745571,256910.4122973
2023-12-08,31064439.04603816179808010747498896378,296543.920658496
2023-12-09,32362271.44073075579723394699172774971,323014.603842993
2023-12-10,29758354.41531049024162639301560054327,311836.458853977
2023-12-11,27976339.75420912871788291557290503801,295844.373064347
2023-12-12,28182569.703782148442148657519158572,217802.199414256
2023-12-13,27796600.50552550637241107250936773552,245171.997103813
2023-12-14,29251027.54091668210028654244172025354,203344.956018733
2023-12-15,27024982.62958334823176980210511075464,246952.309309983
2023-12-16,24452756.2931100544286705744868595106,680326.796942901
2023-12-17,24659521.97503364879891766534561178283,1539397.26608861
2023-12-18,26207873.95093421214354420416912536328,326711.310281343
2023-12-19,26631306.53523050389832001409353130603,536755.731277994
2023-12-20,28072557.6004534594358804850417497398,231233.053686849
2023-12-21,30578540.56474570346775290259205309041,282224.447409128
2023-12-22,29792700.39864380572479399172956405856,291518.145211932
2023-12-23,28471008.23992261095163675452486399735,225262.719674532
2023-12-24,27370674.24921171366944582797038043772,531427.021662403
2023-12-25,29297582.32947891923972715695023678674,228958.075730435
2023-12-26,29583405.03687203624023139296128343834,419790.308723432
2023-12-27,30385076.08812387851036092811685922427,203610.363887777
2023-12-28,28785536.35883467899251153618511163059,155093.988119429
