date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee
2017-09-07,29389741.3302,10786266.2358,4423,527118000.0,247.8,27100600.0,7150.0,2.94806715,61342,5187562.93948,163095,233.276442,0.0001,
2017-09-08,31078022.8077,12839835.5889,4502,528046000.0,247.4,30849900.0,7150.0,2.32766088,61200,5342001.73953,167221,247.4,0.0001,
2017-09-09,88482841.1976,19371359.3262,4520,458172000.0,213.95,24960900.0,7087.5,1.58722892,59656,5312456.86958,158404,427.9,0.0001,
2017-09-10,21561373.7117,9953225.30825,3764,458304000.0,213.3,26701400.0,7237.5,3.03461669,60218,5218253.71415,155780,213.3,0.0001,
2017-09-11,25299244.121,13319904.0679,4421,457445000.0,212.19,22339400.0,7200.0,2.09442624,60608,5599983.07511,164746,174.585492985,0.0001,
2017-09-12,32321037.6526,22016745.5551,4414,449686000.0,207.9,26344600.0,7137.5,2.63179138,64535,5641245.21516,161306,202.692105,0.0001,
2017-09-13,93301793.0988,25343489.9512,5419,449957000.0,207.34,32634000.0,7037.5,4.30624256,63369,5649663.2424,161350,649.829396637,0.0001,
2017-09-14,39213153.0987,23320464.8045,5539,430379000.0,197.68,35524600.0,7287.5,3.72896247,63480,5234948.38613,168935,395.36,0.0001,
2017-09-15,34815598.1883,16447896.5056,6502,347512000.0,159.08,45620000.0,7137.5,2.19873964,63527,5388173.33599,162139,627.85471688,0.0001,
2017-09-16,13816512.2631,7302912.34721,4075,396908000.0,181.1,22550100.0,7175.0,1.70190127,60567,5584443.50471,165106,203.327534875,0.0001,
2017-09-17,25358382.9823,9315978.90315,3635,378861000.0,172.3,17358900.0,7050.0,3.05612605,61423,5292140.29742,166354,267.66291546,0.0001,
2017-09-18,109660702.841,26642532.3827,5446,383846000.0,174.01,27678900.0,7325.0,2.54016524,68455,5323774.44612,173444,217.764081918,0.0001,
2017-09-19,730805659.812,44176493.4251,4382,428072000.0,193.42,19791200.0,7125.0,1.56431588,59143,5338097.15878,165034,236.752783937,0.0001,
2017-09-20,31685416.1085,11406423.2617,4002,415166000.0,186.99,12166600.0,7175.0,6.22150477,56198,4909908.13988,154851,188.84120287,0.0001,
2017-09-21,33642591.7591,17132550.3421,4816,417102000.0,187.25,17620100.0,7062.5,12.07522638,68293,4941760.33429,174945,374.5,0.0001,
2017-09-22,28400202.1501,13981243.9838,5591,392222000.0,175.53,43671100.0,7262.5,5.13972788,64541,5488543.16512,165807,196.395679393,0.0001,
2017-09-23,22411770.2729,8507614.82771,4547,438281000.0,195.5,29531600.0,7162.5,1.74431594,60454,5775345.14398,153089,202.899422805,0.0001,
2017-09-24,20218490.1956,8965062.55164,4149,458828000.0,204.02,15176600.0,7187.5,2.14944892,55635,5494428.2715,153444,102.01,0.0001,
2017-09-25,34026016.9772,13247640.3545,6819,463963000.0,205.65,32460800.0,7212.5,3.3905747,64272,5969938.7549,167275,107.645871978,0.0001,
2017-09-26,26208111.709,11308990.4071,5535,522161000.0,230.7,20525600.0,7075.0,2.34092041,63767,5987462.74947,153154,161.998402818,0.0001,
2017-09-27,80130488.4787,30442822.9841,9412,525065000.0,231.26,130957000.0,7337.5,3.55259473,73908,6396360.92968,172059,232.855694,0.0001,
2017-09-28,174916890.44,111670803.023,14494,650661000.0,285.65,296921000.0,7125.0,10.28415914,95162,7067050.44628,163665,657.858454251,0.0001,
2017-09-29,81446593.976,45585145.7568,10055,711727000.0,311.49,71232100.0,7125.0,12.70142373,78990,7175740.38094,154676,1599.11769024,0.00042,
2017-09-30,51271800.0483,17633348.8627,5481,664608000.0,289.96,37283500.0,7150.0,2.7263231,67004,7332622.96421,156724,289.96,0.0001,
2017-10-01,35383190.7164,17852404.0404,4880,637677000.0,277.35,33546100.0,7137.5,1.66075389,65543,7462643.81445,154928,249.958456373,0.0001,
2017-10-02,35835777.4744,17292160.89,5395,610037000.0,264.51,52062000.0,7225.0,2.1626367,67484,7177386.28743,158864,213.745060933,0.0001,
2017-10-03,31765620.8434,13826349.6229,4496,597264000.0,258.16,36278200.0,7100.0,2.09825095,65276,7754148.03293,164170,245.184191694,0.0001,
2017-10-04,36266680.5028,16749695.4729,4669,587108000.0,253.0,22195500.0,7262.5,2.05291433,64198,7302796.43122,163250,139.31127485,0.0001,
2017-10-05,47172084.8598,23326140.1649,5241,553211000.0,237.64,48244700.0,7212.5,2.29700637,64748,7702864.09684,166677,237.703138572,0.0001,
2017-10-06,38245545.2626,15188592.5896,4945,595099000.0,254.85,49397500.0,7025.0,2.28346119,65199,7325025.60125,163731,181.049800483,0.0001,
2017-10-07,54295558.5273,15099021.5226,3973,602523000.0,257.25,30163700.0,7150.0,2.38301866,64227,7270312.90892,163296,228.0761007,0.0001,
2017-10-08,39123426.3226,11428513.1177,4375,595599000.0,253.52,30469500.0,7212.5,2.67231776,64086,7367228.63906,165489,204.199354697,0.0001,
2017-10-09,38149889.1419,20734941.9527,4829,569009000.0,241.46,33586100.0,7112.5,3.06128789,66801,7509053.64624,164754,239.511999719,0.0001,
2017-10-10,39064995.2116,15741750.0636,4706,542934000.0,229.71,27876900.0,7275.0,2.2048368,65068,7311124.57883,160642,189.925229536,0.0001,
2017-10-11,53476159.2756,22957728.3019,4032,557915000.0,235.32,20522300.0,7087.5,2.74022901,63564,7032407.01076,154879,193.159231061,0.0001,
2017-10-12,75067876.4241,35134591.0287,5501,562261000.0,236.44,39391300.0,7175.0,3.8769302,66667,7047542.67674,161062,239.799514486,0.0001,
2017-10-13,67446725.1791,29794960.4659,6002,541560000.0,227.05,62551500.0,7150.0,3.22962972,68147,7163259.33989,162451,229.881417943,0.0001,
2017-10-14,49864702.1523,13986019.6537,4126,574275000.0,240.05,21199600.0,7087.5,2.18102305,62968,6709155.59002,158002,172.828532045,0.0001,
2017-10-15,45573471.6415,20834481.6146,4469,577433000.0,240.66,25648400.0,7112.5,2.8165727,64886,6804418.53123,161207,237.800340704,0.0001,
2017-10-16,32100541.8192,13591768.2238,4803,558212000.0,231.96,22198300.0,7137.5,3.17706725,67783,7338868.8862,165232,155.193197538,0.0001,
2017-10-17,57092985.7505,19223234.1375,4951,562642000.0,233.11,60696400.0,7200.0,3.10022205,69750,6496285.23993,167112,233.11,0.0001,
2017-10-18,35700943.7691,16848459.6008,4450,559570000.0,231.15,29137800.0,7262.5,3.20943421,66776,6401174.85378,161777,231.15,0.0001,
2017-10-19,28789937.9082,12525092.6809,4607,556979000.0,229.39,30300100.0,7075.0,4.13425132,64643,6243393.67945,166015,222.272785287,0.0001,
2017-10-20,59818212.4267,15059123.9997,4578,560579000.0,230.2,29093800.0,7200.0,2.16205892,62504,6116207.15781,160435,215.628358416,0.0001,
2017-10-21,28286667.2941,15788145.0357,4461,542326000.0,222.05,37115000.0,7012.5,1.94624876,62578,6013236.23893,157177,215.535053,0.0001,
2017-10-22,38284630.8443,12838637.9976,4438,521286000.0,212.82,26263000.0,7262.5,1.98059717,62366,5826125.38972,164846,191.252544534,0.0001,
2017-10-23,40099658.952,19076268.9965,5286,524261000.0,213.41,26665700.0,7125.0,2.26105464,64802,6205622.19464,157093,212.535019,0.0001,
2017-10-24,76662568.5973,41325324.3052,5135,509003000.0,206.59,37788300.0,7125.0,2.0929403,65052,5795506.19226,160280,208.153524768,0.0001,
2017-10-25,29857823.2662,15236964.0113,4583,533463000.0,215.9,44717900.0,7175.0,1.6821209,64389,5841406.37679,157532,219.772313312,0.0001,
2017-10-26,40823807.806,15738805.305,4930,538633000.0,217.36,41638100.0,7225.0,1.85612317,65630,6212939.60574,171355,252.797761445,0.0001,
2017-10-27,100589143.359,19484663.7543,6673,579905000.0,233.33,131517000.0,7162.5,2.94408476,68957,6257890.86753,159231,282.799658281,0.0001,
2017-10-28,58431535.5989,27241385.9298,9974,607479000.0,243.72,45309100.0,7087.5,15.98624902,65578,5996877.53368,148366,1289.29313561,0.0022689,
2017-10-29,28878859.0136,15636682.5124,5984,578982000.0,231.63,59020900.0,7062.5,7.57712092,70289,5660672.81849,169361,713.138098621,0.00016093,
2017-10-30,62195560.4169,30324692.1598,5133,585624000.0,233.63,50794000.0,7262.5,3.60915113,57063,5989674.13299,163986,143.789651126,0.0001,
2017-10-31,52866957.1228,24646324.2347,7578,602974000.0,239.86,38363600.0,7062.5,7.69997446,72434,5935879.5022,170056,491.58996861,0.0001,
2017-11-01,91727307.0971,37453899.3919,5488,589719000.0,233.93,47917100.0,7250.0,3.11377209,63721,6035631.84177,162881,292.155177,0.0001,
2017-11-02,56968909.4267,35287369.9912,5159,563565000.0,222.91,47381200.0,7000.0,2.65712808,56415,5958057.99165,145417,230.574151806,0.0001,
2017-11-03,69921755.3781,31317920.3679,5152,552362000.0,217.88,48622200.0,7262.5,2.4649142,62035,5874645.20393,177818,199.459126235,0.0001,
2017-11-04,44424413.5729,23142246.2835,3895,591459000.0,232.63,36530200.0,7062.5,2.36416223,50809,5751849.96375,148541,206.706962023,0.0001,
2017-11-05,57625347.4501,23995600.407,4222,587210000.0,230.32,38159100.0,7300.0,4.2314141,60022,5917938.28759,162934,162.71342877,0.0001,
2017-11-06,56581347.5034,25954888.1813,4946,576941000.0,225.65,47873100.0,7112.5,3.31393194,58490,6032321.3355,151117,225.65,0.0001,
2017-11-07,43897102.2392,23119239.8973,5016,586502000.0,228.75,55446200.0,7162.5,2.5334721,61142,6072795.18942,172310,228.75,0.0001,
2017-11-08,60721057.0129,22392046.7218,5630,617406000.0,240.13,60804200.0,7162.5,2.64100239,62124,6301456.29229,160203,222.325517927,0.0001,
2017-11-09,55257940.5238,29788710.1394,6460,645990000.0,250.55,86573400.0,7162.5,2.60017285,63855,5754828.72446,147526,229.069917554,0.0001,
2017-11-10,49297856.6088,23978516.3943,5834,677262000.0,261.95,78740400.0,7175.0,2.74401824,64121,6424295.67621,159644,238.722961607,0.0001,
2017-11-11,49687566.0855,16337584.9725,5358,617454000.0,238.16,68016100.0,7100.0,2.43656914,55470,6625755.60718,140744,238.136184,0.0001,
2017-11-12,53247378.4453,21310211.8702,6025,659346000.0,253.63,119639000.0,7262.5,2.5638856,63272,6494814.81368,150140,253.63,0.0001,
2017-11-13,74981870.2795,30145449.06,7423,778787000.0,298.73,115940000.0,7100.0,3.722189,68183,6224700.58283,158319,327.550866965,0.0001,
2017-11-14,79069351.8455,23454547.9049,5537,694229000.0,265.58,52265100.0,7112.5,2.61781645,54347,6228070.05292,132482,265.58,0.0001,
2017-11-15,105277282.923,37388303.4301,6569,710792000.0,271.17,89937200.0,7312.5,3.09791968,66786,5994650.78506,169152,332.169002728,0.0001,
2017-11-16,79821378.9155,41541337.9794,7867,762905000.0,290.25,173976000.0,7087.5,3.21113557,68947,6412048.34762,156597,332.315604517,0.0001,
2017-11-17,91761957.6742,38498419.2538,5493,773268000.0,293.39,56387900.0,7175.0,2.80223684,63637,6336751.20652,151022,293.468763479,0.0001,
2017-11-18,76646502.2432,37146861.2314,4845,768597000.0,290.83,61087000.0,7175.0,2.88937704,62888,6429746.14235,152099,233.407983856,0.0001,
2017-11-19,60578912.2499,25166556.6096,5751,790267000.0,298.22,53157100.0,7050.0,2.4450001,63350,6375391.93177,147428,352.124389289,0.0001,
2017-11-20,42488732.2609,24018015.7693,5940,795282000.0,299.32,55245200.0,7125.0,2.67591763,66987,6515608.22881,158015,301.471524133,0.0001,
2017-11-21,115829535.957,48321787.9344,6066,804205000.0,301.87,82637900.0,7312.5,2.98629086,65778,6138202.45904,174208,371.223035608,0.0001,
2017-11-22,158509699.407,37847543.922,7235,777089000.0,290.89,139325000.0,7037.5,2.65163795,66779,6077090.10558,158371,508.999322,0.0001,
2017-11-23,97275647.1484,42784772.7347,6447,855647000.0,319.45,102568000.0,7262.5,2.98720526,68059,6021013.8858,161601,386.784664489,0.0001,
2017-11-24,86339165.3211,40626429.5826,6715,833750000.0,310.44,153182000.0,7150.0,4.16507304,69146,6060319.15976,181605,313.098260467,0.0001,
2017-11-25,142337043.892,59901650.1323,7495,938711000.0,348.59,120059000.0,7200.0,3.98930844,70639,6273764.9646,171560,393.646780838,0.0001,
2017-11-26,109274874.153,49430422.482,7181,931073000.0,344.83,81416400.0,7125.0,4.77143045,74535,6076299.03635,179071,643.314272134,0.0001,
2017-11-27,95156527.9382,40144102.9283,7510,920947000.0,340.18,90891200.0,7137.5,5.39655517,74959,5920280.18924,174618,513.871458446,0.0001,
2017-11-28,87229449.2729,52611460.5486,7390,943652000.0,347.66,127136000.0,7137.5,5.18740744,74356,5962842.54865,169182,473.832899311,0.0001,
2017-11-29,115458237.885,59728319.119,8125,1010140000.0,371.17,157702000.0,7250.0,7.04027253,68079,6152265.95818,169116,455.811495449,0.0001,
2017-11-30,111964112.292,56856230.3991,6759,844333000.0,309.42,93494200.0,7125.0,5.71656325,73651,5895357.6128,190727,573.933080191,0.0001,
2017-12-01,55709884.7753,30642816.961,6625,837670000.0,306.19,78854200.0,7075.0,4.97092483,71437,5859429.96266,180939,321.405098561,0.0001,
2017-12-02,56608079.2107,30961896.0328,6357,919935000.0,335.38,63555100.0,7262.5,5.02789066,69078,5921528.91291,168657,338.734296362,0.0001,
2017-12-03,65011729.0308,27310821.9835,6400,906261000.0,329.53,85387900.0,7037.5,3.57645803,69437,5699823.08504,174740,314.184595248,0.0001,
2017-12-04,62056040.6818,19010670.0833,6791,890812000.0,323.08,61649200.0,7062.5,2.69068686,65200,5985225.19683,167590,211.584555687,0.0001,
2017-12-05,98166271.9322,43816918.2706,6406,914876000.0,330.96,72757600.0,7425.0,2.55462689,65762,5844374.39617,183122,314.004498881,0.0001,
2017-12-06,101957623.825,40744065.4836,7850,895026000.0,322.92,206504000.0,6925.0,2.96873434,70403,5368405.40537,173035,328.4282079,0.0001,
2017-12-07,111881547.817,36309643.7785,8201,944355000.0,339.87,125668000.0,7187.5,5.0296815,85397,5445144.36115,209294,339.836013,0.0001,
2017-12-08,318968652.095,54211038.5682,8813,858140000.0,308.04,127793000.0,7225.0,6.12283434,87263,5437305.70728,214518,462.080429213,0.0001,
2017-12-09,149209696.081,59552913.8064,8273,915507000.0,327.78,132799000.0,7150.0,5.52704386,80788,5881478.02614,204788,328.700461963,0.0001,
2017-12-10,83007575.7029,40439470.9975,7455,888438000.0,317.28,107504000.0,7125.0,4.15665851,78619,5548474.97248,202554,286.775190547,0.0001,
2017-12-11,140474931.041,36909280.6655,9150,814205000.0,290.03,115200000.0,7212.5,4.71043952,91534,5609655.31282,219705,258.05602839,0.0001,
2017-12-12,152663190.035,39860890.8885,11131,902200000.0,320.55,191288000.0,7150.0,6.52452271,95775,6086247.2707,225253,286.663303574,0.0001,
2017-12-13,243417837.893,87233280.0967,11871,1050030000.0,372.13,265914000.0,7187.5,5.87813388,98379,5811370.88891,221812,358.239689555,0.0001,
2017-12-14,206253244.428,89906889.8795,12985,1177960000.0,416.41,423033000.0,7150.0,5.96609587,91434,6122227.8329,200127,412.1959308,0.0001,
2017-12-15,180580320.528,66113889.8187,10886,1448690000.0,510.82,220484000.0,7287.5,5.60167697,94870,5961792.50327,226806,428.108316767,0.0001,
2017-12-16,109457842.892,60318845.5816,9519,1334630000.0,469.39,150140000.0,7200.0,4.6806602,92565,6358225.79099,215237,235.164145917,0.0001,
2017-12-17,138154500.467,44545319.5263,10550,1344370000.0,471.63,305008000.0,7162.5,4.3121458,94721,6360104.39168,203058,202.605965888,0.0001,
2017-12-18,149058016.694,68218657.1944,12852,1538680000.0,538.45,348897000.0,7175.0,5.84766151,101902,6374622.30289,215451,323.942428997,0.0001,
2017-12-19,213565502.291,92829163.9665,12455,1706810000.0,595.79,287417000.0,7087.5,4.88057472,101753,6588864.04151,226020,270.061585812,0.0001,
2017-12-20,267856489.167,108997649.158,13110,1761330000.0,613.29,305316000.0,7100.0,5.58158881,104655,6344963.34859,213357,322.405461344,0.0001,
2017-12-21,223801792.416,109581288.966,12955,1942370000.0,674.66,279558000.0,7250.0,5.84537812,111645,6856760.26838,222207,350.000033841,0.0001,
2017-12-22,598805823.36,107835544.655,11163,1884510000.0,652.92,351521000.0,7087.5,4.83915626,99256,7295430.50153,220474,441.945943212,0.0001,
2017-12-23,185357229.314,86878698.4173,10636,1568750000.0,542.19,231311000.0,7200.0,4.36085041,95058,6868742.57415,220326,248.76784352,0.0001,
2017-12-24,188523290.54,101635475.848,11836,1726960000.0,595.39,142136000.0,7225.0,9.13495104,100736,7205440.3618,220829,904.9928,0.0001,
2017-12-25,182769058.753,64071204.7081,9781,1558920000.0,536.13,139365000.0,6975.0,4.54705549,95023,7300543.80477,209109,269.047838877,0.0001,
2017-12-26,148834089.123,46793489.9945,9785,1632270000.0,560.0,139397000.0,7262.5,4.76734742,93248,7463707.2033,218561,281.736,0.0001,
2017-12-27,109626352.456,46428858.3644,9959,1677730000.0,574.16,143217000.0,7137.5,5.35690607,91848,7058981.10482,217265,288.631736299,0.0001,
2017-12-28,234170719.724,54787018.9353,16677,1618580000.0,552.58,129796000.0,7200.0,20.94545777,104857,6444950.45645,216817,1426.70218528,0.001,
2017-12-29,210667686.223,58216035.6231,14550,1491580000.0,507.97,227427000.0,7162.5,12.79355665,108123,6561704.17318,224056,1025.29057969,0.0001,
2017-12-30,191236459.551,60614590.8108,9787,1689880000.0,574.1,143776000.0,7037.5,4.12497317,96276,6286062.14899,218406,344.40259,0.0001,
2017-12-31,174522015.388,83017385.3374,8340,1424590000.0,482.82,95277100.0,7275.0,5.31865993,91340,6536027.43209,218646,249.481412989,0.0001,
2018-01-01,185521882.276,74026170.1241,9482,1502590000.0,508.0,234555000.0,7175.0,5.09803131,94054,6992689.15889,220847,237.236,0.0001,
2018-01-02,285165219.991,135522076.249,11912,1713990000.0,578.08,207114000.0,7050.0,4.73253019,93625,6639310.66799,215600,303.785219518,0.0001,
2018-01-03,418070021.203,176161154.048,11077,1727630000.0,581.29,152736000.0,7275.0,4.80435593,88902,6958816.30436,208852,255.709471,0.0001,
2018-01-04,508620326.864,155997782.865,10792,1737200000.0,583.08,166095000.0,7162.5,4.46041111,93285,6571435.4791,223784,233.532997558,0.0001,
2018-01-05,361574472.97,141757471.953,10155,1764630000.0,590.87,158978000.0,6937.5,3.55961111,80047,6327865.88516,196181,258.486350821,0.0001,
2018-01-06,252429052.542,77626620.4147,12027,1759870000.0,587.91,305643000.0,7237.5,3.94968063,92759,6139389.68752,217453,207.596282795,0.0001,
2018-01-07,346035744.018,133402582.796,16419,2269630000.0,756.37,542981000.0,7250.0,5.77963342,102976,6545221.22547,227430,378.197805344,0.0001,
2018-01-08,313172278.175,135690388.215,11589,2659820000.0,884.27,282955000.0,7062.5,3.10230187,90842,6726839.65643,214168,354.880365166,0.0001,
2018-01-09,171781938.374,72457010.2568,9810,2090110000.0,693.24,213921000.0,7137.5,2.72688382,82736,6352966.75189,202911,259.168065161,0.0001,
2018-01-10,130215164.961,82725439.3214,11596,2032060000.0,672.39,245168000.0,7187.5,2.81035719,100082,6284506.30995,224210,281.68703226,0.0001,
2018-01-11,155907667.552,91950318.3791,11224,2178380000.0,719.1,221531000.0,7237.5,2.97844717,91274,6264787.47439,191795,402.673456215,0.0001,
2018-01-12,159993696.463,77610962.4504,10974,1977330000.0,651.18,185898000.0,7100.0,2.76629219,105685,6474797.01447,223043,325.59,0.0001,
2018-01-13,177100756.92,81126410.9753,11083,2141980000.0,703.76,151405000.0,7187.5,3.54534425,102279,6328488.10753,210319,352.444647761,0.0001,
2018-01-14,80582832.8067,43230945.4322,9798,2141180000.0,701.85,142911000.0,7200.0,2.68510817,92573,6666106.10342,202189,303.433716159,0.0001,
2018-01-15,257802681.791,106777644.165,10581,2054190000.0,671.73,157346000.0,7162.5,3.3737985,96219,6610642.54346,211458,363.254972117,0.0001,
2018-01-16,326128100.356,123920777.555,10494,1922320000.0,627.14,283879000.0,7162.5,2.26519301,100868,6758414.86295,226573,377.206184284,0.0001,
2018-01-17,173285948.482,73071276.7967,9545,1564650000.0,509.27,171892000.0,7250.0,3.21910345,96477,7129613.58587,209420,327.965204901,0.0001,
2018-01-18,113779582.525,46455295.1781,9371,1532650000.0,497.68,128385000.0,7125.0,2.78040465,90900,7065235.18249,211584,235.019212398,0.0001,
2018-01-19,92125409.3812,62396152.9858,8986,1501990000.0,486.59,163175000.0,7100.0,2.15066981,99627,6707947.07482,230724,212.666855209,0.0001,
2018-01-20,98018130.3146,53230914.3983,9064,1636230000.0,528.86,126555000.0,7300.0,2.05873807,95700,6781784.6116,223429,153.316514,0.0001,
2018-01-21,136979492.569,53596960.3666,7720,1735780000.0,559.72,94691700.0,7112.5,2.06050934,92788,6690936.05408,217239,202.842528,0.0001,
2018-01-22,96229262.6211,44578918.1771,7733,1530980000.0,492.55,78727100.0,7012.5,2.32949538,93915,7195324.08771,217356,182.239106454,0.0001,
2018-01-23,158947811.92,56696787.7412,7745,1390650000.0,446.4,79187400.0,7225.0,2.12648431,92586,6506330.65502,207571,183.024008928,0.0001,
2018-01-24,148714140.176,87926950.4658,7140,1380510000.0,442.12,78432400.0,7175.0,2.14615427,92125,6481387.10589,205956,196.466747831,0.0001,
2018-01-25,134046240.87,54766095.6587,7499,1432080000.0,457.58,85020800.0,7100.0,2.06046152,91599,6775971.43936,210667,187.584925576,0.0001,
2018-01-26,185179935.523,87541392.0818,8330,1485840000.0,473.68,87992700.0,7325.0,3.02331448,94728,6732709.40593,212549,201.489536334,0.0001,
2018-01-27,90799251.0644,62256092.7908,7459,1435350000.0,456.53,71220400.0,7062.5,2.5961867,90709,7040086.91357,199022,211.684985421,0.0001,
2018-01-28,71202804.4984,34839916.1639,8423,1428950000.0,453.47,74527600.0,7287.5,3.68798567,93711,6428484.17466,212240,201.748803,0.0001,
2018-01-29,89892097.6101,53156453.5772,7795,1489000000.0,471.43,75045800.0,7050.0,3.10429746,93190,6810414.98622,213192,271.903225518,0.0001,
2018-01-30,56934963.9774,29309251.7704,7651,1421050000.0,448.92,77962100.0,7225.0,3.83917627,90167,6713057.26189,209993,226.189531638,0.0001,
2018-01-31,56522372.5651,36570887.5936,7574,1217890000.0,383.87,77064800.0,7075.0,3.39006434,88731,6523339.68286,199252,261.788173222,0.0001,
2018-02-01,50257502.7197,35352368.8814,7772,1269550000.0,399.26,117572000.0,7200.0,3.54747101,89455,6346101.26612,200876,337.956369916,0.0001,
2018-02-02,52760151.1603,36340385.8657,8623,1270100000.0,398.83,113633000.0,7250.0,4.91377877,92498,6940008.26275,184086,398.750234,0.0001,
2018-02-03,27797533.2039,16449356.1989,7751,1228180000.0,384.51,53483300.0,7037.5,2.84113274,81193,6941903.49999,197206,192.216549,0.0001,
2018-02-04,64145439.2693,48380633.7791,7311,1244410000.0,388.73,45202600.0,7162.5,2.68935786,90466,6782703.38392,204020,253.584998955,0.0001,
2018-02-05,95696327.2709,50125995.069,7753,1100550000.0,343.02,56414800.0,7287.5,2.70669723,90359,6991991.1804,201688,347.715034797,0.0001,
2018-02-06,59413690.5687,34408099.9446,9209,988334000.0,307.35,140867000.0,7100.0,3.16908238,95803,7294713.0869,192420,273.433924427,0.0001,
2018-02-07,136178891.408,58008932.8087,8571,1188410000.0,368.75,95854600.0,7175.0,3.06329333,99125,7562084.90169,203195,369.633749937,0.0001,
2018-02-08,42213136.0857,28469488.3594,8135,1148880000.0,355.69,113216000.0,7200.0,3.17243499,98217,7766514.76918,192635,192.280767572,0.0001,
2018-02-09,49938869.9686,30399295.3281,8699,1414970000.0,437.1,109467000.0,7225.0,4.82738762,101128,8121646.28499,190616,350.310486153,0.0001,
2018-02-10,49610019.1196,30346509.1644,9100,1541400000.0,475.1,124973000.0,7112.5,5.4156637,92169,8254903.74597,191462,240.063906132,0.0001,
2018-02-11,40084817.0726,23246131.19,7146,1569620000.0,482.73,87156000.0,7300.0,2.504421,89572,8694659.08589,186938,257.726940258,0.0001,
2018-02-12,37129784.9543,20647871.242,7355,1422980000.0,436.66,73819900.0,7162.5,3.37174885,89346,9074961.2336,193062,205.359412061,0.0001,
2018-02-13,37082748.4311,18982525.0192,7188,1509010000.0,462.04,69848500.0,6937.5,3.55763901,87351,8404938.43194,186853,231.02,0.0001,
2018-02-14,36684140.5145,23771473.6023,7997,1458170000.0,445.52,95177000.0,7300.0,3.72743503,95179,7642925.8881,193361,214.786377083,0.0001,
2018-02-15,41973146.5013,24772631.3487,8161,1587070000.0,483.83,91880100.0,7100.0,3.10183182,91020,7791303.48097,192473,248.853818915,0.0001,
2018-02-16,35647667.4952,16890133.604,7172,1591700000.0,484.19,81125600.0,7225.0,3.17153546,89406,8465740.60553,196277,212.462572,0.0001,
2018-02-17,35083390.5606,21474506.1102,8145,1582800000.0,480.43,89428000.0,7225.0,4.27151714,89260,8375647.7122,202112,109.022010137,0.0001,
2018-02-18,28745629.0417,18303335.0953,8003,1623190000.0,491.61,75407700.0,7050.0,3.0426866,88806,8703099.39403,195283,99.9501336624,0.0001,
2018-02-19,38426198.6807,22696298.7525,7588,1487380000.0,449.52,89904700.0,7212.5,3.27152142,90879,8413074.04399,198777,184.303204495,0.0001,
2018-02-20,43020988.4204,23902628.2224,7447,1572610000.0,474.24,92509400.0,7137.5,2.86447996,92180,8174297.03352,199361,245.608896,0.0001,
2018-02-21,45180708.9351,24336614.5556,7235,1458040000.0,438.75,98094200.0,7062.5,2.68865784,88095,8677907.31739,190040,251.615832975,0.0001,
2018-02-22,40852494.2308,26449170.4468,6762,1470670000.0,441.61,70323100.0,7262.5,2.50123252,86816,8027343.76156,184606,289.273291928,0.0001,
2018-02-23,30853872.05,19795765.0078,6018,1324440000.0,396.84,65084700.0,7137.5,2.03098855,86817,8825725.99742,195244,181.646319259,0.0001,
2018-02-24,34101951.3173,22245283.6763,6108,1389200000.0,415.35,57684200.0,7200.0,1.79553089,87796,8469871.16601,185231,198.972732173,0.0001,
2018-02-25,21073580.4721,12506717.8718,5535,1312580000.0,391.6,50147900.0,7150.0,1.50128752,85993,8291008.85525,186381,191.717503428,0.0001,
2018-02-26,29699438.5968,16959328.8006,7377,1315560000.0,391.65,56278600.0,7200.0,3.12644588,93179,8839154.95783,186672,230.276707657,0.0001,
2018-02-27,30340183.5686,18658370.7518,7718,1363480000.0,405.05,44954300.0,7187.5,4.3283057,93844,8850618.3916,191384,181.08570755,0.0001,
2018-02-28,35830679.0366,23915562.3587,7447,1378080000.0,408.52,53379100.0,7162.5,3.49915117,91584,9113971.19035,195468,204.488599622,0.0001,
2018-03-01,38921104.5642,20142140.9431,6814,1293470000.0,382.62,44341900.0,7125.0,3.06418485,88377,9888594.02735,182518,212.557045474,0.0001,
2018-03-02,32282927.3509,18966384.8276,7113,1353130000.0,399.43,54698000.0,7200.0,2.79952632,80005,9516353.09577,170364,203.7091602,0.0001,
2018-03-03,34840111.7671,18485959.4635,8514,1313900000.0,387.02,61064800.0,7162.5,3.83596368,97063,9400902.03652,200450,392.205526172,0.0001,
2018-03-04,30768618.926,18476147.3084,8766,1316320000.0,386.92,63635000.0,7187.5,4.07782056,93505,8777569.28945,178958,484.801709941,0.0001,
2018-03-05,43756523.8488,25326254.2339,8584,1393620000.0,408.78,57656400.0,7225.0,11.48872166,87765,9686719.10283,176923,412.8678,0.0001,
2018-03-06,41139282.8944,26030041.9943,8195,1340600000.0,392.39,57546200.0,7112.5,3.08896023,90926,9732058.17452,181054,381.334592249,0.0001,
2018-03-07,47919638.0471,29089362.442,6325,1315370000.0,384.21,59469300.0,7012.5,1.8914796,82813,9978208.8215,184745,273.10962335,0.0001,
2018-03-08,39525315.3298,26642138.1959,5758,1192750000.0,347.68,57779600.0,7262.5,1.97852482,85000,9777566.06488,195180,341.244686576,0.0001,
