time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,FeeTotNtv,HashRate,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,SplyExpFut10yr,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2011-10-07,0,0,1614335638,1614335638,0,,,,0,,,,,,,,,,,,,0,,0,0,
2011-10-08,2,2,1614335638,1614335638,2,,,,0,0.0000000000242725925925926,100,,,,,,,,,,,100,68280037.5,0,0,
2011-10-09,0,2,1614335638,1614335638,0,,,,0,,,,,,,,,,,,,100,,0,0,
2011-10-10,0,2,1614335639,1614335639,0,,,,0,,,,,,,,,,,,,100,,0,0,
2011-10-11,0,2,1614335639,1614335639,0,,,,0,,,,,,,,,,,,,100,,0,0,
2011-10-12,2,4,1614335639,1614335639,2,,,,0,0.0000000000242725925925926,100,,,,,,,,,,,200,68280062.5,0,0,
2011-10-13,9778,8934,1614335639,1614335639,9685,,,,0.001,0.00000180115839962502,484250,,,,,,,,,,,484450,68401125,92,144,
2011-10-14,1531,9676,1614335639,1614335639,1122,,,,0.002,0.00000257716679111111,56100,,,,,,,,,,,540550,68415150,62,86,
2011-10-15,1514,10180,1614335640,1614335640,762,,,,0.08,0.00000236745159111111,38100,,,,,,,,,,,578650,68424675,448,870,
2011-10-16,4843,8668,1614335640,1614335640,915,,,,0.90407077,0.00000338678250016035,45750,,,,,,,,,,,624400,68436112.5,1412,2756,
2011-10-17,3150,8650,1614335640,1614335640,773,,,,0.35674793,0.00000347158618079043,38650,,,,,,,,,,,663050,68445775,1589,3100,
2011-10-18,3743,8274,1614335640,1614335640,826,,,,0.37301134,0.0000037096121414397,41300,,,,,,,,,,,704350,68456100,1655,3276,
2011-10-19,2625,8464,1614335640,1614335640,643,,,,0.31726977,0.00000398611134963376,32150,,,,,,,,,,,736500,68464137.5,1392,2750,
2011-10-20,3722,8122,1614335641,1614335641,759,,,,0.31880384,0.00000475549182682138,37950,,,,,,,,,,,774450,68473625,1834,3629,
2011-10-21,3187,8265,1614335641,1614335641,831,,,,0.30560998,0.00000560921822441165,41550,,,,,,,,,,,816000,68484012.5,1694,3356,
2011-10-22,2869,8497,1614335641,1614335641,728,,,,0.48536862,0.00000607992512975433,36400,,,,,,,,,,,852400,68493112.5,1490,2948,
2011-10-23,3156,8623,1614335641,1614335641,828,,,,0.4345,0.00000691507968054476,41400,,,,,,,,,,,893800,68503462.5,1593,3162,
2011-10-24,2671,8688,1614335641,1614335641,596,,,,0.3391925,0.00000583165671643745,29800,,,,,,,,,,,923600,68510912.5,1433,2833,
2011-10-25,2407,8787,1614335642,1614335642,523,,,,0.235,0.00000572564831740893,26150,,,,,,,,,,,949750,68517450,1256,2491,
2011-10-26,4208,7153,1614335642,1614335642,577,,,,0.32474311,0.00000631682424310698,28850,,,,,,,,,,,978600,68524662.5,1310,2593,
2011-10-27,1877,7289,1614335642,1614335642,427,,,,0.14411365,0.00000467466889394573,21350,,,,,,,,,,,999950,68530000,946,1853,
2011-10-28,2639,7206,1614335642,1614335642,451,,,,0.27403041,0.0000044697815635151,22550,,,,,,,,,,,1022500,68535637.5,1400,2767,
2011-10-29,2902,7028,1614335642,1614335642,580,,,,0.69547838,0.00000541761694441348,29000,,,,,,,,,,,1051500,68542887.5,1493,2946,
2011-10-30,3202,7183,1614335642,1614335642,736,,,,1.74749645,0.0000068747690880833,36800,,,,,,,,,,,1088300,68552087.5,1741,3439,
2011-10-31,3718,6733,1614335643,1614335643,660,,,,0.89063483,0.00000635076071109578,33000,,,,,,,,,,,1121300,68560337.5,1788,3537,
2011-11-01,3928,6732,1614335643,1614335643,876,,,,2.51761352,0.00000883122017297199,43800,,,,,,,,,,,1165100,68571287.5,1986,3912,
2011-11-02,4532,6693,1614335643,1614335643,1239,,,,1.55931143,0.0000155889407498851,61950,,,,,,,,,,,1227050,68586775,2346,4630,
2011-11-03,3601,6904,1614335643,1614335643,904,,,,0.30832658,0.000017115725558601,45200,,,,,,,,,,,1272250,68598075,2031,4018,
2011-11-04,3948,6812,1614335643,1614335643,931,,,,0.31920688,0.0000196258815594338,46550,,,,,,,,,,,1318800,68609712.5,2130,4218,
2011-11-05,2811,6875,1614335644,1614335644,593,,,,0.23204635,0.0000182415505973845,29650,,,,,,,,,,,1348450,68617125,1578,3124,
2011-11-06,2989,6911,1614335644,1614335644,627,,,,0.36261991,0.000019287440513592,31350,,,,,,,,,,,1379800,68624962.5,1711,3391,
2011-11-07,2800,7005,1614335644,1614335644,584,,,,1.34359582,0.0000179646973842707,29200,,,,,,,,,,,1409000,68632262.5,1618,3205,
2011-11-08,2987,6929,1614335644,1614335644,534,,,,0.29068562,0.0000169962662042055,26700,,,,,,,,,,,1435700,68638937.5,1724,3415,
2011-11-09,2673,6961,1614335644,1614335644,543,,,,0.85864076,0.0000173334481255847,27150,,,,,,,,,,,1462850,68645725,1526,3024,
2011-11-10,2602,7010,1614335645,1614335645,526,,,,0.21656553,0.000016790780320548,26300,,,,,,,,,,,1489150,68652300,1454,2875,
2011-11-11,3339,7124,1614335645,1614335645,577,,,,1.24118895,0.000018176301139223,28850,,,,,,,,,,,1518000,68659512.5,2023,19845,
2011-11-12,2390,7171,1614335645,1614335645,581,,,,0.18043287,0.0000173821530174512,29050,,,,,,,,,,,1547050,68666775,1280,2540,
2011-11-13,2869,7203,1614335645,1614335645,559,,,,0.32551137,0.0000167239647792689,27950,,,,,,,,,,,1575000,68673762.5,1580,12775,
2011-11-14,2847,7170,1614335645,1614335645,586,,,,0.19345751,0.0000175317412534017,29300,,,,,,,,,,,1604300,68681087.5,1474,6890,
2011-11-15,7053,8007,1614335646,1614335646,592,,,,13.35202327,0.0000178077414943334,29600,,,,,,,,,,,1633900,68688487.5,4790,258936,
2011-11-16,41071,17642,1614335646,1614335646,569,,,,43.63304254,0.0000171529409901371,28450,,,,,,,,,,,1662350,68695600,22123,1892422,
2011-11-17,25375,21315,1614335646,1614335646,623,,,,46.01667632,0.0000187808123670569,31150,,,,,,,,,,,1693500,68703387.5,15837,1777360,
2011-11-18,11389,22444,1614335646,1614335646,621,,,,34.04790213,0.0000190623527624688,31050,,,,,,,,,,,1724550,68711150,11667,494873,
