time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2025-04-01,0.0430823648557114,0.000000522454614247833,0.0000236269263040111,0.0398176110072658,0.0430823648557114,0.04312286826771654,mexc-dag-usdt-spot
2025-04-02,0.0433699065710635,0.000000508876907726971,0.000022727163982027,0.0401649667903631,0.0433699065710635,0.0431669641941139,mexc-dag-usdt-spot
2025-04-03,0.0390825820638782,0.000000473409038852827,0.0000217670919140339,0.035894973613135,0.0390825820638782,0.03885936551650589,kucoin-dag-usdt-spot
2025-04-04,0.0378536524945969,0.000000456443720333608,0.0000208727598974683,0.0342807610938274,0.0378536524945969,0.03759889954948943,gate.io-dag-usdt-spot
2025-04-05,0.0377450848176251,0.000000450557497976825,0.0000208191597575397,0.034437674813884,0.0377450848176251,0.03778619114040245,mexc-dag-usdt-spot
2025-04-06,0.0399788078180126,0.00000047992515755353,0.0000221737984465314,0.0364598249537411,0.0399788078180126,0.04003181827593627,mexc-dag-usdt-spot
2025-04-07,0.0360899098428468,0.000000462993352978454,0.0000230003856249738,0.032814082719381,0.0360899098428468,0.03698081046999821,kucoin-dag-usdt-spot
