date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-08-15,null,2,null,null,null,2,null,
2017-08-16,null,null,null,null,null,null,null,
2017-08-17,null,null,null,null,null,null,null,
2017-08-18,null,null,null,null,null,null,null,
2017-08-19,null,668,null,null,null,631,null,
2017-08-20,null,195,null,null,null,205,null,
2017-08-21,null,442,null,null,null,393,null,
2017-08-22,null,339,null,null,null,296,null,
2017-08-23,null,533,null,null,null,470,null,
2017-08-24,null,550,null,null,null,456,null,
2017-08-25,2281640.46478,270,0.0,0.253048,3718990.0,262,1018.50614226,
2017-08-26,7220359.78726,454,0.0,0.242978,3459540.0,354,1300.94737704,
2017-08-27,2140145.12704,187,0.0,0.234209,5238990.0,176,952.048980016,
2017-08-28,3614275.8894,281,0.0,0.241178,4223700.0,251,970.73052946,
2017-08-29,3949208.58007,214,0.0,0.23293,5284410.0,227,1164.65,
2017-08-30,36506050.0728,224,0.0,0.229984,11348900.0,241,2299.84,
2017-08-31,12077881.8166,181,0.0,0.197504,2681500.0,185,829.4970496,
2017-09-01,4040504.96014,131,0.0,0.187783,3298480.0,159,575.5361167,
2017-09-02,4599206.63446,179,0.0,0.172681,8672000.0,207,1726.81,
2017-09-03,1905935.89129,140,0.0,0.138987,5362440.0,139,1229.28372526,
2017-09-04,10619003.7114,335,0.0,0.109926,4568850.0,349,1099.26,
2017-09-05,5584233.7886,365,0.0,0.056041,1156340.0,334,1118.57698242,
2017-09-06,8418105.36255,602,0.0,0.057972,451.0,601,371.511250367,
2017-09-07,690737.415298,70,0.0,0.057143,3311.0,111,229.970709211,
2017-09-08,17957295.4028,3366,0.0,0.067827,1880.0,3199,284.5885266,
2017-09-09,3286705.42498,957,0.0,0.081535,258.0,918,407.272093167,
2017-09-10,551252.627322,576,0.0,0.048004,0.0,593,143.116035583,
2017-09-11,1146714.50993,627,0.0,0.049022,0.0,627,179.535001567,
2017-09-12,1199127.10239,858,0.0,0.05042,0.0,847,201.57916,
2017-09-13,623239.594816,550,0.0,0.05042,659.0,564,202.53714,
2017-09-14,946469.639476,351,0.0,0.075552,34979.0,341,378.400416528,
2017-09-15,1967168.33321,1027,0.0,0.055128,20442.0,932,208.286703361,
2017-09-16,1699882.73181,1004,0.0,0.063534,26582.0,912,180.782610955,
2017-09-17,938465.160647,486,0.0,0.075829,12558.0,446,397.484432843,
2017-09-18,2523342.67264,1297,0.0,0.065547,3685.0,1131,189.457999231,
2017-09-19,4182109.78735,1033,0.0,0.068146,3406.0,901,279.987806671,
2017-09-20,764915.561851,413,0.0,0.056178,45507.0,412,219.544077918,
2017-09-21,3749023.57492,1852,0.0,0.068585,116188.0,1742,817.269279569,
2017-09-22,833605.296207,278,0.0,0.064046,93727.0,278,307.2670896,
2017-09-23,502052.972953,231,0.0,0.064521,153867.0,194,245.069978806,
2017-09-24,537615.118763,215,0.0,0.069411,129066.0,185,496.643180565,
2017-09-25,1351686.83098,157,0.0,0.084918,230925.0,145,444.298845351,
2017-09-26,2915781.28746,1200,0.0,0.097541,219629.0,1194,975.3612295,
2017-09-27,211005.606987,128,0.0,0.097916,290530.0,117,683.903787123,
2017-09-28,614576.587108,250,0.0,0.14873,319853.0,215,438.2552545,
2017-09-29,1069191.3911,213,0.0,0.136493,368233.0,189,679.052675,
2017-09-30,1064621.72256,227,0.0,0.151556,443594.0,182,389.448324545,
2017-10-01,793426.804456,146,0.0,0.160681,497711.0,120,785.009042653,
2017-10-02,3062400.02756,468,0.0,0.175792,2614570.0,359,737.440056736,
2017-10-03,6071777.45262,762,85220300.0,0.305768,3445270.0,547,1156.82545175,
2017-10-04,4932981.52672,446,107026000.0,0.384006,1342440.0,373,1181.22614917,
2017-10-05,1544422.63864,310,85435800.0,0.306541,833600.0,247,734.005466019,
2017-10-06,3014612.44983,212,92916200.0,0.333381,534257.0,191,1140.81507954,
2017-10-07,756704.439183,215,85198300.0,0.305689,699534.0,196,610.766622,
2017-10-08,705401.11433,208,85173100.0,0.305599,609297.0,177,469.776791167,
2017-10-09,6741329.74369,315,70850600.0,0.25421,818564.0,244,855.06914493,
2017-10-10,1264203.56817,239,76900100.0,0.275916,537691.0,187,800.17640391,
2017-10-11,725181.568976,168,73737900.0,0.264569,459206.0,140,533.659785208,
2017-10-12,17299784.1706,275,65767300.0,0.235971,683349.0,203,589.455558,
2017-10-13,34883986.3289,130,61651500.0,0.221204,616856.0,112,653.5250976,
2017-10-14,459104.781392,105,56124900.0,0.201374,398967.0,99,433.805915319,
2017-10-15,185645.503433,103,65557400.0,0.235218,393751.0,115,533.239206,
2017-10-16,261258.480014,107,62200300.0,0.223173,414904.0,102,334.7595,
2017-10-17,623931.162259,116,62319300.0,0.2236,450269.0,108,496.62922842,
2017-10-18,1186911.32643,388,65384400.0,0.234597,1174310.0,300,777.134437091,
2017-10-19,1275825.62296,397,81272400.0,0.29323,1253670.0,287,846.733117902,
2017-10-20,812507.594992,266,82306600.0,0.296961,812966.0,201,866.765712114,
2017-10-21,782982.034993,137,69274500.0,0.249942,344300.0,108,474.737835264,
2017-10-22,1920258.15923,151,69596900.0,0.251105,457619.0,119,682.147574215,
2017-10-23,307888.956534,168,68643000.0,0.247663,569408.0,133,463.12981,
2017-10-24,505598.270184,195,65791000.0,0.237373,537452.0,172,824.374583563,
2017-10-25,902352.278005,249,67406200.0,0.243201,508684.0,219,623.642051881,
2017-10-26,6945659.9985,198,63131400.0,0.227778,504600.0,168,810.281228303,
2017-10-27,730902.755527,183,60481200.0,0.218215,625105.0,142,624.932902358,
2017-10-28,206510.416225,142,57266400.0,0.206617,366837.0,124,619.644383,
2017-10-29,960567.184418,143,52986800.0,0.191176,373718.0,130,312.955112,
2017-10-30,436897.641545,194,57166400.0,0.206256,405068.0,153,621.438463465,
2017-10-31,1093968.44579,139,59941700.0,0.216269,456158.0,124,583.490582846,
2017-11-01,1896455.38351,238,60019800.0,0.216551,553665.0,182,363.297189495,
2017-11-02,784452.175832,231,51435500.0,0.185579,733194.0,181,580.030746175,
2017-11-03,348435.135303,141,49146900.0,0.177322,548399.0,137,539.837708808,
2017-11-04,314117.450879,149,55527900.0,0.200344,543297.0,118,400.688,
2017-11-05,374697.369231,148,60482600.0,0.218221,503566.0,128,818.920679454,
2017-11-06,3441460.49296,740,57986700.0,0.209216,1169720.0,874,836.451038998,
2017-11-07,1304054.74003,383,64051900.0,0.231099,970278.0,427,735.943941646,
2017-11-08,1412805.25146,368,67508800.0,0.243571,1631760.0,359,824.555607941,
2017-11-09,6475543.67301,457,72031300.0,0.259888,1189380.0,497,2079.104,
2017-11-10,8207649.76052,208,74810200.0,0.269915,902045.0,203,807.231025186,
2017-11-11,354472.482418,181,66601300.0,0.240297,921946.0,160,368.875885226,
2017-11-12,794158.997545,215,66156800.0,0.238693,1862810.0,206,1407.83507818,
2017-11-13,568030.725574,143,57434100.0,0.207222,778468.0,133,1035.3640008,
2017-11-14,1046076.44565,153,61608100.0,0.222281,1064470.0,191,925.011883173,
2017-11-15,1076174.82467,219,65594700.0,0.236665,1783740.0,253,709.114771865,
2017-11-16,4248217.7589,523,73742100.0,0.266061,4352160.0,565,946.126588324,
2017-11-17,1324646.20616,276,74129600.0,0.267459,1477450.0,283,832.968646412,
2017-11-18,1069912.56457,178,72134200.0,0.260259,909141.0,212,534.274066768,
2017-11-19,2400798.32753,165,73351200.0,0.264651,1146710.0,182,523.76550108,
2017-11-20,10950955.9706,1593,69042900.0,0.249106,1772860.0,1594,497.217892686,
2017-11-21,1285815.75058,246,73946300.0,0.266797,1583940.0,245,625.509517993,
2017-11-22,1108737.5623,246,74990800.0,0.270566,1893560.0,255,518.65067106,
2017-11-23,2457948.19707,259,72606000.0,0.261962,2133510.0,233,625.723481048,
2017-11-24,603829.305983,225,65854200.0,0.237601,1884340.0,242,569.291996,
2017-11-25,3222256.85241,425,70996600.0,0.256155,1416020.0,419,633.574832359,
2017-11-26,1638618.03831,257,71017500.0,0.25623,1667250.0,311,575.714824993,
2017-11-27,974758.982865,318,67860900.0,0.244841,2216870.0,349,560.901790794,
2017-11-28,3836126.33495,479,68064100.0,0.245575,4031420.0,469,553.502410951,
2017-11-29,7289718.5828,367,74445000.0,0.268597,3674300.0,392,804.448015,
2017-11-30,1049061.4908,293,64164000.0,0.231503,2991240.0,259,653.924783197,
2017-12-01,3214762.28041,439,70670300.0,0.254978,7863330.0,397,718.273026,
2017-12-02,4594812.3144,546,92226400.0,0.332752,7044710.0,491,792.168794004,
2017-12-03,11099758.408,685,102029000.0,0.368119,10074100.0,631,1100.4917505,
2017-12-04,10294045.7887,654,122912000.0,0.443465,9729420.0,659,1329.7298025,
2017-12-05,5063058.20808,586,140049000.0,0.505297,25974900.0,650,1150.3086205,
2017-12-06,12882561.2455,488,189319000.0,0.683061,13177000.0,524,1366.122,
2017-12-07,6154830.8507,577,160161000.0,0.577858,11494900.0,526,1151.97321373,
2017-12-08,1883794.39162,418,127983000.0,0.46176,13042900.0,405,828.44892624,
2017-12-09,37525024.7733,1924,157257000.0,0.56738,7636390.0,1896,2819.91967831,
2017-12-10,47374933.942,1322,153976000.0,0.555543,7447170.0,1332,2772.4373415,
2017-12-11,4555614.14383,448,128953000.0,0.465261,10485300.0,436,967.04719849,
2017-12-12,64417614.7216,473,160542000.0,0.579233,10869400.0,423,1136.455146,
2017-12-13,10002143.2273,419,162817000.0,0.587443,8953480.0,380,1006.37609563,
2017-12-14,7420049.52355,553,152465000.0,0.550091,17569000.0,475,1102.932455,
2017-12-15,12345873.2437,994,185592000.0,0.669613,31718200.0,844,1202.2510361,
