time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2017-12-18,42,21,28,28,17,28,28,9,28,30,28,28,28,14,1,21,7,27,7,0,,,,,,,,,1614335579,,,,0,595342.026869323333333332,,0.999748864554,0.21567628,,0.21567628,,,,,0,593769.899078268147082787,593769.899078268147082787,593769.899078268147082787,593769.899078268147082787,593769.899078268147082787,593769.899078268147082787,593769.899078268147082787,593769.899078268147082787,593769.899078268147082787,593769.899078268147082787,593769.899078268147082787,593769.899078268147082787,99.743626,595275.157081741852916873,595296.083029333333332524,595296.083029333333332524,595146.583081741852916873,595296.083029333333332524,595296.083029333333332524,594310.01399999999999983,595296.083029333333332524,595296.083029333333332524,595296.083029333333332524,595296.083029333333332524,595295.183951065186250205,595275.157081741852916873,594920.01399999999999983,382710.333499999999999999,592948.717999999999999829,592948.717999999999999829,0,,,,,,,,,595296.083029333333333332,492710.333499999999999999,382710.333499999999999999,595296.083029333333333332,595296.083029333333333332,160,0.00185185,161,2760137.0754965264,,20777.01050308,,10000,,5.619218379489481,,
2017-12-19,94,66,90,92,47,87,91,32,81,104,92,90,88,53,4,72,20,85,33,0,,,,,,,,,1614335579,,,,0,1379831.75,,0.999258477655,0.40990025,,0.40990025,,,,,0.000000288479,1885176.717130573053466943,1885176.717130573053466943,1885176.717130573053466943,1885176.717130573053466943,1885176.717130573053466943,1885176.717130573053466943,1885176.717130573053466943,1885176.717130573053466943,1885176.717130573053466943,1885176.717130573053466943,1885176.717130573053466943,1885176.717130573053466943,97.187416,1939619.556466896166315508,1939733.341355999999965706,1939733.349999999999965702,1938294.994428110613398289,1939733.131415361589883153,1939733.348355999999965702,1930708.161738293647588069,1939727.639645973411816989,1939733.349999999999965702,1939733.341355999999965706,1939733.265663712656266305,1939732.406415361589883151,1939690.924466896166315508,1938973.994428110613398459,1521641.496688177910217387,1873871.896827478744737396,1931949.174206008290793252,0,,,,,,,,,1939733.350049599999999548,1754993.73905860497280045,757886.745,1939733.3500496,1939733.3500496,584,0.00675926,594,4732208.220867598,,11487.09181227,,4000,,5.242179925001987,,
2017-12-20,55,69,96,98,47,93,97,33,84,114,98,96,95,62,5,80,26,92,41,2,,,,,,,,,1614335579,,,,0,2676383,,0.999056744402,1.28001846,,1.28001846,,,,,0.00000028246,2603321.859730621282556192,2603321.859730621282556192,1120090.620122949733311948,2603321.859730621282556192,2603321.859730621282556192,2603321.859730621282556192,2603321.859730621282556192,2603321.859730621282556192,2603321.859730621282556192,2603321.859730621282556192,2603321.859730621282556192,2603321.859730621282556192,63.281661,4113579.356320498285300203,4113864.591266103999965526,4113864.599910103999965522,4109984.1742381092008285,4113864.190508144610448692,4113864.598266103999965522,4079341.827242767730110398,4113847.385660488285300209,4113864.599910103999965522,4113864.591266103999965526,4113864.542306495676831844,4113863.75050814461044869,4113823.558820498285300209,4113133.62878171273238316,3321475.323307658922945084,4034015.822015653446256199,4105208.59261164150204721,2667263.237234444511477404,,,,,,,,,4113864.600049599999997263,3779591.390874854730920497,1449908.41477825552078316,4113864.6000496,4113864.6000496,508,0.00587963,509,3213910.3560928283,,7653.4759834,,4000,,3.41869552606707,,
2017-12-21,59,76,114,118,52,108,117,36,99,135,118,116,112,67,8,95,32,108,47,2,,,,,,,,,1614335579,,,,0,805355,,0.999198159326,1.74665821,,1.74665821,,,,,0.000000719235,3527392.071315488095849477,3527392.071315488095849477,1005575.109950009894048017,3527392.071315488095849477,3527392.071315488095849477,3527392.071315488095849477,3527392.071315488095849477,3527392.071315488095849477,3527392.071315488095849477,3527392.071315488095849477,3527392.071315488095849477,3527392.071315488095849477,72.439425,4868935.140912025041147854,4869436.830443399999963514,4869436.88805739999996358,4865532.375502270580499628,4869435.613511495366296677,4869436.88641339999996358,4829039.105133396808562436,4869415.638663839041148196,4869436.88805739999996358,4869436.879413399999963584,4869436.709411791676829832,4869435.613511495366296677,4869393.061823849041147854,4868360.400950239488230811,4155334.091357094279911149,4799450.750257382524708237,4861931.079502270580499627,3043385.10121441419943293,,,,,,,,,4869419.248663839041148196,4463324.905357981486768661,1772085.001841225491944537,4869436.888057399999998786,4869436.888057399999998786,297,0.0034375,301,2787859.03837084,,12168.16939658,,4000,,3.640394135691927,,
2017-12-22,106,89,134,141,61,130,136,46,117,176,139,135,134,81,9,111,38,129,55,1,,,,,,,,,1614335579,,,,0,314551.190340898,,0.998832880709,0.25602408,,0.25602408,,,,,0.000001231304,3961717.483671656919867242,3961717.483671656919867242,3081392.495959630438073091,3961717.483671656919867242,3961717.483671656919867242,3961717.483671656919867242,3961717.483671656919867242,3961717.483671656919867242,3961717.483671656919867242,3961717.483671656919867242,3961717.483671656919867242,3961717.483671656919867242,89.297561,4435915.108746217694239635,4436534.92784507552321842,4436534.950444875523218486,4431356.985187107006767579,4436533.716487997184108128,4436534.944845075523218486,4402354.605657543234829895,4436511.132005142497433961,4436534.948489075523218486,4436534.93784507552321849,4436534.92784507552321842,4436533.097481140576266439,4436471.923699904073560681,4435419.381207432141322466,3427987.516221567647193776,4342293.116558432805457392,4427248.189855897006766888,1002370.847080307692307866,,,,,,,,,4436300.368971212090438333,3961050.870209491374430225,1002370.847080307692307866,4436534.950711275523253033,4436534.950711275523253033,2118,0.02451389,2141,17328584.564447775,,9448.46548905,,4000,,8.55528797251383,,
2017-12-23,121,105,163,169,74,157,164,52,141,238,167,163,163,98,9,135,44,155,68,0,98,9,135,44,0,155,68,0,1614335579,4371374.32818902045062632792,2.34083108,5221412.778372229410869298165,2230580.760398968765071521745,819453.817,823551.086085,0.998596519079,1.33706437,,1.33706437,0.00006740054750229994,1.005,,,0.00000105622,4349626.197203005423508784,4349626.197203005423508784,3383151.434170551796123085,4349626.197203005423508784,4349626.197203005423508784,4349626.197203005423508784,4349626.197203005423508784,4349626.197203005423508784,4349626.197203005423508784,4349626.197203005423508784,4349626.197203005423508784,4349626.197203005423508784,83.720145,5194561.782757687540686806,5195435.587433226574572337,5195435.600031616574572333,5188143.905630365395116647,5195433.522488959105366915,5195435.594433226574572333,5139492.187181595886878196,5195397.708112449873623923,5195435.598077226574572333,5195435.587433226574572337,5195435.587433226574572337,5195432.258642112497525226,5195352.02268269417288563,5194113.485218901987769763,3928026.896042646982791737,5080568.030209953142426929,5183666.119410365395115805,0,5195432.258642112497525226,5195352.02268269417288563,5194113.485218901987769763,3928026.896042646982791737,5080568.030209953142426929,0,5183666.119410365395115805,0,5194279.897218901987769763,4716468.251222897634695819,1967280.266130824859368816,5195435.600370377523253033,5195435.600370377523253033,611,0.00707176,629,3885703.4332692875,3905131.9504356339375,6989.60846949,7024.55651183745,3790.45,3809.40225,8.15182808304835,,
2017-12-24,113,109,175,182,79,169,177,56,149,296,180,175,175,105,8,142,50,167,75,1,105,9,142,50,0,167,75,1,1614335579,4961136.733827438561037207635,2.05668313,5882236.307622229410869298165,2860059.591903370573631838135,658880.035,662174.435175,0.99864900228,1.17654448,,1.17654448,0.00007165087314535606,1.005,,,0.000001050629,4936454.461519839364216127,4936454.461519839364216127,2845830.439704846341922227,4936454.461519839364216127,4936454.461519839364216127,4936454.461519839364216127,4936454.461519839364216127,4936454.461519839364216127,4936454.461519839364216127,4936454.461519839364216127,4936454.461519839364216127,4936454.461519839364216127,84.340997,5851963.579414926262745461,5852971.427485662919270505,5852971.449625408479946099,5845064.099287604117174952,5852969.190121395450061637,5852971.444027018479946099,5794610.596032672170946254,5852918.324569688595682579,5852971.447671018479946099,5852971.427485662919270505,5852971.427485662919270505,5852967.926274548842219948,5852864.433839932894944285,5851677.711876140709828418,4279067.175939162307675108,5750428.470085029426495111,5841821.754367604117174261,1168946.44674530769230765,5852967.926274548842219948,5852864.433839932894944285,5851677.711876140709828418,4378963.703672704049021435,5750428.470085029426495111,0,5841821.754367604117174261,1168946.44674530769230765,5851167.711876140709828418,5395658.364396471220940645,2151328.872386533184252187,5852971.450370377523253033,5852971.450370377523253033,729,0.0084375,740,4974713.299148868,4999586.86564461234,7494.4840986,7531.956519093,3624.79496,3642.9189348,8.183572475943212,,
2017-12-25,260,113,191,397,81,183,391,58,157,511,394,389,191,109,9,150,54,180,76,1,109,9,150,54,0,180,76,1,1614335579,4826711.218513158561036248865,2.20343712,6002470.407222229410869298165,2724139.641589090573630879365,124316.455,124938.037275,0.998604135054,1.96719109,,1.96719109,0.00007137306448937613,1.005,,,0.000001220175,4802697.729863839364215173,4802697.729863839364215173,2374106.241336003274408207,4802697.729863839364215173,4802697.729863839364215173,4802697.729863839364215173,4802697.729863839364215173,4802697.729863839364215173,4802697.729863839364215173,4802697.729863839364215173,4802697.729863839364215173,4802697.729863839364215173,80.412079,5971427.624277949985437525,5972605.266817169075020488,5972607.36956940847994551,5964270.417107671539867206,5972602.974952901605813205,5972607.363358524635696082,5910366.521828719593638707,5972538.982389756018374826,5972607.367002524635696082,5972607.346817169075020488,5972605.266817169075020488,5972601.028394616264912196,5972482.726760000317636533,5971103.055196208132520482,4289735.618117164049021772,5881540.043007413601068202,5960224.937587671539866515,1034312.902745307692307657,5972601.028394616264912196,5972482.726760000317636533,5971103.055196208132520482,4289735.618117164049021772,5881540.043007413601068202,0,5960224.937587671539866515,1034312.902745307692307657,5970143.855196208132520482,5849540.043007413601068202,3602285.481365240184252194,5972607.370370377523253033,5972607.370370377523253033,726,0.00840278,729,3036109.4061306054,3051289.953161258427,5014.40424709,5039.47626832545,2841.314,2855.52057,8.63169359091255,,
2017-12-26,60,111,191,398,81,185,392,57,159,519,396,389,191,107,13,150,53,183,78,1,107,13,150,53,0,183,78,1,1614335579,5581847.45597526183485904233,1.36420603,6270728.230925933186101828495,4596613.761167626878133015295,205450,208531.75,0.998749243912,1.22347856,,1.22347856,0.00006453809442654694,1.015,,,0.000001099063,5499357.099483016586068022,5499357.099483016586068022,3829377.145423336734320707,5499357.099483016586068022,5499357.099483016586068022,5499357.099483016586068022,5499357.099483016586068022,5499357.099483016586068022,5499357.099483016586068022,5233480.682331534027518022,5499357.099483016586068022,5499357.099483016586068022,89.014342,6176786.728340838832198593,6178055.255926510680381504,6178057.368957014635693595,6170330.127503769924466948,6178053.765642982461320319,6178057.360915366241057208,6102053.160582339934142554,6177991.05579127560694126,6178057.367002624635693595,6178057.335926510680381504,6178055.255926510680381504,6178052.50179613585347863,6177917.065504631017314644,6176442.264440838832198671,4833903.126840692826957193,6071512.511761033941572049,6167699.078583769924466258,1497420.152745307692307657,6178052.50179613585347863,6177917.065504631017314644,6176442.264440838832198671,4833903.126840692826957193,6071512.511761033941572049,0,6167699.078583769924466258,1497420.152745307692307657,6175723.064440838832198671,6050512.511761033941572049,3279819.00818602807292914,6178057.370370377523253033,6178057.370370377523253033,419,0.00484954,434,5049583.670500785,5125327.425558296775,12581.85071544,12770.5784761716,4000,4060,9.228506074385288,,
2017-12-27,70,123,205,413,84,199,407,56,169,535,410,404,205,118,14,162,51,196,79,1,118,14,162,51,0,196,79,1,1614335579,5527232.25468046932838513436,1.33707568,6046865.773005354176485936645,4522455.888384940176661055715,180145.85426543939939321,182848.04207942099038410815,0.998441072747,2.14532003,,2.14532003,0.0000659562000224533,1.015,,,0.000001124145,5445549.019389624954074024,5445549.019389624954074024,3748800.425717251258077081,5445549.019389624954074024,5445549.019389624954074024,5445549.019389624954074024,5445549.019389624954074024,5445549.019389624954074024,5445549.019389624954074024,4734210.865815860422282818,5445549.019389624954074024,5445549.019389624954074024,91.406564,5956279.453259271275617702,5957501.098891950079774128,5957503.223534947879335799,5948215.910501540222474362,5957499.608608421860712943,5957503.217324064035086371,5879972.521846111702436068,5957432.838438532929856608,5957503.220968064035086371,5957503.19233520847441101,5957501.098891950079774128,5957497.684761575252871019,5957376.582808777229118315,5955890.493277529422700474,4723488.302772739338503808,5842446.828024805709865563,5944193.565581540222473671,1503399.910599297505550493,5957497.684761575252871019,5957376.582808777229118315,5955890.493277529422700474,4723488.302772739338503808,5842446.828024805709865563,0,5944193.565581540222473671,1503399.910599297505550493,5953636.386948429422700889,5858672.35802480570986544,3216689.955321392327318221,5957503.224635816922646243,5957503.224635816922646243,383,0.00443287,389,2776976.46589977,2818631.11288826655,10274.5843769,10428.7031425535,4000,4060,10.241044107316933,,
