time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,FeeTotNtv,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,SplyExpFut10yr,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-06-24,,,,,,,,,,,,,,,,,,,,,,,,,34141.3954999664
2017-06-25,,,,,,,,,,,,,,,,,,,,,,,,,33989.878957187
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,22927.3438502704
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,32540.1070913562
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,8421.13828926171
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,8850.19721209652
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,25131.2290797018
2017-07-01,,,,,,,,,,,,,,,,,,,,,,,,,22678.6375819015
2017-07-02,,,,,,,,,,,,,,,,,,,,,,,,,16383.7507816588
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,28439.2269793609
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,102935.413939197
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,61587.0015631281
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,79378.8006147478
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,60575.1556501636
2017-07-08,,,,,,,,,,,,,,,,,,,,,,,,,65122.2991550252
2017-07-09,,,,,,,,,,,,,,,,,,,,,,,,,93372.5227924932
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,64982.4236157052
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,39588.6255175514
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,67345.3340338304
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,127103.291216789
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,86749.3292027485
2017-07-15,,,,,,,,,,,,,,,,,,,,,,,,,64730.823713306
2017-07-16,,,,,,,,,,,,,,,,,,,,,,,,,187819.885644115
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,342712.54955312
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,,,252313.653077843
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,181083.350492684
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,,,322396.355154493
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,174491.207310478
2017-07-22,,,,,,,,,,,,,,,,,,,,,,,,,83388.5178768236
2017-07-23,,,,,,,,,,,,,,,,,,,,,,,,,207233.619990184
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,,,257246.890056947
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,723611.541665541
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,623727.205954415
