time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-01-08,0.0,1612531451.0,0.0,0.0,0.0,,,1.0,8059.69952887201,,9.80176804865837,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.029886149065406698,
2020-01-09,0.0,1612531464.0,0.0,0.0,0.0,,,1.0,7817.13609322034,,8.08955869147742,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.030346014006576973,
2020-01-10,0.0,1612531476.0,0.0,0.0,0.0,,,1.0,8129.81791992987,,12.906854563390105,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.031036717736821616,
2020-01-11,0.0,1612531487.0,0.0,0.0,0.0,,,1.0,8032.00549503215,,11.666538084528574,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.031164623378384288,
2020-01-12,0.0,1612531503.0,0.0,0.0,0.0,,,1.0,8164.54999316189,,12.693699028331517,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.03124514755517219,
2020-01-13,0.0,1612531515.0,0.0,0.0,0.0,,,1.0,8121.92566762127,,14.860736287885926,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.030841922317810806,
2020-01-14,0.0,1612531531.0,0.0,0.0,0.0,,,1.0,8830.16787346581,,24.171170187358076,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.03404919385063934,
2020-01-15,0.0,1612531546.0,0.0,0.0,0.0,,,1.0,8811.44820251315,,28.028792074110328,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.03326096703587314,
2020-01-16,0.0,1612531562.0,0.0,0.0,0.0,,,1.0,8718.68699801286,,31.922184219143443,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.032178158874368985,
2020-01-17,0.0,1612531576.0,0.0,0.0,0.0,,,1.0,8912.54190414962,,22.34729052538648,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.027692036664518346,
2020-01-18,0.0,1612531589.0,0.0,0.0,0.0,,,1.0,8928.1807565751,,24.936626305132286,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.02727713350073011,
2020-01-19,0.0,1612531602.0,0.0,0.0,0.0,,,1.0,8687.35483664524,,20.922742313142134,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.028006064521731756,
2020-01-20,0.0,1612531614.0,0.0,0.0,0.0,,,1.0,8636.2587862069,,20.950957124810373,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.028002516034669425,
2020-01-21,0.0,1612531626.0,0.0,0.0,0.0,,,1.0,8730.86756019871,,16.732154309392463,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.026982869598159116,
2020-01-22,0.0,1612531638.0,0.0,0.0,0.0,,,1.0,8647.90047399182,,18.11250017126466,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0266688813789139,
2020-01-23,0.0,1612531652.0,0.0,0.0,0.0,,,1.0,8366.38461396844,,15.627604967863938,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.027418730097492332,
2020-01-24,0.0,1612531665.0,0.0,0.0,0.0,,,1.0,8423.39095815313,,17.135126532453768,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.027341367830423898,
2020-01-25,0.0,1612531678.0,0.0,0.0,0.0,,,1.0,8344.77456896552,,15.985995814532247,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.02745991784124357,
2020-01-26,0.0,1612531689.0,0.0,0.0,0.0,,,1.0,8573.87480958504,,18.470313309635845,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0277561522572458,
