time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2016-10-27,86,295,409,419,185,400,416,54,344,422,408,399,339,46,0,173,2,286,7,0,,,,,,,,,1614335529,,,,,0,51262.4121992,,0.995139122241,0.58232497,,,,,,,,,,,0.000000541469,83223.86264924,83223.86264924,63440.27707728,83223.86264924,83223.86264924,83223.86264924,83223.86264924,83223.86264924,83223.86264924,81253.3074842,83223.86264924,83223.86264924,100,83205.97269372,83223.86003484,83223.86264356,82819.32162624,83223.82811232,83223.86256284,79055.7607368,83222.0622372,83223.85913724,83223.81921792,83221.60274608,83198.03064652,82711.64704668,78307.13520284,0,55986.36622868,67889.36864792,0,,,,,,,,,81296.65107268,77876.80468008,63783.75601176,83223.86264924,123,0.00142361,146,142916.52676032,,979.32821736,,3.84931954,,4.153801474052669,,,,
2016-10-28,81,311,425,434,210,416,431,66,367,437,422,414,358,54,0,181,1,296,6,0,,,,,,,,,1614335529,,,,,0,3624.39072044,,0.995834426615,1.48589471,,,,,,,,,,,0.000000523684,66348.25336968,66348.25336968,43912.2396728,66348.25336968,66348.25336968,66348.25336968,66348.25336968,66348.25336968,66348.25336968,62171.80651508,66348.25336968,66348.25336968,100,66331.74057804,66348.25210476,66348.253364,66071.87485128,66348.22947668,66348.25328328,62569.82969748,66346.91385924,66348.24978592,66348.21248716,66346.1469274,66319.43016888,65835.0213958,61562.475495,0,35878.36622868,48468.73441412,0,,,,,,,,,64160.39983528,60345.16540924,45624.79984792,66348.25336968,136,0.00157407,149,44652.05583692,,299.74385647,,1,,5.883459143788049,,,,
2016-10-29,75,317,435,444,216,426,441,65,384,448,433,424,373,54,0,190,1,306,8,0,,,,,,,,,1614335529,,,,,0,6556.18889892,,0.995742561608,9.32176874,,,,,,,,,,,0.000000535258,72904.4422686,72904.4422686,40433.18492972,72904.4422686,72904.4422686,72904.4422686,72904.4422686,72904.4422686,72904.4422686,66755.73025752,72904.4422686,72904.4422686,100,72882.7397672,72904.440562,72904.4422626,72594.05609712,72904.41589152,72904.44213652,68798.21118252,72903.24612456,72904.4389322,72904.398902,72902.31013304,72873.24778272,72378.05000832,67847.90024904,0,35878.36622868,55686.9520586,0,,,,,,,,,70527.57497052,66751.70439676,49279.2283786,72904.4422686,165,0.00190972,169,7820.88080872,,49.51743733,,0.1098972,,5.4691548616803765,,,,
2016-10-30,64,326,439,450,221,430,447,64,386,455,438,428,378,55,0,198,1,315,8,0,,,,,,,,,1614335529,,,,,0,844.30832944,,0.995669107996,86.66840449,,,,,,,,,,,0.00000068191,73748.75059804,73748.75059804,7934.12768468,73748.75059804,73748.75059804,73748.75059804,73748.75059804,73748.75059804,73748.75059804,65756.00337312,73748.75059804,73748.75059804,100,73728.2871116,73748.74785364,73748.75058484,73429.35272376,73748.71686672,73748.75045876,69278.35332604,73747.45942072,73748.74695604,73748.6998772,73746.78370628,73718.79512712,73236.75975392,68497.97446348,0,35878.36622868,55873.66539016,0,,,,,,,,,71113.43072384,67382.34306088,49465.94171016,73748.75059804,82,0.00094907,86,850.93005964,,11.42335576,,1.48503736,,5.419862577000903,,,,
2016-10-31,76,338,456,467,225,447,464,68,399,471,455,446,395,60,0,214,1,331,11,0,,,,,,,,,1614335529,,,,,0,9449.53737972,,0.995156042016,8.60726092,,,,,,,,,,,0.000000775557,83198.28797776,83198.28797776,10439.62995244,83198.28797776,83198.28797776,83198.28797776,83198.28797776,83198.28797776,83198.28797776,73233.01819636,83198.28797776,83198.28797776,100,83174.61329464,83198.28524056,83198.28797176,82795.27896648,83198.24751692,83198.28784568,78070.19648996,83196.72140176,83198.28434296,83198.23862252,83196.35454176,83168.43838552,82696.9815842,77338.63171584,0,35878.36622868,64391.5007588,0,,,,,,,,,79934.58326704,75798.85475752,52170.03919424,83198.28797776,161,0.00186343,166,9666.058546,,58.36701204,,1.35253894,,4.920738484126587,,,,
2016-11-01,57,341,467,478,228,456,475,67,407,482,466,456,405,62,0,221,1,339,12,0,,,,,,,,,1614335529,,,,,0,6151.65084344,,0.995233222047,8.13676402,,,,,,,,,,,0.00000098514,89349.9388212,89349.9388212,15775.68830176,89349.9388212,89349.9388212,89349.9388212,89349.9388212,89349.9388212,89349.9388212,77664.05933312,89349.9388212,89349.9388212,100,89323.0260496,89349.93555568,89349.9388152,88924.02750276,89349.8871074,89349.93868912,83656.95907864,89348.19257528,89349.93465808,89349.8871074,89348.00302664,89321.20460616,88858.95186932,83176.73436816,0,35878.36622868,68791.06648112,0,,,,,,,,,85761.8681406,81490.16956808,52493.83701344,89349.9388212,100,0.00115741,104,10981.0163606,,150.60997705,,1.2560912,,4.757255132870848,,,,
2016-11-02,39,342,467,479,231,456,474,71,407,483,467,456,405,67,0,225,1,341,13,0,,,,,,,,,1614335529,,,,,0,789.29903888,,0.995336143722,17.99746111,,,,,,,,,,,0.000001030382,90139.23786008,90139.23786008,6990.34030988,90139.23786008,90139.23786008,90139.23786008,90139.23786008,90139.23786008,90139.23786008,71244.14796556,90139.23786008,90139.23786008,100,90112.05871048,90139.2350656,90139.2378472,89718.84140968,90139.18402444,90139.23769232,84494.59556944,90137.48949232,90139.2350656,90139.18402444,90137.29994368,90111.13726704,89662.20825264,84112.97437184,0,35878.36622868,69028.52876016,0,,,,,,,,,86375.81273252,81807.15225628,52248.21604752,90139.23786008,58,0.0006713,60,5008.4418746,,83.47910124,,0.62182804,,4.7711652701238885,,,,
2016-11-03,32,345,469,480,234,459,475,72,410,484,469,459,408,68,0,226,1,344,13,0,,,,,,,,,1614335530,,,,,0,432.56617276,,0.995310722472,207.42349191,,,,,,,,,,,0.000000960334,90571.80403284,90571.80403284,5415.95010072,90571.80403284,90571.80403284,90571.80403284,90571.80403284,90571.80403284,90571.80403284,68453.08055984,90571.80403284,90571.80403284,100,90544.61197656,90571.8013362,90571.80401996,90147.08770748,90571.75378552,90571.80386508,84854.7640854,90570.0592534,90571.8013362,90571.75378552,90569.86970476,90543.69053312,90071.22443572,84473.1428878,0,35878.36622868,69103.0601546,0,,,,,,,,,86698.40204472,82037.65387264,52322.74405864,90571.80403284,60,0.00069444,61,436.65162128,,7.30519057,,1.32528,,4.753298472690151,,,,
2016-11-04,31,353,478,489,237,467,484,80,417,493,478,467,416,78,0,235,3,353,15,0,,,,,,,,,1614335530,,,,,0,16212.19029364,,0.995118184111,1.36811284,,,,,,,,,,,0.000001088935,96783.99432648,96783.99432648,42397.57312024,96783.99432648,96783.99432648,96783.99432648,96783.99432648,96783.99432648,96783.99432648,71641.40778696,96783.99432648,96783.99432648,100,96756.19693256,96783.99162984,96783.9943136,96311.51268516,96783.94148716,96783.99415872,90850.9864792,96782.15474896,96783.99162984,96783.94148716,96782.0574064,96756.19693256,96291.6700358,90654.03377804,0,40024.12469904,73249.48365136,0,,,,,,,,,92354.77833116,87065.16664124,48523.8378754,96783.99432648,33,0.00038194,43,70742.69856756,,1886.98007692,,23.29452,,5.2865658691408415,,,,
2016-11-05,28,358,481,492,242,470,488,81,419,497,481,470,419,80,0,241,3,358,15,0,,,,,,,,,1614335530,,,,,0,2467.4341482,,0.995282522412,29.71364164,,,,,,,,,,,0.000001089229,99251.42847468,99251.42847468,45192.90292888,99251.42847468,99251.42847468,99251.42847468,99251.42847468,99251.42847468,99251.42847468,69969.86883952,99251.42847468,99251.42847468,100,99224.7168472,99251.42547804,99251.42845204,98783.21208524,99251.37533536,99251.42830692,93107.87278952,99249.4912546,99251.42547804,99251.37533536,99249.4912546,99224.7168472,98773.22564348,93008.37278952,0,40024.12469904,74404.16276832,0,,,,,,,,,94603.12528968,89033.7722104,48786.19699236,99251.42847468,46,0.00053241,48,3340.26470676,,69.58887306,,2.08977748,,5.188794105100768,,,,
