time,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2013-12-08,6990.0,2486.0,1707027.0,686.65607401,,,0.0,0.4944182053298483,0.9101170203644188,,1.0,,4245.6959,,0.00006110006846970645,1240744202.0,36500.0,,1240744202.0,,6.75856011,,,,,,1240744202.0,142832860000.0,1240744202.0,4665.0,9314.0,183581144.8663938,,99231.98706314,,17905.62153003,,924246727.50604026,,,,
2013-12-09,10863.0,1526.0,2759110.0,1808.06684142,,,0.0,2.376903574167748,0.8182732199443276,,1.0,,7641.85360106,,0.00018030684578970694,761942868.0,13886.799855,,761942868.0,,3.05632794,,,,,,2002687070.0,142848120000.0,2002687070.0,9339.0,18696.0,655259222.14336523,,129690.22282282,,27823.36316419,,2424688405.89551576,,,,
2013-12-10,12132.0,1417.0,2971715.0,2097.18772054,,,0.0,3.361733388588552,0.5797513762349349,,1.0,,5478.65050542,,0.00023679865788141588,710930177.0,9562.495205,,710930177.0,,3.41312851,,,,,,2713617247.0,142862290000.0,2713617247.0,9450.0,18999.0,795052760.35048537,,129582.38783185,,20703.72897466,,2461935786.4173211,,,,
2013-12-11,43044.0,1575.0,8431778.0,5353.50984127,,,0.0,5.0929805153333625,0.0988977986795167,,0.0001,,2863.19016957,,0.00039874815955118263,770966106.0,8075.646535,,770966106.0,,2.32270357,,,,,,3484583353.0,142878040000.0,3484583353.0,28951.0,56999.0,1500227319.37986281,,76269.77195587,,1752.57306918,,4347300731.71262629,,,,
2013-12-12,61432.0,1460.0,13549784.0,9280.6739726,,,0.0,7.277435614588904,0.02166520830842023,,0.0001,,954.04911307,,0.0005281743984556864,698818257.0,6097.15929,,698818257.0,,3.12941679,,,,,,4183401610.0,142892650000.0,4183401610.0,44036.0,84256.0,1336799121.39883141,,64637.40539042,,833.6768943,,5446089228.57540698,,,,
2013-12-13,64759.0,1590.0,14896480.0,9368.85534591,,,0.0,9.754230777924349,0.040522168979203334,,0.0001,,2052.73151398,,0.0007709678527803997,787422756.0,5781.924485,,787422756.0,,2.55321802,,,,,,4970824366.0,142908540000.0,4970824366.0,50657.0,99546.0,1946885983.01138893,,92225.53629713,,2162.01067721,,9180683236.23459045,,,,
2013-12-14,98292.0,1555.0,24502291.0,15757.10032154,,,0.0,17.83852464871395,0.02144202396970101,,0.0001,,1724.45333574,,0.0013789084879780769,776751325.0,4932.762205,,776751325.0,,2.68678528,,,,,,5747575691.0,142924090000.0,5747575691.0,80424.0,159352.0,2139201720.83025625,,69981.14682193,,619.6235808,,11151635708.36833882,,,,
2013-12-15,157712.0,1670.0,40722710.0,24384.85628743,,,0.0,36.86330359437083,3.0948651547339003,,0.0001,,399098.33602844,,0.003060249551062165,834560247.0,4627.897415,,834560247.0,,1.9177214,,,,,,6582135938.0,142940790000.0,6582135938.0,128955.0,253732.0,3432269123.91997574,,106827.89069792,,369.05944254,,27105654362.56388125,,,,
2013-12-16,127087.0,1545.0,30370178.0,19657.07313916,,,0.0,81.5244964710672,41.08415822169882,,0.0001,,3890423.27864672,,0.006261274263039654,791014644.0,3915.834245,,791014644.0,,3.33711792,,,,,,7373150582.0,142956240000.0,7373150582.0,94694.0,184142.0,2209436635.22711602,,389861.31626034,,200.0,,71789842498.81205368,,,,
2013-12-17,131166.0,1444.0,26736025.0,18515.25277008,,,0.0,107.79927095351933,0.0040473521736116005,,0.0001,,374.49340192,,0.007738007311266712,707277501.0,3194.834415,,707277501.0,,2.98305356,,,,,,8080428083.0,142970680000.0,8080428083.0,92528.0,183302.0,2708777405.60702777,,67876.47965869,,119.88971423,,12441894474.39720054,,,,
