time,CapMrktEstUSD,ReferenceRate,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-09-22,,,,463138.496092362
2025-09-23,,,,113021.138430459
2025-09-24,,,,664966.478351135
2025-09-25,,,,514083.504728028
2025-09-26,,,,384080.622145942
2025-09-27,,,,789132.190511792
2025-09-28,,,,848353.782377672
2025-09-29,,,,471090.336692766
2025-09-30,,,,3522684.9430143
2025-10-01,,,,71562342.4416088
2025-10-02,,,,25112095.0851636
2025-10-03,,,,16539767.1419202
2025-10-04,,,,13051405.1699773
2025-10-05,,,,11574892.0979572
2025-10-06,,,,11459614.5711637
2025-10-07,,,,13372401.8422141
2025-10-08,,,,8808845.71053355
2025-10-09,,,,12832650.0280871
2025-10-10,,,,33342006.3418098
2025-10-11,,,,14071376.2839828
2025-10-12,,,,10025802.7463024
2025-10-13,,,,11935832.6451367
2025-10-14,,,,20277972.4679171
2025-10-15,,,,7511266.95737837
2025-10-16,,,,11173920.4427459
2025-10-17,,,,6166139.64076816
2025-10-18,,,,11901863.2690423
2025-10-19,,,,21278085.4889616
2025-10-20,,,,16988769.4681559
2025-10-21,,,,40055621.2632318
2025-10-22,,,,14968420.6708299
2025-10-23,59992545.94272875,,,6007933.35135272
2025-10-24,59486816.04168984,,,5615335.60398645
2025-10-25,61547056.13796724,,,15491425.5220345
2025-10-26,68981584.33507941,,,103068036.369075
2025-10-27,62613189.12737581,,,15363288.566062
2025-10-28,60322717.45796503,,,19082733.9852653
2025-10-29,58208044.0938329,,,6261312.13658699
2025-10-30,52679941.59725696,,,6985967.34698814
2025-10-31,53711567.90125185,,,4775303.27578491
2025-11-01,54405838.13861522,,,3484300.36054227
2025-11-02,52727048.96791336,,,6204969.95290703
2025-11-03,44836763.5705614,,,13135968.7720036
2025-11-04,42400835.85671018,,,11818004.2731212
2025-11-05,41884254.70414827,,,5857856.09379968
2025-11-06,38279955.70432874,,,6409636.5671833
2025-11-07,42593752.30444788,,,11619237.9276997
2025-11-08,44770380.7485465,,,10616451.1862028
2025-11-09,42441792.61226693,,,8752566.3276588
2025-11-10,42697626.962525,,,9665557.49647357
2025-11-11,40813239.03859705,,,20072370.0571211
2025-11-12,41171577.79366249,,,10155958.1314929
2025-11-13,39262807.42946059,,,15995350.2189524
2025-11-14,38957154.04778955,,,15380692.3493333
2025-11-15,38416017.61177703,,,5581156.90786081
2025-11-16,37200130.71326382,,,6837679.71472316
2025-11-17,35024221.75549409,,,4564732.72762847
2025-11-18,34792373.53033721,,,4534262.26906727
2025-11-19,33677724.11794889,,,3950863.62026904
2025-11-20,33651190.53658858,,,7994267.36406328
2025-11-21,33300822.01886242,,,12636106.0425977
2025-11-22,34073494.89353126,,,25279040.7348883
2025-11-23,35551007.36973758,,,14717208.0392557
2025-11-24,35256633.17496189,,,8062734.95644793
2025-11-25,34988169.37974582,,,6531698.02719138
2025-11-26,34620123.36276343,,,5755454.69137856
2025-11-27,35417269.11074681,,,12168268.0758907
2025-11-28,34416379.40569021,,,10266911.139489
2025-11-29,32588304.82070449,,,5282636.42392444
2025-11-30,31404451.04221165,,,6826421.44044906
2025-12-01,28868730.403639253,,,7200805.60810741
2025-12-02,30263738.8244876,,,5463759.16143733
2025-12-03,30617467.5395615,,,4725085.38847447
2025-12-04,30466428.51746641,,,7133605.81485713
2025-12-05,29335181.10427613,,,7795703.5685433
2025-12-06,29466615.78751173,,,4980330.07382684
2025-12-07,27964219.102550338,,,5183108.07184397
2025-12-08,28218615.204327376,,,6712411.17049806
2025-12-09,28758380.864846875,,,4495539.74811779
2025-12-10,26972116.91461675,,,10377022.8205932
2025-12-11,26016245.196744522,,,8824069.56971063
2025-12-12,25299045.933605105,,,5786460.02970985
2025-12-13,25267510.151522214,,,5091178.17629037
2025-12-14,23292414.261392416,,,8715587.50638754
2025-12-15,21362494.053672242,,,11211700.6998707
2025-12-16,21620729.013264924,,,6976684.27800932
2025-12-17,19765933.781245322,,,7507071.53135264
2025-12-18,18552759.073408292,,,4521285.44715751
2025-12-19,20073438.009528811,,,5877370.18398631
2025-12-20,22734529.974376366,,,54890961.6055309
2025-12-21,20843712.897465946,,,9438783.79112861
2025-12-22,20591513.173821763,,,5792995.81162112
2025-12-23,20432592.788012172,,,6618699.27625294
2025-12-24,21118243.009545206,,,11358921.9206218
2025-12-25,22751678.945715254,,,29663875.9942782
2025-12-26,22379022.647968157,,,24341761.2115094
2025-12-27,22859832.448287822,,,11037892.6534158
2025-12-28,22433242.187055271,,,6594983.14599696
2025-12-29,23016932.950661395,,,13020248.9720091
2025-12-30,22952532.265822637,,,8309694.02872203
2025-12-31,21737492.032076424,,,6059088.67955788
2026-01-01,21874940.362035247,,,4514681.07516299
2026-01-02,22652943.552289851,,,5293882.48650639
2026-01-03,24512946.282034106,,,31330873.2442337
2026-01-04,24148809.997818488,,,9822351.55497856
2026-01-05,24820063.681423227,,,7304601.31592614
2026-01-06,25416473.936059278,,,12871694.2061473
2026-01-07,24067739.683548484,,,6984731.92214356
2026-01-08,23397833.57560891,,,6492386.11239014
2026-01-09,23339104.087574391,,,2605128.69746462
2026-01-10,23619691.488323899,,,4666727.82528602
2026-01-11,23193510.294384663,,,14463669.319285
2026-01-12,22699158.275667285,,,4352775.9729455
2026-01-13,23713907.301846072,,,3838400.95300556
2026-01-14,24225968.208906554,,,6734373.88467337
2026-01-15,23028290.987525157,,,3524802.98492024
2026-01-16,23413188.386768082,,,2542289.229506
2026-01-17,23365421.990444624,,,2638786.55521288
2026-01-18,22753810.796495281,,,5321394.19888801
2026-01-19,21484285.413745452,,,4115573.22107204
2026-01-20,19235089.911092833,,,4790091.78820559
2026-01-21,19785321.713892621,,,3661484.87323489
2026-01-22,19506579.420687491,,,2639012.48101075
2026-01-23,20714960.226943462,,,5242264.24875433
2026-01-24,25015307.440021864,,,34873982.2661496
2026-01-25,44534843.95456428,,,592663725.284389
2026-01-26,34086969.0991733,,,118124102.514978
2026-01-27,30311741.56435096,,,33339052.2201863
2026-01-28,30012238.40303476,,,77354013.2386981
2026-01-29,27115885.383385037,,,17828624.3232671
2026-01-30,28821681.736662749,,,54505820.3955513
2026-01-31,24119506.924463367,,,29093835.1152172
2026-02-01,21053684.195267792,,,16390645.0499532
2026-02-02,21507107.461594658,,,13599501.4366191
2026-02-03,19981921.291438787,,,9680129.02428593
2026-02-04,19840548.072876307,,,8005257.02339777
2026-02-05,16886969.62367548,,,8819948.28170384
2026-02-06,17928533.224815802,,,9891882.65487796
2026-02-07,17614779.338438842,,,25146347.0713515
2026-02-08,17852023.75661783,,,20042488.9082447
2026-02-09,17659255.281345388,,,4993630.68210064
2026-02-10,17925280.818515985,,,5849803.01274973
2026-02-11,18409793.453422683,,,5468362.26527845
2026-02-12,16836943.377792473,,,26125715.7753433
2026-02-13,15970517.052208825,,,6046971.80644258
2026-02-14,16492272.425730451,,,9597809.34717926
2026-02-15,15748170.896512084,,,27649349.0792336
2026-02-16,16123446.123752363,,,19753362.3447325
