date,value
2012-12-11,98.933,
2012-12-12,98.8736,
2012-12-13,98.8701,
2012-12-14,98.8187,
2012-12-15,98.769125,
2012-12-16,98.71955,
2012-12-17,98.669975,
2012-12-18,98.6204,
2012-12-19,98.5894,
2012-12-20,98.6977,
2012-12-21,99.046,
2012-12-22,99.06838,
2012-12-23,99.09076,
2012-12-24,99.11314,
2012-12-25,99.13552,
2012-12-26,99.1579,
2012-12-27,99.1946,
2012-12-28,99.1298,
2012-12-29,99.06096,
2012-12-30,98.99212,
2012-12-31,98.92328,
2013-01-01,98.85444,
2013-01-02,98.7856,
2013-01-03,98.8924,
2013-01-04,99.1954,
2013-01-05,99.180975,
2013-01-06,99.16655,
2013-01-07,99.152125,
2013-01-08,99.1377,
2013-01-09,99.0835,
2013-01-10,98.72,
2013-01-11,98.6093,
2013-01-12,98.6019,
2013-01-13,98.5945,
2013-01-14,98.5871,
2013-01-15,98.5797,
2013-01-16,98.644,
2013-01-17,98.5814,
2013-01-18,98.9002,
2013-01-19,98.8806,
2013-01-20,98.861,
2013-01-21,98.8414,
2013-01-22,98.8218,
2013-01-23,98.8615,
2013-01-24,98.9301,
2013-01-25,99.1145,
2013-01-26,99.0829,
2013-01-27,99.0513,
2013-01-28,99.0197,
2013-01-29,98.9881,
2013-01-30,98.9351,
2013-01-31,98.8687,
2013-02-01,98.7669,
2013-02-02,98.812175,
2013-02-03,98.85745,
2013-02-04,98.902725,
2013-02-05,98.948,
2013-02-06,99.0991,
2013-02-07,99.3794,
2013-02-08,99.3976,
2013-02-09,99.419775,
2013-02-10,99.44195,
2013-02-11,99.464125,
2013-02-12,99.4863,
2013-02-13,99.4636,
2013-02-14,99.5571,
2013-02-15,99.6349,
2013-02-16,99.647925,
2013-02-17,99.66095,
2013-02-18,99.673975,
2013-02-19,99.687,
2013-02-20,99.8222,
2013-02-21,100.2081,
2013-02-22,100.2743,
2013-02-23,100.345325,
2013-02-24,100.41635,
2013-02-25,100.487375,
2013-02-26,100.5584,
2013-02-27,100.3628,
2013-02-28,100.4131,
2013-03-01,100.7301,
2013-03-02,100.700575,
2013-03-03,100.67105,
2013-03-04,100.641525,
2013-03-05,100.612,
2013-03-06,100.707,
2013-03-07,100.6614,
2013-03-08,100.7356,
2013-03-09,100.674975,
2013-03-10,100.61435,
2013-03-11,100.553725,
2013-03-12,100.4931,
2013-03-13,100.584,
2013-03-14,100.6048,
2013-03-15,100.2752,
2013-03-16,100.374525,
2013-03-17,100.47385,
2013-03-18,100.573175,
2013-03-19,100.6725,
2013-03-20,100.5574,
2013-03-21,100.4885,
2013-03-22,100.3669,
2013-03-23,100.370775,
2013-03-24,100.37465,
2013-03-25,100.378525,
2013-03-26,100.3824,
2013-03-27,100.6037,
2013-03-28,100.4203,
2013-03-29,100.4578,
