time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetCompletionTime,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,TxCntSec,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2017-08-15,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1705414417,1611239899,,,,,,0,590000000,,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,,,,,,,,,590000000,590000000,590000000,0,,,,,,0,,
2017-08-16,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1705414417,1611239899,,,,,,0,0,,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,,,,,,,,,590000000,590000000,590000000,0,,,,,,0,,
2017-08-17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1705414417,1611239899,,,,,,0,0,,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,590000000,,,,,,,,,590000000,590000000,590000000,0,,,,,,0,,
2017-08-18,818,407,456,480,239,454,475,12,448,481,480,480,454,239,456,407,475,448,12,,,,,,,,,1705414417,1611239899,,,,,,0,410000000,,0.991986507242,3.63741913,,3.637419132878,,,,,0.000000136352,260242437.3638,260242437.3638,260242437.3638,260242437.3638,260242437.3638,260242437.3638,260242437.3638,260242437.3638,260242437.3638,260242437.3638,260242437.3638,26.024244,999797239.0488,999999949.7487,999999999.9987,991986507.2425,999999877.7487,999999997.2487,957530040.803800806255775,999998512.7487,999999999.9997,999999999.9987,999999999.9987,999999997.2487,999999949.7487,999999877.7487,991986507.2425,999797239.0488,999998512.7487,957530040.803800806255775,,,,,,,,,975572320.625,969293320.625,896585674,0.00622685,,513321.70304572,,120459.92596515623,,0.276167076239,,
2017-08-19,631,459,659,714,208,636,700,38,590,717,717,714,636,208,659,459,700,590,38,,,,,,,,,1705414417,1611239899,,,,,,0,0,,0.989171715061,1.80227667,,1.31566196582,,,,,0.000001192219,675646595.595204,675646595.595204,675646595.595204,675646595.595204,675646595.595204,675646595.595204,675646595.595204,675646595.595204,675646595.595204,675646595.595204,675646595.595204,67.56466,999538781.9763716418966224,999999889.5637916418966224,999999999.8949416418966224,989171715.0611116418966224,999999024.9765116418966224,999999992.0479416418966224,953806270.1136084581523974,999985645.1418816418966224,999999999.99903399,999999999.99903399,999999999.8949416418966224,999999992.0479416418966224,999999889.5637916418966224,999999024.9765116418966224,989171715.0611116418966224,999538781.9763716418966224,999985645.1418816418966224,953806270.1136084581523974,,,,,,,,,976407550.5343076418966224,970288972.1848076418966224,817822480,0.00773148,,830669.69258474,,10000,,0.831054430885,,
2017-08-20,205,509,748,807,215,726,792,40,673,810,810,807,726,215,748,509,792,673,40,,,,,,,,,1705414417,1611239899,,,,,,0,0,,0.987437987748,36.98967869,,27.00246544264,,,,,0.000001026176,679394479.575294,679394479.575294,500981362.629744806255775,679394479.575294,679394479.575294,679394479.575294,679394479.575294,679394479.575294,679394479.575294,679394479.575294,679394479.575294,67.939448,999387295.1362916418966224,999999884.7558816418966224,999999999.8950316418966224,987437987.7475616418966224,999999148.3793016418966224,999999991.2380316418966224,950270850.5152584581523974,999981210.5446716418966224,999999999.99912399,999999999.99912399,999999999.8950316418966224,999999991.2380316418966224,999999884.7558816418966224,999999148.3793016418966224,987437987.7475616418966224,999387295.1362916418966224,999981210.5446716418966224,950270850.5152584581523974,,,,,,,,,973548733.3687576418966224,969595592.3712576418966224,829897481,0.00225694,,138638.81250185,,15125,,0.858088999323,,
2017-08-21,393,568,760,823,270,747,806,61,704,826,826,823,747,270,760,568,806,704,61,,,,,,,,,1705414418,1611239899,,,,,,0,0,,0.986900722146,8.71869756,,6.364649217069,,,,,0.000000735988,723819376.770154,723819376.770154,187357166.3759384581523974,723819376.770154,723819376.770154,723819376.770154,723819376.770154,723819376.770154,723819376.770154,723819376.770154,723819376.770154,72.381938,999471078.6030116418966224,999999877.9521516418966224,999999999.892801641896622393,986900722.1463016418966224,999999441.1632216418966224,999999989.2378016418966224,935847255.0223084581523974,999985021.7384516418966224,999999999.996893989999999993,999999999.996893989999999993,999999999.892801641896622393,999999989.2378016418966224,999999877.9521516418966224,999999441.1632216418966224,986900722.1463016418966224,999471078.6030116418966224,999985021.7384516418966224,935847255.0223084581523974,,,,,,,,,958897643.7714976418966224,953163244.6057197079523974,759300984,0.00511574,,260730.61512771,,10005,,0.97333193121,,
2017-08-22,296,666,898,989,324,883,970,85,831,991,991,989,883,324,898,666,970,831,85,,,,,,,,,1705414418,1611239899,,,,,,0,0,,0.985721897754,5.97773587,,4.363747186002,,,,,0.000001022484,832515055.445154,832515055.445154,253337955.2775577656073014,832515055.445154,832515055.445154,832515055.445154,832515055.445154,832515055.445154,832515055.445154,832515055.445154,832515055.445154,83.251506,999316803.367833989999999999,999999862.791243989999999999,999999999.931893989999999992,985721897.753523989999999999,999999312.042313989999999999,999999989.076893989999999999,926235122.002130806255775,999981573.878273989999999999,999999999.996893989999999992,999999999.996893989999999992,999999999.931893989999999992,999999989.076893989999999999,999999862.791243989999999999,999999312.042313989999999999,985721897.753523989999999999,999316803.367833989999999999,999981573.878273989999999999,926235122.002130806255775,,,,,,,,,938546090.485542056055775,940380279.985542056055775,672830015.06,0.00392361,,497957.32773711,,10062.5,,1.142139465312,,
2017-08-23,470,817,1213,1285,387,1193,1265,94,1131,1288,1287,1285,1193,387,1213,817,1265,1131,94,,,,,,,,,1705414418,1611239899,,,,,,0,0,,0.98207120763,6.27016248,,4.577218611344,,,,,0.00000143094,886634156.016154,886634156.016154,225332757.2845677656073014,886634156.016154,886634156.016154,886634156.016154,886634156.016154,886634156.016154,886634156.016154,886634156.016154,886634156.016154,88.663416,998702996.886922989999999999,999999861.484903989999999999,999999999.927063989999978704,982071207.629972989999999999,999999043.734073989999999999,999999988.572063989999978711,901945928.6615828469042486,999977146.626883989999999999,999999999.996783989999978704,999999999.992063989999978704,999999999.927063989999978704,999999988.572063989999978711,999999861.484903989999999999,999999043.734073989999999999,982071207.629972989999999999,998702996.886922989999999999,999977146.626883989999999999,901945928.6615828469042486,,,,,,,,,907478777.4943040967042486,930843840.787731056055775,668277963.5413,0.00616898,,299265.62899353,,10000,,1.301648045566,,
2017-08-24,456,930,1500,1574,404,1481,1551,97,1416,1579,1577,1574,1481,404,1500,930,1551,1416,97,,,,,,,,,1705414418,1611239899,,,,,,0,0,,0.978197218656,13.62714238,,9.947813939419,,,,,0.000001321318,899851756.516154,899851756.516154,166843457.975538722252771999,899851756.516154,899851756.516154,899851756.516154,899851756.516154,899851756.516154,899851756.516154,899851756.516154,899851756.516154,89.985176,997993799.416159989999999999,999999847.425056989999999999,999999999.867216989999999992,978197218.655623989999999999,999999086.674226989999999999,999999987.412216989999978711,896372378.239092056055775,999973921.122966989999999999,999999999.995916989999999992,999999999.986476989999999992,999999999.867216989999999992,999999987.412216989999978711,999999847.425056989999999999,999999086.674226989999999999,978197218.655623989999999999,997993799.416159989999999999,999973921.122966989999999999,896372378.239092056055775,,,,,,,,,899139232.239092056055775,935862499.179382056055774999,691223279.939258722252772,0.00636574,,134150.82680476,,6360,,1.375431000309,,
