date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2016-10-03,null,null,0.0,0.146632,6347.0,null,null,
2016-10-04,null,null,0.0,0.183616,19235.0,null,null,
2016-10-05,null,null,0.0,0.338671,16673.0,null,null,
2016-10-06,null,null,0.0,0.535299,9085.0,null,null,
2016-10-07,null,null,0.0,0.4227,13930.0,null,null,
2016-10-08,null,null,0.0,0.444486,7463.0,null,null,
2016-10-09,null,null,0.0,0.34364,18183.0,null,null,
2016-10-10,null,null,0.0,0.367009,7499.0,null,null,
2016-10-11,null,null,0.0,0.278657,11722.0,null,null,
2016-10-12,null,null,0.0,0.2211,8531.0,null,null,
2016-10-13,null,null,0.0,0.241055,7915.0,null,null,
2016-10-14,null,null,0.0,0.312134,5073.0,null,null,
2016-10-15,null,null,0.0,0.233744,6558.0,null,null,
2016-10-16,null,null,0.0,0.223679,6571.0,null,null,
2016-10-17,null,null,0.0,0.275975,5968.0,null,null,
2016-10-18,null,null,0.0,0.188626,7846.0,null,null,
2016-10-19,null,null,0.0,0.185059,6795.0,null,null,
2016-10-20,null,null,0.0,0.181,4673.0,null,null,
2016-10-21,null,null,0.0,0.207384,3356.0,null,null,
2016-10-22,null,null,0.0,0.220933,6967.0,null,null,
2016-10-23,null,null,0.0,0.157829,2936.0,null,null,
2016-10-24,53887200.0,1535,0.0,0.269436,6430.0,1530,49.3859647372,
2016-10-25,4328571.9583,1700,0.0,0.454531,92887.0,989,237.312907755,
2016-10-26,1115450.83628,952,16035500.0,0.184316,209377.0,569,54.92801116,
2016-10-27,479431.788384,559,14711200.0,0.169094,172953.0,376,41.9142981597,
2016-10-28,320845.686997,548,11972900.0,0.137619,108756.0,395,12.1250220264,
2016-10-29,105443.291161,202,10779000.0,0.123897,97401.0,123,61.9485,
2016-10-30,141629.011879,390,9899210.0,0.113784,75031.0,255,56.77764708,
2016-10-31,123094.860704,184,10809000.0,0.124241,70203.0,88,44.1187342621,
2016-11-01,79545.4493765,150,10605200.0,0.121899,160741.0,90,29.2070004,
2016-11-02,122186.062561,145,11897900.0,0.136758,70062.0,85,94.636536,
2016-11-03,110388.909496,196,11712700.0,0.134629,66036.0,127,20.0202267124,
2016-11-04,46599.6288746,108,10888100.0,0.125151,48361.0,68,24.6672621,
2016-11-05,31193.1079193,101,10539800.0,0.121147,40596.0,65,20.04619409,
2016-11-06,48199.1932512,72,11103900.0,0.127631,46567.0,46,82.91292653,
2016-11-07,53735.3067082,69,10194000.0,0.117172,46640.0,45,58.468828,
2016-11-08,37737.3360027,126,10284100.0,0.118208,30534.0,80,67.74855104,
2016-11-09,54978.72375,117,9418620.0,0.10826,71136.0,72,108.15174,
2016-11-10,15083.6275488,57,9860490.0,0.113339,37158.0,44,46.12557283,
2016-11-11,23442.0581285,118,9587310.0,0.110199,43878.0,83,14.14183767,
2016-11-12,97911.7225049,219,10075300.0,0.115808,186628.0,160,20.4002408314,
2016-11-13,227813.354141,271,15206400.0,0.174786,147178.0,143,174.786,
2016-11-14,160122.852678,247,14333200.0,0.164749,132463.0,134,82.0344130665,
2016-11-15,352284.219708,254,16030900.0,0.184263,149807.0,144,138.303129385,
2016-11-16,148677.875786,131,17864200.0,0.205336,182937.0,87,108.859562103,
2016-11-17,54883.6038888,112,14589700.0,0.167698,74009.0,51,15.9396949,
