time,CapMrktEstUSD
2021-10-03,402821372682.495456635329125
2021-10-04,399473012703.59897096998224
2021-10-05,414689329313.42671377000183
2021-10-06,422749954698.35456210308096
2021-10-07,422901066088.412619862886005
2021-10-08,419624556565.20632672138184
2021-10-09,421885219382.80262395548415
2021-10-10,404504581668.137503446028245
2021-10-11,414872519609.34620093711206
2021-10-12,411582431059.03022050205541
2021-10-13,424162427468.649417819341785
2021-10-14,446493846534.07140263837467
2021-10-15,455409358275.70619275762671
2021-10-16,452518766564.96237415463044
2021-10-17,452526971608.11899448793349
2021-10-18,441922247575.70966921983523
2021-10-19,457187787658.938038137065135
2021-10-20,490084350761.55661983100312
2021-10-21,479729688304.43165198744981
2021-10-22,469207119691.7056873341727
2021-10-23,490983764618.09484534929884
2021-10-24,481243020708.861832378086975
2021-10-25,497568588683.75090874476154
2021-10-26,487733424859.82929265116917
2021-10-27,466176756878.80541311480556
2021-10-28,505339339052.3664797447686
2021-10-29,521273243322.29173220907126
2021-10-30,509301466939.7769563171275
2021-10-31,507306510443.04698500918656
2021-11-01,511123806098.59075987346031
2021-11-02,541972998266.006701661835425
2021-11-03,543511344995.95703366872647
2021-11-04,536097238048.805600378523465
2021-11-05,529214179763.1383495187422
2021-11-06,533385828883.4527763707557
2021-11-07,544990280197.57231055583427
2021-11-08,568924305550.7672276102628
2021-11-09,560063743836.335681370419985
2021-11-10,546437906944.66737592598022
2021-11-11,559250915932.36720480871564
2021-11-12,551625921749.525593540631265
2021-11-13,549579548899.7510536800877
2021-11-14,545448741751.72525562252007
2021-11-15,540763337072.86294932707844
2021-11-16,501141644885.525468196551585
2021-11-17,504922072169.234456586038315
2021-11-18,471840692520.21861392837767
2021-11-19,508077138723.622104174010455
2021-11-20,522562372643.034614858295055
2021-11-21,510415795085.13929612915548
2021-11-22,485209208325.729637274650775
2021-11-23,515040413718.04012452688812
2021-11-24,504887588436.09417562997879
2021-11-25,536230882409.80713041671812
2021-11-26,480122614037.92095150144019
2021-11-27,484312897329.090328045661
2021-11-28,508563374295.891355867646985
2021-11-29,527268875430.16480730375751
2021-11-30,550637454947.68879891082636
2021-12-01,543524391893.60700089603187
2021-12-02,536826738375.90839943809017
2021-12-03,501950455625.86262045254599
2021-12-04,485975743700.780250040582395
2021-12-05,497037557439.926216696200955
2021-12-06,515047286808.536318128437795
2021-12-07,510575522725.02777559850556
2021-12-08,525290545577.26132726049139
2021-12-09,493307298076.081890543056065
2021-12-10,466580388826.64722988594364
2021-12-11,484195469547.67610750812579
2021-12-12,491539871850.780120474896275
2021-12-13,449700993532.19572168194726
2021-12-14,457195170219.00735619871826
2021-12-15,476824331007.314972043224935
2021-12-16,471868274533.29494273603657
2021-12-17,461467432859.418000819533415
2021-12-18,471075149342.38570104216264
2021-12-19,467767205843.480884079929435
2021-12-20,468070500191.638646193237585
2021-12-21,478738513441.06809592174188
2021-12-22,473530386621.14557583821038
2021-12-23,487505837297.303381616428705
2021-12-24,480823952166.20168427681328
2021-12-25,487387760827.43782500992988
2021-12-26,483927864836.37016133753124
2021-12-27,480896058220.51059858402271
2021-12-28,452615924742.80884366711023
2021-12-29,432752336074.802329446227235
2021-12-30,441053499218.8172354837409
2021-12-31,438595523502.4914694210364
2022-01-01,447462013623.74729020483115
2022-01-02,455997875531.03414707505274
2022-01-03,448086088154.45582855857053
2022-01-04,451850977336.10143331580558
2022-01-05,422034943094.70825293056715
2022-01-06,406313567619.82277954692496
2022-01-07,379796902293.128284187416185
2022-01-08,368260810753.297467192684945
2022-01-09,375681581315.20199463399063
2022-01-10,366795668669.43694923588918
2022-01-11,386143362959.58945313193809
2022-01-12,401779582309.2507138743599
2022-01-13,387556155609.860946424743135
2022-01-14,394230560105.4166793525555
2022-01-15,397341078928.95545126764344
2022-01-16,399994364841.275451555864105
2022-01-17,382732247849.02150080058454
