time,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-07-27,1296.0,85580093.51256576,0.0,0.0,3.896994434988,,0.25824176279577965,2852.669783752192,,,30000.0,2719.0,4583.0,7698.2404005133485,21960537.778604801797441312134912,2.876104501002581177,8204.576404923739325450608131689984,0.5621511171272289,1603.6315057313852226484932607488,13181.186928094829533615,37601573.66376549732689699927209393408,,,
2020-07-28,990.0,105315534.77498538,0.0,0.0,5.922872174176,,0.32075303462994453,3510.517825832846,,,30000.0,2064.0,3497.0,5065.110155643667,17781159.491194074084551480486282,2.430538011496523564,8532.447015722864757677361964183144,0.3907,1371.5593145528929322,8499.591426203342904654,29837967.213982858062322891782319465284,,,
2020-07-29,1291.0,135718045.002922245,0.0,0.0,7.52103721026,,0.4069834398947123,4523.9348334307415,,,30000.0,3049.0,4947.0,3988.8115377322392,18045123.4595373174089481449113668,1.354908461146309511,6129.5175834898320091289497412324065,0.34092222694577623,1542.309937970777640538383661974545,6702.73215729079315307,30322723.485524198958900946066253101405,,,
2020-07-30,947.0,134250000.0,0.0,0.0,3.972613956022,,0.401871843569672,4475.0,,,30000.0,1958.0,2846.0,7551.702816359682,33793870.10320957695,3.185091089902148063,14253.282627312112581925,0.30476064892386157,1363.80390393428052575,9064.769241861513388484,40564842.3573302724134659,,,
2020-07-31,906.0,127365429.57334893,0.0,0.0,5.009166082014,,0.37444350204033416,4245.514319111631,,,30000.0,2169.0,3368.0,5989.020828779484,25426473.686041106999568878578404,2.386782162294610061,10133.117846621987790056073074719491,0.3495143442942001,1483.8681534359391089691377513631,8038.682322608246687111,34128340.907422854883969144428337888041,,,
2020-08-01,959.0,113095090.590298092,0.0,0.0,2.416851207498,,0.3195431328705156,3769.8363530099364,,,30000.0,1811.0,2601.0,12412.845237193484,46794395.2194582426733387013344176,5.340902320227614438,20134.3277246691774846547742821017432,0.29,1093.252542372881556,13891.686934912025153009,52369386.4118645306367237753829073586276,,,
2020-08-02,704.0,121015923.43658679,0.0,0.0,6.013472536688,,0.36360704828345763,4033.864114552893,,,30000.0,1394.0,2129.0,4988.798039231337,20124133.385207125982845149607941,2.852516371459863202,11506.663427006572296062491173343386,0.30066411899680306,1212.83820015486463120388827425258,6073.007354838048757977,24497686.436096992422024164829322177461,,,
2020-08-03,617.0,115297574.517825852,0.0,0.0,8.13132269947,,0.34204519017976287,3843.2524839275284,,,30000.0,1299.0,2113.0,3689.4366524102575,14179436.578668987346655814782563,2.367265942695794799,9098.0007143826554671183581536447916,0.3349259635038565,1287.2050411680172167478799132746,5002.032936916214410643,19224075.5094905510033892886629296447612,,,
2020-08-04,564.0,111353275.862068995,0.0,0.0,6.535767387146,,0.3313301075674267,3711.7758620689665,,,30000.0,1151.0,1903.0,4590.126640523028,17037521.268133091354503767410562,3.103533562552453154,11519.620964603102573344742508445341,0.3414797325270309,1267.49622857960021912146127656485,5906.024369537318352311,21921838.6956397041979992771832266565815,,,
2020-08-05,567.0,126764123.31969606,0.0,0.0,3.159560144638,,0.3604908038857809,4225.470777323202,,,30000.0,1091.0,1772.0,9494.99253904335,40120813.5046295075397868388067,5.968872520417857439,25221.296408593143973790652462999678,0.3953495525720825,1670.537981221137555873504708165,10576.842106180443381738,44692137.236027051120838706132290485076,,,
