time,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-07-07,75.0,222245569.577967,0.0,0.0,295.08205437,309.08104997028863,0.0002198974143775564,1.48163713051978,,-28.703331665153154,150000000.0,73.0,74.0,508333.1831815699,753165.318877126917484503402622,7348.00323128,10887.0744226437705459547184,1615.99253288,2394.3145393577144331403664,543752.23911461,805643.5072754760403162919858,0.09098810986503572,0.07520691433379816,0.07119765300426475
2018-07-08,99.0,214644037.803936,0.0,0.0,516.52514888,297.06495095131464,0.0002134194377065181,1.43096025202624,,-27.733323879679727,150000000.0,90.0,94.0,290402.12335217,415553.8956209764196636009408,4595.9175146,6576.575284983826554783104,1000.0,1430.96025202624,432016.24637249,618198.0767886084825722941376,0.09084866945123402,0.07501765714468656,0.07123888181301713
2018-07-09,98.0,202472277.174207,0.0,0.0,960.55798982,280.933972342242,0.00020255256617025523,1.34981518116138,,-26.48279683669722,150000000.0,96.0,99.0,156159.23410091002,210786.1048679422081102184790276,1909.03929983,2576.8502283442254814365654,585.0,789.6418809794073,188994.89068295,255108.172605781363322364471,0.09059133975881342,0.07457143331120675,0.07149449873341224
2018-07-10,131.0,180342716.6924265,0.0,0.0,606.10047135,250.56115127597414,0.0001905640782671269,1.20228477794951,,-18.211518662338623,150000000.0,134.0,143.0,247483.7210848,297545.910650557234096828448,2676.52101166,3217.9404701808409656012866,497.4,598.016448552086274,382742.50466722,460165.4872356678925165120622,0.08986074837996774,0.06618317105845355,0.07114956094747041
2018-07-11,86.0,183782633.264565,0.0,0.0,1583.1214841,256.6283268699451,0.00019210129621953802,1.2252175550971,,-17.293822681183464,150000000.0,83.0,83.0,94749.51954503998,116088.774683598775020672282058,2429.81744065,2977.054983965485884237115,700.0,857.65228856797,201674.84757427,247095.563669527398009311617,0.08976976703503316,0.06629835741473995,0.07012680549356878
2018-07-12,83.0,165732963.5819085,0.0,0.0,353.4565985,231.41114323587368,0.00017938020967730108,1.10488642387939,,-15.75823049447502,150000000.0,77.0,78.0,424380.25103286,468891.9779287344898155667554,7121.45788912,7868.4021399174662708732368,437.5,483.387810447233125,555473.71535163,613735.3669138606884625599057,0.08997299349724194,0.06527087449557506,0.06969643088079847
2018-07-13,94.0,167450479.747731,0.0,0.0,967.85468426,234.5072568081592,0.0001797937068344849,1.11633653165154,,-16.953501922518562,150000000.0,87.0,89.0,154981.94350864,173012.0052850500816014593056,2827.05099074,3155.9402978047415254467396,573.385,640.0906222010182629,251607.5381757,280878.686504443381919695578,0.08994966061513235,0.0650939066406199,0.0693121752033793
2018-07-14,78.0,178695983.421795,0.0,0.0,1022.51872076,252.97671335751514,0.00019045325886755124,1.1913065561453,,-17.644517771313414,150000000.0,70.0,72.0,146696.58066355003,174760.598308584994143410499359,2653.27975986,3160.869573208845191267658,671.7755,800.29055740778698015,191036.14270992,227582.609271036853771271376,0.08973175919431421,0.06475882405112592,0.06926275725150356
2018-07-15,74.0,179174782.0998225,0.0,0.0,3730.6293688,255.07496975772304,0.00018818100432936428,1.19449854733215,,-13.484425413684809,150000000.0,65.0,67.0,40207.69290420999,48028.0307656560284360178781785,719.84777459,859.8571210480359590600685,112.84813552,134.796933947781597652968,48229.80089754,57610.427110230354242497911,0.08597868215386005,0.06432930562796055,0.06916627979455722
2018-07-16,84.0,201228291.487416,0.0,0.0,771.86890316,286.82279313864,0.0001999046993600675,1.34152194324944,,-2.408558561791911,150000000.0,78.0,81.0,194333.51879527,260702.6797727321825379021488,3038.20409665,4075.817463726317420818376,621.076,833.18708242558919744,246094.53182883,330141.2145620731850360733552,0.0858733073158059,0.06801216336695115,0.06978634082033049
