time,AdrActCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetCompletionTime,AssetEODCompletionTime,CapAct1yrUSD,CapMrktCurUSD,CapMrktEstUSD,CapRealUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2018-03-14,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781498,1752781498,,,,,0,,177.354355708112378603,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6561925,7,0.000081018518518519,7,36998.95034323,,6408.344563232857142857,,6000,3.11470507078,,,,
2018-03-15,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781507,1752781507,,,,,0,,6.111259570642393485,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6579550,6,0.000069444444444444,6,1076627.48144543,,346104.580240905,,38190.5,3.421980006691,,,,
2018-03-16,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781515,1752781515,,,,,0,,111.347337141088285857,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6579550,9,0.000104166666666667,9,59090.32195052,,6565.591327835555555556,,99,3.430960912976,,,,
2018-03-17,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781523,1752781523,,,,,0,,1452.156855520357696993,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6579550,8,0.000092592592592593,8,4530.88106494,,1030.227141235,,468.07688,3.432213554438,,,,
2018-03-18,21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781532,1752781532,,,,,0,,5.902127799618213737,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6579550,59,0.00068287037037037,59,1114775.92884817,,36220.296312680847457627,,661.89112,3.757007420652,,,,
2018-03-19,13,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781540,1752781540,,,,,0,,465.072102941403917482,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6579550,16,0.000185185185185185,16,14147.37619906,,1470.702382074375,,635.11151,3.760583841245,,,,
2018-03-20,18,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781549,1752781549,,,,,0,,30.811716691854999352,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6579550,31,0.000358796296296296,31,213540.51985488,,9668.383913074838709677,,274.32193,3.806137093565,,,,
2018-03-21,16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781557,1752781557,,,,,0,,233.235590248990058593,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6579550,22,0.00025462962962963,22,28209.88852077,,1328.804167725,,950.85747,3.810580207713,,,,
2018-03-22,21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781565,1752781565,,,,,0,,67.099665808867982495,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6579550,32,0.00037037037037037,32,98056.37510538,,3203.5624433696875,,100.59858,3.826160908245,,,,
2018-03-23,17,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781574,1752781574,,,,,0,,5.664424389264844994,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,7924114.75,26,0.000300925925925926,26,1398926.740909049012345678,,103909.287706627654320988,,577.683,3.517876679438,,,,
2018-03-24,17,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781583,1752781583,,,,,0,,17.804686201794895661,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,7924114.75,27,0.0003125,27,445057.815689060987654322,,18810.945642057814357567,,759.77216,3.581971603396,,,,
2018-03-25,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781591,1752781591,,,,,0,,262.220360199677051705,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,7924114.75,3,0.000034722222222222,3,30219.29625894,,20073.2337513,,30000.405,3.589571152766,,,,
2018-03-26,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781600,1752781600,,,,,0,,866.793668042720152582,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,7924114.75,6,0.000069444444444444,6,9141.86967689,,1860.144946148333333333,,1374,3.590979621728,,,,
2018-03-27,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781608,1752781608,,,,,0,,1446.602502403754866243,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,7924114.75,4,0.000046296296296296,4,5477.74163036,,1681.93540759,,1250,3.591828642955,,,,
2018-03-28,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781616,1752781616,,,,,0,,1672.509001640337482025,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,7924114.75,11,0.000127314814814815,11,4737.86074827,,741.560310546363636364,,1058.3375,3.592858053012,,,,
2018-03-29,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781623,1752781623,,,,,0,,149.301963266085241539,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,7924114.75,33,0.000381944444444444,33,53074.41762087,,2494.711639365151515152,,822.81024,3.603247287229,,,,
2018-03-30,21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781631,1752781631,,,,,0,,5.962630015211464245,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9474114.75,33,0.000381944444444444,33,1588915.41581991,,95350.626930707575757576,,540.34075,3.34586570902,,,,
2018-03-31,16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781639,1752781639,,,,,0,,56.266483177000241209,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9474114.75,27,0.0003125,27,168379.3657442,,6291.085652016666666667,,548.67488,3.36379448834,,,,
2018-04-01,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781647,1752781647,,,,,0,,690.454416392068180036,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9474114.75,24,0.000277777777777778,24,13721.56441479,,741.84785185125,,30,3.365673750826,,,,
2018-04-02,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781655,1752781655,,,,,0,,616.78535736397065258,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9474114.75,17,0.000196759259259259,17,15360.47287259,,1057.216093936470588235,,498.75,3.367570780161,,,,
