time,AdrActCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktCurUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2023-11-14,0,,,,,,,,0,0,0,
2023-11-15,0,,,,,,,,0,0,0,
2023-11-16,0,,,,,,,,0,0,0,
2023-11-17,0,,,,,,,,0,0,0,
2023-11-18,0,,,,,,,,0,0,0,
2023-11-19,0,,,,,,,,0,0,0,
2023-11-20,0,,,,,,,,0,0,0,
2023-11-21,1,1744984438,1744984438,,,,,,1000,0,0,
2023-11-22,0,1744984439,1744984439,,,,,,1000,0,0,
2023-11-23,0,1744984439,1744984439,,,,,,1000,0,0,
2023-11-24,0,1744984439,1744984439,,,,,,1000,0,0,
2023-11-25,0,1744984439,1744984439,,,,,,1000,0,0,
2023-11-26,0,1744984440,1744984440,,,,,,1000,0,0,
2023-11-27,0,1744984440,1744984440,,,,,,1000,0,0,
2023-11-28,1,1744984441,1744984441,,,,,,2968.594319,0,0,
2023-11-29,1,1744984441,1744984441,,,,,,11968.594319,0,0,
2023-11-30,1,1744984441,1744984441,,,,,,12068.594319,0,0,
2023-12-01,0,1744984442,1744984442,,,,,,12068.594319,0,0,
2023-12-02,0,1744984442,1744984442,,,,,,12068.594319,0,0,
2023-12-03,0,1744984442,1744984442,,,,,,12068.594319,0,0,
2023-12-04,1,1744984442,1744984442,,,,,,12071.140865545,0,0,
2023-12-05,1,1744984443,1744984443,,,,,,113407.213965545,0,0,
2023-12-06,1,1744984443,1744984443,,,,,,362206.514835545,0,0,
2023-12-07,2,1744984443,1744984443,,,,,,708319.983081883445710181,0,0,
2023-12-08,5,1744984443,1744984443,,,,,,1429156.843428571437923478,0,0,
2023-12-09,2,1744984444,1744984444,,,,,,1429557.244317061551659637,0,0,
2023-12-10,6,1744984444,1744984444,,,,,,2162376.839198821450928939,0,0,
2023-12-11,1,1744984444,1744984444,,,,,,2208375.484798821450928939,0,0,
2023-12-12,3,1744984444,1744984444,,,,,,2662058.559576821450928939,1,1,
2023-12-13,4,1744984445,1744984445,,,,,,3940467.088576821450928939,0,0,
2023-12-14,7,1744984445,1744984445,,,,,,9960215.351829002684089535,2,2,
