time,CapMrktEstUSD
2022-04-20,76733525.811254865815631686562
2022-04-21,75727849.634926329344192374756
2022-04-22,73735291.1983829411077912042
2022-04-23,73800925.034212483056575488436
2022-04-24,73683889.208057725009587572678
2022-04-25,73419161.187005530415611650796
2022-04-26,73139739.199537443484267023228
2022-04-27,73816927.47928154532486237993
2022-04-28,76845523.157277556707610342744
2022-04-29,78020272.247710132010329215276
2022-04-30,76764442.58741600108722002425
2022-05-01,76874249.93051851669725465675
2022-05-02,76845017.993813415538318515312
2022-05-03,76950613.33300788761612167827
2022-05-04,77730014.561023435893655708804
2022-05-05,77348468.282001549523234658426
2022-05-06,77452797.31939503818228701152
2022-05-07,76971221.034146759283188436288
2022-05-08,77205022.368146815578311773317
2022-05-09,77224476.718248486935626879556
2022-05-10,74643018.2062807111579123722
2022-05-11,73277549.590145951849809192488
2022-05-12,71210155.84569218995748903175
2022-05-13,66904077.094709311301192483808
2022-05-14,66685203.191599501752404813904
2022-05-15,68540832.325535958607398774353
2022-05-16,67706868.320495782604233438934
2022-05-17,67796404.796196139155906088431
2022-05-18,67144400.160432075719724065697
2022-05-19,67882794.672330761440913337198
2022-05-20,64731831.67498699989160094079
2022-05-21,64722139.479117643154426190284
2022-05-22,64739549.528064422695146243774
2022-05-23,65205505.533840893081160658623
2022-05-24,64102971.08364979618991963313
2022-05-25,62850099.36206636268637304411
2022-05-26,62895920.173763490820241170468
2022-05-27,62953147.65615071425662378617
2022-05-28,66603646.099743703798264240088
2022-05-29,66596121.021588161250965597064
2022-05-30,66721255.832356704076064288037
2022-05-31,66438482.957482122728196960686
2022-06-01,65845746.481435601795298870685
2022-06-02,66277890.010333623183606732965
2022-06-03,66060743.192192568365227993375
2022-06-04,66171058.866110270945562722377
2022-06-05,66088739.585380240496787149862
2022-06-06,66027643.948515516672119301609
2022-06-07,65283448.601715622825907513034
2022-06-08,65332985.431859789322047934081
2022-06-09,65146783.426061512362374180972
2022-06-10,65713447.098330384164431407669
2022-06-11,67359992.365823719197015439887
2022-06-12,67437123.699400912447500079519
2022-06-13,66900306.197463532389137469746
2022-06-14,65794732.58445280939830190041
2022-06-15,65869087.10603040965476867662
2022-06-16,65531236.092180501764698144758
2022-06-17,58937061.408952026714023700025
2022-06-18,59635042.06980913484855357329
2022-06-19,52389809.88719274159728670453
2022-06-20,51479950.829484668600506454288
2022-06-21,51142699.66034340567100098984
2022-06-22,50747965.243767235358094778176
2022-06-23,50371462.313598944931706247217
2022-06-24,50390514.723662453894276798112
2022-06-25,52974251.27231241422336065518
2022-06-26,52956994.183754146591571754736
2022-06-27,53032127.183522821588890029968
2022-06-28,52352311.022113636592938093851
2022-06-29,52254966.239057740964935541795
2022-06-30,52437742.153742882433384937368
2022-07-01,52340752.77183560630923945425
2022-07-02,51115151.079129653913051984028
2022-07-03,51072375.84377616794495437251
2022-07-04,51126202.3555462363243264744
2022-07-05,50382203.395627296506658683754
2022-07-06,50370550.450428435684626135382
2022-07-07,51050661.178975773015051094848
2022-07-08,51385346.599022338802801533794
2022-07-09,51542740.9294593790325507646
2022-07-10,51481799.085030949373595345181
2022-07-11,46854206.412847727105199869917
2022-07-12,41650380.926066381427836956013
2022-07-13,42009210.042253264109868249366
2022-07-14,41609281.324395706534471063537
2022-07-15,40982777.91529786803713095888
2022-07-16,41191421.018879145994446713715
2022-07-17,42389280.695285594364394426956
2022-07-18,42775002.910417951294577062716
2022-07-19,43687693.317467134114387198668
2022-07-20,43283947.860517345056876372594
2022-07-21,43657314.585490334447251530339
2022-07-22,43950703.273679084463008967114
2022-07-23,44395038.570350202021000507544
2022-07-24,44474822.237043236785049389734
2022-07-25,44810072.96488769341736407219
2022-07-26,44426205.662844442287213877855
2022-07-27,44982190.090102458274960573192
2022-07-28,45147947.80686532561510568472
2022-07-29,45784194.811563500364559913212
2022-07-30,45591023.31296223527814795749
2022-07-31,45455415.64202718687390481917
2022-08-01,45566837.541714550004987123808
2022-08-02,45078432.958270242349598302299
2022-08-03,44970718.162115881617123101999
2022-08-04,45414236.884647138706509001794
2022-08-05,45311325.615383209926011689996
2022-08-06,45332428.009277338817642204931
2022-08-07,45355727.93169180298899834544
2022-08-08,45233794.595944768793557238948
2022-08-09,45276273.173289371170595971278
2022-08-10,45781927.013729471735483277338
2022-08-11,44805646.89883183113702009002
2022-08-12,43930974.342773015947492906548
2022-08-13,43722984.614145253895370300454
2022-08-14,43629084.972292210247026068328
2022-08-15,43575599.268626202497602228775
2022-08-16,43434308.82006505565608940309
2022-08-17,43097733.158183223438994035061
2022-08-18,42701449.267305944133688437606
2022-08-19,42645580.917719083465969526567
2022-08-20,43432597.0537026306958073110433
2022-08-21,43623524.574150389495365376143
2022-08-22,43176652.0541263370798825052331
2022-08-23,44197881.3572184956092526077696
2022-08-24,44189367.9232976309825080895583
2022-08-25,44534137.0431230833265260485134
2022-08-26,44519592.7768171111669458512262
2022-08-27,44364635.3314183105612656609958
2022-08-28,44515164.0233985692557936151074
2022-08-29,44415304.6575345886836376866092
2022-08-30,44612299.0150246254650173861436
2022-08-31,44488564.949691268184826317445
2022-09-01,44129504.4215253256628820166581
2022-09-02,44393130.0343945611888425439042
2022-09-03,44172259.53168303018529267372
2022-09-04,44186236.4305619869078009633922
2022-09-05,44137833.1637833773112633011253
2022-09-06,44133193.665772487640031930703
2022-09-07,44604128.4132088612596117514233
2022-09-08,43304872.7482489189588212852012
2022-09-09,43527212.781316934957500920732
2022-09-10,41940123.316080420661200017091
2022-09-11,41843543.015675138168203373055
2022-09-12,42007411.20580855753221936975
2022-09-13,41597517.8832125922854980399686
2022-09-14,41709702.6868501129245404045346
2022-09-15,41724583.3460951367025832699292
2022-09-16,40483161.9438750795365988221282
2022-09-17,39867129.2978054699489289485192
2022-09-18,39376984.4237936390121579940416
2022-09-19,39034870.1361788697749889172609
2022-09-20,38541432.1742417293805976039464
2022-09-21,37800946.921325510179623786255
2022-09-22,38391014.8161535354541879943409
2022-09-23,36742466.780002617301758697824
2022-09-24,39534176.7819612792960235495312
2022-09-25,39476387.3028381316883369429025
2022-09-26,39223706.695842036553334197632
2022-09-27,39749573.5270224815809553169276
2022-09-28,40252409.3247049374829982966541
2022-09-29,39745884.941614701122913371069
2022-09-30,38188806.0806229765705402786078
2022-10-01,38131957.438380672475190074944
2022-10-02,38045292.950942235238094241831
2022-10-03,38008691.25453997877212125864
2022-10-04,38508820.7070705869616680185217
2022-10-05,38093307.5716945731420034295988
2022-10-06,38374060.8326008090327991938683
2022-10-07,39317095.1019462766609350926522
2022-10-08,40098178.8839329088523403151112
2022-10-09,40662021.388350094699936523505
2022-10-10,40368968.8887455824640509395092
2022-10-11,41193631.2652096209535351527552
2022-10-12,41688874.263660879692765353575
2022-10-13,42057717.4625728052671871544736
2022-10-14,42884168.6849143860752901716034
2022-10-15,42848738.0015464763927313986844
2022-10-16,42944372.427677935239737209365
2022-10-17,43459500.1598031664538762163642
2022-10-18,42032081.1594621171359315603208
2022-10-19,41947507.487988921555955042879
2022-10-20,41840019.0447647124950420167146
2022-10-21,42171343.7324248949685747626124
2022-10-22,42187427.5925821387653628313842
2022-10-23,42201852.5449245167511130533606
2022-10-24,42229917.711426803101838599479
2022-10-25,42596088.2261238695315691323844
2022-10-26,42943653.389198756551742999084
2022-10-27,42016832.9226797142708944701412
2022-10-28,41957013.3946925724225880423736
2022-10-29,41458400.0168796153142680907394
2022-10-30,41377067.1140737187722069910341
2022-10-31,41306249.6748015018611792357259
2022-11-01,41264170.5236659234312789861516
2022-11-02,41039885.1146673420114105163491
2022-11-03,40767867.72673637923339936395
2022-11-04,41644567.3413733610458034797357
2022-11-05,41833106.6429534391591804523094
2022-11-06,41768946.4959984702164619572424
