time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetCompletionTime,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2020-10-21,3058,283,12955,44253,123,5820,33030,75,1154,48769,44253,33030,12955,283,13,1154,75,5820,123,1,5358,120,12698,269,10,32764,1072,70,1614335527,1614335527,955896759.8488236,0.899805558518,0.899805558518,955896759.8488236,369972899.2854011189819376274489460796384,955896759.8488236,1062337024.70508351524311660113322562489799,0,0,0.990892604343,60.206384721243,38.41631164070685,60.206384721243,38.41631164070685,0.007439759177058298,95.58967598488236,,-26.276585671995303,,,,,,0.000348885127,10000000,8341348.5,528911.213466259611066797,10000000,10000000,5034933.196816013666243899,10000000,10000000,10000000,4741866.276036205995169992,7785686.400251358753543428,10000000,100,9956260.495413500066659274,9999045.508622515241630028,9999998.635260516549164166,9908926.043432995942593684,9996522.058069248141238647,9999952.314357391092445116,9726576.812732900036165199,9981431.983540890143440412,9999998.635260516549164166,9999952.314357391092445116,9999045.508622515241630028,9996522.058069248141238647,9981431.983540890143440412,9956260.495413500066659274,7466010.404177895746082576,9726576.812732900036165199,9908926.043432995942593684,4076959.02,9999949.607983776046538347,9999019.348277160410737427,9996053.752759804915984025,9905879.916133005942593684,9954841.52726491933805762,7165009.404177895746082576,9980601.520638982596989987,9676576.812732900036165199,9868722.605201702379391173,9995512.574173355179689284,9968730.868319280906748055,10000000,1400668.654667319417203028,3983,0.046099537037,4381,166095.34098916952,15876999.8277532643551240112976672,48.316575822494133951,4618.56582757121517695951965681700436,0.09853687,9.4191074758644750726132,4.052884654138,,0.054692244613093216,,
2020-10-22,3204,282,13164,45051,120,5852,33651,75,1160,49690,45051,33651,13164,282,13,1160,75,5852,120,1,6041,120,13245,287,13,33722,1217,75,1614335528,1614335528,1015335402.3187238,0.952924752023,0.952924752023,1015335402.3187238,393385175.646880768216357146913167626304,1015335402.3187238,1065493786.53819874324199286409922644119569,0,0,0.990903972601,83.766926843671,40.614899782948655,83.766926843671,40.614899782948655,0.007811774985472056,101.53354023187238,,-29.6429900437318,,,,,,0.000354943975,10000000,8316347.5,588464.16548137150012691,10000000,10000000,5034183.255331480361729616,10000000,10000000,10000000,4727680.041283001254089109,7785483.317227160866441392,10000000,100,9956069.163562959387118204,9999019.751100469138069826,9999998.592310854079804215,9909039.726011867122237875,9996461.59553473646656276,9999951.43327002707537671,9732137.112569286909917976,9981307.508696607453157765,9999998.592310854079804215,9999951.43327002707537671,9999019.751100469138069826,9996461.59553473646656276,9981307.508696607453157765,9956069.163562959387118204,7468673.456477681102089051,9732137.112569286909917976,9909039.726011867122237875,4076959.02,9999952.138359055502810987,9999027.78987530189307991,9996649.404808407272847973,9909039.726011867122237875,9956566.313183563299319481,7468673.456477681102089051,9981875.046824257217849011,9732137.112569286909917976,9875784.911804366325900364,9995527.448820539962189992,9968909.783189346149491586,10000000,1389777.489585799892932461,4344,0.050277777778,4903,119378.8572268193,12120958.003074206216184790920934,31.6858479216103707,3217.176314729816407785128086891266,0.09732338,9.8815873187318037502444,4.068420225374,,0.05182862819138818,,
2020-10-23,2861,282,13263,45656,121,5873,34096,75,1167,50389,45656,34096,13263,282,13,1167,75,5873,121,1,6131,122,13417,288,14,34265,1241,77,1614335528,1614335528,1030776091.1197705,0.966789926733,0.966789926733,1030776091.1197705,399583076.663798455765261599807080249762,1030776091.1197705,1066184144.68099018356655781253645182833135,0,0,0.990978338295,94.5870230364,41.07265049698941,94.5870230364,41.07265049698941,0.007957553445182265,103.07760911197705,,-19.031849586089063,,,,,,0.000359072779,10000000,8316347.5,603192.810230266310573978,10000000,10000000,5033763.130505202431590372,10000000,10000000,10000000,4738672.39715323381114209,7785377.939139981718621826,10000000,100,9955772.37341097385300361,9998999.084375410531618378,9999998.563271573680781805,9909783.382950616333693573,9996420.408079972507400963,9999950.701652848739625531,9734689.151177563821327559,9981243.110703514997090011,9999998.563271573680781805,9999950.701652848739625531,9998999.084375410531618378,9996420.408079972507400963,9981243.110703514997090011,9955772.37341097385300361,7467771.45671570567632187,9734689.151177563821327559,9909783.382950616333693573,4076959.02,9999952.364892262522026001,9999014.263050883789756811,9996675.808526765341652374,9910761.529017990606018377,9956367.632578577765204887,7565478.40671570567632187,9981976.968610640389289508,9754283.410518583821327559,9876639.766476850597429259,9995544.162451097390212117,9968987.151678220089469202,10000000,1384168.172412053964221396,3595,0.041608796296,3977,105722.74799421102,10897648.091991339221336347097091,36.443850234549099685,3756.54494901228522853906942788222925,0.09415813,9.7055949188547196309165,4.082913944612,,0.04735863156972596,,
2020-10-24,2897,282,13382,46282,120,5877,34540,75,1161,51136,46282,34540,13382,282,13,1161,75,5877,120,1,6198,123,13695,292,14,34864,1260,78,1614335528,1614335528,1054791919.0739884,0.988817216434,0.988817216434,1054791919.0739884,409188834.276701392992820472290555489278,1054791919.0739884,1066720827.21051909052347409636847876264498,0,0,0.990757165727,313.853164000768,42.01968715916714,313.853164000768,42.01968715916714,0.008043332491138908,105.47919190739884,,-23.87839284282457,,,,,,0.000363646399,10000000,8316347.5,531690.259490357742643332,10000000,10000000,5016194.843347687271790568,10000000,10000000,10000000,4693568.633891243362524048,7787888.760183872101472704,10000000,100,9955805.881763110415900449,9998979.667591118391885809,9999998.530540796374645003,9907571.657272455603452187,9996374.69478524573918935,9999949.709302815201525973,9736894.589071280033880502,9981183.192097322502844751,9999998.530540796374645003,9999949.709302815201525973,9998979.667591118391885809,9996374.69478524573918935,9981183.192097322502844751,9955805.881763110415900449,7468007.566603286590989712,9736894.589071280033880502,9907571.657272455603452187,4076959.02,9999952.861119358347090259,9999010.084752291363717491,9996690.612165741157659144,9910458.23567948926804147,9956785.84857306175201978,7565714.516603286590989712,9982156.456969825504972664,9765974.598412300033880502,9876306.185553799314119349,9995579.427986373020005053,9969314.209490814000625951,10000000,1386674.561391785828566098,3823,0.044247685185,4169,31862.033418836385,3360781.5375453982154579048987934,9.709596962501114575,1024.160441351151922610343689062093,0.09246772,9.7534203831196218654448,4.086961875586,,0.044486980016609896,,
2020-10-25,2744,280,13485,46903,122,5879,34985,75,1157,51864,46903,34985,13485,280,13,1157,75,5879,122,1,6078,123,13578,285,13,35073,1216,75,1614335528,1614335528,1017010431.08083,0.954874078189,0.954874078189,1017010431.08083,394753544.536664272017887773090491693435,1017010431.08083,1065072824.06221601653916095036978209315723,0,0,0.990985745723,395.558885473956,40.56168991445349,395.558885473956,40.56168991445349,0.007798178374633694,101.701043108083,,-27.229507726747464,,,,,,0.000368394231,10000000,8316347.5,501017.426414198240627383,10000000,10000000,5015862.936184875186091569,10000000,10000000,10000000,4692765.128841176285611727,7787519.2245692235302721,10000000,100,9955871.381911730512474559,9998958.47538750083778502,9999998.502027871383484646,9909857.457228950908275078,9996327.216319106932129288,9999948.781248498272218066,9734731.188747155382185039,9981140.010728954089839149,9999998.502027871383484646,9999948.781248498272218066,9998958.47538750083778502,9996327.216319106932129288,9981140.010728954089839149,9955871.381911730512474559,7468029.264550021156772675,9734731.188747155382185039,9909857.457228950908275078,4076959.02,9999949.654317633026731137,9998967.693737946012096217,9996524.887839482959058065,9910854.583328437439706422,9956368.531532334424675836,7468029.264550021156772675,9981727.327284046107533662,9734731.188747155382185039,9874687.975504027106981164,9995611.2065246012523631,9969710.077714824553693009,10000000,1387705.579518103472134335,3530,0.040856481481,3898,25280.686055169954,2571072.142298752254962956138182,9.167831550800946132,932.378031755650444516434336784956,0.09379586,9.53913680121971793638,4.090535496325,,0.0446305377819538,,
2020-10-26,2500,281,13616,47522,125,5910,35490,74,1175,52557,47522,35490,13616,281,13,1175,74,5910,125,1,5974,125,13634,284,13,35517,1213,74,1614335528,1614335528,1004298807.093428,0.94469750377,0.94469750377,1004298807.093428,389930709.590136996355296744626927661018,1004298807.093428,1063090357.58590095697688334847517127518433,0,0,0.991099883618,140.057662635629,40.08474506651899,140.057662635629,40.08474506651899,0.007677740275819388,100.4298807093428,,-30.44265379476486,,,,,,0.000372352104,10000000,8297377.69,632609.206073511311453867,10000000,10000000,5015068.588827176590255215,10000000,10000000,10000000,4751561.306875826104346836,7786991.009885161403434298,10000000,100,9955178.586177227800166632,9998938.131173967795984739,9999998.481115246481132255,9910998.836179896189818069,9996287.887569090351872036,9999948.1688766088853914,9711481.482953099675600453,9981022.245721162897291633,9999998.481115246481132255,9999948.1688766088853914,9998938.131173967795984739,9996287.887569090351872036,9981022.245721162897291633,9955178.586177227800166632,7465563.596871850359866191,9711481.482953099675600453,9910998.836179896189818069,4076959.02,9999948.438247453338346712,9998939.92596086499184186,9996351.756974883232833844,9910998.836179896189818069,9955478.433447307824708737,7465563.596871850359866191,9981401.580212917676909229,9711481.482953099675600453,9868111.191950402501394922,9995613.272429998938675637,9969360.694687511146412987,10000000,1399925.492346129664116097,3422,0.039606481481,3803,71399.16382879922,7170609.506073128996672759352616,26.666651934274968886,2678.1286726768005619087360795081208,0.09168519,9.207932694513429393132,4.100676824055,,0.0438793015061474,,
2020-10-27,2989,285,13769,48108,123,5946,35892,74,1186,53275,48108,35892,13769,285,13,1186,74,5946,123,1,6348,125,14582,305,14,36504,1322,77,1614335528,1614335528,1092530731.6112556,1.023625752892,1.023625752892,1092530731.6112556,424427806.207077026235125564518646519348,1092530731.6112556,1067314620.13791900343164115200118060639791,0,0,0.990830914083,114.22880050889,43.56581050219372,114.22880050889,43.56581050219372,0.007988949728003304,109.25307316112556,,-21.10995675285343,,,,,,0.000376525376,10000000,8297377.69,645489.55824247466373521,10000000,10000000,5013085.190735489496826872,10000000,10000000,10000000,677025.478157103316289795,7254860.554113170814800923,10000000,100,9954596.467570764179393373,9998922.672318213002892811,9999998.431208433990617659,9908309.140825925566103009,9996246.379667024131091763,9999947.278561699438286029,9724159.033811085468460831,9980862.573512668313403469,9999998.431208433990617659,9999947.278561699438286029,9998922.672318213002892811,9996246.379667024131091763,9980862.573512668313403469,9954596.467570764179393373,7465283.75277064846730369,9724159.033811085468460831,9908309.140825925566103009,4076959.02,9999953.131229423593676002,9998999.856539619483651761,9996638.204433926731023758,9910224.27762634747014909,9956530.62877863815833363,7562990.70277064846730369,9982182.40042206934993757,9753239.043152105468460831,9871706.050700267679606409,9995611.079050425543895908,9969103.214391071940432854,10000000,1394550.7814484610902431,4563,0.0528125,5109,87543.59632115513,9564406.9336632038438745501681228,20.662132007810302414,2257.40141991413313034117757222510184,0.15591402,17.0340858339051937843512,4.111233107298,,0.04687006957385182,,
2020-10-28,3004,278,13981,48816,118,5975,36401,74,1180,54100,48816,36401,13981,278,13,1180,74,5975,118,1,6367,121,14720,296,15,36977,1303,77,1614335528,1614335528,1084064033.9641548,1.016033307054,1.016033307054,1084064033.9641548,421312633.813058906476263136366714134195,1084064033.9641548,1066957181.85375363318923223618687942303957,0,0,0.990826429039,117.465786547891,43.11210083437802,117.465786547891,43.11210083437802,0.008156788640943524,108.40640339641548,,-17.65053629980011,,,,,,0.000382276605,10000000,8297377.69,523450.716747129863307188,10000000,10000000,5012772.013226133126618933,10000000,10000000,10000000,678762.356762594543282679,7254730.864269652324437766,10000000,100,9954545.87552734318107629,9998903.508811637285864913,9999998.391649367120043329,9908264.290385823421708072,9996188.917038583587813852,9999946.329504791396031199,9732255.906961849511479723,9980694.45175488427453173,9999998.391649367120043329,9999946.329504791396031199,9998903.508811637285864913,9996188.917038583587813852,9980694.45175488427453173,9954545.87552734318107629,7469746.925385846708748936,9732255.906961849511479723,9908264.290385823421708072,4076959.02,9999951.858188149175515582,9998973.90068759877883764,9996571.808990376458743831,9911183.078260593011892304,9956291.358929014585146327,7660957.5022084010747506,9981894.419464989281215583,9761335.916302869511479723,9877580.396057367791373901,9995611.842732926807175693,9969438.138356509505740876,10000000,1394386.044955117409526727,4909,0.05681712963,5469,85131.17132981544,9228764.1007893326499333459590112,19.761190245839252146,2142.23956138376075803357598029762008,0.17972781,19.4836454724143160704988,4.122040502243,,0.04616861461337304,,
2020-10-29,3268,283,14241,49691,120,6007,37122,74,1191,55066,49691,37122,14241,283,13,1191,74,6007,120,1,5599,118,14011,274,10,36865,1115,69,1614335528,1614335528,965891058.5067356,0.908281967119,0.908281967119,965891058.5067356,375529618.6321524152844196158478595956416,965891058.5067356,1063426439.6664891113354919457250011183282,0,0,0.990734468851,163.689659747788,38.35380431693174,163.689659747788,38.35380431693174,0.007167907106451366,96.58910585067356,,-27.37616254440673,,,,,,0.000389907051,10000000,8322377.69,541790.477809972914230918,10000000,10000000,5027958.044962556048253073,10000000,10000000,10000000,703832.385556883270516589,7280305.026138472674083672,10000000,100,9953846.819968858014330398,9998874.479770874638112791,9999998.360952358892592349,9907344.688509111846159301,9996112.929190022424776953,9999945.584490417217592474,9730450.690072724865478356,9980540.880388671083321865,9999998.360952358892592349,9999945.584490417217592474,9998874.479770874638112791,9996112.929190022424776953,9980540.880388671083321865,9953846.819968858014330398,7466260.205224952825345623,9730450.690072724865478356,9907344.688509111846159301,4076959.02,9999942.981177594976618457,9998851.181394429053372438,9995701.005770165021924926,9905344.688509111846159301,9952940.080812354086917372,7165259.205224952825345623,9979773.706689781511433648,9680450.690072724865478356,9873205.396864534715410168,9995603.844395712531542598,9969224.213270998809830787,10000000,1396326.436259187240795085,4786,0.055393518519,5226,61091.21379693722,5900745.7159784981463498020339032,16.056933505316284961,1550.92484998222149395863295874833116,0.15774388419825008,15.2363407281211693325315413238848,4.130431855693,,0.050130145751581985,,
2020-10-30,3166,287,14530,50487,121,6032,37765,72,1193,55963,50487,37765,14530,287,14,1193,72,6032,121,1,5412,118,14072,271,9,37273,1076,67,1614335528,1614335528,923765441.5869605,0.870427365102,0.870427365102,923765441.5869605,359330696.361794786913839497272026328072,923765441.5869605,1061278032.63528778242292382293336256830025,0,0,0.990639254041,76.973253011163,36.520653078537904,76.973253011163,36.520653078537904,0.0067907471499213,92.37654415869605,,-30.70137506397324,,,,,,0.000397422006,10000000,8322377.69,526771.237380004056531538,10000000,10000000,5015828.067276464662713292,10000000,10000000,10000000,702799.629434089212367889,7280182.000941377344694725,10000000,100,9953944.878290513098203671,9998854.033668840727744758,9999998.327266712047382333,9906392.540413160128221711,9996037.984735639957820201,9999944.840004454247688239,9709019.267731489352662983,9980377.096053097881588304,9999998.327266712047382333,9999944.840004454247688239,9998854.033668840727744758,9996037.984735639957820201,9980377.096053097881588304,9953944.878290513098203671,7572266.882180948539943355,9709019.267731489352662983,9906392.540413160128221711,4076959.02,9999939.75095915428425922,9998806.736814662873624054,9995401.613985354532849545,9903346.413113170128221711,9952311.238282144081937902,7058527.789930798680334117,9979175.737896826625384298,9659019.267731489352662983,9869456.482478864729386594,9995596.848709881113218717,9969290.08226732626466222,10000000,1426679.148386149080464435,4290,0.049652777778,4663,129915.25768762502,12001122.538669269145289104555171,37.103363042109174848,3427.4804544955291996486750291369504,0.10539708,9.736218014817620277534,4.14773315388,,0.050442377626857576,,
2020-10-31,3924,279,14856,51453,120,6042,38519,73,1188,57094,51453,38519,14856,279,14,1188,73,6042,120,1,5337,116,14234,260,9,37903,1048,66,1614335528,1614335528,906522907.8009267,0.855555719921,0.855555719921,906522907.8009267,353108670.5927612126892590293493784024258,906522907.8009267,1059572026.3366107505003898256238951399076,0,0,0.990848748319,234.42960337392,35.8109728755714,234.42960337392,35.8109728755714,0.0065655650750754534,90.65229078009267,,-29.7207145252622,,,,,,0.000405781241,10000000,8322377.69,602650.962004868501469269,10000000,10000000,5015499.563243990615844082,10000000,10000000,10000000,679775.691469563264244138,7280048.023689737718606924,10000000,100,9953910.749798949853061689,9998830.269498866631562131,9999998.285878486519163335,9908487.483188668557590788,9995954.44167873626983002,9999943.756877331947112682,9724676.735553216155877245,9980242.105850676754573104,9999998.285878486519163335,9999943.756877331947112682,9998830.269498866631562131,9995954.44167873626983002,9980242.105850676754573104,9953910.749798949853061689,7576074.094963333997154808,9724676.735553216155877245,9908487.483188668557590788,4076959.02,9999937.326353352792756353,9998765.363721791997838658,9995225.271199413062499933,9904338.593460462568096796,9951946.700262595033981889,7060026.280204338125750614,9978791.257463482196992596,9654323.043965188847860918,9875606.985207305546299088,9995619.646090124695143109,9969801.24140528829828607,10000000,1427910.257396408603713899,4960,0.057407407407,5304,42656.728741078754,3866930.17756380753754052388813318,10.434117789724976187,945.87667990788636722807346940324929,0.10464235,9.4860687401122302065745,4.153267409955,,0.05030889505685469,,
2020-11-01,3880,280,15205,52376,121,6060,39198,72,1186,58184,52376,39198,15205,280,14,1186,72,6060,121,1,5516,118,14722,265,9,38765,1083,67,1614335528,1614335528,940020585.7818561,0.885829760735,0.885829760735,940020585.7818561,366270420.3875454435986943216547980254656,940020585.7818561,1061175213.84956071942694865137102810758353,0,0,0.990937108308,318.687032914325,37.131339548996316,318.687032914325,37.131339548996316,0.0068430331884789435,94.00205857818561,,-21.882740956619656,,,,,,0.00041369905,10000000,8322377.69,584757.333927276689518678,10000000,10000000,5013768.918063993038420421,10000000,10000000,10000000,676971.993629887629473785,7279878.002343195989025992,10000000,100,9953948.194355678737202701,9998812.350674741126089178,9999998.238592183250428627,9909371.083082988416749239,9995875.418133131042160519,9999942.642646079587016043,9711524.656549535854385704,9980129.312292440512323776,9999998.238592183250428627,9999942.642646079587016043,9998812.350674741126089178,9995875.418133131042160519,9980129.312292440512323776,9953948.194355678737202701,7574232.27836308490367259,9711524.656549535854385704,9909371.083082988416749239,4076959.02,9999938.198951939252134117,9998762.608215349348575813,9995320.578961788856115678,9906324.955782998416749239,9952418.924248511644781644,7062425.317184650721470542,9979079.94112021987513716,9661524.656549535854385704,9873645.009018661340540288,9995632.995082908951305078,9970005.649773742110665196,10000000,1429413.290154491505202592,4639,0.05369212963,5017,31378.747696610448,2949666.87908688211430279080925328,8.148285093457681761,765.95557266696560865780087616965921,0.105667,9.93291552378113885187,4.157355404587,,0.0498292132390301,,
2020-11-02,3466,287,15512,53306,121,6103,39980,73,1196,59230,53306,39980,15512,287,13,1196,73,6103,121,1,5424,117,14798,264,9,39338,1069,67,1614335528,1614335528,911664451.0673572,0.860149989843,0.860149989843,911664451.0673572,355361289.9255596676134484920054328187869,911664451.0673572,1059890091.06893828046363505499069219184951,0,0,0.990712060813,52.587974114021,35.76872250174891,52.587974114021,35.76872250174891,0.006705601916034526,91.16644510673572,,-25.41321839463235,,,,,,0.000421537016,10000000,8332377.69,582978.692901664674354173,10000000,10000000,5017471.089417154856666618,10000000,10000000,10000000,689324.251262411385198297,7289508.879144211049647635,10000000,100,9953581.839738482735523929,9998784.03082299300772366,9999998.20421799464433679,9907120.608126152218089051,9995797.335436842240403578,9999941.903641520279049588,9720116.875766996611583203,9979916.003254957274701411,9999998.20421799464433679,9999941.903641520279049588,9998784.03082299300772366,9995797.335436842240403578,9979916.003254957274701411,9953581.839738482735523929,7472290.644801046455164442,9720116.875766996611583203,9907120.608126152218089051,4076959.02,9999935.21026867513621409,9998709.558141180544464553,9995096.574960461531731315,9902979.434703618306209417,9951205.463780439571550112,7066289.644801046455164442,9978610.10656962414078023,9659972.439590711876742733,9871576.921921242796408716,9995617.291074338688120662,9969858.892250755228837392,10000000,1418724.730065147127625787,4259,0.049293981481,4581,190157.5439722789,17335987.294180448230823348432308,56.77241173924085422,5175.7389584024999211249727285867384,0.0990765,9.03245229861750156258,4.183362846405,,0.04978128463896213,,
2020-11-03,4064,279,16023,54353,117,6150,40822,70,1224,60423,54353,40822,16023,279,14,1224,70,6150,117,1,5313,112,14944,248,7,39913,1050,64,1614335528,1614335528,871703360.8950614,0.823996718415,0.116057104692,871703360.8950614,339947547.2075572456779987603872621217824,122776421.2581420710736094349622317130344,1057896641.35064988435734385217507908083679,0,0,0.990527643804,45.979357045715,34.015365930205746,6.4760343519,4.790947338333766,0.006227824746175278,87.17033608950614,,-27.199173399119985,,,,,,0.000431872864,10000000,8332377.69,717761.267539491704760988,10000000,10000000,4912541.055278210766516863,10000000,10000000,10000000,743824.129417186487710122,7304336.128006824623004914,10000000,100,9952327.200294127340088638,9998769.133031686576856348,9999998.159340741339855067,9905276.438035351236236868,9995694.401229766559738037,9999940.906722678558379245,9719716.767253387959609962,9979774.138046511489914842,9999998.159340741339855067,9999940.906722678558379245,9998769.133031686576856348,9995694.401229766559738037,9979774.138046511489914842,9952327.200294127340088638,7574187.013500000000262144,9719716.767253387959609962,9905276.438035351236236868,4076959.02,9999931.222519082146114116,9998655.118673355587795587,9994817.384562538733602375,9900061.270812953695310342,9949016.076041170045904332,6837142.56,9977945.035195119856514289,9659402.418951630904450889,9880405.428702257820987536,9995586.401229766559738037,9969597.828766498105749076,10000000,1408465.617616476855804104,5292,0.06125,5780,217488.90464165126,18958580.9133512922763256475087364,60.441020280898612098,5268.66405147858882152127542824928172,0.11295634,9.8464421212405259819276,4.218297756127,,0.05015804559945083,,
2020-11-04,3591,276,16399,55177,118,6195,41489,68,1229,61414,55177,41489,16399,276,14,1229,68,6195,118,1,5377,113,15278,249,8,40670,1069,62,1614335528,1614335528,885615827.6363193,0.837281152998,0.11778929306,885615827.6363193,345528283.2542416058338060215958056086574,124589048.5966395207077899461222654457857,1057728129.27324481598384446135012351415502,0,0,0.990877379046,73.67065893,34.52804505817078,10.364039371421,4.857429315802551,0.006268005794704582,88.56158276363193,,-27.579899361759548,,,,,,0.00043894999,10000000,8332377.69,621313.544876149352296688,10000000,10000000,4914900.964539810750515648,10000000,10000000,10000000,754530.312781592249547551,7304100.148454615283365618,10000000,100,9952082.570811548163582962,9998756.154435117712100131,9999998.112424570326146917,9908773.790457810440740264,9995623.798601452230179571,9999940.167703089681978907,9709298.967748443433734548,9979620.837171497480726465,9999998.112424570326146917,9999940.167703089681978907,9998756.154435117712100131,9995623.798601452230179571,9979620.837171497480726465,9952082.570811548163582962,7593268.013500000000262144,9709298.967748443433734548,9908773.790457810440740264,4076959.02,9999931.517274056828141328,9998638.638776556159410321,9994770.479929203546999282,9903553.291888453080714505,9949216.443906782518812301,6966186.033500000000262144,9977951.855916300374166072,9648984.896552053875692265,9883167.805417210197303479,9995569.798601452230179571,9969703.838516359029338701,10000000,1406806.932630865489843103,4452,0.051527777778,4896,135739.25013351225,12021282.8349723816325862171461425,34.918898053287652599,3092.47287996106032913914461734388607,0.111495235,9.87419448220309148885355,4.235394048614,,0.05005294847515042,,
2020-11-05,2313,271,16534,55553,118,6203,41703,69,1220,61868,55553,41703,16534,271,14,1220,69,6203,118,1,5508,114,15551,254,10,41035,1090,65,1614335528,1614335528,912668486.0443042,0.863051495565,0.121556381937,912668486.0443042,356297651.5861650140686455664069219383856,128544680.8694816790115663717653832365776,1057490185.3874358411899319016675922447119,0,0,0.99080987245,38.555787831868,35.28826222953373,5.430385203723,4.970170961412812,0.005848014773415466,91.26684860443042,,-13.119782951818806,,,,,,0.000442079246,10000000,8332377.69,538032.590326785891901777,10000000,10000000,4959790.537679019224189274,10000000,10000000,10000000,804607.992156721759860797,7302855.119327878026633256,10000000,100,9952214.062318089282439167,9998752.632499414571677013,9999998.083951959842352741,9908098.724498876724251574,9995592.48272393766898986,9999939.519536578109971827,9696594.796390155188685089,9979537.815595944092598139,9999998.083951959842352741,9999939.519536578109971827,9998752.632499414571677013,9995592.48272393766898986,9979537.815595944092598139,9952214.062318089282439167,7608034.013724070000262144,9696594.796390155188685089,9908098.724498876724251574,4076959.02,9999932.555904655402303175,9998650.527960662134835586,9994875.79644410554201128,9904009.397305883220769287,9950463.142432133815241109,7202033.013724070000262144,9978200.465754938977217078,9656594.796390155188685089,9879450.989363759536056307,9995575.48272393766898986,9969971.035465075841856051,10000000,1408448.772309660833087269,3497,0.040474537037,4016,259364.43170626968,23671374.3219102479208505393156656,83.216714825864116932,7594.92731337020072190434539613787144,0.16286451915804984,14.8641314130310924415024311721328,4.268813881288,,0.042862908638773595,,
2020-11-06,3509,277,16743,56344,118,6231,42291,67,1215,62810,56344,42291,16743,277,15,1215,67,6231,118,1,5785,116,16145,265,12,41947,1124,64,1614335528,1614335528,960186814.0056361,0.904276481752,0.12807871953,960186814.0056361,375003718.0442777990561594200596199263132,135997673.4207269136182399465684401074396,1061828802.78576265992985937414424617211111,0,0,0.990537536197,83.562820250914,36.987043471192926,11.835560510553,5.238722075144011,0.006147567106390577,96.01868140056361,,-12.559990042304625,,,,,,0.000448138354,10000000,8332377.69,690336.148424626326886481,10000000,10000000,4968720.933556635669654686,10000000,10000000,10000000,813348.908994024384431471,7312637.294119914883147662,10000000,100,9952466.224404723138452717,9998728.685290530114401042,9999998.028535834979143111,9905375.361973677188494535,9995531.991167518966161059,9999938.595990503437585262,9679299.038981313960135009,9979369.064368522674705028,9999998.028535834979143111,9999938.595990503437585262,9998728.685290530114401042,9995531.991167518966161059,9979369.064368522674705028,9952466.224404723138452717,7719828.096750390579507902,9679299.038981313960135009,9905375.361973677188494535,4076959.02,9999935.099619762274757834,9998667.769799497451603026,9995080.966004795323669307,9903375.361973677188494535,9951248.825496088118688352,7418827.096750390579507902,9978447.292657771660334991,9649299.038981313960135009,9876335.744676976377031657,9995581.917761577323937814,9970154.95256011629118587,10000000,1416366.809427239742165911,4623,0.053506944444,5227,119670.44637762285,11490598.4637961999837928820144885,27.970590290018826396,2685.69919764301579611279174514504956,0.10557333,10.1370119376665641845213,4.283434108833,,0.04313139229033549,,
