time,AdrActCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt
2019-05-21,3,1614334985,1614334985,364665242.489493,340000001,364665243.56203783085145,0.0001343399999999999,1.07254483085145,,,340000000,2,2
2019-05-22,2,1614334985,1614334985,382260821.7404312,0,0,0.0001466237463248302,1.12429653453068,,,340000000,1,1
2019-05-23,0,1614334985,1614334985,377828970.4090512,0,0,0.0001407110752731526,1.11126167767368,,,340000000,0,0
2019-05-24,0,1614334985,1614334985,413928918.755396,0,0,0.00015242552870310043,1.2174379963394,,,340000000,0,0
2019-05-25,0,1614334985,1614334985,453740677.2679382,0,0,0.00016554192315107488,1.33453140372923,,,340000000,0,0
2019-05-26,0,1614334985,1614334985,502387088.9065314,0,0,0.00016922692112621312,1.47760908501921,,,340000000,0,0
2019-05-27,0,1614334985,1614334985,479309013.5296246,0,0,0.00015989185622442966,1.40973239273419,,,340000000,0,0
2019-05-28,0,1614334985,1614334985,494465483.4663518,0,0,0.00016679541857594584,1.45431024548927,,,340000000,0,0
2019-05-29,0,1614334985,1614334985,511614869.0332206,0,0,0.00017384918410286366,1.50474961480359,,,340000000,0,0
2019-05-30,0,1614334986,1614334986,477509155.6635982,0,0,0.00016978999999999955,1.40443869312823,,,340000000,0,0
2019-05-31,0,1614334986,1614334986,504760637.8818514,0,0,0.00017351000000000004,1.48459011141721,,,340000000,0,0
2019-06-01,0,1614334986,1614334986,478924482.258771,0,0,0.00016465612422726273,1.40860141840815,,,340000000,0,0
2019-06-02,0,1614334986,1614334986,489697228.4226396,0,0,0.00016471039574479676,1.44028596594894,,,340000000,0,0
2019-06-03,0,1614334986,1614334986,483056982.9743194,0,0,0.00017382675648113975,1.42075583227741,,,340000000,0,0
2019-06-04,0,1614334986,1614334986,497135421.9498082,0,0,0.00019113393483060088,1.46216300573473,,,340000000,0,0
2019-06-05,0,1614334986,1614334986,505005764.063211,0,0,0.0001904600374050267,1.48531107077415,,,340000000,0,0
2019-06-06,2,1614334986,1614334986,560734102.6164868,0,0,0.0002120713313851549,1.64921794887202,,,340000000,1,1
2019-06-07,0,1614334986,1614334986,575098856.393427,0,0,0.00021080231121485665,1.69146722468655,,,340000000,0,0
2019-06-08,0,1614334986,1614334986,585575076.9982476,0,0,0.00021691711630625386,1.72227963823014,,,340000000,0,0
2019-06-09,0,1614334986,1614334986,599553568.238825,0,0,0.00023098999999999944,1.76339284776125,,,340000000,0,0
2019-06-10,0,1614334986,1614334986,650580814.5632232,0,0,0.0002393845315844706,1.91347298400948,,,340000000,0,0
2019-06-11,0,1614334986,1614334986,651916076.043278,0,0,0.00024202009292811214,1.9174002236567,,,340000000,0,0
2019-06-12,2,1614334986,1614334986,668859729.0462558,0,0,0.00024147457797838869,1.96723449719487,,,340000000,5,5
2019-06-13,2,1614334986,1614334986,665748479.3770444,0,0,0.0002378400000000006,1.95808376287366,,,340000000,3,3
2019-06-14,3,1614334986,1614334986,654568455.0426754,0,0,0.00022133827001753406,1.92520133836081,,,340000000,9,9
