time,ReferenceRate,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2018-08-16,2.71590550805961,2.71590550805961,,
2018-08-17,2.67614815118462,2.67614815118462,,
2018-08-18,3.12861942023285,3.12861942023285,,
2018-08-19,2.97861233499438,2.97861233499438,,
2018-08-20,2.87537414217913,2.87537414217913,,
2018-08-21,3.01296996212741,3.01296996212741,,
2018-08-22,3.08654876408913,3.08654876408913,,
2018-08-23,2.76248274572152,2.76248274572152,,
2018-08-24,2.91720615365284,2.91720615365284,,
2018-08-25,2.74696794997165,2.74696794997165,,
2018-08-26,2.83853179516219,2.83853179516219,,
2018-08-27,2.86790472334015,2.86790472334015,,
2018-08-28,2.90393031371552,2.90393031371552,,
2018-08-29,3.16081803879948,3.16081803879948,,
2018-08-30,3.10007500615868,3.10007500615868,,
2018-08-31,3.01387142778513,3.01387142778513,,
2018-09-01,3.16443949685892,3.16443949685892,,
2018-09-02,3.42566171714193,3.42566171714193,,
2018-09-03,3.32936487849467,3.32936487849467,,
2018-09-04,3.21212692201345,3.21212692201345,,
2018-09-05,3.24671855582633,3.24671855582633,,
2018-09-06,2.72335159868488,2.72335159868488,,
2018-09-07,2.65497299682433,2.65497299682433,,
2018-09-08,2.55505873769815,2.55505873769815,,
2018-09-09,2.3500274327273,2.3500274327273,,
2018-09-10,2.39532252628372,2.39532252628372,,
2018-09-11,2.39881289036179,2.39881289036179,,
2018-09-12,2.16727493166264,2.16727493166264,,
2018-09-13,2.08264510809497,2.08264510809497,,
2018-09-14,2.25391770613322,2.25391770613322,,
2018-09-15,2.19214264786759,2.19214264786759,,
2018-09-16,2.26979223970259,2.26979223970259,,
2018-09-17,2.20312156859072,2.20312156859072,,
2018-09-18,2.04317106193543,2.04317106193543,,
2018-09-19,2.10563491399975,2.10563491399975,,
2018-09-20,2.10465166622469,2.10465166622469,,
2018-09-21,2.26243197953202,2.26243197953202,,
2018-09-22,2.39794696405918,2.39794696405918,,
2018-09-23,2.31261311917895,2.31261311917895,,
2018-09-24,2.37387903765575,2.37387903765575,,
2018-09-25,2.25189704023198,2.25189704023198,,
2018-09-26,2.14957213662515,2.14957213662515,,
2018-09-27,2.13853063462747,2.13853063462747,,
2018-09-28,2.28539030329527,2.28539030329527,,
2018-09-29,2.24444776808537,2.24444776808537,,
2018-09-30,2.25257671035122,2.25257671035122,,
2018-10-01,2.26220250192978,2.26220250192978,,
2018-10-02,2.2126861647427,2.2126861647427,,
2018-10-03,2.34380212646002,2.34380212646002,,
2018-10-04,2.27138036269752,2.27138036269752,,
2018-10-05,2.34192234820037,2.34192234820037,,
2018-10-06,2.35193449296437,2.35193449296437,,
2018-10-07,2.27065033220189,2.27065033220189,,
2018-10-08,2.26387129588299,2.26387129588299,,
2018-10-09,2.27798470902098,2.27798470902098,,
2018-10-10,2.25808960941919,2.25808960941919,,
2018-10-11,2.26643936188624,2.26643936188624,,
2018-10-12,1.87069768345741,1.87069768345741,,
2018-10-13,1.77695979189969,1.77695979189969,,
2018-10-14,1.80369780465756,1.80369780465756,,
2018-10-15,1.78055193076697,1.78055193076697,,
2018-10-16,1.82535199953076,1.82535199953076,,
2018-10-17,1.83207808728654,1.83207808728654,,
2018-10-18,1.85844155150853,1.85844155150853,,
2018-10-19,1.82501079643862,1.82501079643862,,
2018-10-20,1.84209564221613,1.84209564221613,,
2018-10-21,1.87692910196628,1.87692910196628,,
2018-10-22,1.88695542551922,1.88695542551922,,
2018-10-23,1.94981206532435,1.94981206532435,,
2018-10-24,1.89500485469419,1.89500485469419,,
2018-10-25,1.88492643655138,1.88492643655138,,
2018-10-26,1.91048659151249,1.91048659151249,,
2018-10-27,1.85150572844588,1.85150572844588,,
2018-10-28,1.88135544513793,1.88135544513793,,
2018-10-29,1.96575289580873,1.96575289580873,,
2018-10-30,1.84180701799651,1.84180701799651,,
2018-10-31,1.86573193837019,1.86573193837019,,
2018-11-01,1.85115660373907,1.85115660373907,,
2018-11-02,1.85863001803058,1.85863001803058,,
2018-11-03,1.85343983091677,1.85343983091677,,
2018-11-04,1.84237781696529,1.84237781696529,,
2018-11-05,1.85783998984116,1.85783998984116,,
2018-11-06,1.80604834826442,1.80604834826442,,
2018-11-07,1.84975724205306,1.84975724205306,,
2018-11-08,1.81881312609923,1.81881312609923,,
2018-11-09,1.826826415952,1.826826415952,,
2018-11-10,1.76344185002403,1.76344185002403,,
2018-11-11,1.75873482085787,1.75873482085787,,
2018-11-12,1.66866957196477,1.66866957196477,,
2018-11-13,1.67081625894665,1.67081625894665,,
2018-11-14,1.57492624742823,1.57492624742823,,
2018-11-15,1.26749972111602,1.26749972111602,,
2018-11-16,1.21426405882284,1.21426405882284,,
2018-11-17,1.17649074048459,1.17649074048459,,
2018-11-18,1.13139338414255,1.13139338414255,,
2018-11-19,1.17096135491949,1.17096135491949,,
2018-11-20,0.887444202467957,0.887444202467957,,
2018-11-21,0.893423604753083,0.893423604753083,,
2018-11-22,0.975680116198318,0.975680116198318,,
2018-11-23,0.929021663991302,0.929021663991302,,
2018-11-24,0.94669208980184,0.94669208980184,,
2018-11-25,0.869404441490586,0.869404441490586,,
2018-11-26,0.903706246411472,0.903706246411472,,
2018-11-27,0.863835739660444,0.863835739660444,,
2018-11-28,0.866813751565042,0.866813751565042,,
2018-11-29,0.959050994179199,0.959050994179199,,
2018-11-30,0.932301663687227,0.932301663687227,,
2018-12-01,0.899638811760656,0.899638811760656,,
2018-12-02,0.92493476405496,0.92493476405496,,
2018-12-03,0.909794123941101,0.909794123941101,,
