time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2016-05-24,9112,4264,7434,7952,1206,7086,7824,109,6138,8120,8010,7952,7829,6147,109,7087,1207,7474,4267,11,,,,,,,,,1614335110,1618,1721.99876391,,,,0,0.4595262267343843,,0,,5431.6,,0,0,0,,0,,0.881797301351,4.19828526,,,,,,,,,0.000032084213,99999382.4,100004813.7,100004813.7,100004813.7,100004813.7,100004813.7,100004813.7,100004813.7,100004813.7,100004813.7,100004813.7,100004813.7,100,99130620.70439505,100004566.44674511,100004813.40528087,88183974.84277934,100002954.4547898,100004806.4024925,61118289.17171013,99956696.23849569,100004813.69167253,100004813.40528087,100004806.9024925,100004606.44681533,100002964.4547898,99957596.23849569,61118289.17171013,88193974.84277934,99133620.70439505,38782013.26173956,,,,,,,,,60146352.96187736,83540052.67255069,57948910.39884549,100004813.7,11820,0.13680556,11143,23820395.126172718,,11111.94437101,,1500,,1.238144360706636,,
2016-05-25,5107,3114,5812,7306,871,5384,6973,81,4591,7810,7445,7308,6988,4596,83,5392,874,6193,3120,12,3839,27,5048,223,0,5593,1724,6,1614335110,6729,898.50839649,26960743.4211911164126002,2.807205,26960743.4211911164126002,9604123.46642186069983750226128,0.5239323650552853,0.1412448114826129455302542920942,0.1,0.0269585963577014,4833.8,1303.1246307385702732,0,0,0,0,0,0,0.913463135177,2.66789536,,0.0005983492320280526,0.269585963577014,,,,,,0.00003667084,99997732.6,100007964.3,100007964.3,100007964.3,100007964.3,100007964.3,100007964.3,100007964.3,100007964.3,100007964.3,100007964.3,100007964.3,100,99351740.27870037,100007122.73767217,100007963.51126381,91353588.61215393,100005355.4350089,100007945.63274858,71452652.76801076,99967663.23607376,100007964.2699195,100007963.53126381,100007947.13274858,100007503.73774969,100005435.4350089,99968163.23607376,71652653.14442686,91383588.97979775,99357740.27870037,54539621.23091339,100006721.35550921,99997654.55875441,99817019.73638757,62325132.62060627,79574626.45235953,0,96492289.86161598,46424679.45660727,73086347.94892085,90381594.07098042,71142765.11543075,100007964.3,9226,0.10678241,8160,37485714.69529466,10105622.51650404466404833294524,4593.83783031,1238.43419800066068034849434,447.1084399,120.5341595938569530404586,1.6129326694180837,,
2016-05-26,2793,2709,5172,6891,761,4725,6469,77,3993,7560,7081,6896,6491,3997,79,4736,769,5528,2720,12,3585,38,4606,395,0,5002,2111,7,1614335110,8078,740.29413221,49275262.81936682684169,2.37653364,49275262.81936682684169,20734090.21866938250428370724232,0.49088063439061846,0.24185985487607389438541918769028,0.1,0.0492706042837318,2352.3,1158.9924245662231314,0,0,0,0,0,0,0.923987828526,2.68808256,,0.0010842198071303335,0.492706042837318,,,0.269585963577014,0.241032351640265,0.269585963577014,0.000036493533,99996865.3,100009455,43751354.88882044,100009455,100009455,100009455,100009455,100009455,100009455,100009455,100009455,100009455,100,99441552.61472548,100008542.83160041,100009453.90242563,92407519.1574862,100006726.31254628,100009431.08034145,74972876.97028706,99972653.90165873,100009454.95650921,100009453.95242563,100009433.28034145,100008898.83160771,100006836.31254628,99973053.90165873,75172877.34670316,92487522.18025483,99452552.72214178,59303558.75294135,100008292.38977231,100005026.14616108,99914696.52894317,69696270.94671844,87463983.90099064,0,98577163.78342706,52265752.60084842,76851541.92557544,92357401.01951083,74771808.01925505,100009455,4792,0.05546296,4249,37204755.71064132,18331007.96091919370097820877976,8756.26359794,4314.26398738147387677992492,330.1,162.6422647405986718,1.9849270936342467,,
2016-05-27,1795,2478,4830,6721,705,4365,6245,77,3629,7482,6931,6728,6274,3635,79,4376,708,5178,2489,12,3156,31,4143,286,1,4615,1644,7,1614335110,8374,704.83233819,37029948.6899205580856256,1.71643069,37029948.6899205580856256,21573809.49390011636123467556142,0.4984251968503777,0.1845473882509929542733697258944,0.1,0.0370260952731072,1519.2,562.5004393890445824,0,0,0,0,0,0,0.930638995295,6.41290197,,0.0007847502451782579,0.370260952731072,,,0.492706042837318,0.438739643078749,0.492706042837318,0.000036758677,99996276.1,100010407.3,45977294.50235686,100010407.3,100010407.3,100010407.3,100010407.3,100010407.3,100010407.3,100010407.3,100010407.3,100010407.3,100,99495913.50119881,100009435.07833715,100010406.08092656,93073584.96868542,100007585.19576624,100010380.57663941,77076114.20457315,99973436.98577322,100010407.25268037,100010406.15092721,100010383.47664444,100009783.0783444,100007695.19576624,99974036.98577322,77276114.58098925,93103585.55089742,99506913.68535265,61098681.31582468,100009091.67255275,100003277.40104045,99896456.31342849,70071252.22325946,86566778.46285917,27500001,98039940.98919564,53939529.04422663,78877829.77222971,93479600.0822376,76773824.99106519,100010407.3,3048,0.03527778,2670,15595187.297571871,5774288.906818473012891654875712,5840.894868,2162.655298627709028938496,299.89999999,111.04125972034588327268928,2.140843857423895,,
2016-05-28,1136,2342,4660,6653,696,4188,6118,80,3477,7458,6878,6660,6147,3483,82,4198,700,5004,2355,12,2981,27,3946,249,0,4434,1463,7,1614335110,8219,676.79328385,34633811.719666177222365,1.56846311,34633811.719666177222365,22081368.32753538536219448674492,0.7363031233998852,0.254980615390910680007316443076,0.1,0.034629842966513,1438,497.97714185845694,0,0,0,0,0,0,0.934894322705,17.53470153,,0.0006522725879602574,0.34629842966513,,,0.370260952731072,0.332294824974138,0.370260952731072,0.000037823147,99995888.1,100011460.5,18945948.79167299,100011460.5,100011460.5,100011460.5,100011460.5,100011460.5,100011460.5,100011460.5,100011460.5,100011460.5,100,99506100.99206089,100010464.40032032,100011459.18833462,93500146.62685621,100008542.69839987,100011430.96337092,77756792.4364527,99976061.27477089,100011460.45114082,100011459.25833527,100011433.86337595,100010808.40032757,100008642.69839987,99976661.27477089,77956792.8128688,93540147.59878217,99519101.26673273,61659063.47477694,100010085.09062992,100003706.86117794,99891103.07477048,69183674.9416628,86133566.67100024,0,97851177.2741474,54732861.08291189,79389041.30925526,93960549.46335625,77143279.48232015,100011460.5,1953,0.02260417,1667,5703630.61521248,1975158.3254380411562901968224,3421.52592394,1184.8690545189550280502122,500,173.149214832565,2.19785161383459,,
2016-05-29,1023,2306,4638,6654,693,4172,6117,83,3472,7476,6876,6661,6147,3478,85,4182,698,4994,2319,10,3006,31,3957,283,1,4429,1558,7,1614335110,6321,688.76253757,37865921.8916252850403214,1.63372419,37865921.8916252850403214,23177671.1308156944579941138828,0.5390694710006482,0.2040993514989286481896036814012,0.1,0.0378614190709166,845.8,320.2318825018126028,0,0,0,0,0,0,0.935959993708,36.18213814,,0.0007176843845704274,0.378614190709166,,,0.34629842966513,0.307048340144886,0.34629842966513,0.000037525815,99995472.3,100011892.9,17766545.80895106,100011892.9,100011892.9,100011892.9,100011892.9,100011892.9,100011892.9,100011892.9,100011892.9,100011892.9,100,99486293.57353653,100010877.95539345,100011891.59740645,93607130.64936876,100008988.82070994,100011863.51915068,78329952.92903762,99977466.53341505,100011892.85034912,100011891.6674071,100011866.51915571,100011233.95540077,100009088.82070994,99978066.53341505,78529953.30545372,93657132.40616934,99499293.94820837,60089208.83470688,100010548.3269912,100004896.18756089,99898105.13267759,70333849.21603516,87263085.2116561,27500001,98202711.12472594,55085549.70536863,79734868.43906843,94109633.25993896,77388839.04194582,100011892.9,1569,0.01815972,1242,2764123.3503936506,1046536.3253296005029672776213996,2225.54215008,842.62184004167645960363328,233.1,88.2549678543065946,2.225480058004911,,
2016-05-30,1409,2264,4734,6721,680,4275,6191,84,3513,7557,6944,6730,6220,3521,86,4284,685,5080,2278,10,2945,27,4034,252,0,4517,1446,7,1614335111,8553,686.08371332,35079089.3073177769887606,1.49651351,35079089.3073177769887606,23440543.02197232322616561151985,0.5584206285253566,0.1958637968993436309392190793722,0.1,0.0350745991272867,1386,486.133943904193662,0,0,0,0,0,0,0.936650750521,24.13721255,,0.0006574517253068371,0.350745991272867,,,0.378614190709166,0.33713096703365,0.378614190709166,0.000036958302,99994996.3,100012801.8,18497085.71445802,100012801.8,100012801.8,100012801.8,100012801.8,100012801.8,100012801.8,100012801.8,100012801.8,100012801.8,100,99469428.52295322,100011801.34538063,100012800.46745682,93677065.86763816,100009934.96967081,100012773.22312175,78510524.94992254,99974255.02620679,100012801.75137649,100012800.5574584,100012776.12312678,100012147.34538071,100010024.96967081,99975055.02620679,78710525.32633864,93727067.62443874,99483429.00762506,60450355.547761,100011444.07968701,100005004.30900822,99874359.20432084,69132014.26314814,86661178.47112413,0,97976870.879265,55423401.47156016,79841763.88597367,94357806.97745496,77569319.77283074,100012801.8,2482,0.02872685,2157,4143510.8387563108,1453319.8164894508110889210590636,1920.96005506,673.76903870760087180405702,144.44,50.66175097945290948,2.266889637832637,,
2016-05-31,774,2210,4631,6659,674,4177,6111,83,3426,7512,6885,6668,6145,3434,85,4185,679,4957,2225,10,2827,26,3866,216,0,4405,1330,7,1614335111,7872,667.65637703,31035372.755518490462318,1.25160404,31035372.755518490462318,24796478.65565834612894761415314,0.5651423641069978,0.1753709008632964001990203790366,0.1,0.0310312784886347,655,203.254874100557285,0,0,0,0,0,0,0.939044331629,25.25188238,,0.0005844551674459383,0.310312784886347,,,0.350745991272867,0.312895235723493,0.350745991272867,0.000036623737,99994725.3,100013194,21944438.17983576,100013194,100013194,100013194,100013194,100013194,100013194,100013194,100013194,100013194,100,99480957.7522339,100012190.28240499,100013192.65320691,93916822.9138364,100010337.62164456,100013164.26490667,78817001.9657541,99975523.64521479,100013193.9503709,100013192.74320849,100013167.66491243,100012516.28240507,100010417.62164456,99976323.64521479,79017002.3421702,93966824.73690002,99495958.23690574,61241865.61600504,100011800.50622731,100003299.96772249,99863738.83127055,69494573.21723065,85926815.05382272,0,97791000.85089574,56264428.88325546,80205231.9984187,94613499.39326276,77992541.82913003,100013194,1159,0.01341435,960,3960623.3106482797,1229032.0494130511080408555672559,4125.64928193,1280.24171814005605721080971,200,62.0625569772694,2.3064817564138345,,
2016-06-01,468,2174,4591,6635,664,4134,6082,88,3374,7513,6866,6644,6116,3385,90,4144,669,4904,2188,10,2817,27,3869,238,1,4372,1357,7,1614335111,8630,656.49501738,33438433.42300036916043,1.31293053,33438433.42300036916043,25468547.43201930514930119319704,0.5725663716814231,0.1914314315260976762400258664545,0.1,0.0334339285354695,452.9,151.4222623371413655,0,0,0,0,0,0,0.939904498457,23.5402511,,0.0006218950493863236,0.334339285354695,,,0.310312784886347,0.278518332486798,0.310312784886347,0.000037002435,99994552.4,100013474,16760390.17539906,100013474,100013474,100013474,100013474,100013474,100013474,61302512.58306121,100013474,100013474,100,99486556.55784787,100012471.93091425,100013472.61833522,94003114.11893092,100010588.87632367,100013444.02451996,79341805.3280489,99975511.01539143,100013473.9495149,100013472.7083368,100013447.42452572,100012784.93091433,100010688.87632367,99976611.01539143,79541805.704465,94053116.22003465,99500556.98881156,60944780.25839983,100012106.75773596,100005019.23231991,99875546.58947281,69522238.51284057,86827833.14467778,30000001,97972029.44522958,55983862.2378968,80370483.12768233,94782804.45547242,77971185.27700483,100013474,791,0.00915509,669,4248615.42775355,1420479.04586205371235879541725,6350.69570666,2123.2870640698341517737687,150,50.15089280320425,2.3489557295993073,,
2016-06-02,385,2162,4578,6628,670,4124,6069,87,3361,7517,6863,6637,6103,3372,89,4132,675,4883,2176,10,2798,28,3823,232,0,4355,1341,7,1614335111,8594,657.26553409,33131442.184994225086896,1.30169817,33131442.184994225086896,25452476.52699931912207898571245,0.6996875000000105,0.231784691924411643948201724035,0.1,0.033126887635467,447.8,148.342202831621226,0,0,0,0,0,0,0.940766800282,58.60840668,,0.0006148599810052601,0.33126887635467,,,0.334339285354695,0.298584270031955,0.334339285354695,0.000036777601,99994379.6,100013748.8,11736212.87898728,100013748.8,100013748.8,100013748.8,100013748.8,100013748.8,100013748.8,59624226.57193034,100013748.8,100013748.8,100,99488888.2880621,100012749.87397465,100013747.3866406,94089614.44275718,100010879.82510885,100013718.4243991,79269558.17148779,99975941.78472057,100013748.7489599,100013747.47664218,100013721.82440486,100013054.87397473,100010959.82510885,99977041.78472057,79469558.54790389,94139616.54386091,99502888.71902579,60763368.84552474,100012371.34582048,100004293.08704972,99874204.24785689,69748787.95479051,86645166.76969382,0,97954037.00569142,55863907.55858164,80354535.85312917,94817718.6195858,78008755.49125955,100013748.8,640,0.00740741,497,1706474.4542707996,565301.874994236477809474094132,3433.5502098,1137.428319907787437709766,194.99801723,64.5967740591706802509641,2.3660116742239556,,
