time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2018-09-22,10,19,91,94,10,84,94,9,51,94,94,94,94,24,8,57,9,91,10,3,,,,,,,,,1614334992,,,,,,0,500100,,0.999607525087,2.40981275,,2.40981275,,,,,,,,,,,0.000001571245,12155987.16,12155987.16,10395357.3446,12155987.16,12155987.16,12155987.16,12155987.16,12155987.16,12155987.16,12155401.18,12155987.16,12155987.16,100,12154149.1776958,12155986.86,12155987.16,12151216.24,12155979.5486,12155987.16,12149068.33,12155809.060041478987654322,12155987.16,12155987.16,12155987.16,12155986.86,12155869.560041478987654322,12154650.1776958,12124068.33,12149068.33,12151216.24,9916184.6,,,,,,,,,12155987.16,12149068.33,4844185.5,12155987.16,12155987.16,7,0.00008102,7,5044370,,720624.28571429,,200000,,1.5432557054427263,,,,
2018-09-23,3,19,91,94,10,84,94,9,51,94,94,94,94,24,8,57,9,91,10,3,,,,,,,,,1614334992,,,,,,0,0,,0.999607525087,2267908.05223881,,2267908.05223881,,,,,,,,,,,0.000001571245,12155987.16,12155987.16,3777886.24,12155987.16,12155987.16,12155987.16,12155987.16,12155987.16,12155987.16,12155397.04,12155987.16,12155987.16,100,12154143.8176958,12155986.86,12155987.16,12151216.24,12155979.5486,12155987.16,12149068.33,12155809.060041478987654322,12155987.16,12155987.16,12155987.16,12155986.86,12155869.560041478987654322,12154644.8176958,12124068.33,12149068.33,12151216.24,9916184.6,,,,,,,,,12155987.16,12149068.33,4844185.5,12155987.16,12155987.16,2,0.00002315,2,5.36,,2.68,,2.68,,1.54325614637771,,,,
2018-09-24,25,20,103,106,11,93,106,10,61,106,106,106,106,26,9,68,11,103,11,4,,,,,,,,,1614334992,,,,,,0,1010400,,0.99956075422,12.71733132,,12.71733132,,,,,,,,,,,0.000002355147,13166387.16,13166387.16,6058386.33,13166387.16,13166387.16,13166387.16,13166387.16,13166387.16,13166387.16,13165781.54,13166387.16,13166387.16,100,13164023.8276958,13166386.86,13166387.16,13160603.88,13166375.7582986,13166387.16,13150603.88,13166189.060041478987654322,13166387.16,13166387.16,13166387.16,13166386.86,13166262.560041478987654322,13164649.8276958,13125603.88,13160603.88,13160603.88,10916259.6,,,,,,,,,13166383.86,13150603.88,4841185.5,13166387.16,13166387.16,26,0.00030093,26,1035310.54,,39819.63615385,,22.5,,1.5034581772057294,,,,
2018-09-25,12,20,107,110,11,97,110,10,62,110,110,110,110,26,9,70,11,107,11,4,,,,,,,,,1614334992,,,,,,0,0,,0.999557716181,34.64282618,,34.64282618,,,,,,,,,,,0.000002555756,13166387.16,13166387.16,5678478.58,13166387.16,13166387.16,13166387.16,13166387.16,13166387.16,13166387.16,13165070.54,13166387.16,13166387.16,100,13163980.3276958,13166386.86,13166387.16,13160563.88,13166375.7582986,13166387.16,13150563.88,13166173.560041478987654322,13166387.16,13166387.16,13166387.16,13166386.86,13166257.060041478987654322,13164606.3276958,13125563.88,13160563.88,13160563.88,10536259.6,,,,,,,,,13166379.5486,13160563.88,4461185.5,13166387.16,13166387.16,8,0.00009259,8,380061,,47507.625,,6.75,,1.5323241823885816,,,,
2018-09-26,8,22,108,111,14,98,111,13,64,111,111,111,111,28,11,72,14,108,14,4,,,,,,,,,1614334992,,,,,,0,0,,0.9995731645,14.12227236,,14.12227236,,,,,,,,,,,0.000002555756,13166383.76,13166383.76,8166385.29,13166383.76,13166383.76,13166383.76,13166383.76,13166383.76,13166383.76,13165007.903,13166383.76,13166383.76,100,13163980.3276958,13166383.46,13166383.76,13160763.88,13166372.3582986,13166383.76,13150763.88,13166173.560041478987654322,13166383.76,13166383.76,13166383.76,13166383.46,13166257.060041478987654322,13164606.3276958,13075743.88,13160763.88,13160763.88,9653969.6,,,,,,,,,13166374.9186,13075743.88,4461185.5,13166383.76,13166383.76,7,0.00008102,6,932313.4,,155385.56666667,,25010,,1.603134712211861,,,,
2018-09-27,17,25,113,116,18,103,116,15,69,116,116,116,116,31,13,77,16,113,18,6,,,,,,,,,1614334992,,,,,,0,1382245,,0.999642688017,2.71181602,,2.71181602,,,,,,,,,,,0.000004457995,14143774.19,14143774.19,7759193.6676958,14143774.19,14143774.19,14143774.19,14143774.19,14143774.19,14143774.19,12001865.5026,14143774.19,14143774.19,100,14141235.7576958,14143773.89,14143774.19,14138720.45,14143762.7882986,14143774.19,14124688.6617,14143563.990041478987654322,14143774.19,14143774.19,14143774.19,14143773.89,14143647.490041478987654322,14141861.7576958,14049668.6617,14134688.6617,14138720.45,10048451.49,,,,,,,,,14143757.9922986,13647711.3317,2557585.1,14143774.19,14143774.19,24,0.00027778,23,5215609.7883,,226765.64296957,,1570.6483,,1.8611083770603187,,,,
2018-09-28,65,43,157,160,30,145,160,24,115,160,160,160,160,53,19,122,25,157,31,6,,,,,,,,,1614334993,,,,,,0,936606.59,,0.999356504245,4.653478,,4.653478,,,,,,,,,,,0.000005598133,15080380.78,15080380.78,8565501.7076958,15080380.78,15080380.78,15080380.78,15080380.78,15080380.78,15080380.78,12602854.6046,15080380.78,15080380.78,100,15076212.5924958,15080380.48,15080380.78,15070676.61898,15080366.4622986,15080380.78,15047494.54108,15080182.680041478987654322,15080380.78,15080380.78,15080380.78,15080380.48,15080256.180041478987654322,15077306.2177958,14913420.53408,15057494.54108,15071676.61898,9283776.49,,,,,,,,,15079864.440141478987654322,14581537.20408,2557585.1,15080380.78,15080380.78,94,0.00108796,94,3240668.7576200003,,34475.19954915,,30,,1.9604123939023324,,,,
2018-09-29,37,59,179,183,42,166,183,30,132,183,183,183,183,69,18,140,33,179,43,6,,,,,,,,,1614334993,,,,,,0,0,,0.999148753258,24.06517424,,24.06517424,,,,,,,,,,,0.000006028226,15080380.78,15080380.78,5281241.4793958,15080380.78,15080380.78,15080380.78,15080380.78,15080380.78,15080380.78,10532045.5976958,15080380.78,15080380.78,100,15075997.3526458,15080380.38,15080380.78,15067543.655,15080365.3622986,15080380.78,15003152.83997,15080147.849641478987654322,15080380.78,15080380.78,15080380.78,15080380.38,15080236.349641478987654322,15077090.9779458,14460911.50457,15038267.47587,15068543.655,9283776.49,,,,,,,,,15079067.429641478987654322,14460911.50457,2557585.1,15080380.78,15080380.78,40,0.00046296,40,626647.47951,,15666.18698775,,996.96685,,2.001966217287288,,,,
2018-09-30,78,29,125,129,20,112,129,17,82,129,129,129,129,35,12,89,18,125,20,6,,,,,,,,,1614334993,,,,,,0,0,,0.99957476768,2.17364959,,2.17364959,,,,,,,,,,,0.000004430132,15080380.78,15080380.78,5317848.0367,15080380.78,15080380.78,15080380.78,15080380.78,15080380.78,15080380.78,10532478.8976958,15080380.78,15080380.78,100,15077396.7356958,15080380.38,15080380.78,15073968.1147,15080365.3622986,15080380.78,15054289.4707,15080181.578041478987654322,15080380.78,15080380.78,15080380.78,15080380.38,15080255.078041478987654322,15078001.2456958,14847487.1407,15064289.4707,15073968.1147,11763966.168934,,,,,,,,,15080313.8176958,14847487.1407,3480189.678934,15080380.78,15080380.78,84,0.00097222,84,6937815.947064,,83342.3207699,,167.02765,,2.4661955392654566,,,,
2018-10-01,31,35,133,137,24,119,137,21,87,137,137,137,137,40,13,95,22,133,24,6,,,,,,,,,1614334993,,,,,,0,0,,0.999510785936,2.74298709,,2.74298709,,,,,,,,,,,0.000004249152,15079830.78,15079830.78,8886663.8283958,15079830.78,15079830.78,15079830.78,15079830.78,15079830.78,15079830.78,10532028.8976958,15079830.78,15079830.78,100,15076925.7356958,15079830.38,15079830.78,15072453.5147,15079814.3622986,15079830.78,15052774.8707,15079615.578041478987654322,15079830.78,15079830.78,15079830.78,15079830.38,15079699.078041478987654322,15077430.2456958,14651170.0507,15062774.8707,15072453.5147,11546495.078934,,,,,,,,,15079727.8176958,14651170.0507,3863759.588934,15079830.78,15079830.78,44,0.00050926,43,5497594.52,,130201.8844186,,65263,,2.8375549742117547,,,,
