time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevNtv,RevUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2018-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6615178821969,0.0108446391233197,0.329940295987892,60.7051736481441,68.6615178821969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7606864035685,0.0136564059281122,0.412037812133436,76.7085551643178,86.7606864035685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.253325434629,0.0174027019994155,0.52736574286732,97.4351280031772,110.253325434629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.531926844519,0.0176456250578609,0.535466136256416,99.5189452449523,111.531926844519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.151546698408,0.0320921405061368,0.987878140877159,178.407375402878,201.151546698408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,42773,8200,1098331,5481119,977,303378,2642115,92,90041,16630523,6283868,3624854,1429600,15074,7,119778,185,460473,1737,0,379152,1436,1342106,11474,6,2993098,109456,125,1614335794,136,3166261.11764706,712595588.080274596727534225875,16.25347402,0.00351677,1618019979.595201460847182802375,350091.164901404905890737375,99549178.0740112474534496055,520105776777.440491,547055033829.563,0.00000001,0.00000475570565678628,0.0004407133448491109803526469795,0.000005,0.0004633522095929375,5.75700046,533.50377675371152005025,3698418.43981227,1700,3.55385038106078,0.00973657638646788,157539.75126159875,1700,157539.75126159875,0.47425509248,17.48559088,,0.00378336,,0.016731863832554057,92.6704419185875,,,171.632950895271,0.0307902756119228,0.971468546207799,152.195068908788,171.632950895271,158073.25503835245,1705.75700046,158073.25503835246152005025,0.035322806231,15442138.42422091,4791625.8250544,1828205.75026491,7689567.17295361,11162841.9525229,3191245.37804672,12131048.12614452,12735905.3310444,13779635.48500284,2579780.95800131,3989722.80240205,15442138.42422091,44.041211,11646713.33939067,17336894.88164191,17454570.01182988,8280463.53476666,16878163.74196502,17434364.41007981,4583231.93142344,15770539.35419894,17455582.364648,17445539.2805517,17379389.97453,17063232.0815991,16140394.2772368,12456084.3475336,1291244.93054373,5621566.2599212,9202870.50396994,0,17439175.77821322,17370496.57601267,16981194.28831962,8898786.56731625,12093560.11188906,1190283.37293139,16035860.96770086,5018831.81928151,4706253.46991988,17398885.26726373,16470158.00542973,17459935.94178237,20394387.5,3777.80830277,1210546,14.0109490740741,400458,998532.79540494,92534475.42037830757757532225,5.54357713962436,513.7257433387686812874517915,0.00023914,0.02216120948041101475,0.127146503949491,,
2018-11-16,11859,8159,1097432,5483511,970,302647,2643176,86,89816,16633662,6286436,3626014,1428759,15013,8,119457,179,459739,1723,0,483898,1820,1466485,16020,9,3763846,123342,188,1614335794,163,1196781.12883436,806419237.94384222965772018305,13.36938567,0.2738953,1825624714.23339470714269325885,37401121.91860841258744824655,136552625.465897704787097860525,622093728913.313232,547179073081.568,0.00000001,0.00000465800514094378,0.0004869878729734901728934764369,0.000005,0.000522742953515525,2.47898102,259.1739720207457500671,4433668.33914782,2037.5,4.25889721158624,0.0116682115385925,213017.7535575764375,2037.5,213017.7535575764375,0.476232614015,40.20815437,,0.82373451,,0.019022613163062464,104.548590703105,,,92.6704419185875,0.0167318638325541,0.521834458932735,81.7684531009477,92.6704419185875,371350.18256794964,2039.97898102,213276.9275295971832500671,0.035311891778,15442189.0667965,4845955.16874619,1423942.68876929,7713343.93434241,11160370.16410141,3405490.73140928,12130609.28201163,12735830.00214188,13775310.88948415,2823667.90731646,4168629.11998656,15442189.0667965,44.172235,11661267.6706307,17338868.34575272,17456607.14999556,8315961.25803768,16880191.57811292,17436394.80137728,4623036.40083399,15775615.03858024,17457619.8054472,17447571.3214671,17381373.8978084,17065264.0701476,16144273.510444,12468198.351878,1631021.59420277,5661370.72933175,9228751.67365856,0,17448926.40877828,17385088.28669961,17089173.0905383,9324407.67131619,12567833.92856789,1730146.85086961,16182664.13018433,5750583.11174094,4832285.61191813,17400947.0752892,16475522.39150868,17461973.44178237,20394642.1875,357739.13036111,532198,6.15969907407407,402566,434289.35534151,45404340.05831485615829238855,1.39881942883773,146.24459993310694481365215165,0.0004228,0.044203144149272794,0.15937986423172,,
2018-11-17,7706,8159,1097242,5484274,969,302553,2642934,86,89799,16634813,6287289,3625843,1428596,15007,8,119430,179,459636,1723,0,499311,1935,1504919,16726,10,3852241,127300,199,1614335794,126,5168449.0952381,861585108.00765605965407726921,13.38765407,0.33889546,1953812111.03354026327639931239,49458856.53795980167966153644,145941335.3100703075698999586,541167814692.453308,607151978365.876,0.00000001,0.00000326008718858796,0.00036473674599011284535795310948,0.00000192,0.00021480853480005696,6.96785281,779.55950667633316505003,3802892.75739207,1575,3.29185676048118,0.00901878564515392,176210.126203171725,1575,176210.126203171725,0.476298335368,205.63924376,,5.20555779,,0.020337678098188296,111.879445208363,,,104.548590703105,0.0190226131630625,0.607744454038713,91.4849518768248,104.548590703105,548339.8682777977,1581.96785281,176989.68570984805816505003,0.035305771167,15442272.00968871,4875903.58356148,440442.62055465,7701013.41138267,11158882.11493887,3453755.72036168,12128801.06216394,12734921.76727218,13771595.19337109,2819694.25304241,4198389.59412097,15442272.00968871,44.097644,11664496.71324023,17340436.35791599,17458181.97343608,8317859.05242395,16881795.65256597,17437964.95916192,4627889.99515281,15777649.01230336,17459194.7784133,17449142.7091711,17382947.1288625,17066855.0142894,16146195.6408135,12470885.9792872,1631021.59420277,5666224.32365057,9232429.92272117,0,17451317.25571308,17390219.81426649,17105075.86080514,9434053.50817899,12636197.55376915,1821366.38478195,16221208.25877084,5856930.35380488,4837139.20623695,17402538.89134694,16477555.08442776,17463548.44176053,20394839.0625,442072.77257988,2137321,24.7375115740741,617998,84923.22828313,9501163.66561974587760781619,0.157272772234845,17.595590504015694902194008735,0.00010237,0.01145309880598012031,0.164931040485287,,
2018-11-18,9876,8167,1097019,5483884,958,302450,2643592,87,89772,16634657,6286976,3626585,1428384,15009,8,119380,180,459530,1747,0,368818,1327,1315211,11062,7,2953110,106871,116,1614335794,128,6836617.4765625,684460989.213472695792502145952,10.26135096,0.29843087,1551095228.322450701372429954097,45110502.081171804407411563763,151158968.739277172191770164373,445629418948.521729,490676109566.574,0.00000001,0.0000020220072730383,0.00017957624828105088136413891267,0.00000192,0.000170516892444969408,8.79414234,781.015533091422703592466,3122130.13854363,1600,3.34380209791753,0.00916110163813023,142097.41037080784,1600,142097.41037080784,0.474859203055,150.73885509,,4.38393808,,0.01598647437580361,88.8108814817549,,,111.879445208363,0.0203376780981882,0.64923199506334,97.9321851084739,111.879445208363,691218.294181697,1608.79414234,142878.425903899262703592466,0.035299481418,15443269.69417067,4889210.859453,157942.85825892,7706949.61916448,11158798.18987936,3458211.69337142,12129141.29133003,12735456.90678919,13770553.59579785,2825570.25305988,4239160.70285491,15443269.69417067,44.127593,11668996.68863942,17342015.40148415,17459781.81817035,8293486.47029551,16883428.76871526,17439569.15153321,4640989.66173915,15779695.65014112,17460794.7680319,17450748.3155932,17384528.6658444,17068479.1157403,16147930.5243885,12474428.3398822,1631020.59420277,5683690.84009092,9241822.25602885,0,17443925.61318107,17372806.36240987,16976096.30955341,8810237.96030905,12073576.92908178,1530059.03659043,16019266.57103789,5036948.3791702,4838568.51874182,17404133.4646652,16479552.94730254,17465148.44176053,20395039.0625,507938.90713087,4349214,50.338125,731663,115863.61347284,10289949.644184253494286686916,0.233672505612502,20.7526612014966218083623397598,0.00005154,0.004577312831569647546,0.174705113541603,,
2018-11-19,510261,8167,1096439,5482814,962,302168,2642768,88,89715,16764479,6285870,3625725,1427773,15001,8,119313,180,459182,1754,0,306857,991,1115433,8377,3,2668612,90987,88,1614335795,117,5374783.58119658,458445943.68282717500464639344,7.5447878,0.25742177,1039472979.296585495664514816755,35465937.248939913898232049765,137773653.398080574281170557507,366367842495.348511,449199518577.788,0.00000001,0.00000205328557220245,0.000122195134373837882705586717075,0.00000192,0.00011426304318016032,6.40604771,381.236721928071424671285,2612590.01476219,1462.5,3.05618818544655,0.00837311831629192,87036.30242238774375,1462.5,87036.30242238774375,0.475086880904,77.28290121,,2.6368271,,0.012418513701928695,59.5120016563335,,,88.8108814817549,0.0159864743758036,0.507817154330006,77.7943030283252,88.8108814817549,778635.8333260128,1468.90604771,87417.539144315815174671285,0.03527074493,15444031.83474672,4938401.31052751,584370.47072136,7703419.99804064,11157911.6186684,3518264.15860331,12129097.96502639,12734389.28597315,13765256.39928362,2838761.51208435,4293259.04823265,15444031.83474672,44.10369,11674678.07572483,17343456.73754288,17461241.04847716,8298157.71228298,16885037.54738708,17441029.70561964,4642886.82011087,15782379.34842943,17462253.98542,17452208.5758376,17385966.9538577,17070015.4934569,16150507.5914254,12479158.4089525,1574838.46878018,5666100.01450483,9249704.55193069,0,17441472.23636963,17346707.70739331,16893066.03844012,8347583.9567518,11710586.72216199,979659.18486357,15804131.83145228,4642886.82011087,4824202.53219729,17406476.12883201,16488832.19021201,17466610.94176053,20395221.875,595945.96487859,3119901,36.1099652777778,1712349,226008.73760897,13450232.366930866034446911495,0.236622423551507,14.0818740623229315635500195845,0.00003585,0.002133505259379555975,0.197887897280681,,
