time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2025-08-07,874,66973,1754613126,1754613126,1.084090165522632764,2480454943.623960402337696565131641222158416,0,0,0.000002014985240084685,0.236649768080507,-39.63821983215074,22.314615061859747,10481543944.636881046876053488,1687,2165,18469.4114066356
2025-08-08,911,67112,1754699622,1754699622,1.089786875595664043,2560072873.731621633539608032450078752437568,0,0,0.0000020922078198898663,0.244245779749036,-43.33478679017321,17.47955621150934,10481543944.636881046876053488,1706,2159,98999.2165226273
2025-08-09,771,67217,1754785866,1754785866,1.094911063367387795,2599635477.002250481011898230231342251554032,0,0,0.0000021287164762046276,0.248020281242289,-41.05342519799231,12.57261578284227,10481543944.636881046876053488,1383,1846,112705.991395177
2025-08-10,822,67332,1754872304,1754872304,1.084355624684058093,2523175655.187365808676008571804852817336288,0,0,0.000002019692850626612,0.240725571396226,-43.131519439632555,5.225354525679466,10481543944.636881046876053488,1479,1964,59085.3061244512
2025-08-11,907,67460,1754958878,1754958878,1.077342299094680801,2484215847.8372269400230806921591213313488,0,0,0.0000019959954708544706,0.2370085801251,-41.92480405381811,5.013773885903596,10481543944.636881046876053488,1439,1799,72838.0215551637
2025-08-12,956,67543,1755045035,1755045035,1.091496000199968157,2598556534.131598956130747619381199580462944,0,0,0.0000020633243453975514,0.247917343843338,-41.42850346790963,6.768154362071707,10481543944.636881046876053488,1540,1965,60875.0222528866
2025-08-13,987,67706,1755131617,1755131617,1.099259600233872955,2689523931.15801436594643100097003620652912,0,0,0.000002078666477104782,0.25659616039049,-39.48066018221999,12.158048476362342,10481543944.636881046876053488,1624,2103,189438.095015284
2025-08-14,996,67887,1755218041,1755218041,1.072721552662207524,2496831946.01620592200218358082833670507224,0,0,0.0000020100555537302005,0.238212228962105,-43.277828823623246,2.1570678386626576,10481543944.636881046876053488,1683,2082,139824.479427001
2025-08-15,1165,67853,1755304381,1755304381,1.065012045641046132,2442795337.550461595948213050409013113765856,0,0,0.0000019866543329118694,0.233056823541762,-42.13568987449563,0.15837010183604672,10481543944.636881046876053488,1882,2278,44186.3337112951
2025-08-16,960,67865,1755390777,1755390777,1.070713198966400508,2480983744.003298845096671611492059731432768,0,0,0.0000020151143225509903,0.236700218699436,-41.35679816400002,-0.5808154648591647,10481543944.636881046876053488,1585,2108,52694.5262109601
