time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,FeeTotNtv,HashRate,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2014-01-10,4,4,1614335464,1614335464,4,,,0,0.0000000364094444444444,200,,,,,,200,0,0,
2014-01-11,5871,3338,1614335464,1614335464,9552,,,0.117,0.00411637360912037,477600,,,,,,477800,1432,1618,
2014-01-12,3615,3401,1614335464,1614335464,2890,,,0.819,0.0269734490607292,144500,,,,,,622300,2283,4027,
2014-01-13,2131,3481,1614335465,1614335465,1112,,,1.023,0.0337614442098032,55600,,,,,,677900,1634,3199,
2014-01-14,2231,3624,1614335465,1614335465,1145,,,4.74804701,0.0590873256263889,57250,,,,,,735150,1468,2877,
2014-01-15,2692,3600,1614335465,1614335465,976,,,4.04600769,0.0696877341875,48800,,,,,,783950,1743,3249,
2014-01-16,2038,3463,1614335465,1614335465,708,,,1.998,0.0611196956293519,35400,,,,,,819350,1294,2590,
2014-01-17,919,3449,1614335466,1614335466,387,,,1.32200002,0.0433070470135185,19350,,,,,,838700,627,1205,
2014-01-18,1460,3309,1614335466,1614335466,442,,,0.711,0.0494777402408333,22100,,,,,,860800,980,1905,
2014-01-19,1948,3324,1614335466,1614335466,761,,,2.967,0.0852677609592593,38050,,,,,,898850,1620,3217,
2014-01-20,3112,3317,1614335466,1614335466,1193,,,1.536,0.125590178815752,59650,,,,,,958500,2601,5128,
2014-01-21,3124,3224,1614335467,1614335467,1207,,,12.4884763,0.164271107126968,60350,,,,,,1018850,2521,4950,
2014-01-22,2838,3290,1614335467,1614335467,758,,,2.4254844,0.212721392413646,37900,,,,,,1056750,2235,4377,
2014-01-23,3559,3415,1614335467,1614335467,1047,,,2.86700001,0.294732480044062,52350,,,,,,1109100,2877,5681,
2014-01-24,4182,3649,1614335468,1614335468,904,,,5.31,0.357001224768125,45200,,,,,,1154300,3411,6765,
2014-01-25,4492,3825,1614335468,1614335468,1042,,,3.44725139,0.411559551476875,52100,,,,,,1206400,3819,7582,
2014-01-26,2580,3938,1614335468,1614335468,532,,,1.26631204,0.337973659121852,26600,,,,,,1233000,1908,3775,
2014-01-27,1918,3982,1614335468,1614335468,353,,,10.93,0.235263550931852,17650,,,,,,1250650,1238,2448,
