time,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapMrktCurUSD,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevNtv,RevUSD,SER,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VtyDayRet180d,VtyDayRet30d
2016-01-30,236,1614334987,344,492.50872093,,0.00000006,0.0000494552083333333,,0.0000374,,0.0094954,,86000,21536.730465,59.004741,,86000,,0.999864770502,1.24226178,,,,,,,,,,145751.0094954,,0,145751,192,0.00222222,522,117327.12204685,,627.06003222,,87.30224653,,,
2016-01-31,1196,1614334987,1369,1158.73338203,,0.00000008,0.000115838204193254,,0.00009099,,0.12707451,,342250,25598.564345,70.133053,,342250,,0.999502385517,1.3323115,,,,,,,,,,342250.127074511,,0,488001,1097,0.01269676,15820,366281.45970463,,25.55327871,,4.350694435,,,
2016-02-01,1128,1614334988,1361,1782.18295371,,0.00000009,0.000213985504950495,,0.00008175,,0.21612536,,340250,14994.39783,41.080542,,340250,,0.999361282698,1.40372378,,,,,,,,,,340250.216125361,,0,828251,1010,0.01168981,12679,590038.44668783,,51.51238759,,4.20276203,,,
2016-02-02,900,1614334988,1366,1417.41288433,,0.00000009,0.000237773489655172,,0.00008868,,0.17238578,,341500,10655.900155,29.194247,,341500,,0.998799742519,1.98691749,,,,,,,,,,341500.172385781,,0,1169751,725,0.0083912,8958,588726.51013523,,80.84120937,,4.61965685,,,
2016-02-03,858,1614334988,1354,1100.78508124,,0.00000008,0.000178462492492492,,0.00005805,,0.11885602,,338500,8191.77311,22.443214,,338500,,0.998744417824,2.64366478,,,,,,,,,,338500.118856021,,0,1508251,666,0.00770833,5099,570515.22268243,,155.30758936,,9.12829032,,,
2016-02-04,986,1614334988,1353,868.4331116,,0.00000009,0.000129887082262211,,0.0000373,,0.10105215,,338250,6686.22695,18.31843,,338250,,0.998191049746,4.10432163,,,,,,,,,,338250.101052149,,0,1846501,778,0.00900463,2610,449891.88675694,,217.21505519,,34.891232025,,,
2016-02-05,840,1614334988,1342,955.4314456,,0.00000008,0.000161797325769854,,0.00003776,,0.09982895,,335500,5612.293655,15.376147,,335500,,0.997801920213,4.16999368,,,,,,,,,,335500.09982895,,0,2181951,617,0.0071412,2295,523250.43319041,,342.12399296,,16.5293069,,,
2016-02-06,985,1614334988,1329,1002.86155004,,0.00000008,0.000143701462140992,,0.00002297,,0.11007532,,332250,4823.45091,13.214934,,332250,,0.997547704705,4.20427441,,,,,,,,,,332250.11007532,,0,2514201,766,0.00886574,1916,598010.68044274,,425.33702067,,38.76246038,,,
2016-02-07,1113,1614334988,1378,608.28664731,,0.00000007,0.0000650793679458239,,0.00002312,,0.05766032,,344500,4398.58872,12.050928,,344500,,0.997746400647,7.55815628,,,,,,,,,,344500.05766032,,0,2858701,886,0.01025463,2021,378227.29410689,,394.35370077,,44.44589887,,,
2016-02-08,618,1614334988,1361,538.39382807,,0.00000006,0.000121631625344353,,0.00005218,,0.04415228,,340250,3882.249135,10.636299,,340250,,0.997618737413,8.80185288,,,,,,,,,,340250.04415228,,0,3198951,363,0.00420139,926,363440.63495709,,744.87830634,,31.18866999,,,
2016-02-09,1054,1614334989,1378,777.0413643,,0.00000008,0.00010262,,0.00002332,,0.08476412,,344500,3548.588765,9.722161,,344500,,0.997582035721,5.6844761,,,,,,,,,,344500.08476412,,0,3543451,826,0.00956019,1820,623355.77380349,,390.87959082,,44.527476395,,,
2016-02-10,976,1614334989,1353,727.49815225,,0.00000009,0.000122711150684932,,0.00002347,,0.08957914,,338250,3180.596495,8.713963,,338250,,0.997595601366,7.41968904,,,,,,,,,,338250.08957914,,0,3881701,730,0.00844907,1584,523162.22165498,,441.73990796,,46.66803546,,,
2016-02-11,513,1614334989,1376,564.77906977,,0.00000007,0.000197691530612245,,0.00002347,,0.05812131,,344000,2971.341265,8.140661,,344000,,0.997561951265,9.51917305,,,,,,,,,,344000.05812131,,0,4225701,294,0.00340278,582,443914.71593013,,2175.54432748,,49.99968085,,,
2016-02-12,635,1614334989,1364,572.85483871,,0.00000009,0.000180678026315789,,0.00003886,,0.06865765,,341000,2725.490405,7.467097,,341000,,0.99786350418,5.45623566,,,,,,,,,,341000.06865765,,0,4566701,380,0.00439815,758,836969.16377697,,1306.19001524,,49.999594805,,,
2016-02-13,438,1614334989,1364,512.68841642,,0.00000014,0.000355292783882784,,0.00005412,,0.09699493,,341000,2536.11636,6.948264,,341000,,0.997925777182,8.55226272,,,,,,,,,,341000.09699493,,0,4907701,273,0.00315972,546,573848.25073259,,1124.00620434,,49.998521285,,,
2016-02-14,502,1614334989,1148,513.3902439,,0.00000011,0.000201945723076923,,0.0000386,,0.06563236,,287000,2016.574265,5.524861,,287000,,0.997631780067,9.16582159,,,,,,,,,,287000.06563236,,0.000023385248,5194701,325,0.00376157,644,566746.90291472,,968.05733537,,65.838952835,,,
2016-02-15,709,1614334989,1404,841.6011396,,0.0000001,0.000243723167701863,,0.0000294,,0.11771829,,351000,2310.167855,6.329227,,351000,,0.997509483327,7.16638791,,,,,,,,,,351000.117718289,,0.000026750956,5545701,483,0.00559028,965,773848.84360167,,1079.44740095,,49.99754358,,,
