time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktEstUSD,IssTotNtv,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-08-22,3,2,1614334987,1614334987,,200000000,,,,,,200000000,2,2,
2017-08-23,0,2,1614334987,1614334987,,0,,,,,,200000000,0,0,
2017-08-24,0,2,1614334987,1614334987,,0,,,,,,200000000,0,0,
2017-08-25,0,2,1614334987,1614334987,,0,,,,,,200000000,0,0,
2017-08-26,0,2,1614334987,1614334987,,0,,,,,,200000000,0,0,
2017-08-27,0,2,1614334987,1614334987,,0,,,,,,200000000,0,0,
2017-08-28,0,2,1614334987,1614334987,,0,,,,,,200000000,0,0,
2017-08-29,0,2,1614334988,1614334988,,0,,,,,,200000000,0,0,
2017-08-30,0,2,1614334988,1614334988,,0,,,,,,200000000,0,0,
2017-08-31,0,2,1614334988,1614334988,,0,,,,,,200000000,0,0,
2017-09-01,0,2,1614334988,1614334988,,0,,,,,,200000000,0,0,
2017-09-02,2,3,1614334988,1614334988,,0,,,,,,200000000,1,1,
2017-09-03,0,3,1614334988,1614334988,,0,,,,,,200000000,0,0,
2017-09-04,0,3,1614334988,1614334988,,0,,,,,,200000000,0,0,
2017-09-05,0,3,1614334988,1614334988,,0,,,,,,200000000,0,0,
2017-09-06,0,3,1614334988,1614334988,,0,,,,,,200000000,0,0,
2017-09-07,5,7,1614334989,1614334989,,0,,,,,,200000000,11,11,
2017-09-08,40,44,1614334989,1614334989,,0,,,,,,200000000,51,51,
2017-09-09,17,60,1614334989,1614334989,,0,,,,,,200000000,17,17,
2017-09-10,49,106,1614334989,1614334989,,0,,,,,,181043076.000076,55,53,
2017-09-11,79,182,1614334989,1614334989,,0,,,,,,181043076.000076,90,90,
2017-09-12,64,244,1614334989,1614334989,,0,,,,,,181043076.000076,64,64,
2017-09-13,19,260,1614334989,1614334989,,0,,,,,,181043076.000076,18,18,
2017-09-14,3,261,1614334989,1614334989,,0,,,,,,181043076.000076,2,2,
2017-09-15,5,265,1614334989,1614334989,,0,,,,,,181043076.000076,4,4,
2017-09-16,10,272,1614334990,1614334990,,0,,,,,,181043076.000076,10,10,
2017-09-17,225,478,1614334990,1614334990,,0,,,,,,181043076.000076,251,251,
2017-09-18,159,619,1614334990,1614334990,,0,,,,,,181043076.000076,174,174,
2017-09-19,98,709,1614334990,1614334990,,0,,,,,,181043076.000076,95,95,
2017-09-20,72,769,1614334990,1614334990,,0,,,,,,181043076.000076,71,71,
2017-09-21,40,804,1614334990,1614334990,,0,,,,,,181043076.000076,38,38,
2017-09-22,11,812,1614334990,1614334990,,0,,,,,,181043076.000076,10,10,
2017-09-23,29,832,1614334990,1614334990,,0,,,,,,181043076.000076,37,37,
2017-09-24,17,843,1614334990,1614334990,,0,,,,,,181043076.000076,16,16,
2017-09-25,41,865,1614334991,1614334991,,0,,,,,,181043076.000076,38,38,
2017-09-26,27,886,1614334991,1614334991,,0,,,,,,181043076.000076,24,24,
2017-09-27,18,893,1614334991,1614334991,,0,,,,,,181043076.000076,14,14,
2017-09-28,15,900,1614334991,1614334991,,0,,,,,,181043076.000076,15,15,
2017-09-29,12,911,1614334991,1614334991,,0,,,,,,181043076.000076,11,11,
2017-09-30,31,932,1614334991,1614334991,,0,,,,,,181043076.000076,26,26,
2017-10-01,13,939,1614334991,1614334991,,0,,,,,,181043076.000076,9,9,
2017-10-02,21,950,1614334991,1614334991,,0,,,,,,181043076.000076,16,16,
2017-10-03,9,953,1614334991,1614334991,,0,,,,,,181043076.000076,12,12,
2017-10-04,13,960,1614334991,1614334991,,0,,,,,,181043076.000076,9,9,
2017-10-05,22,972,1614334992,1614334992,,0,,,,,,181043076.000076,17,17,
2017-10-06,33,990,1614334992,1614334992,,0,,,,,,181043076.000076,37,37,
2017-10-07,31,1005,1614334992,1614334992,,0,,,,,,181043076.000076,26,26,
2017-10-08,25,1014,1614334992,1614334992,,0,,,,,,181043076.000076,20,20,
2017-10-09,20,1026,1614334992,1614334992,,0,,,,,,181043076.000076,16,16,
2017-10-10,12,1034,1614334992,1614334992,,0,,,,,,181043076.000076,13,13,
2017-10-11,21,1046,1614334992,1614334992,,0,,,,,,181043076.000076,16,16,
