time,AdrActCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMrktEstUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-06-29,,,,,,,,,,,,,,,,,128580.494239309
2017-06-30,,,,,,,,,,,,,,,,,114423.432534985
2017-07-01,,,,,,,,,,,,,,,,,265388.658498634
2017-07-02,,,,,,,,,,,,,,,,,36302550.9048008
2017-07-03,,,,,,,,,,,,,,,,,83991786.2779739
2017-07-04,,,,,,,,,,,,,,,,,58086671.512428
2017-07-05,,,,,,,,,,,,,,,,,27264746.2019363
2017-07-06,,,,,,,,,,,,,,,,,31369285.6460158
2017-07-07,,,,,,,,,,,,,,,,,22919004.5891029
2017-07-08,,,,,,,,,,,,,,,,,25789297.3002317
2017-07-09,,,,,,,,,,,,,,,,,18273875.849289
2017-07-10,,,,,,,,,,,,,,,,,23744551.6165477
2017-07-11,,,,,,,,,,,,,,,,,22669767.0367709
2017-07-12,,,,,,,,,,,,,,,,,21166567.9475684
2017-07-13,,,,,,,,,,,,,,,,,13573722.745804
2017-07-14,,,,,,,,,,,,,,,,,11562753.5421459
2017-07-15,,,,,,,,,,,,,,,,,9191610.50199594
2017-07-16,,,,,,,,,,,,,,,,,8516042.61823532
2017-07-17,,,,,,,,,,,,,,,,,11236391.0605472
2017-07-18,,,,,,,,,,,,,,,,,11604203.3560995
2017-07-19,,,,,,,,,,,,,,,,,11170974.7045224
2017-07-20,,,,,,,,,,,,,,,,,8703385.64731351
2017-07-21,,,,,,,,,,,,,,,,,11239592.0658168
2017-07-22,,,,,,,,,,,,,,,,,8789063.05717688
2017-07-23,,,,,,,,,,,,,,,,,12495634.8560634
2017-07-24,,,,,,,,,,,,,,,,,8814497.63386907
2017-07-25,,,,,,,,,,,,,,,,,10075490.5070635
2017-07-26,,,,,,,,,,,,,,,,,10339422.6275469
2017-07-27,,,,,,,,,,,,,,,,,15611758.5462316
2017-07-28,,,,,,,,,,,,,,,,,17754373.0982644
2017-07-29,,,,,,,,,,,,,,,,,14961700.9335626
2017-07-30,,,,,,,,,,,,,,,,,12679013.1233489
2017-07-31,,,,,,,,,,,,,,,,,12660612.5817063
2017-08-01,,,,,,,,,,,,,,,,,13905280.842006
2017-08-02,,,,,,,,,,,,,,,,,10815470.1942502
2017-08-03,,,,,,,,,,,,,,,,,8405956.5772185
2017-08-04,,,,,,,,,,,,,,,,,10672553.3584294
2017-08-05,,,,,,,,,,,,,,,,,14012222.5405217
2017-08-06,,,,,,,,,,,,,,,,,10270721.1667677
2017-08-07,,,,,,,,,,,,,,,,,11955306.6677067
2017-08-08,,,,,,,,,,,,,,,,,17808721.7551402
2017-08-09,,,,,,,,,,,,,,,,,11796949.8781905
2017-08-10,,,,,,,,,,,,,,,,,12442541.3773393
2017-08-11,,,,,,,,,,,,,,,,,17820318.4042772
2017-08-12,,,,,,,,,,,,,,,,,14796318.6026186
2017-08-13,,,,,,,,,,,,,,,,,17461914.6183234
2017-08-14,,,,,,,,,,,,,,,,,15234287.0053575
