time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2025-07-03,0.074571584948592,0.000000684600630304732,0.0000289041801556143,0.0631869278087271,0.074571584948592,0.0745450773099274,gate.io-step-usdt-spot
2025-07-04,0.0727686134956351,0.000000663752443399877,0.0000280925144520114,0.0618594838788782,0.0727686134956351,0.07279488687975208,gate.io-step-usdt-spot
2025-07-05,0.0675208302125127,0.000000624722041555678,0.0000268997960020121,0.0573796767454407,0.0675208302125127,0.06753153987277405,gate.io-step-usdt-spot
2025-07-06,0.0669103258139934,0.000000618139002784319,0.0000265679669543069,0.0568561778803042,0.0669103258139934,0.06700004418284201,gate.io-step-usdt-spot
2025-07-07,0.0684842901203423,0.000000627260364918622,0.0000266501623902159,0.0581438052243392,0.0684842901203423,0.0684619828441384,gate.io-step-usdt-spot
2025-07-08,0.0693304359915884,0.000000640469465405801,0.0000272655915830006,0.0590752759318153,0.0693304359915884,0.06932441802153165,gate.io-step-usdt-spot
2025-07-09,0.0691085086569783,0.000000634275377062832,0.0000264233716465705,0.0589466304029242,0.0691085086569783,0.06914220739879441,gate.io-step-usdt-spot
