time,CapMrktEstUSD,volume_reported_spot_usd_1d
2020-10-17,,90479.5172948872
2020-10-18,,94538.0440612168
2020-10-19,,70539.0722305691
2020-10-20,,7183.96858637316
2020-10-21,,5736.22432868656
2020-10-22,,6755.32579217595
2020-10-23,,69096.1438702176
2020-10-24,,1629.88218085208
2020-10-25,,2574.40385790951
2020-10-26,,933.833552620164
2020-10-27,0,6763.63636944209
2020-10-28,0,11609.0162293661
2020-10-29,0,58902.6862754941
2020-10-30,0,103777.602237634
2020-10-31,0,5789.4382193131
2020-11-01,0,44089.4514748187
2020-11-02,0,6960.53251581395
2020-11-03,0,3233.52439032051
2020-11-04,0,2654.73165874679
2020-11-05,0,0.4333527135
2020-11-06,0,6035.29816857673
2020-11-07,0,6297.54454544352
2020-11-08,0,3501.15157858949
2020-11-09,0,2118.8836934869
2020-11-10,0,6482.77309243719
2020-11-11,0,1551.51571198925
2020-11-12,0,1592.71583712853
2020-11-13,0,302.489972767606
2020-11-14,0,7.03893432
2020-11-15,0,0
2020-11-16,0,23.8445712715682
2020-11-17,0,822.212251992702
2020-11-18,0,1506.59012572399
2020-11-19,0,259.089286773513
2020-11-20,0,1661.33928839242
2020-11-21,0,13.3058611686
2020-11-22,0,61.7072585586756
2020-11-23,0,1015.18871605476
2020-11-24,0,2029.44142985065
2020-11-25,0,2605.05374930993
2020-11-26,0,2733.54884386213
2020-11-27,0,21.0970640605583
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,176811.575649967
2020-12-01,0,69801.7832123799
2020-12-02,33448806.660214640041336123268566748730786,17045250.2764502
2020-12-03,61912507.095663569694406275093715971792672,70780658.8333573
2020-12-04,86699709.999172082999657541478988946914766,212886270.57951
2020-12-05,92828875.474726945484651620188560127273125,158636562.716727
2020-12-06,79411578.167445099593461187647169187281301,70963681.5079568
2020-12-07,85711149.818555306662976083159842443243696,34860557.0894938
2020-12-08,74426023.393628037557759475597261832917312,33997466.0467233
2020-12-09,70542506.416647456183580282693570410965632,35044506.0863534
2020-12-10,59742873.06181957949389310709688129414465,24287406.9370967
2020-12-11,71990538.211491237246030399475847625753504,60896846.5032227
2020-12-12,82181096.370610001169491178664407811025564,59366505.9939234
