date,value
2012-12-11,1427.84,
2012-12-12,1428.48,
2012-12-13,1419.45,
2012-12-14,1413.58,
2012-12-15,1421.8825,
2012-12-16,1430.185,
2012-12-17,1438.4875,
2012-12-18,1446.79,
2012-12-19,1435.81,
2012-12-20,1443.69,
2012-12-21,1430.15,
2012-12-22,1428.086,
2012-12-23,1426.022,
2012-12-24,1423.958,
2012-12-25,1421.894,
2012-12-26,1419.83,
2012-12-27,1418.1,
2012-12-28,1402.43,
2012-12-29,1414.428,
2012-12-30,1426.426,
2012-12-31,1438.424,
2013-01-01,1450.422,
2013-01-02,1462.42,
2013-01-03,1459.37,
2013-01-04,1466.47,
2013-01-05,1464.14,
2013-01-06,1461.81,
2013-01-07,1459.48,
2013-01-08,1457.15,
2013-01-09,1461.02,
2013-01-10,1472.12,
2013-01-11,1472.05,
2013-01-12,1472.1225,
2013-01-13,1472.195,
2013-01-14,1472.2675,
2013-01-15,1472.34,
2013-01-16,1472.63,
2013-01-17,1480.94,
2013-01-18,1485.98,
2013-01-19,1487.625,
2013-01-20,1489.27,
2013-01-21,1490.915,
2013-01-22,1492.56,
2013-01-23,1494.81,
2013-01-24,1494.82,
2013-01-25,1502.96,
2013-01-26,1504.18,
2013-01-27,1505.4,
2013-01-28,1506.62,
2013-01-29,1507.84,
2013-01-30,1501.96,
2013-01-31,1498.11,
2013-02-01,1513.17,
2013-02-02,1512.7,
2013-02-03,1512.23,
2013-02-04,1511.76,
2013-02-05,1511.29,
2013-02-06,1512.12,
2013-02-07,1509.39,
2013-02-08,1517.93,
2013-02-09,1518.305,
2013-02-10,1518.68,
2013-02-11,1519.055,
2013-02-12,1519.43,
2013-02-13,1520.33,
2013-02-14,1521.38,
2013-02-15,1519.79,
2013-02-16,1522.5775,
2013-02-17,1525.365,
2013-02-18,1528.1525,
2013-02-19,1530.94,
2013-02-20,1511.95,
2013-02-21,1502.42,
2013-02-22,1515.6,
2013-02-23,1510.935,
2013-02-24,1506.27,
2013-02-25,1501.605,
2013-02-26,1496.94,
2013-02-27,1515.99,
2013-02-28,1514.68,
2013-03-01,1518.2,
2013-03-02,1523.5975,
2013-03-03,1528.995,
2013-03-04,1534.3925,
2013-03-05,1539.79,
2013-03-06,1541.46,
2013-03-07,1544.26,
2013-03-08,1551.18,
2013-03-09,1551.505,
2013-03-10,1551.83,
2013-03-11,1552.155,
2013-03-12,1552.48,
2013-03-13,1554.52,
2013-03-14,1563.23,
2013-03-15,1560.7,
2013-03-16,1557.61,
2013-03-17,1554.52,
2013-03-18,1551.43,
2013-03-19,1548.34,
2013-03-20,1558.71,
2013-03-21,1545.8,
2013-03-22,1556.89,
2013-03-23,1558.61,
2013-03-24,1560.33,
2013-03-25,1562.05,
2013-03-26,1563.77,
2013-03-27,1562.85,
2013-03-28,1569.19,
2013-03-29,1569.402,
2013-03-30,1569.614,
2013-03-31,1569.826,
2013-04-01,1570.038,
