time,CapMrktEstUSD,volume_reported_spot_usd_1d
2021-01-06,,10057719.2571641
2021-01-07,11697194.49955088,3285064.82181739
2021-01-08,11967975.97782412,485507.394711018
2021-01-09,12320064.25219592,171867.940499484
2021-01-10,12072003.8459516,221306.684434903
2021-01-11,11804829.7133818,354731.518644326
2021-01-12,11529263.11952276,109889.31807205
2021-01-13,11783493.95035252,120757.047529245
2021-01-14,12166531.79717372,150772.512600378
2021-01-15,12254960.3681578,157770.22196719
2021-01-16,12020353.85156108,174694.412368474
2021-01-17,12234377.68677304,82713.5638772063
2021-01-18,20500578.81224464,1501950.80996035
2021-01-19,27965469.54423816,996156.394217135
2021-01-20,39644483.82043132,2024838.23812906
2021-01-21,34279091.53951812,1428871.12656406
2021-01-22,38601900.01198372,962068.453089136
2021-01-23,35212890.20673104,385822.998416406
2021-01-24,35020906.27660576,198803.3027622
2021-01-25,34447443.8091,458537.169514645
2021-01-26,35381820.84279,318326.958545567
2021-01-27,49738268.4868792,3355820.59047426
2021-01-28,69419934.837724,2424354.65337776
2021-01-29,79365442.8429376,4486329.34943891
2021-01-30,78493474.73505,1977573.47772691
2021-01-31,76166692.2559516,576543.083818027
2021-02-01,63289107.258998,2306174.68547399
2021-02-02,62079396.9516148,438824.753805678
2021-02-03,60217150.2054684,646101.425412196
2021-02-04,63856849.5819008,1668836.05437089
2021-02-05,122730683.1213288,5040991.55777962
2021-02-06,106633893.7738888,1976296.12349088
2021-02-07,64439978.5762992,1838422.74686088
2021-02-08,116860740.9312816,13168947.2811583
2021-02-09,134161842.0308608,1599666.15471419
2021-02-10,162605743.937252,3849819.8207987
2021-02-11,180341650.0655392,1597351.54534379
2021-02-12,194928440.008336,2363009.6633176
2021-02-13,270129586.2139384,5355749.58623351
2021-02-14,207513128.2908928,6246608.13706276
2021-02-15,191395483.4444904,2374968.15907602
2021-02-16,204659225.0821216,1483808.83569344
2021-02-17,235265300.379884,2481912.76042088
2021-02-18,320250725.9499304,90444999.1857347
2021-02-19,308141881.0660504,28214611.4894077
2021-02-20,655263973.7634024,150276946.227567
2021-02-21,687926469.9432544,79620380.6140675
2021-02-22,731100186.8709432,119234621.572819
2021-02-23,680102363.1973664,73339898.0148419
2021-02-24,778137203.1476256,124481518.129273
2021-02-25,683410347.4663280192,227797031.242703
2021-02-26,533561672.5334600952,63132302.8065849
2021-02-27,464313105.8530994432,53639829.0518887
2021-02-28,495688310.635225312,66103288.7584487
2021-03-01,486907559.1160509216,30053124.854708
2021-03-02,423332588.1090134496,28030140.9475231
2021-03-03,522729471.5681574176,84728681.7306742
2021-03-04,747042058.907773728,174292384.817537
2021-03-05,657364463.8759993408,143072939.905019
2021-03-06,612143033.655086208,126285883.977403
2021-03-07,591175951.3594994696,141185923.258722
2021-03-08,555580824.8338287888,126643408.6856
2021-03-09,579061176.785105404,122971768.092742
2021-03-10,563169029.5820894396,88719037.8065796
2021-03-11,544958538.5230369812,83708197.9428307
2021-03-12,486517767.7999234544,73269451.8666741
2021-03-13,501317351.2753467464,78964202.7066364
2021-03-14,497876828.976002918,70497631.2566754
2021-03-15,557977109.5693223832,84884127.2329865
2021-03-16,560089349.7887135032,65131761.4489148
2021-03-17,580928677.8507376268,78969753.528939
2021-03-18,713130500.7589846772,91263664.9582631
2021-03-19,651683737.4016731528,80418503.5521856
2021-03-20,634950586.038907346,79850748.7951953
2021-03-21,601463167.8820784604,60151679.8457527
2021-03-22,538684837.4194952964,28482196.5221992
2021-03-23,534578509.733728642,26864641.8447834
2021-03-24,483335055.8767575468,29325185.3171335
