time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateUSD,volume_reported_spot_usd_1d
2011-08-28,,,,,4.57466042529042
2011-08-29,,,,,0
2011-08-30,,,,,0
2011-08-31,,,,,0
2011-09-01,,,,,0
2011-09-02,,,,,143.054578861092
2011-09-03,,,,,17.6340327683327
2011-09-04,,,,,0
2011-09-05,,,,,738.538514549363
2011-09-06,,,,,865.827113013132
2011-09-07,,,,,801.797177156052
2011-09-08,,,,,1815.14885301662
2011-09-09,,,,,6733.43364245824
2011-09-10,,,,,275.939068818572
2011-09-11,,,,,2986.06158378752
2011-09-12,,,,,2136.9488659985
2011-09-13,,,,,2568.21224493612
2011-09-14,,,,,5443.12903859007
2011-09-15,,,,,14569.9762305993
2011-09-16,,,,,2225.09316624638
2011-09-17,,,,,1239.53150063814
2011-09-18,,,,,5598.94347330963
2011-09-19,,,,,10276.349886406
2011-09-20,,,,,48353.0661288654
2011-09-21,,,,,8495.86214299966
2011-09-22,,,,,4142.35400545239
2011-09-23,,,,,1811.35107736756
2011-09-24,,,,,450.699899515718
2011-09-25,,,,,1060.00161741549
2011-09-26,,,,,5735.17387665191
2011-09-27,,,,,5204.08185008617
2011-09-28,,,,,12201.4999285793
2011-09-29,,,,,2272.20734527861
2011-09-30,,,,,4565.74555900881
2011-10-01,,,,,2498.98629798555
2011-10-02,,,,,777.547562574011
2011-10-03,,,,,2231.53879853613
2011-10-04,,,,,1777.19513294803
2011-10-05,,,,,4361.04496035149
2011-10-06,,,,,8667.86868711787
2011-10-07,,,,,9238.99528912027
2011-10-08,,,,,2640.82720886758
2011-10-09,,,,,1214.15752166399
2011-10-10,,,,,1811.50543604874
2011-10-11,,,,,5997.99677225782
2011-10-12,,,,,5448.58079478409
2011-10-13,,,,,6244.73932467736
2011-10-14,,,,,6367.54063288255
2011-10-15,,,,,4084.04177183815
2011-10-16,,,,,1475.64058407666
2011-10-17,,,,,49388.7835343873
2011-10-18,,,,,7560.89437602475
2011-10-19,,,,,8328.89619673037
2011-10-20,,,,,15581.6569855428
2011-10-21,,,,,4216.09489253637
2011-10-22,,,,,11723.7722231883
2011-10-23,,,,,9014.27920839282
2011-10-24,,,,,10223.8170645927
2011-10-25,,,,,6842.63917189606
2011-10-26,,,,,4518.94265374912
2011-10-27,,,,,3795.10602347164
2011-10-28,,,,,5002.80609514461
2011-10-29,,,,,7957.379249217
2011-10-30,,,,,1210.38588604911
2011-10-31,,,,,1767.83346339183
2011-11-01,,,,,3109.18566318585
2011-11-02,,,,,1639.959142796
2011-11-03,,,,,5495.3665225402
2011-11-04,,,,,2610.89415886134
2011-11-05,,,,,777.25608235241
2011-11-06,,,,,881.000133876292
2011-11-07,,,,,964.613167649392
2011-11-08,,,,,2271.72907394685
2011-11-09,,,,,2434.68434918682
2011-11-10,,,,,1519.34743466323
2011-11-11,,,,,2634.46143109662
2011-11-12,,,,,1145.35631227093
2011-11-13,,,,,621.930857394807
2011-11-14,,,,,7512.04618644876
2011-11-15,,,,,1531.71500559576
2011-11-16,,,,,1888.2939105866
2011-11-17,,,,,4576.2117629432
2011-11-18,,,,,4967.93545584415
2011-11-19,,,,,245.551159776258
2011-11-20,,,,,1088.32602038047
2011-11-21,,,,,2920.54903430079
2011-11-22,,,,,1138.16569439903
2011-11-23,,,,,1749.36576101962
2011-11-24,,,,,1136.30180177072
2011-11-25,,,,,10216.0304325777
2011-11-26,,,,,697.942982743962
2011-11-27,,,,,471.293498142619
2011-11-28,,,,,1702.49402899622
2011-11-29,,,,,3898.65918065022
2011-11-30,,,,,10484.1829325979
2011-12-01,,,,,2229.43887485374
2011-12-02,,,,,3894.4573114249
2011-12-03,,,,,8721.32013030086
2011-12-04,,,,,1398.59136656865
2011-12-05,,,,,2928.196742909
2011-12-06,,,,,2097.04304658133
2011-12-07,,,,,1191.95794015935
2011-12-08,,,,,5075.94661434576
2011-12-09,,,,,1716.75206552176
2011-12-10,,,,,1373.51215202572
2011-12-11,,,,,1453.37300074742
2011-12-12,,,,,1385.2733350922
2011-12-13,,,,,440.394728585132
2011-12-14,,,,,5665.35236822991
2011-12-15,,,,,2495.908977529
2011-12-16,,,,,2864.67220119579
2011-12-17,,,,,1222.81422375095
2011-12-18,,,,,196.321042934281
2011-12-19,,,,,7480.45708009596
2011-12-20,,,,,7770.22665685506
2011-12-21,,,,,6282.71435180251
2011-12-22,,,,,3144.69557387945
2011-12-23,,,,,11237.3856797772
2011-12-24,,,,,594.360316418663
2011-12-25,,,,,4260.92344440191
2011-12-26,,,,,2648.3421612497
2011-12-27,,,,,11822.2852064135
2011-12-28,,,,,3960.33280230668
2011-12-29,,,,,764.519455615396
2011-12-30,,,,,12967.912766544
2011-12-31,,,,,4198.92591326018
2012-01-01,,,,,6828.45000150161
2012-01-02,,,,,6612.05565434076
2012-01-03,,,,,8889.78704235655
2012-01-04,,,,,11899.157893898
2012-01-05,,,,,18832.3798148667
2012-01-06,,,,,22923.3764602728
2012-01-07,,,,,3289.42984510819
2012-01-08,,,,,2508.99665426237
2012-01-09,,,,,9329.51897366339
2012-01-10,,,,,15570.0702340662
2012-01-11,,,,,15480.7633578647
2012-01-12,,,,,13354.0057780023
2012-01-13,,,,,7022.38619364771
2012-01-14,,,,,26777.9803129402
2012-01-15,,,,,9316.8787414953
2012-01-16,,,,,13812.4174829704
2012-01-17,,,,,29096.4005556479
2012-01-18,,,,,11643.8016517025
2012-01-19,,,,,20948.7525725665
2012-01-20,,,,,12951.3170173035
2012-01-21,,,,,11104.5097417147
2012-01-22,,,,,7335.60516969664
2012-01-23,,,,,5046.16102997324
2012-01-24,,,,,4016.72793860268
2012-01-25,,,,,26897.5402978422
2012-01-26,,,,,8193.95541684922
2012-01-27,,,,,13171.8477265232
2012-01-28,,,,,9337.68281941191
2012-01-29,,,,,6381.2269611407
2012-01-30,,,,,3057.06929554584
2012-01-31,,,,,2623.95612475042
2012-02-01,,,,,7451.62812651166
2012-02-02,,,,,10919.1876782795
2012-02-03,,,,,3277.55429378661
2012-02-04,,,,,1132.82520862725
2012-02-05,,,,,4568.30694766581
2012-02-06,,,,,9932.18372534597
2012-02-07,,,,,7072.8185601532
2012-02-08,,,,,11496.6793118101
2012-02-09,,,,,3133.02714989044
2012-02-10,,,,,7580.71094426402
2012-02-11,,,,,9726.52468548023
2012-02-12,,,,,6634.39315650295
2012-02-13,,,,,4357.21506457836
2012-02-14,,,,,29014.3160513063
2012-02-15,,,,,12156.9785744252
2012-02-16,,,,,15717.7700460964
2012-02-17,,,,,6518.79820692217
2012-02-18,,,,,5762.56275705957
2012-02-19,,,,,3164.09863507888
2012-02-20,,,,,5377.01077990366
2012-02-21,,,,,7358.82916031782
2012-02-22,,,,,15374.5640067483
2012-02-23,,,,,5582.21555449778
2012-02-24,,,,,13139.653524047
2012-02-25,,,,,5740.63152215021
2012-02-26,,,,,4533.46553530187
2012-02-27,,,,,2246.93788846372
2012-02-28,,,,,6953.62428079496
2012-02-29,,,,,12914.5277483852
2012-03-01,,,,,8870.72131836334
2012-03-02,,,,,7218.14434417674
2012-03-03,,,,,2020.87735442865
2012-03-04,,,,,2072.48295593861
2012-03-05,,,,,4916.65355139971
2012-03-06,,,,,8946.43893029128
2012-03-07,,,,,3454.03044890793
2012-03-08,,,,,9569.29855575949
2012-03-09,,,,,6279.03746373094
2012-03-10,,,,,8598.97626767588
2012-03-11,,,,,2341.92826271478
2012-03-12,,,,,6516.40468478163
2012-03-13,,,,,9582.31967002646
2012-03-14,,,,,7163.41860586492
2012-03-15,,,,,4891.79509602329
2012-03-16,,,,,10274.634093347
2012-03-17,,,,,6081.64397534837
2012-03-18,,,,,3537.59844809141
2012-03-19,,,,,13075.0667957879
2012-03-20,,,,,6874.80907164993
2012-03-21,,,,,4883.05480273225
