time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2018-01-12,4,2,1705419867,1611239757,,,12600000000,,,,,,12600000000,2,2,
2018-01-13,0,2,1705419868,1611239757,,,0,,,,,,12600000000,0,0,
2018-01-14,0,2,1705419868,1611239757,,,0,,,,,,12600000000,0,0,
2018-01-15,0,2,1705419868,1611239757,,,0,,,,,,12600000000,0,0,
2018-01-16,0,2,1705419868,1611239757,,,0,,,,,,12600000000,0,0,
2018-01-17,0,2,1705419868,1611239757,,,0,,,,,,12600000000,0,0,
2018-01-18,0,2,1705419869,1611239757,,,0,,,,,,12600000000,0,0,
2018-01-19,0,2,1705419869,1611239757,,,0,,,,,,12600000000,0,0,
2018-01-20,0,2,1705419869,1611239757,,,0,,,,,,12600000000,0,0,
2018-01-21,0,2,1705419869,1611239757,,,0,,,,,,12600000000,0,0,
2018-01-22,0,2,1705419870,1611239757,,,0,,,,,,12600000000,0,0,
2018-01-23,307,308,1705419870,1611239758,,,0,,,,,,12600000000,306,306,
2018-01-24,798,1102,1705419870,1611239758,,,0,,,,,,12600000000,796,796,
2018-01-25,2823,2457,1705419871,1611239758,,,0,,,,,,12600000000,4141,4238,
2018-01-26,2433,3653,1705419871,1611239758,,,0,,,,,,12600000000,3138,3138,
2018-01-27,1065,3906,1705419871,1611239758,10.46240804,1268379386.8732602,0,0,0.00000889190847222518,0.100665030704227,,,12600000000,1236,1235,
2018-01-28,785,4121,1705419871,1611239758,6.48433547,1219936416.54656436,0,0,0.000008335114898914758,0.0968203505195686,,,12600000000,902,901,
2018-01-29,791,4229,1705419871,1611239758,5.58395799,1096897273.19740134,0,0,0.000007819889010946365,0.0870553391426509,,,12600000000,873,873,
2018-01-30,677,4310,1705419872,1611239758,4.5484838,932280523.65697536,0,0,0.000007429104944742099,0.0739905177505536,,,12600000000,737,737,
2018-01-31,510,4535,1705419872,1611239758,3.61268567,991502012.14713936,0,0,0.000007829839383885219,0.0786906358846936,,,12600000000,569,569,
2018-02-01,659,4868,1705419872,1611239758,3.33430345,917918983.1952945,0,0,0.000008058827465539717,0.0728507129520075,,,12600000000,716,716,
2018-02-02,949,5387,1705419873,1611239758,3.13640097,912632367.95497494,0,0,0.000008243854132178626,0.0724311403138869,,,12600000000,1030,1030,
2018-02-03,763,5746,1705419873,1611239758,3.28711617,980038650.006486,0,0,0.000008517300784404616,0.07778084523861,,,12600000000,812,812,
2018-02-04,598,6028,1705419873,1611239758,2.71757366,786108394.53900306,0,0,0.00000756188736899193,0.0623895551221431,,,12600000000,660,660,
2018-02-05,623,6278,1705419873,1611239758,2.28065094,644040392.51832588,0,0,0.000007462442407481459,0.0511143168665338,,,12600000000,709,709,
2018-02-06,702,6642,1705419874,1611239758,2.51436681,743475975.37508106,0,0,0.000007624853927789261,0.0590060297916731,,,12600000000,816,816,
2018-02-07,643,6949,1705419875,1611239758,2.31696942,670577671.69188012,0,0,0.000006980101554936287,0.0532204501342762,,,12600000000,765,765,
2018-02-08,404,7116,1705419876,1611239759,2.54129524,751672176.9248286,0,0,0.000007258737615849754,0.059656521978161,,,12600000000,457,457,
2018-02-09,467,7321,1705419876,1611239759,2.59505396,774725160.95629704,0,0,0.000007099642543388525,0.0614861238854204,,,12600000000,564,564,
2018-02-10,697,7627,1705419876,1611239759,2.22215063,639853305.81102756,0,0,0.000005953137783168483,0.0507820083977006,,,12600000000,892,892,
2018-02-11,527,7837,1705419877,1611239759,2.26086446,652639514.22252954,0,0,0.0000063972488348476185,0.0517967868430579,,,12600000000,667,667,
2018-02-12,463,8047,1705419877,1611239759,1.08741898,655884764.93161944,0,0,0.000005843766706256653,0.0520543464231444,,,12600000000,536,536,
2018-02-13,410,8200,1705419878,1611239759,1.09274944,655610775.5924433,0,0,0.000006104270658618013,0.0520326012374955,,,12600000000,440,439,
2018-02-14,435,8366,1705419878,1611239759,1.16635062,703557248.78454498,0,0,0.000005897972050812076,0.0558378768876623,,,12600000000,474,474,
2018-02-15,395,8529,1705419879,1611239759,1.24672464,756244307.44736874,0,0,0.000005938554920133329,0.0600193894799499,,,12600000000,441,441,
2018-02-16,339,8678,1705419879,1611239759,1.26302754,765297237.239199,0,0,0.000005960937229759791,0.060737875971365,,,12600000000,365,365,
2018-02-17,470,8914,1705419879,1611239759,1.47708883,910345330.85213214,0,0,0.000006517431601978643,0.0722496294327089,,,12600000000,487,487,
2018-02-18,440,9092,1705419879,1611239759,1.34575591,820663125.24562002,0,0,0.000006231479230105434,0.0651319940671127,,,12600000000,490,490,
2018-02-19,374,9233,1705419879,1611239759,1.35685932,831905899.94647926,0,0,0.000005927118171866661,0.0660242777735301,,,12600000000,392,392,
2018-02-20,385,9373,1705419880,1611239759,1.21474669,742359736.48954824,0,0,0.000005238999999131295,0.0589174394039324,,,12600000000,383,382,
2018-02-21,370,9518,1705419880,1611239759,1.150843,709523966.91764196,0,0,0.000005384085698356287,0.0563114259458446,,,12600000000,373,373,
2018-02-22,304,9626,1705419880,1611239759,1.06614521,652303153.49784858,0,0,0.0000052408644007072985,0.0517700915474483,,,12600000000,302,302,
2018-02-23,315,9749,1705419880,1611239760,1.11530129,686228189.30154846,0,0,0.000005360980702735171,0.0544625547064721,,,12600000000,307,307,
2018-02-24,322,9873,1705419881,1611239760,1.06155853,651556188.66023532,0,0,0.000005338384894777596,0.0517108086238282,,,12600000000,316,316,
2018-02-25,4844,14494,1705419881,1611239760,1.03789207,636787660.35534804,0,0,0.000005262678960924685,0.0505387032028054,,,12600000000,4888,4888,
2018-02-26,343,14585,1705419881,1611239760,1.1129168,687339296.5333671,0,0,0.000005289837398916571,0.0545507378201085,,-45.80964468148931,12600000000,332,332,
2018-02-27,324,14661,1705419881,1611239760,1.06465015,657908865.713232,0,0,0.0000049009258023453965,0.05221498934232,,-46.07023310479887,12600000000,331,331,
2018-02-28,307,14751,1705419881,1611239760,1.01532313,624127775.24250972,0,0,0.000004805843643299387,0.0495339504160722,,-43.10061748779737,12600000000,291,290,
2018-03-01,344,14843,1705419882,1611239760,1.02562261,599511163.36732614,0,0,0.000004355717587216243,0.0475802510608989,,-35.694123372257515,12600000000,336,336,
2018-03-02,312,14935,1705419882,1611239760,1.02429269,598003378.30169118,0,0,0.00000430909148707838,0.0474605855794993,,-39.68712408291641,12600000000,294,294,
2018-03-03,302,15004,1705419883,1611239760,1.0168452,602855869.07445984,0,0,0.000004187558335863308,0.0478457038947984,,-34.32362985065344,12600000000,297,297,
2018-03-04,354,15116,1705419883,1611239760,1.00236744,590313686.27148414,0,0,0.0000040872368604715414,0.0468502925612289,,-35.317472073200946,12600000000,345,345,
2018-03-05,2365,15602,1705419883,1611239760,1.06053915,666834559.84892124,0,0,0.000004585818066216554,0.0529233777657874,,-31.958340638452565,12600000000,3025,3024,
2018-03-06,690,15770,1705419883,1611239760,1.00362333,597906589.97288142,0,0,0.000004444389565087492,0.0474529039661017,,-23.940948331494237,12600000000,880,880,
2018-03-07,621,16009,1705419883,1611239760,0.95981683,540069326.36582058,0,0,0.00000432821133385997,0.0428626449496683,,-16.14356294423674,12600000000,798,798,
2018-03-08,695,16220,1705419884,1611239760,0.85022748,473487481.25744436,0,0,0.0000040274873148593415,0.0375783715283686,,-36.31435353125277,12600000000,915,915,
2018-03-09,685,16474,1705419884,1611239760,0.91340422,510654503.81332926,0,0,0.000004368131843877101,0.0405281352232801,,-23.848567381472996,12600000000,896,908,
2018-03-10,661,16635,1705419884,1611239761,0.9632292,536327422.05720258,0,0,0.00000484440627132292,0.0425656684172383,,-28.64875958940299,12600000000,926,926,
2018-03-11,688,16906,1705419885,1611239761,1.15115883,649093480.33242636,0,0,0.000005414953896445743,0.0515153555819386,,-16.216290234951806,12600000000,817,816,
2018-03-12,508,17130,1705419885,1611239761,1.04302241,582783487.35066054,0,0,0.00000505610111327645,0.0462526577262429,,-8.919203502126129,12600000000,638,646,
2018-03-13,583,17086,1705419885,1611239761,1.03604353,580305746.46492756,0,0,0.0000050276508676527015,0.0460560116242006,,-11.083265138147674,12600000000,705,704,
2018-03-14,525,17136,1705419885,1611239761,0.9232397,512942290.67749752,0,0,0.000004951237608683736,0.0407097056093252,,-21.79383969515204,12600000000,669,669,
2018-03-15,443,17237,1705419885,1611239761,0.93726745,522512944.37651358,0,0,0.000005015278989636248,0.0414692812997233,,-20.301348936136044,12600000000,531,531,
2018-03-16,472,17354,1705419886,1611239761,0.97480485,542033764.47953334,0,0,0.000005135375811610967,0.0430185527364709,,-22.95811528970204,12600000000,718,718,
2018-03-17,423,17426,1705419886,1611239761,0.92826985,512463787.2034317,0,0,0.000005160298621445495,0.0406717291431295,,-32.23568334243668,12600000000,557,557,
