date,value
2012-12-11,1709.75,
2012-12-12,1712.5,
2012-12-13,1694.75,
2012-12-14,1696.5,
2012-12-15,1697.25,
2012-12-16,1698.0,
2012-12-17,1698.75,
2012-12-18,1699.5,
2012-12-19,1674.5,
2012-12-20,1667.0,
2012-12-21,1648.25,
2012-12-22,1649.41666667,
2012-12-23,1650.58333333,
2012-12-24,1651.75,
2012-12-25,1652.91666667,
2012-12-26,1654.08333333,
2012-12-27,1655.25,
2012-12-28,1658.75,
2012-12-29,1663.3,
2012-12-30,1667.85,
2012-12-31,1672.4,
2013-01-01,1676.95,
2013-01-02,1681.5,
2013-01-03,1684.5,
2013-01-04,1632.25,
2013-01-05,1637.625,
2013-01-06,1643.0,
2013-01-07,1648.375,
2013-01-08,1653.75,
2013-01-09,1663.5,
2013-01-10,1663.0,
2013-01-11,1669.5,
2013-01-12,1672.375,
2013-01-13,1675.25,
2013-01-14,1678.125,
2013-01-15,1681.0,
2013-01-16,1679.75,
2013-01-17,1683.25,
2013-01-18,1690.0,
2013-01-19,1690.625,
2013-01-20,1691.25,
2013-01-21,1691.875,
2013-01-22,1692.5,
2013-01-23,1692.25,
2013-01-24,1677.0,
2013-01-25,1670.25,
2013-01-26,1667.8125,
2013-01-27,1665.375,
2013-01-28,1662.9375,
2013-01-29,1660.5,
2013-01-30,1666.25,
2013-01-31,1674.5,
2013-02-01,1665.0,
2013-02-02,1668.25,
2013-02-03,1671.5,
2013-02-04,1674.75,
2013-02-05,1678.0,
2013-02-06,1670.0,
2013-02-07,1675.75,
2013-02-08,1669.75,
2013-02-09,1662.75,
2013-02-10,1655.75,
2013-02-11,1648.75,
2013-02-12,1641.75,
2013-02-13,1648.0,
2013-02-14,1644.0,
2013-02-15,1629.25,
2013-02-16,1625.3125,
2013-02-17,1621.375,
2013-02-18,1617.4375,
2013-02-19,1613.5,
2013-02-20,1602.0,
2013-02-21,1568.5,
2013-02-22,1580.0,
2013-02-23,1584.3125,
2013-02-24,1588.625,
2013-02-25,1592.9375,
2013-02-26,1597.25,
2013-02-27,1608.5,
2013-02-28,1591.0,
2013-03-01,1570.0,
2013-03-02,1573.5625,
2013-03-03,1577.125,
2013-03-04,1580.6875,
2013-03-05,1584.25,
2013-03-06,1574.0,
2013-03-07,1580.5,
2013-03-08,1577.0,
2013-03-09,1578.375,
2013-03-10,1579.75,
2013-03-11,1581.125,
2013-03-12,1582.5,
2013-03-13,1591.5,
2013-03-14,1585.0,
2013-03-15,1593.25,
2013-03-16,1595.5625,
2013-03-17,1597.875,
2013-03-18,1600.1875,
2013-03-19,1602.5,
2013-03-20,1611.5,
2013-03-21,1608.75,
2013-03-22,1611.5,
2013-03-23,1607.9375,
2013-03-24,1604.375,
2013-03-25,1600.8125,
2013-03-26,1597.25,
2013-03-27,1591.0,
2013-03-28,1602.5,
2013-03-29,1601.55,
2013-03-30,1600.6,
2013-03-31,1599.65,
2013-04-01,1598.7,
2013-04-02,1597.75,
2013-04-03,1568.5,
2013-04-04,1545.25,
2013-04-05,1552.75,
2013-04-06,1557.6875,
2013-04-07,1562.625,
2013-04-08,1567.5625,
2013-04-09,1572.5,
2013-04-10,1581.5,
2013-04-11,1555.75,
2013-04-12,1548.0,
2013-04-13,1505.5,
2013-04-14,1463.0,
2013-04-15,1420.5,
2013-04-16,1378.0,
2013-04-17,1379.0,
2013-04-18,1397.0,
2013-04-19,1414.0,
2013-04-20,1414.8125,
2013-04-21,1415.625,
2013-04-22,1416.4375,
2013-04-23,1417.25,
2013-04-24,1424.5,
2013-04-25,1446.5,
2013-04-26,1462.25,
2013-04-27,1464.875,
2013-04-28,1467.5,
2013-04-29,1470.125,
2013-04-30,1472.75,
2013-05-01,1469.5,
2013-05-02,1456.0,
2013-05-03,1476.5,
2013-05-04,1473.125,
2013-05-05,1469.75,
2013-05-06,1466.375,
2013-05-07,1463.0,
2013-05-08,1454.0,
2013-05-09,1469.5,
2013-05-10,1449.25,
2013-05-11,1446.0625,
2013-05-12,1442.875,
2013-05-13,1439.6875,
2013-05-14,1436.5,
2013-05-15,1412.25,
2013-05-16,1377.0,
2013-05-17,1376.75,
2013-05-18,1377.25,
2013-05-19,1377.75,
2013-05-20,1378.25,
2013-05-21,1378.75,
2013-05-22,1385.25,
2013-05-23,1386.0,
2013-05-24,1385.25,
2013-05-25,1383.6875,
2013-05-26,1382.125,
2013-05-27,1380.5625,
2013-05-28,1379.0,
2013-05-29,1384.5,
2013-05-30,1406.25,
2013-05-31,1410.25,
2013-06-01,1409.0,
2013-06-02,1407.75,
2013-06-03,1406.5,
2013-06-04,1405.25,
2013-06-05,1396.5,
2013-06-06,1399.5,
2013-06-07,1410.0,
2013-06-08,1399.875,
2013-06-09,1389.75,
2013-06-10,1379.625,
2013-06-11,1369.5,
2013-06-12,1377.25,
2013-06-13,1386.25,
2013-06-14,1379.75,
2013-06-15,1379.4375,
2013-06-16,1379.125,
2013-06-17,1378.8125,
2013-06-18,1378.5,
2013-06-19,1366.0,
2013-06-20,1303.25,
2013-06-21,1290.25,
2013-06-22,1288.9375,
2013-06-23,1287.625,
2013-06-24,1286.3125,
2013-06-25,1285.0,
2013-06-26,1229.0,
2013-06-27,1232.0,
2013-06-28,1203.25,
2013-06-29,1217.625,
2013-06-30,1232.0,
2013-07-01,1246.375,
2013-07-02,1260.75,
2013-07-03,1246.0,
2013-07-04,1249.5,
2013-07-05,1232.75,
2013-07-06,1237.5625,
2013-07-07,1242.375,
2013-07-08,1247.1875,
2013-07-09,1252.0,
2013-07-10,1252.25,
2013-07-11,1280.75,
2013-07-12,1275.0,
2013-07-13,1277.75,
2013-07-14,1280.5,
2013-07-15,1283.25,
2013-07-16,1286.0,
2013-07-17,1284.25,
2013-07-18,1279.75,
2013-07-19,1286.0,
2013-07-20,1296.1875,
2013-07-21,1306.375,
2013-07-22,1316.5625,
2013-07-23,1326.75,
2013-07-24,1340.0,
2013-07-25,1312.0,
2013-07-26,1327.75,
2013-07-27,1326.375,
2013-07-28,1325.0,
2013-07-29,1323.625,
2013-07-30,1322.25,
2013-07-31,1331.5,
2013-08-01,1323.75,
2013-08-02,1285.75,
2013-08-03,1287.3125,
2013-08-04,1288.875,
2013-08-05,1290.4375,
2013-08-06,1292.0,
2013-08-07,1275.5,
2013-08-08,1287.75,
2013-08-09,1305.5,
2013-08-10,1312.625,
2013-08-11,1319.75,
2013-08-12,1326.875,
2013-08-13,1334.0,
2013-08-14,1323.25,
2013-08-15,1339.5,
2013-08-16,1360.75,
2013-08-17,1362.0,
2013-08-18,1363.25,
2013-08-19,1364.5,
2013-08-20,1365.75,
2013-08-21,1360.0,
2013-08-22,1370.5,
2013-08-23,1374.5,
2013-08-24,1383.625,
2013-08-25,1392.75,
2013-08-26,1401.875,
2013-08-27,1411.0,
2013-08-28,1425.5,
2013-08-29,1406.25,
2013-08-30,1392.75,
2013-08-31,1392.375,
2013-09-01,1392.0,
2013-09-02,1391.625,
2013-09-03,1391.25,
2013-09-04,1403.75,
2013-09-05,1391.75,
2013-09-06,1368.25,
2013-09-07,1369.4375,
2013-09-08,1370.625,
2013-09-09,1371.8125,
2013-09-10,1373.0,
2013-09-11,1365.25,
2013-09-12,1340.25,
2013-09-13,1308.25,
2013-09-14,1310.5,
2013-09-15,1312.75,
2013-09-16,1315.0,
2013-09-17,1317.25,
2013-09-18,1299.75,
2013-09-19,1363.5,
2013-09-20,1355.25,
2013-09-21,1345.5625,
2013-09-22,1335.875,
2013-09-23,1326.1875,
