time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt
2014-10-06,8,6,1705954071,1614335409,4,99.22169279339196,100,99.22169279339196,0.0030361266894734012,0.9922169279339196,,,100,6,6
2014-10-07,2,6,1705954071,1614335409,3.998923577732,99.1883186513104,0,0,0.0029735366097834327,0.991883186513104,,,100,1,1
2014-10-08,2,7,1705954071,1614335409,3.984677961524,98.73875662995734,0,0,0.002786024640909622,0.9873875662995734,,,100,1,1
2014-10-09,4,9,1705954071,1614335409,3.993395179232,98.93718036332192,0,0,0.0027352139287370627,0.9893718036332192,,,100,2,2
2014-10-10,4,10,1705954071,1614335410,3.993503706337,98.86744350958856,0,0,0.002754808878734104,0.9886744350958856,,,100,3,3
2014-10-11,2,10,1705954071,1614335410,3.999799355551,99.03079404527351,0,0,0.0027363498704753683,0.9903079404527351,,,100,1,1
2014-10-12,2,9,1705954071,1614335410,4.015080693667,99.39602647400451,0,0,0.0026304204971048994,0.9939602647400451,,,100,1,1
2014-10-13,4,8,1705954071,1614335410,4.025113405851,99.75089871249736,0,0,0.002544703376656803,0.9975089871249736,,,100,2,2
2014-10-14,0,8,1705954071,1614335411,4.050415661748,100.37794260186135,0,0,0.002503936199242377,1.0037794260186135,,,100,0,0
2014-10-15,0,8,1705954072,1614335411,4.041871896995,100.16620988118934,0,0,0.0025382574986691753,1.0016620988118934,,,100,0,0
2014-10-16,0,8,1705954072,1614335411,4.025959411277,99.77186453209911,0,0,0.002609632749118109,0.9977186453209911,,,100,0,0
2014-10-17,0,8,1705954072,1614335411,4.01443240157,99.48620063600084,0,0,0.002602982603488917,0.9948620063600084,,,100,0,0
2014-10-18,0,8,1705954072,1614335412,4.028636105019,99.83819871437469,0,0,0.0025514934724138794,0.9983819871437469,,,100,0,0
2014-10-19,0,8,1705954072,1614335412,4.024414032115,99.73356673902694,0,0,0.0025659260213337417,0.9973356673902694,,,100,0,0
2014-10-20,0,8,1705954072,1614335412,4.005498048816,99.26478831122578,0,0,0.0026040705353120876,0.9926478831122578,,,100,0,0
2014-10-21,6,9,1705954072,1614335413,1.331911794018,98.77548426616856,0,0,0.002564234063285297,0.9877548426616856,,,100,10,10
2014-10-22,2,9,1705954073,1614335413,1.330619296643,98.63629228154364,0,0,0.0025903832300853908,0.9863629228154364,,,100,1,1
