time,ReferenceRate,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2025-01-24,2.60033155417083,2.60033155417083,4.499080568893785,null
2025-01-25,4.00125973252468,4.00125973252468,4.499080568893785,null
2025-01-26,4.00125973252468,4.00125973252468,4.499080568893785,null
2025-01-27,4.00125973252468,4.00125973252468,4.499080568893785,null
2025-01-28,2.66077081024028,2.66077081024028,2.6560701119612085,poloniex-wzrd_bitcoinwizards-usdt-spot
2025-01-29,2.66077081024028,2.66077081024028,2.6560701119612085,poloniex-wzrd_bitcoinwizards-usdt-spot
2025-01-30,3.30587643594543,3.30587643594543,3.307045385871467,poloniex-wzrd_bitcoinwizards-usdt-spot
