time,AdrActCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktCurUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt
2018-03-04,0,1752760296,1752760296,,,,,,0,0,0
2018-03-05,5,1752760296,1752760296,,,,,,4761925,4,5
2018-03-06,13,1752760297,1752760297,,,,,,4761925,39,35
2018-03-07,10,1752760297,1752760297,,,,,,4761925,13,13
2018-03-08,2,1752760298,1752760298,,,,,,4761925,2,2
2018-03-09,10,1752760298,1752760298,,,,,,6561925,17,17
2018-03-10,4,1752760298,1752760298,,,,,,6561925,4,4
2018-03-11,4,1752760299,1752760299,,,,,,6561925,4,4
2018-03-12,2,1752760299,1752760299,,,,,,6561925,1,1
2018-03-13,2,1752760299,1752760299,,,,,,6561925,2,2
2018-03-14,6,1752760300,1752760300,,,,,,6561925,7,7
2018-03-15,7,1752760300,1752760300,,,,,,6579550,6,6
2018-03-16,7,1752760300,1752760300,,,,,,6579550,9,9
2018-03-17,6,1752760301,1752760301,,,,,,6579550,8,8
2018-03-18,21,1752760301,1752760301,,,,,,6579550,59,59
2018-03-19,13,1752760301,1752760301,,,,,,6579550,16,16
2018-03-20,18,1752760301,1752760301,,,,,,6579550,31,31
2018-03-21,16,1752760302,1752760302,,,,,,6579550,22,22
2018-03-22,21,1752760302,1752760302,,,,,,6579550,32,32
2018-03-23,17,1752760303,1752760303,,,,,,7924114.75,26,26
2018-03-24,17,1752760303,1752760303,,,,,,7924114.75,27,27
2018-03-25,4,1752760304,1752760304,,,,,,7924114.75,3,3
2018-03-26,6,1752760304,1752760304,,,,,,7924114.75,6,6
2018-03-27,5,1752760304,1752760304,,,,,,7924114.75,4,4
2018-03-28,10,1752760305,1752760305,,,,,,7924114.75,11,11
2018-03-29,20,1752760305,1752760305,,,,,,7924114.75,33,33
2018-03-30,21,1752760305,1752760305,,,,,,9474114.75,33,33
2018-03-31,16,1752760305,1752760305,,,,,,9474114.75,27,27
2018-04-01,10,1752760306,1752760306,,,,,,9474114.75,24,24
2018-04-02,12,1752760306,1752760306,,,,,,9474114.75,17,17
2018-04-03,21,1752760306,1752760306,,,,,,9474114.75,89,89
2018-04-04,15,1752760306,1752760306,,,,,,9574114.75,23,23
2018-04-05,16,1752760307,1752760307,,,,,,9574114.75,24,24
2018-04-06,13,1752760307,1752760307,,,,,,9574114.75,30,30
2018-04-07,17,1752760307,1752760307,,,,,,9574114.75,54,54
2018-04-08,23,1752760307,1752760307,,,,,,9574114.75,61,61
2018-04-09,15,1752760307,1752760307,,,,,,9563114.75,34,34
2018-04-10,15,1752760308,1752760308,,,,,,9563114.75,59,59
2018-04-11,17,1752760308,1752760308,,,,,,9563114.75,28,28
2018-04-12,19,1752760308,1752760308,,,,,,9563114.75,27,27
2018-04-13,20,1752760308,1752760308,,,,,,9563114.75,28,28
2018-04-14,20,1752760309,1752760309,,,,,,9573114.75,22,22
2018-04-15,18,1752760309,1752760309,,,,,,9573114.75,33,33
2018-04-16,14,1752760309,1752760309,,,,,,9783114.75,17,17
2018-04-17,19,1752760310,1752760310,,,,,,9783114.75,25,25
2018-04-18,24,1752760310,1752760310,,,,,,9783114.75,27,27
2018-04-19,16,1752760310,1752760310,,,,,,9773114.75,20,20
2018-04-20,9,1752760311,1752760311,,,,,,9773114.75,18,18
2018-04-21,11,1752760311,1752760311,,,,,,9773114.75,11,11
2018-04-22,13,1752760311,1752760311,,,,,,9773114.75,14,14
2018-04-23,12,1752760311,1752760311,,,,,,9773114.75,17,17
2018-04-24,20,1752760311,1752760311,,,,,,12013114.75,35,35
2018-04-25,13,1752760312,1752760312,,,,,,12013114.75,16,16
2018-04-26,9,1752760312,1752760312,,,,,,12013114.75,12,12
2018-04-27,21,1752760312,1752760312,,,,,,12013114.75,36,36
2018-04-28,7,1752760312,1752760312,,,,,,11998507.75,9,9
2018-04-29,7,1752760312,1752760312,,,,,,11998507.75,6,6
2018-04-30,6,1752760313,1752760313,,,,,,11998507.75,6,6
2018-05-01,12,1752760313,1752760313,,,,,,11998507.75,14,14
2018-05-02,13,1752760313,1752760313,,,,,,11998507.75,19,19
2018-05-03,9,1752760313,1752760313,,,,,,11998507.75,10,10
2018-05-04,6,1752760313,1752760313,,,,,,11998507.75,5,5
2018-05-05,10,1752760314,1752760314,,,,,,11998507.75,13,13
2018-05-06,6,1752760314,1752760314,,,,,,11998507.75,7,7
2018-05-07,11,1752760314,1752760314,,,,,,11998507.75,13,13
2018-05-08,8,1752760315,1752760315,,,,,,11983707.75,8,8
2018-05-09,5,1752760315,1752760315,,,,,,11983707.75,4,4
2018-05-10,11,1752760315,1752760315,,,,,,11983707.75,17,17
2018-05-11,10,1752760315,1752760315,,,,,,13395707.75,9,9
