time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2018-01-31,7,5,1614335239,1614335239,,,,500000000,,,,,,,,,,,500000000,8,8,
2018-02-01,1074,1067,1614335239,1614335239,,,,0,,,,,,,,,,,500000000,1290,1289,
2018-02-02,1927,1319,1614335239,1614335239,,,,0,,,,,,,,,,,500000000,2483,2483,
2018-02-03,1129,1011,1614335240,1614335240,,,,0,,,,,,,,,,,500000000,1507,1507,
2018-02-04,965,459,1614335240,1614335240,,,,0,,,,,,,,,,,500000000,1266,1266,
2018-02-05,574,363,1614335240,1614335240,,,,0,,,,,,,,,,,500000000,1085,1085,
2018-02-06,186,368,1614335240,1614335240,,,,0,,,,,,,,,,,500000000,369,369,
2018-02-07,176,400,1614335240,1614335240,,,,0,,,,,,,,,,,500000000,288,288,
2018-02-08,109,419,1614335240,1614335240,,,,0,,,,,,,,,,,500000000,170,170,
2018-02-09,127,418,1614335240,1614335240,,,,0,,,,,,,,,,,500000000,192,192,
2018-02-10,159,426,1614335241,1614335241,,,,0,,,,,,,,,,,500000000,291,291,
2018-02-11,98,457,1614335241,1614335241,,,,0,,,,,,,,,,,500000000,136,135,
2018-02-12,356,751,1614335241,1614335241,,,,0,,,,,,,,,,,500000000,409,409,
2018-02-13,1068,1744,1614335241,1614335241,,,,0,,,,,,,,,,,500000000,1123,1123,
2018-02-14,2311,3948,1614335241,1614335241,,,,0,,,,,,,,,,,500000000,2440,2440,
2018-02-15,1424,5263,1614335241,1614335241,,,,0,,,,,,,,,,,500000000,1495,1495,
2018-02-16,2339,7490,1614335241,1614335241,,,,0,,,,,,,,,,,500000000,2383,2383,
2018-02-17,2928,10291,1614335241,1614335241,,,,0,,,,,,,,,,,500000000,2991,3013,
2018-02-18,2432,12581,1614335242,1614335242,,,,0,,,,,,,,,,,500000000,2512,2512,
2018-02-19,3010,15439,1614335242,1614335242,,,,0,,,,,,,,,,,500000000,3064,3064,
2018-02-20,3734,18925,1614335242,1614335242,,,,0,,,,,,,,,,,500000000,3764,3764,
2018-02-21,5641,24413,1614335242,1614335242,,,,0,,,,,,,,,,,500000000,5702,5702,
2018-02-22,2176,26488,1614335242,1614335242,,,,0,,,,,,,,,,,500000000,2196,2196,
2018-02-23,721,27125,1614335242,1614335242,,,,0,,,,,,,,,,,500000000,737,737,
2018-02-24,2870,29874,1614335242,1614335242,,,,0,,,,,,,,,,,500000000,2905,2905,
2018-02-25,4825,34519,1614335243,1614335243,,,,0,,,,,,,,,,,500000000,4855,4855,
2018-02-26,3736,38131,1614335243,1614335243,,,,0,,,,,,,,,,,500000000,3845,3845,
2018-02-27,3569,41273,1614335243,1614335243,,,,0,,,,,,,,,,,500000000,3752,3752,
2018-02-28,940,41938,1614335243,1614335243,,,,0,,,,,,,,,,,500000000,1161,1161,
2018-03-01,127,41969,1614335243,1614335243,,,,0,,,,,,,,,,,500000000,117,117,
2018-03-02,66,41996,1614335243,1614335243,,,,0,,,,,,,,,,,500000000,65,65,
2018-03-03,99,42022,1614335243,1614335243,,,,0,,,,,,,,,,,500000000,108,108,
2018-03-04,67,42043,1614335243,1614335243,,,,0,,,,,,,,,,,500000000,50,50,
2018-03-05,55,42075,1614335244,1614335244,,,,0,,,,,,,,,,,500000000,48,48,
2018-03-06,57,42099,1614335244,1614335244,,,,0,,,,,,,,,,,500000000,48,48,
2018-03-07,51,42124,1614335244,1614335244,,,,0,,,,,,,,,,,500000000,47,47,
2018-03-08,53,42160,1614335244,1614335244,,,,0,,,,,,,,,,,500000000,49,49,
2018-03-09,82,42212,1614335244,1614335244,,,,0,,,,,,,,,,,500000000,87,87,
2018-03-10,73,42236,1614335244,1614335244,,,,0,,,,,,,,,,,500000000,99,99,
2018-03-11,40,42253,1614335244,1614335244,,,,0,,,,,,,,,,,500000000,34,34,
2018-03-12,67,42269,1614335244,1614335244,,,,0,,,,,,,,,,,500000000,62,62,
2018-03-13,291,42389,1614335245,1614335245,,,,0,,,,,,,,,,,500000000,314,314,
2018-03-14,116,42449,1614335245,1614335245,,,,0,,,,,,,,,,,500000000,215,215,
2018-03-15,149,42471,1614335245,1614335245,,,,0,,,,,,,,,,,500000000,178,178,
2018-03-16,96,42490,1614335245,1614335245,,,,0,,,,,,,,,,,500000000,144,144,
2018-03-17,64,42499,1614335245,1614335245,,,,0,,,,,,,,,,,500000000,75,75,
2018-03-18,59,42521,1614335245,1614335245,,,,0,,,,,,,,,,,500000000,98,98,
2018-03-19,83,42541,1614335245,1614335245,,,,0,,,,,,,,,,,500000000,98,98,
2018-03-20,61,42561,1614335245,1614335245,,,,0,,,,,,,,,,,500000000,55,55,
2018-03-21,69,42582,1614335246,1614335246,,,,0,,,,,,,,,,,500000000,68,68,
2018-03-22,39,42593,1614335246,1614335246,,,,0,,,,,,,,,,,500000000,33,33,
2018-03-23,57,42599,1614335246,1614335246,,,,0,,,,,,,,,,,500000000,47,47,
2018-03-24,65,42639,1614335246,1614335246,,,,0,,,,,,,,,,,500000000,54,54,
2018-03-25,77,42657,1614335246,1614335246,,,,0,,,,,,,,,,,500000000,81,81,
2018-03-26,117,42623,1614335246,1614335246,,,,0,,,,,,,,,,,500000000,126,126,
2018-03-27,623,42102,1614335246,1614335246,,,,0,,,,,,,,,,,500000000,716,716,
2018-03-28,189,41960,1614335247,1614335247,,,,0,,,,,,,,,,,500000000,249,249,
2018-03-29,26,41966,1614335247,1614335247,,,,0,,,,,,,,,,,500000000,17,17,
2018-03-30,26,41973,1614335247,1614335247,,,,0,,,,,,,,,,,500000000,31,31,
2018-03-31,26,41985,1614335247,1614335247,,,,0,,,,,,,,,,,500000000,28,28,
2018-04-01,23,41986,1614335247,1614335247,,,,0,,,,,,,,,,,500000000,15,15,
2018-04-02,40,41994,1614335247,1614335247,,,,0,,,,,,,,,,,500000000,47,47,
2018-04-03,59,41987,1614335247,1614335247,,,,0,,,,,,,,,,,500000000,54,54,
2018-04-04,48,41979,1614335247,1614335247,,,,0,,,,,,,,,,,500000000,41,41,
2018-04-05,29,41972,1614335248,1614335248,,,,0,,,,,,,,,,,500000000,19,19,
2018-04-06,236,41759,1614335248,1614335248,,,,0,,,,,,,,,,,500000000,233,233,
2018-04-07,89,41696,1614335248,1614335248,,,,0,,,,,,,,,,,500000000,80,80,
2018-04-08,239,41593,1614335248,1614335248,,,,0,,,,,,,,,,,500000000,251,251,
2018-04-09,164,41462,1614335248,1614335248,,,,0,,,,,,,,,,,500000000,253,253,
2018-04-10,34,41463,1614335248,1614335248,,,,0,,,,,,,,,,,500000000,33,33,
2018-04-11,37,41463,1614335249,1614335249,,,,0,,,,,,,,,,,500000000,44,44,
2018-04-12,43,41464,1614335249,1614335249,,,,0,,,,,,,,,,,500000000,42,42,
2018-04-13,48,41472,1614335249,1614335249,,,,0,,,,,,,,,,,500000000,50,50,
2018-04-14,26,41477,1614335249,1614335249,,,,0,,,,,,,,,,,500000000,15,15,
2018-04-15,26,41490,1614335249,1614335249,,,,0,,,,,,,,,,,500000000,17,17,
2018-04-16,28,41496,1614335249,1614335249,,,,0,,,,,,,,,,,500000000,17,17,
2018-04-17,39,41521,1614335249,1614335249,,,,0,,,,,,,,,,,500000000,27,27,
2018-04-18,38,41537,1614335250,1614335250,,,,0,,,,,,,,,,,500000000,28,28,
2018-04-19,39,41557,1614335250,1614335250,,,,0,,,,,,,,,,,500000000,29,29,
2018-04-20,39,41572,1614335250,1614335250,,,,0,,,,,,,,,,,500000000,28,28,
2018-04-21,36,41588,1614335250,1614335250,,,,0,,,,,,,,,,,500000000,32,32,
2018-04-22,76,41576,1614335250,1614335250,,,,0,,,,,,,,,,,500000000,67,67,
2018-04-23,101,41558,1614335250,1614335250,,,,0,,,,,,,,,,,500000000,116,116,
2018-04-24,94,41541,1614335250,1614335250,,,,0,,,,,,,,,,,500000000,105,105,
2018-04-25,40,41545,1614335250,1614335250,,,,0,,,,,,,,,,,500000000,24,24,
