date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-08-01,null,1,null,null,null,2,null,
2017-08-02,null,null,null,null,null,null,null,
2017-08-03,null,null,null,null,null,null,null,
2017-08-04,null,null,null,null,null,null,null,
2017-08-05,null,null,null,null,null,null,null,
2017-08-06,null,null,null,null,null,null,null,
2017-08-07,null,null,null,null,null,null,null,
2017-08-08,null,null,null,null,null,null,null,
2017-08-09,null,null,null,null,null,null,null,
2017-08-10,null,null,null,null,null,null,null,
2017-08-11,null,null,null,null,null,null,null,
2017-08-12,null,null,null,null,null,null,null,
2017-08-13,null,null,null,null,null,null,null,
2017-08-14,null,null,null,null,null,null,null,
2017-08-15,null,null,null,null,null,null,null,
2017-08-16,null,null,null,null,null,null,null,
2017-08-17,null,null,null,null,null,null,null,
2017-08-18,null,null,null,null,null,null,null,
2017-08-19,null,null,null,null,null,null,null,
2017-08-20,null,null,null,null,null,null,null,
2017-08-21,null,null,null,null,null,null,null,
2017-08-22,null,null,null,null,null,null,null,
2017-08-23,null,null,null,null,null,null,null,
2017-08-24,null,null,null,null,null,null,null,
2017-08-25,null,null,null,null,null,null,null,
2017-08-26,null,null,null,null,null,null,null,
2017-08-27,null,null,null,null,null,null,null,
2017-08-28,null,null,null,null,null,null,null,
2017-08-29,null,null,null,null,null,null,null,
2017-08-30,null,null,null,null,null,null,null,
2017-08-31,null,null,null,null,null,null,null,
2017-09-01,null,null,null,null,null,null,null,
2017-09-02,null,null,null,null,null,null,null,
2017-09-03,null,null,null,null,null,null,null,
2017-09-04,null,null,null,null,null,null,null,
2017-09-05,null,null,null,null,null,null,null,
2017-09-06,null,null,null,null,null,null,null,
2017-09-07,null,null,null,null,null,null,null,
2017-09-08,null,null,null,null,null,null,null,
2017-09-09,null,null,null,null,null,null,null,
2017-09-10,null,null,null,null,null,null,null,
2017-09-11,null,null,null,null,null,null,null,
2017-09-12,null,null,null,null,null,null,null,
2017-09-13,null,null,null,null,null,null,null,
2017-09-14,null,null,null,null,null,null,null,
2017-09-15,null,null,null,null,null,null,null,
2017-09-16,null,null,null,null,null,null,null,
2017-09-17,null,null,null,null,null,null,null,
2017-09-18,null,null,null,null,null,null,null,
2017-09-19,null,null,null,null,null,null,null,
2017-09-20,null,4,null,null,null,4,null,
2017-09-21,null,4,null,null,null,4,null,
2017-09-22,null,1,null,null,null,2,null,
2017-09-23,null,null,null,null,null,null,null,
2017-09-24,null,null,null,null,null,null,null,
2017-09-25,null,1,null,null,null,2,null,
2017-09-26,null,1,null,null,null,2,null,
2017-09-27,null,9,null,null,null,8,null,
2017-09-28,null,1514,null,null,null,1124,null,
2017-09-29,null,3057,null,null,null,2030,null,
2017-09-30,null,3024,null,null,null,2303,null,
2017-10-01,null,2368,null,null,null,1467,null,
2017-10-02,81590423.9271,2113,247626000.0,7.27,13543300.0,1519,1454.0,
2017-10-03,27559315.8382,1195,238819000.0,6.52,5546400.0,883,976.853948956,
2017-10-04,29450796.2155,1322,198035000.0,5.4,4136630.0,936,936.90901827,
2017-10-05,20908352.5138,1781,232177000.0,4.25,3646930.0,1258,425.0,
2017-10-06,12338304.7158,1459,230475000.0,4.22,2282420.0,1204,326.2482,
2017-10-07,6138763.54629,1487,217867000.0,3.98,3388420.0,1095,398.0,
2017-10-08,11656565.1378,1569,182975000.0,3.35,2501230.0,1211,315.394342817,
2017-10-09,7590273.69376,1311,188748000.0,3.45,2942420.0,1018,345.0,
2017-10-10,9799135.06335,1339,166755000.0,3.05,2384720.0,1059,263.72093705,
2017-10-11,8830779.1604,1577,181908000.0,3.33,3229530.0,1176,333.824175,
2017-10-12,3251869.36159,1006,210884000.0,3.86,2160950.0,843,241.781101878,
2017-10-13,4081312.24179,1430,195851000.0,3.58,2599040.0,1148,334.277184828,
2017-10-14,2136926.76436,1083,178682000.0,3.27,1515720.0,905,181.447947368,
2017-10-15,1684927.59575,977,160713000.0,2.94,1371840.0,801,292.824,
2017-10-16,16932353.5973,2756,164118000.0,3.0,5613960.0,1972,591.84276,
2017-10-17,13825626.0201,1725,189382000.0,3.46,6084920.0,1273,415.2,
2017-10-18,10252466.4252,1128,168367000.0,3.08,4956180.0,839,303.71264,
2017-10-19,4822810.44329,896,161803000.0,2.96,3695910.0,715,206.029997855,
2017-10-20,7773289.0124,1290,162640000.0,2.97,4634470.0,961,297.0,
2017-10-21,3994796.17149,1089,150237000.0,2.75,5154440.0,815,292.5725,
2017-10-22,3050299.74316,1030,117315000.0,2.51,5401130.0,806,258.286664348,
2017-10-23,11025668.9534,2746,166425000.0,3.56,13532400.0,1811,765.250391356,
2017-10-24,16582548.445,1533,143132000.0,3.06,6991420.0,1218,266.836902732,
2017-10-25,4129131.02858,1138,142405000.0,3.05,6644420.0,869,286.417930891,
2017-10-26,4119884.15109,1072,152880000.0,3.27,5668710.0,815,317.475728153,
2017-10-27,2323243.17402,992,142242000.0,3.04,3240800.0,826,209.76,
2017-10-28,2434424.31285,952,137541000.0,2.94,3545970.0,794,226.38,
2017-10-29,2241150.76731,994,133098000.0,2.85,3768150.0,796,185.435819202,
2017-10-30,1956703.37566,1033,138111000.0,2.95,3316740.0,864,213.585654353,
2017-10-31,1848505.65557,1326,125514000.0,2.68,4393950.0,1016,218.179867364,
2017-11-01,2818376.68061,1746,124172000.0,2.66,4220950.0,1297,224.839088286,
2017-11-02,2562150.95251,1506,105729000.0,2.26,4052270.0,1187,190.019808662,
2017-11-03,3153132.05785,1288,107618000.0,2.3,4608760.0,921,249.801860994,
2017-11-04,1406359.70244,958,120223000.0,2.57,3843900.0,739,156.981204939,
2017-11-05,2201656.63932,875,110083000.0,2.35,3216540.0,694,235.0,
2017-11-06,3586520.06503,1307,121071000.0,2.59,6400980.0,967,257.705,
2017-11-07,3907356.15549,1649,130316000.0,2.79,6463600.0,1179,279.0,
2017-11-08,6863124.02696,1968,146252000.0,3.13,10930800.0,1536,249.651702637,
2017-11-09,9682917.29514,2797,171178000.0,3.66,10186400.0,2105,237.9,
2017-11-10,4141837.20118,2015,193321000.0,4.14,6291400.0,1645,247.566939512,
2017-11-11,2836722.92727,1552,176728000.0,3.78,6157120.0,1256,211.691774133,
2017-11-12,5380964.33654,1911,181196000.0,3.88,5216980.0,1479,194.0,
2017-11-13,2014448.86093,1290,161456000.0,3.45,4445720.0,1030,200.1,
2017-11-14,3034391.23654,1105,194348000.0,3.96,4635890.0,937,399.546031738,
2017-11-15,1790104.4378,1194,190015000.0,3.88,4302840.0,1211,161.658633256,
2017-11-16,2304852.79527,1332,187189000.0,3.82,5030580.0,1294,206.854568549,
2017-11-17,3407786.2265,1691,173996000.0,3.56,4069920.0,1662,175.775,
2017-11-18,1617376.60354,1324,164922000.0,3.37,4922050.0,1252,158.251618398,
2017-11-19,9423410.2157,1873,192781000.0,3.94,7020010.0,1632,199.7974,
2017-11-20,3309432.858,1560,177773000.0,3.63,5253100.0,1377,143.53147177,
2017-11-21,3721718.54155,1112,183684000.0,3.75,4021460.0,1122,196.268605931,
2017-11-22,2151145.74097,1459,180485000.0,3.69,4335110.0,1299,173.09792214,
2017-11-23,1770201.78994,1074,179844000.0,3.67,5002100.0,1128,178.901827291,
2017-11-24,2708777.69379,1284,176742000.0,3.61,4521800.0,1186,205.49925,
2017-11-25,1892225.19099,1130,178604000.0,3.65,4452600.0,1162,174.087814121,
