time,CapMrktEstUSD,ReferenceRate,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-04-22,,,,250630.272986964
2025-04-23,,,,272421.31510385
2025-04-24,,,,102769.010906515
2025-04-25,,,,37459.9998147811
2025-04-26,,,,112543.626192525
2025-04-27,,,,47526.7000002856
2025-04-28,,,,76577.1604293538
2025-04-29,,,,114699.920665395
2025-04-30,,,,92622.3229398403
2025-05-01,,,,118913.57845926
2025-05-02,,,,109708.382567076
2025-05-03,,,,58901.8922469221
2025-05-04,,,,30829.0616219671
2025-05-05,,,,68608.6453448999
2025-05-06,,,,78208.4670472315
2025-05-07,,,,283800.325644432
2025-05-08,,,,406231.62816728
2025-05-09,,,,147574.12881468
2025-05-10,,,,208833.8995667
2025-05-11,,,,137896.116343378
2025-05-12,,,,176841.113000154
2025-05-13,,,,197943.233527748
2025-05-14,,,,319415.057046287
2025-05-15,,,,99069.7461293447
2025-05-16,,,,85842.8390582863
2025-05-17,,,,108327.034873904
2025-05-18,,,,80896.6656531669
2025-05-19,,,,145857.073000381
2025-05-20,,,,156104.243470454
2025-05-21,,,,191781.273568168
2025-05-22,,,,97959.0324900624
2025-05-23,,,,162966.552229611
2025-05-24,,,,67671.2233388333
2025-05-25,,,,44613.113717792
2025-05-26,,,,46969.2807084004
2025-05-27,,,,26793.1279465272
2025-05-28,,,,105568.877291046
2025-05-29,,,,116161.333293302
2025-05-30,,,,138324.308578901
2025-05-31,,,,48177.31684037
2025-06-01,,,,36537.6368428283
2025-06-02,,,,265697.082902445
2025-06-03,,,,393237.821905365
2025-06-04,,,,304899.98711044
2025-06-05,,,,540724.374067512
2025-06-06,1515490436.019406347362598129204,,,270909.56102152
2025-06-07,1574429420.440127387135821849481,,,121799.407348663
2025-06-08,1562278345.787644600239069126363,,,124789.322265645
2025-06-09,1750053552.583408313283163383192,,,331228.226416385
2025-06-10,1936498034.051567957362498401794,,,512872.254084356
2025-06-11,1845013576.197764743431725841401,,,282396.240429451
2025-06-12,1775208200.645688526097898714147,,,306694.675930425
2025-06-13,1915338308.906988146788459213124,,,576660.694647128
2025-06-14,1869660349.547953017463277043736,,,341877.954649489
2025-06-15,1893154035.5921620177854957918,,,158519.196353392
2025-06-16,1934402183.545170951832194311772,,,721585.764568663
2025-06-17,1804865474.668688085745363696606,,,422294.847071364
2025-06-18,1773718153.319014912746873131242,,,175065.160514376
2025-06-19,1702729756.75066040429683497929,,,168961.227712196
2025-06-20,1644874411.185927250876900980312,,,613096.925732672
2025-06-21,1569822578.6130267646425542817,,,128299.375980898
2025-06-22,1549663905.931991500062408189612,,,218517.370994874
2025-06-23,1777576072.04568261602547441178,,,1301736.89407215
2025-06-24,1769961043.028409593390458079871,,,320027.586855937
2025-06-25,1684497439.015118208852215556712,,,150834.076871439
