time,CapMrktEstUSD
2025-10-25,2507201961.61387936744175603577
2025-10-26,2564010034.17806386958713430788
2025-10-27,2547005458.58887187834560338359
2025-10-28,2485486363.0459338836013521439
2025-10-29,2519828009.02367653863015291649
2025-10-30,2399221326.40295250559676367688
2025-10-31,2420906170.52060403180280076112
2025-11-01,2419305106.33249325480124484675
2025-11-02,2445096824.1527946861089949734
2025-11-03,2170338771.73554703923238519326
2025-11-04,2017687189.5204326832853717542
2025-11-05,2096851188.85376663635134901374
2025-11-06,1877814919.90636485420411189528
2025-11-07,2064023224.3673193084379319552
2025-11-08,2013411398.84127633168852941556
2025-11-09,2051517070.8080781028211686572
2025-11-10,2107423284.16853786822801736555
2025-11-11,1960764218.76990103794235284799
2025-11-12,1938657779.0228456007517634906
2025-11-13,1878260090.49629076737629541788
2025-11-14,1792989692.97438171278311761131
2025-11-15,1836953571.33551906357581305699
2025-11-16,1801808474.60507967310881046104
2025-11-17,1739159208.3101524560604864325
2025-11-18,1882978937.0286890852862307516
2025-11-19,1853874389.936431508730900249
2025-11-20,1765224169.01385027796437766106
2025-11-21,1702796236.63539934621815748432
2025-11-22,1640135808.30253379696465789079
2025-11-23,1687847697.9569579566286716668
2025-11-24,1785287612.26457011851214308476
2025-11-25,1784872393.48208602658677139103
2025-11-26,1813977298.56783209270617354806
2025-11-27,1792166731.93655821322018040348
2025-11-28,1705659072.5258374005137544696
2025-11-29,1668145789.9715721098660308729
2025-11-30,1659818068.1836860719050744452
2025-12-01,1631566352.43761903556024429
2025-12-02,1780888154.27224400656545708891
2025-12-03,1861739162.115331650039823744
2025-12-04,1753994527.7037097120368065259
2025-12-05,1665519798.03402302939995004601
2025-12-06,1668847270.52054935656506348814
2025-12-07,1663486419.7810920056284324093
2025-12-08,1689505694.62796977382626840984
2025-12-09,1759330008.32945718878262190708
2025-12-10,1723813622.44504530970734586628
2025-12-11,1705274191.11768110637804041166
2025-12-12,1655866877.3337621507661830768
2025-12-13,1656603359.71226598410495185101
2025-12-14,1614420483.18132880694676861054
2025-12-15,1585838530.82714443320001887584
2025-12-16,1624088655.14837808123690465641
2025-12-17,1543481257.87119679564458999638
2025-12-18,1505640774.2205899766937816172
2025-12-19,1598026818.73928409267493132576
2025-12-20,1583591810.67759804557308236656
2025-12-21,1558425384.30410089681154787016
2025-12-22,1563687855.66787941269276526282
2025-12-23,1528036152.3368023599657197568
2025-12-24,1538308364.52767521075554966016
2025-12-25,1520561057.47230501030485603486
2025-12-26,1550927187.0046874667232211125
2025-12-27,1569444068.20809834343282230065
2025-12-28,1560473422.763582208558811032
2025-12-29,1535932661.20039699738458360687
2025-12-30,1551676342.58642455237233540714
2025-12-31,1552090324.89926790881507102987
2026-01-01,1593639725.0129696937236231984
2026-01-02,1656895172.64588467946162590478
2026-01-03,1668046026.37398105691664254486
2026-01-04,1644295935.13002623375592427575
2026-01-05,1697923327.91999018179194304753
2026-01-06,1736433974.82950273093624081266
2026-01-07,1671400079.5530511931606046756
2026-01-08,1677450876.02479680910557136248
2026-01-09,1654108335.51674371187614843455
2026-01-10,1638409458.6537376534800843207
2026-01-11,1669895491.9113424763498223495
2026-01-12,1672134685.05664457128228770612
2026-01-13,1708659073.46542989833628382232
2026-01-14,1700329558.24176149225164907
2026-01-15,1637106332.0197178701983613312
2026-01-16,1652998106.5590800703169725468
2026-01-17,1710156402.09236199132220179825
2026-01-18,1653172603.451184387636327424
2026-01-19,1591276520.9575509040791939249
2026-01-20,1518959581.45413862358404188212
2026-01-21,1561588253.0014937229391769808
2026-01-22,1551761406.09140934005781081888
2026-01-23,1521335019.50388320045287288815
2026-01-24,1560469017.32374543355158444044
2026-01-25,1461188709.7795106242314160376
2026-01-26,1527402971.647799461726129475
