time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt
2019-05-23,35,34,1614335647,1614335647,,,,3000000,,,,,,3000000,0,0
2019-05-24,6,39,1614335647,1614335647,,,,2086.575875486157663248,,,,,,3002086.575875486157663248,1,1
2019-05-25,5,41,1614335647,1614335647,,,,107.003891050407312184,,,,,,3002193.579766536564975432,4,4
2019-05-26,4,42,1614335647,1614335647,,,,97.276264591276173749,,,,,,3002290.856031127841149181,5,5
2019-05-27,0,42,1614335647,1614335647,,,,0,,,,,,3002290.856031127841149181,0,0
2019-05-28,2,42,1614335647,1614335647,,,,97.27626459123416895,,,,,,3002388.132295719075318131,0,0
2019-05-29,6,45,1614335647,1614335647,,,,431.454280154305505128,,,,,,3002819.586575873380823259,5,5
2019-05-30,6,46,1614335647,1614335647,,,,540.719844354327068255,,,,,,3003360.306420227707891514,7,7
2019-05-31,0,46,1614335647,1614335647,,,,0,,,,,,3003360.306420227707891514,0,0
2019-06-01,0,46,1614335647,1614335647,,,,0,,,,,,3003360.306420227707891514,0,0
2019-06-02,3,47,1614335647,1614335647,,,,97.276264590399239579,,,,,,3003457.582684818107131093,1,1
2019-06-03,5,49,1614335648,1614335648,,,,39.182879376947190002,,,,,,3003496.765564195054321095,2,4
2019-06-04,3,50,1614335648,1614335648,,,,206.043774316472080063,,,,,,3003702.809338511526401158,0,0
2019-06-05,0,50,1614335648,1614335648,,,,0,,,,,,3003702.809338511526401158,0,0
2019-06-06,6,51,1614335648,1614335648,,,,29330.884502474332444764,,,,,,3033033.693840985858845922,6,6
2019-06-07,3,53,1614335648,1614335648,,,,680.933763696573189794,,,,,,3033714.627604682432035716,0,0
2019-06-08,2,53,1614335648,1614335648,,,,77.821000897913019764,,,,,,3033792.44860558034505548,0,0
2019-06-09,0,53,1614335648,1614335648,,,,0,,,,,,3033792.44860558034505548,0,0
2019-06-10,0,53,1614335648,1614335648,,,,0,,,,,,3033792.44860558034505548,0,0
2019-06-11,0,53,1614335648,1614335648,,,,0,,,,,,3033792.44860558034505548,0,0
2019-06-12,2,54,1614335648,1614335648,,,,97.276251122391274705,,,,,,3033889.724856702736330185,0,0
2019-06-13,0,54,1614335648,1614335648,,,,0,,,,,,3033889.724856702736330185,0,0
2019-06-14,6,57,1614335648,1614335648,,,,6408.342126492677221228,,,,,,3040298.066983195413551413,0,0
2019-06-15,2,57,1614335648,1614335648,,,,0,,,,,,3040298.066983195413551413,1,1
2019-06-16,5,60,1614335648,1614335648,,,,851.848001524269912461,,,,,,3041149.914984719683463874,0,0
2019-06-17,3,62,1614335648,1614335648,,,,719.844134616191734041,,,,,,3041869.759119335875197915,0,0
2019-06-18,2,63,1614335648,1614335648,,,,97.2762324327025344,,,,,,3041967.035351768577732315,0,0
2019-06-19,3,65,1614335649,1614335649,,,,283482.24047355546566798,,,,,,3325449.275825324043400295,0,0
2019-06-20,0,65,1614335649,1614335649,,,,0,,,,,,3325449.275825324043400295,0,0
2019-06-21,4,67,1614335649,1614335649,,,,71763.367652612324986869,,,,,,3397212.643477936368387164,0,0
2019-06-22,0,67,1614335649,1614335649,,,,0,,,,,,3397212.643477936368387164,0,0
2019-06-23,0,67,1614335649,1614335649,,,,0,,,,,,3397212.643477936368387164,0,0
2019-06-24,2,67,1614335649,1614335649,,,,96853.275443088120218639,,,,,,3494065.918921024488605803,0,0
2019-06-25,2,68,1614335649,1614335649,,,,4803.005449288364917187,,,,,,3498868.92437031285352299,0,0
2019-06-26,2,69,1614335649,1614335649,,,,289.874752872185239858,,,,,,3499158.799123185038762848,0,0
2019-06-27,2,69,1614335649,1614335649,,,,386.492403687283684376,,,,,,3499545.291526872322447224,0,0
2019-06-28,2,69,1614335649,1614335649,,,,2898.479335765827664964,,,,,,3502443.770862638150112188,0,0
2019-06-29,2,69,1614335649,1614335649,,,,20275.95882683252458687,,,,,,3522719.729689470674699058,0,0
2019-06-30,0,69,1614335649,1614335649,,,,0,,,,,,3522719.729689470674699058,0,0
2019-07-01,0,69,1614335649,1614335649,,,,0,,,,,,3522719.729689470674699058,0,0
2019-07-02,2,70,1614335649,1614335649,,,,86569.241398013858111622,,,,,,3609288.97108748453281068,0,0
2019-07-03,3,71,1614335649,1614335649,,,,19805.603240214476077832,,,,,,3629094.574327699008888512,0,0
2019-07-04,9,74,1614335649,1614335649,,,,38224.841962145284953257,,,,,,3667319.416289844293841769,3,5
2019-07-05,2,74,1614335649,1614335649,,,,0,,,,,,3667319.416289844293841769,1,1
2019-07-06,3,74,1614335649,1614335649,,,,372.211081812205601671,,,,,,3667691.62737165649944344,0,0
2019-07-07,0,74,1614335650,1614335650,,,,0,,,,,,3667691.62737165649944344,0,0
2019-07-08,5,76,1614335650,1614335650,,,,1943.313469775236274048,,,,,,3669634.940841431735717488,0,0
2019-07-09,2,76,1614335650,1614335650,,,,285.50090727770072433,,,,,,3669920.441748709436441818,0,0
2019-07-10,8,79,1614335650,1614335650,,,,4648.773193106144077325,,,,,,3674569.214941815580519143,2,2
2019-07-11,9,81,1614335650,1614335650,,,,775.231289396178292349,,,,,,3675344.446231211758811492,2,2
2019-07-12,12,82,1614335650,1614335650,,,,2466.810250887112730848,,,,,,3677811.25648209887154234,20,20
2019-07-13,7,82,1614335650,1614335650,,,,9.2848852780956525,,,,,,3677820.54136737696719484,7,7
2019-07-14,7,82,1614335650,1614335650,,,,142.963420524475188872,,,,,,3677963.504787901442383712,6,6
2019-07-15,12,83,1614335650,1614335650,,,,27.888710751446763118,,,,,,3677970.49343954486945586,19,25
2019-07-16,6,84,1614335650,1614335650,,,,266.977073176047875365,,,,,,3678237.470512720917331225,2,2
2019-07-17,10,87,1614335650,1614335650,,,,680.683609767165830656,,,,,,3678918.154122488083161881,12,12
2019-07-18,2,87,1614335650,1614335650,,,,0,,,,,,3678918.154122488083161881,3,3
2019-07-19,5,89,1614335650,1614335650,,,,330.538319316663885453,,,,,,3679248.692441804747047334,2,2
2019-07-20,5,89,1614335650,1614335650,,,,0,,,,,,3679248.692441804747047334,3,9
2019-07-21,0,89,1614335650,1614335650,,,,0,,,,,,3679248.692441804747047334,0,0
