date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-04-25,null,27,null,null,null,17,null,
2017-04-26,null,84,null,null,null,72,null,
2017-04-27,null,6,null,null,null,7,null,
2017-04-28,null,9,null,null,null,10,null,
2017-04-29,null,4,null,null,null,4,null,
2017-04-30,null,9,null,null,null,10,null,
2017-05-01,null,18,null,null,null,10,null,
2017-05-02,null,35,null,null,null,23,null,
2017-05-03,null,34,null,null,null,20,null,
2017-05-04,null,30,null,null,null,22,null,
2017-05-05,null,15,null,null,null,14,null,
2017-05-06,null,26,null,null,null,13,null,
2017-05-07,null,26,null,null,null,27,null,
2017-05-08,null,28,null,null,null,23,null,
2017-05-09,null,43,null,null,null,35,null,
2017-05-10,null,25,null,null,null,18,null,
2017-05-11,null,46,null,null,null,32,null,
2017-05-12,null,39,null,null,null,32,null,
2017-05-13,null,59,null,null,null,53,null,
2017-05-14,null,31,null,null,null,26,null,
2017-05-15,null,33,null,null,null,30,null,
2017-05-16,null,44,null,null,null,37,null,
2017-05-17,null,31,null,null,null,25,null,
2017-05-18,null,19,null,null,null,14,null,
2017-05-19,null,45,null,null,null,37,null,
2017-05-20,null,48,null,null,null,41,null,
2017-05-21,null,51,null,null,null,47,null,
2017-05-22,null,174,null,null,null,130,null,
2017-05-23,null,583,null,null,null,405,null,
2017-05-24,null,788,null,null,null,600,null,
2017-05-25,null,524,null,null,null,410,null,
2017-05-26,null,428,null,null,null,339,null,
2017-05-27,null,84,null,null,null,78,null,
2017-05-28,null,11,null,null,null,11,null,
2017-05-29,null,6,null,null,null,8,null,
2017-05-30,null,4,null,null,null,4,null,
2017-05-31,null,15,null,null,null,15,null,
2017-06-01,null,36,null,null,null,24,null,
2017-06-02,null,32,null,null,null,24,null,
2017-06-03,null,45,null,null,null,34,null,
2017-06-04,null,74,null,null,null,34,null,
2017-06-05,null,54,null,null,null,37,null,
2017-06-06,null,134,null,null,null,75,null,
2017-06-07,null,669,null,null,null,371,null,
2017-06-08,null,764,null,null,null,444,null,
2017-06-09,null,569,null,null,null,323,null,
2017-06-10,null,618,null,null,null,320,null,
2017-06-11,67415.8775698,401,0.0,3.35,311346.0,259,30.15,
