time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-12-31,3.0,1614761636.0,,1000000000.0,,1.0,,,,,,1000000000.0,1000000000.0,0.0,1.0,1.0,1000000000.0,,1000000000.0,,1000000000.0,,1000000000.0,,,,
2018-01-01,0.0,1614761673.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-02,0.0,1614761710.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-03,0.0,1614761746.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-04,0.0,1614761786.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-05,0.0,1614761823.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-06,0.0,1614761858.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-07,0.0,1614761895.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-08,0.0,1614761943.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-09,0.0,1614761981.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-10,0.0,1614766848.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-11,0.0,1614781149.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-12,0.0,1614781163.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-13,0.0,1614781176.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-14,0.0,1614781188.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-15,0.0,1614781199.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-16,0.0,1614781208.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-17,0.0,1614781223.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-18,0.0,1614781236.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-19,0.0,1614781247.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-20,0.0,1614781258.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-21,0.0,1614781269.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-22,0.0,1614781282.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-23,0.0,1614781294.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-24,0.0,1614781306.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-25,0.0,1614781316.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-26,0.0,1614781327.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-27,0.0,1614781339.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-28,0.0,1614781352.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-29,0.0,1614781364.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-30,0.0,1614781375.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-01-31,0.0,1614781386.0,,0.0,,,,,,,,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2018-02-01,2.0,1614781398.0,,0.0,,1.0,,,,,,1000000000.0,1000000000.0,0.0,1.0,1.0,1000000000.0,,1000000000.0,,1000000000.0,,1000000000.0,,,,
