time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD
2025-03-28,2690617560.118837608168614637,,,,,
2025-03-29,2682547274.592000753297577126,,,,,
2025-03-30,2668115029.231573840777390854,,,,,
2025-03-31,2682869975.234927053764133365,,,,,
2025-04-01,2787132287.91004971148649456,,,,,
2025-04-02,2732400800.438157216686239952,,,,,
2025-04-03,2752456228.837916924591403008,,,,,
2025-04-04,2807529711.677232386707671699,,,,,
2025-04-05,2765525235.425539063358020509,,,,,
2025-04-06,2529942011.632333923251344361,,,,,
2025-04-07,2588551706.649351652342084509,,,,,
2025-04-08,2491403053.100886443510141535,,,,,
2025-04-09,2761597709.299168260931948755,,,,,
2025-04-10,2765405609.645129583949932174,,,,,
2025-04-11,2912272426.42462656243283878,,,,,
2025-04-12,3095850849.384159569050875852,,,,,
2025-04-13,3075300227.313038467233727698,,,,,
2025-04-14,3134955353.586081170501293209,,,,,
2025-04-15,3083119340.438123707583827545,,,,,
2025-04-16,3141065756.405677532647927838,,,,,
2025-04-17,3285868747.853933728218966717,,,,,
2025-04-18,3283362000.549836744316085284,,,,,
2025-04-19,3316457951.692612121037525624,,,,,
2025-04-20,3336402812.709860253673469092,,,,,
2025-04-21,3440427022.960582014333317286,,,,,
2025-04-22,3684850851.53158737214774591,,,,,
2025-04-23,3695669082.103800020600136276,,,,,
2025-04-24,3746754961.956385476377556945,,,,,
2025-04-25,3829291849.265033974942821636,,,,,
2025-04-26,3829756516.06411463375136834,,,,,
2025-04-27,3813065061.630672116971746,,,,,
2025-04-28,3864225093.178342079306037212,,,,,
2025-04-29,3849424466.462789027010828512,,,,,
2025-04-30,3864058158.738854152888472052,,,,,
2025-05-01,3969656584.464220845098914635,,,,,
2025-05-02,3994401332.186781782423327192,,,,,
2025-05-03,4060631281.225353665756539087,,,,,
2025-05-04,4036450537.559009654440058846,,,,,
2025-05-05,4069478292.945341885385104067,,,,,
2025-05-06,4215886130.483030052453593588,,,,,
2025-05-07,4259574259.730000020106326674,,,,,
2025-05-08,4600568569.52708303609913893,,,,,
2025-05-09,4707269031.08573285747814864,,,,,
2025-05-10,4761652492.068059411160881,,,,,
2025-05-11,4744015603.81601292243056295,,,,,
2025-05-12,4690684691.82024314300586518,,,,,
2025-05-13,4738125562.08473214329426564,,,,,
2025-05-14,4701079266.48657458796702096,,,,,
2025-05-15,4773308042.5367593679585772,,,,,
2025-05-16,4500533843.13902259064270896,,,,,
2025-05-17,4366334329.13434975711542984,,,,,
2025-05-18,4477224039.17675354550133982,,,,,
2025-05-19,4474536008.57567230747206912,,,,,
2025-05-20,4528168763.79113129839384215,,,,,
2025-05-21,4684984723.74844961570632888,,,,,
2025-05-22,4604632973.99128719349690184,,,,,
2025-05-23,4451690112.24466857199887384,,,,,
2025-05-24,4529611241.26801779961014662,,,,,
2025-05-25,4583051870.18015924443877325,,,,,
2025-05-26,4636752183.4974099397556618,,,,,
2025-05-27,4625678234.57621385032764488,,,,,
2025-05-28,4632691993.94191125473315568,,,,,
2025-05-29,4512433150.88070536536213545,,,,,
2025-05-30,4478334516.91996582685158763,,,,,
2025-05-31,4537007383.1323701869576145,,,,,
2025-06-01,4571614424.42162772040000372,,,,,
2025-06-02,4575324554.8480499819209238,,,,,
2025-06-03,4684163775.24587649572878464,,,,,
2025-06-04,4679686198.0026155309709144,,,,,
2025-06-05,4571366903.45197822879080255,,,,,
2025-06-06,4638797117.8118551320710959,,,,,
2025-06-07,4690766305.61296058800450448,,,,,
2025-06-08,4714820309.46987821823422546,,,,,
2025-06-09,4916667675.78887721279211935,,,,,
2025-06-10,4889789167.39560853979040892,,,,,
2025-06-11,4871501703.62988709283845736,,,,,
2025-06-12,4781071497.83707666164661664,,,,,
2025-06-13,4784617899.6351535602562932,,,,,
2025-06-14,4863813707.19292530592429332,,,,,
2025-06-15,4892315829.47193992870061048,,,,,
2025-06-16,4999591159.32278362097178692,,,,,
2025-06-17,4785464478.67406970731041746,,,,,
2025-06-18,4825666031.9106129738064857,,,,,
2025-06-19,4834071152.4106731569786024,,,,,
2025-06-20,4778766440.54368489175206897,,,,,
2025-06-21,4689563997.58690309877050137,,,,,
2025-06-22,4664440670.5722640222021557,,,,,
2025-06-23,4900898369.11711764420882744,,,,,
2025-06-24,4916720776.84139203488257214,,,,,
2025-06-25,5013174096.18979913261538992,,,,,
2025-06-26,4833947984.83257523537239821,,,,,
2025-06-27,4898020347.80174800957672812,,,,,
2025-06-28,4976108815.22709614524154508,,,,,
2025-06-29,5029369027.26752717188827942,,,,,
2025-06-30,4987046046.38420539518405548,,,,,
2025-07-01,4947770474.61117087268640028,,,,,
2025-07-02,5120448305.85849330227554128,,,,,
2025-07-03,5163142255.94676193246192787,,,,,
2025-07-04,5150565818.37411213686028558,,,,,
2025-07-05,5244229729.12354353162885376,,,,,
2025-07-06,5333151377.9229354375618651,,,,,
2025-07-07,5358467368.02343982397331271,,,,,
2025-07-08,5421013552.59655667635940634,,,,,
2025-07-09,5547737136.31489615435044968,,,,,
2025-07-10,5858307158.27394161895001088,,,,,
2025-07-11,6027292643.52471774352169324,,,,,
2025-07-12,5996901182.26269082555375135,,,,,
2025-07-13,6069025391.09965218722738224,,,,,
2025-07-14,6127232347.694252057960157,,,,,
2025-07-15,5712155089.11179754795930918,,,,,
2025-07-16,5828263386.90581510806131959,,,,,
2025-07-17,5883433663.36803299841367287,,,,,
2025-07-18,5858271940.1736935416419134,,,,,
2025-07-19,6341515683.63821723113526166,,,,,
2025-07-20,6319255545.39664671534576792,,,,,
2025-07-21,6404129552.03201710957821823,,,,,
2025-07-22,6646263143.28370655944834788,,,,,
2025-07-23,6462888254.1357587175308346,,,,,
2025-07-24,6330635540.43778799769633309,,,,,
2025-07-25,6142663755.87026634222784456,,,,,
2025-07-26,6156614974.71608875552774712,,,,,
2025-07-27,6276584883.66011263645354068,,,,,
2025-07-28,6207250191.8863501983531928,,,,,
2025-07-29,6325751360.11711966743771297,,,,,
2025-07-30,6338580352.54846147277516673,,,,,
2025-07-31,6196450048.22642070210285036,,,,,
2025-08-01,6285752752.97337201314737758,,,,,
2025-08-02,6070186746.97892767914379182,,,,,
2025-08-03,6163830869.20615079141210244,,,,,
2025-08-04,6210602656.4578305039887723,,,,,
2025-08-05,6105713785.001565733010054,,,,,
2025-08-06,6168725466.21381178270013404,,,,,
2025-08-07,6364636125.05540855489333022,,,,,
2025-08-08,6328623612.50183749697298104,,,,,
2025-08-09,6206168333.8392391162782015,,,,,
2025-08-10,6389380990.3357912923519896,,,,,
2025-08-11,6358790443.01815922406785028,,,,,
2025-08-12,6517689183.34191807154400795,,,,,
2025-08-13,6754267069.46482947826616834,,,,,
2025-08-14,6585632333.0279596567995247,,,,,
2025-08-15,6413337202.42034971887145485,,,,,
2025-08-16,6211096887.08846180438683975,,,,,
2025-08-17,6143488028.97085604576076199,,,,,
2025-08-18,6096106533.72615413897760696,,,,,
2025-08-19,5614784336.60692770833061099,,,,,
2025-08-20,5705404134.77476839703355053,,,,,
2025-08-21,5633911352.09210490971884512,,,,,
2025-08-22,5925546178.79526403870188136,,,,,
2025-08-23,5848573798.98720926920142852,,,,,
2025-08-24,5907570545.59411321519407633,,,,,
2025-08-25,5835615018.45792854085612964,,,,,
2025-08-26,6050113827.9953680493994777,,,,,
2025-08-27,6042322243.85872871961509883,,,,,
2025-08-28,6174488242.1944164343679058,,,,,
2025-08-29,5947681330.17051555763524672,,,,,
2025-08-30,6118390511.99874198459869961,,,,,
2025-08-31,6090512012.75429265450787648,,,,,
2025-09-01,6138325470.58663893163085034,,,,,
2025-09-02,6237176220.49859722992798555,,,,,
2025-09-03,6222423427.75871683099258115,,,,,
2025-09-04,6173175640.98340775905529008,,,,,
2025-09-05,6079283968.13644704263848236,,,,,
2025-09-06,6063495718.1375430047955066,,,,,
2025-09-07,6134606922.83858423720952756,,,,,
2025-09-08,6182804186.8062782566785267,,,,,
2025-09-09,6157183915.86683889346026042,,,,,
2025-09-10,6329993952.11143033159761285,,,,,
2025-09-11,6623667453.22286193057697763,,,,,
2025-09-12,6716223379.82389682142784196,,,,,
2025-09-13,6880497939.33724191950442528,,,,,
2025-09-14,6617026583.24256577878973452,,,,,
2025-09-15,6622922231.086946315084,,,,,
2025-09-16,6841453658.25165575772663,,,,,
2025-09-17,6825988510.50068235624444856,,,,,
2025-09-18,6893783975.8846455581238784,,,,,
2025-09-19,6827736713.25150095055435186,,,,,
2025-09-20,6895706089.34639272372475394,,,,,
2025-09-21,6883313670.47386505255594408,,,,,
2025-09-22,6673052892.6657743321381012,,,,,
2025-09-23,6669391249.48870520289909138,,,,,
2025-09-24,6831383623.34947889209646994,,,,,
2025-09-25,6598265284.41951263567010624,,,,,
2025-09-26,6702873295.8586136005211658,,,,,
2025-09-27,6800404536.55927700288301264,,,,,
2025-09-28,6970628200.2924063601487421,,,,,
2025-09-29,7099074835.43300215218606008,,,,,
2025-09-30,7084195948.00468967496243226,,,,,
2025-10-01,7356278021.62499881486117956,,,,,
2025-10-02,7594858394.72812040026137138,,,,,
2025-10-03,7808558549.4984857486417248,,,,,
2025-10-04,7907025606.54496549913077254,,,,,
2025-10-05,7993855276.05050235197531055,,,,,
