time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2015-09-30,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1614335638.0,4781.0,192578360.8138159422264917558552,1.0,0.0,192578360.8138159422264917558552,0.0385156721627632,192578360.8138159422264917558552,0.00003,0.0000000577735082441448,0.00003,0.0000000577735082441448,0.00003,0.0000000577735082441448,,,,,,,0.9999999998,1.0,,0.0,,0.000008134598480420787,0.00192578360813816,,,0.0000000002,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,100.0,99999999979.99997,99999999979.99997,99999999999.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999999.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999979.99997,99999999999.99997,99999999979.99997,99999999979.99997,99999999999.99997,110462000000.0,20.0,1.0,0.0000115740740740741,1.0,99999999960.0,192578360.7367846556744736,99999999960.0,192578360.7367846556744736,99999999960.0,192578360.7367846556744736,0.9999999996,,
2015-10-01,5.0,2.0,4.0,6.0,2.0,2.0,4.0,1.0,2.0,6.0,6.0,6.0,6.0,4.0,2.0,6.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1614335638.0,14546.0,215329958.016780954450623779587625,1.0,0.00057187,215329958.016780954450623779587625,123141.332074776242099546613025,215329958.012255263250620779587625,0.00001625,0.0000000349711077322475375,0.00001,0.0000000215206816813831,0.00013,0.0000002797688618579803,57219936.0478975,20.8733329497177,0.0571872135608704,123141.202951590022431564703225,57219936.0478975,123141.202951590022431564703225,0.999999960023,1.00000004,,0.00057187,,0.00000903358036236117,0.00215206816813831,,,0.00000004,100057219936.0477375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100.0,100057215936.0471575,100057219896.0471375,100057219936.0471375,100057215936.0471575,100057215936.0471575,100057219896.0471375,99999997959.99966,100057215936.0471575,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219936.0471375,100057219896.0471375,100057215936.0471575,100057215936.0471575,100057219896.0471375,100057215936.0471575,100057219896.0471375,100057215936.0471575,100057215936.0471575,100057215936.0471575,100057215936.0471575,99999997959.99966,100057215936.0471575,99999997959.99966,100057219936.0471375,99999997959.99986,99999997959.99986,100057219936.0471375,110525206285.75722853645,57219996.0474775,13.0,0.000150462962962963,2.0,100057215896.048,215329949.32242741133064639888,50028607948.0239,107664974.661213490458506385609,50028607948.0239,107664974.661213490458506385609,1.9994280870877372,,
2015-10-02,15.0,3.0,3.0,14.0,2.0,3.0,11.0,1.0,3.0,14.0,14.0,14.0,14.0,11.0,3.0,14.0,3.0,14.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1614335638.0,16093.0,209017460.189815661879384116800525,0.99998273,0.00057191,209017460.189815661879384116800525,119542.207586728066212029989725,209021070.255604579933166562892725,0.00006,0.0000001253387573570898,0.0001,0.000000208897928928483,0.00186,0.0000038855014780697838,,,,,,,0.999900056987,4653817689.37276913,,2661632.38127842,,0.000008779547632963183,0.00208897928928483,,,0.000000032203,100057219936.0452175,100057219936.0452175,100057219916.0451875,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100.0,100057216716.0462075,100057216716.0462075,100057219936.0452175,100047219916.0470075,100057216716.0462075,100057219844.5452675,99989997959.99956,100057216716.0462075,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219844.5452675,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100047219916.0470075,100057216716.0462075,99989997959.99956,100057216716.0462075,99989997959.99956,100057219936.0452175,99989997959.99956,99989997959.99956,100057219936.0452175,110525206285.75722853645,57225176.0464575,31.0,0.000358796296296296,4.0,21.50003,0.0449131173890025235449,5.3750075,0.011228279347250630886225,5.75,0.0120116309133877725,1.999428087302653,,
2015-10-03,0.0,3.0,3.0,14.0,2.0,3.0,11.0,1.0,3.0,14.0,14.0,14.0,14.0,11.0,3.0,14.0,3.0,14.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1614335639.0,13168.0,205811097.87637102286130218725685,0.98464283,0.00056314,205811097.87637102286130218725685,117708.41040574626089001660165,209021070.255604579933166562892725,,,,,0.0,0.0,,,,,,,0.999900056987,,,,,0.000008580000000000026,0.00205693400244302,,,0.000000032203,100057219936.0452175,100057219936.0452175,99999997959.99774,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100.0,100057216716.0462075,100057216716.0462075,100057219936.0452175,100047219916.0470075,100057216716.0462075,100057219844.5452675,99989997959.99956,100057216716.0462075,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219844.5452675,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100047219916.0470075,100057216716.0462075,99989997959.99956,100057216716.0462075,99989997959.99956,100057219936.0452175,99989997959.99956,99989997959.99956,100057219936.0452175,110525206285.75722853645,57225176.0464575,0.0,0.0,0.0,0.0,0.0,,,,,1.999428087302653,,
2015-10-04,0.0,3.0,3.0,14.0,2.0,3.0,11.0,1.0,3.0,14.0,14.0,14.0,14.0,11.0,3.0,14.0,3.0,14.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1614335639.0,17156.0,203466225.903291111427697167258875,0.97342448,0.00055673,203466225.903291111427697167258875,116367.320661781045921720504875,209021070.255604579933166562892725,,,,,0.0,0.0,,,,,,,0.999900056987,,,,,0.000008489999999999995,0.00203349869238165,,,0.000000032203,100057219936.0452175,100057219936.0452175,0.0,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100.0,100057216716.0462075,100057216716.0462075,100057219936.0452175,100047219916.0470075,100057216716.0462075,100057219844.5452675,99989997959.99956,100057216716.0462075,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219844.5452675,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100047219916.0470075,100057216716.0462075,99989997959.99956,100057216716.0462075,99989997959.99956,100057219936.0452175,99989997959.99956,99989997959.99956,100057219936.0452175,110525206285.75722853645,57225176.0464575,0.0,0.0,0.0,0.0,0.0,,,,,1.999428087302653,,
2015-10-05,0.0,3.0,3.0,14.0,2.0,3.0,11.0,1.0,3.0,14.0,14.0,14.0,14.0,11.0,3.0,14.0,3.0,14.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1614335639.0,17204.0,203786224.250961576426902361890975,0.97495541,0.0005576,203786224.250961576426902361890975,116550.335558574326314049333775,209021070.255604579933166562892725,,,,,0.0,0.0,,,,,,,0.999900056987,,,,,0.000008452384570426656,0.00203669684587697,,,0.000000032203,100057219936.0452175,100057219936.0452175,0.0,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100.0,100057216716.0462075,100057216716.0462075,100057219936.0452175,100047219916.0470075,100057216716.0462075,100057219844.5452675,99989997959.99956,100057216716.0462075,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219844.5452675,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100047219916.0470075,100057216716.0462075,99989997959.99956,100057216716.0462075,99989997959.99956,100057219936.0452175,99989997959.99956,99989997959.99956,100057219936.0452175,110525206285.75722853645,57225176.0464575,0.0,0.0,0.0,0.0,0.0,,,,,1.999428087302653,,
2015-10-06,0.0,3.0,3.0,14.0,2.0,3.0,11.0,1.0,3.0,14.0,14.0,14.0,14.0,11.0,3.0,14.0,3.0,14.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1614335639.0,17139.0,211784971.3126447208910725478748,1.01322307,0.00057949,211784971.3126447208910725478748,121125.0150174726968625691932,209021070.255604579933166562892725,,,,,0.0,0.0,,,,,,,0.999900056987,,,,,0.000008571451782583291,0.00211663857388816,,,0.000000032203,100057219936.0452175,100057219936.0452175,0.0,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100.0,100057216716.0462075,100057216716.0462075,100057219936.0452175,100047219916.0470075,100057216716.0462075,100057219844.5452675,99989997959.99956,100057216716.0462075,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219844.5452675,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100047219916.0470075,100057216716.0462075,99989997959.99956,100057216716.0462075,99989997959.99956,100057219936.0452175,99989997959.99956,99989997959.99956,100057219936.0452175,110525206285.75722853645,57225176.0464575,0.0,0.0,0.0,0.0,0.0,,,,,1.999428087302653,,
2015-10-07,0.0,3.0,3.0,14.0,2.0,3.0,11.0,1.0,3.0,14.0,14.0,14.0,14.0,11.0,3.0,14.0,3.0,14.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1614335639.0,17215.0,204684775.867163264285001495455725,0.97925427,0.00056006,204684775.867163264285001495455725,117064.239247451921549401566525,209021070.255604579933166562892725,,,,,0.0,0.0,,,,,,,0.999900056987,,,,,0.000008393056107539468,0.00204567722347267,,,0.000000032203,100057219936.0452175,100057219936.0452175,0.0,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100.0,100057216716.0462075,100057216716.0462075,100057219936.0452175,100047219916.0470075,100057216716.0462075,100057219844.5452675,99989997959.99956,100057216716.0462075,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219844.5452675,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100047219916.0470075,100057216716.0462075,99989997959.99956,100057216716.0462075,99989997959.99956,100057219936.0452175,99989997959.99956,99989997959.99956,100057219936.0452175,110525206285.75722853645,57225176.0464575,0.0,0.0,0.0,0.0,0.0,,,,,1.999428087302653,,
2015-10-08,0.0,3.0,3.0,14.0,2.0,3.0,11.0,1.0,3.0,14.0,14.0,14.0,14.0,11.0,3.0,14.0,3.0,14.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1614335639.0,17199.0,203289028.48807985496768284504915,0.97257673,0.00055624,203289028.48807985496768284504915,116265.97711768774829319455235,209021070.255604579933166562892725,,,,,0.0,0.0,,,,,,,0.999900056987,,,,,0.000008360000000000015,0.00203172773157218,,,0.000000032203,100057219936.0452175,100057219936.0452175,0.0,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219916.0451875,100057219936.0452175,100057219936.0452175,100.0,100057216716.0462075,100057216716.0462075,100057219936.0452175,100047219916.0470075,100057216716.0462075,100057219844.5452675,99989997959.99956,100057216716.0462075,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219936.0452175,100057219844.5452675,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100047219916.0470075,100057216716.0462075,99989997959.99956,100057216716.0462075,99989997959.99956,100057219936.0452175,99989997959.99956,99989997959.99956,100057219936.0452175,110525206285.75722853645,57225176.0464575,0.0,0.0,0.0,0.0,0.0,,,,,1.999428087302653,,
2015-10-09,1.0,3.0,3.0,14.0,2.0,3.0,11.0,1.0,3.0,14.0,14.0,14.0,14.0,11.0,3.0,14.0,3.0,14.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1614335640.0,16442.0,213490379.30821433280641227423995,1.0213821,0.00058415,213490379.30821433280641227423995,122100.37964138028868722675755,209021070.273485135419480681868725,0.0001,0.000000213368290109074,0.0001,0.000000213368290109074,0.0004,0.000000853473160436296,,,,,,,0.999900056987,,,,,0.000008728544126241975,0.00213368290109074,,,0.000000032203,100057219936.0448175,100057219936.0448175,399.9988,100057219936.0448175,100057219936.0448175,100057219936.0448175,100057219936.0448175,100057219936.0448175,100057219936.0448175,99999997959.99734,100057219936.0448175,100057219936.0448175,100.0,100057216716.0462075,100057216716.0462075,100057219936.0448175,100047219916.0470075,100057216716.0462075,100057219844.5448675,99989997959.99956,100057216716.0462075,100057219936.0448175,100057219936.0448175,100057219936.0448175,100057219936.0448175,100057219936.0448175,100057219844.5448675,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100057216716.0462075,100047219916.0470075,100057216716.0462075,99989997959.99956,100057216716.0462075,99989997959.99956,100057219936.0448175,99989997959.99956,99989997959.99956,100057219936.0448175,110525206285.75722853645,57225176.0460575,4.0,0.0000462962962962963,0.0,0.0,0.0,,,,,1.9994280873026609,,
