time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2023-11-07,3,137,1746000935,1746000935,,0,,,,,6298605.625171153493233946,1,2,0
2023-11-08,2,137,1746000935,1746000935,,0,,,,,6299449.374250214661191161,1,1,0
2023-11-09,4,138,1746000935,1746000935,,0,,,,,6300293.123329275829148376,3,3,0
2023-11-10,11,138,1746000935,1746000935,,4032999.999999999999999999,,,,,10334136.872408336997105591,8,11,0
2023-11-11,9,140,1746000935,1746000935,,0,,,,,10335520.657373740227962102,3,6,0
2023-11-12,9,143,1746000935,1746000935,,0,,,,,10336904.442339143458818612,4,5,0
2023-11-13,6,146,1746000935,1746000935,,0,,,,,10338288.227304546689675123,3,5,0
2023-11-14,16,150,1746000935,1746000935,,0,,,,,10339672.012269949920531633,10,19,0
2023-11-15,9,153,1746000935,1746000935,,631003.109999999999999999,,,,,10972058.907235353151388143,9,9,0
2023-11-16,17,155,1746000935,1746000935,,526499.999999999999999999,,,,,11500027.12967347305793142,16,22,0
2023-11-17,3,156,1746000936,1746000936,,0,,,,,11501565.796108726740427553,2,2,0
2023-11-18,3,156,1746000936,1746000936,,0,,,,,11503104.462543980422923686,2,2,0
2023-11-19,9,156,1746000936,1746000936,,0,,,,,11504643.128979234105419819,5,6,0
2023-11-20,7,157,1746000936,1746000936,,636415.999999999999999999,,,,,12142597.795414487787915951,7,7,0
2023-11-21,8,158,1746000936,1746000936,,0,,,,,12144221.566705154814998145,8,9,0
2023-11-22,9,161,1746000936,1746000936,,1449999.999999999999999999,,,,,13595845.337995821842080339,7,7,0
2023-11-23,8,161,1746000936,1746000936,,0,,,,,13597662.958977963344877103,7,7,0
2023-11-24,8,163,1746000936,1746000936,,346600.009999999999999999,,,,,13946126.920528268437914059,5,6,0
2023-11-25,11,165,1746000936,1746000936,,1336.999999999999999999,,,,,13949327.872078573530951016,11,11,0
2023-11-26,0,165,1746000936,1746000936,,0,,,,,13951192.002300003778411617,0,0,0
2023-11-27,2,166,1746000937,1746000937,,0,,,,,13953056.132521434025872217,1,1,0
2023-11-28,12,169,1746000937,1746000937,,0,,,,,13954920.262742864273332818,6,7,0
2023-11-29,6,170,1746000937,1746000937,,0,,,,,13956784.392964294520793419,3,3,0
2023-11-30,8,170,1746000937,1746000937,,0,,,,,13958648.523185724768254019,4,7,0
2023-12-01,5,170,1746000937,1746000937,,0,,,,,13960512.65340715501571462,2,4,0
2023-12-02,0,170,1746000937,1746000937,,0,,,,,13962376.78362858526317522,0,0,0
2023-12-03,0,170,1746000937,1746000937,,0,,,,,13964240.913850015510635821,0,0,0
2023-12-04,3,170,1746000937,1746000937,,0,,,,,13966105.044071445758096421,2,2,0
2023-12-05,2,170,1746000937,1746000937,,0,,,,,13967969.174292876005557022,2,2,0
2023-12-06,6,171,1746000937,1746000937,,0,,,,,13969833.304514306253017623,4,4,0
2023-12-07,12,172,1746000938,1746000938,,0,,,,,13971697.434735736500478223,8,17,0
2023-12-08,4,172,1746000938,1746000938,,0,,,,,13973561.564957166747938824,3,3,0
2023-12-09,5,173,1746000938,1746000938,,537704.739999999999999998,,,,,14513202.167188462968760109,2,3,44798.9173863124
2023-12-10,6,176,1746000938,1746000938,,0,,,,,14515138.029419759189581395,4,6,27157.5608073073
2023-12-11,8,177,1746000938,1746000938,,0,,,,,14517073.891651055410402682,4,4,0
