time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,FeeTotNtv,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt
2020-09-21,0,0,,,0,,,0,0,,,,,,0,0,0
2020-09-22,5092,5003,1741755331,1741755331,45516,,,0.265,360947436.161364276,,,,,,360812156.27703084,22881,42498
2020-09-23,329,5030,1741755346,1741755346,18734,67174.606365224574105005,1269129833.00445310990627885044155,0.134,1086361.18113595,3809939.0497774681742643582775,0.00034271104529515016,3.50706479201845,,,361878068.489866799,9434,1198
2020-09-24,269,5067,1741755363,1741755363,14593,65141.44466940030240695,1670138465.7066936431594064986944,0.111,247274.00976236,1140449.9871756171638142243328,0.00042946937848559836,4.61208999794048,,,362121829.030329155,7352,860
2020-09-25,347,5175,1741755381,1741755381,13798,1542.970429630398611,1706134139.58001720069177271279816,0.214,574768.253015921,2703757.97638144310909742126586,0.00044030759722416706,4.70408371059866,,,362692129.762905076,7006,1530
2020-09-26,195,5213,1741755395,1741755395,6343,1394.190811158895964298,1648255520.4195457916337598375842,0.105,260137.179699784,1181360.91255856101767911741848,0.0004227599052974545,4.54129976315547,,,362947967.84660486,3224,587
2020-09-27,162,5256,1741755416,1741755416,4234,1215.521870154812864108,1669584462.0353592577633669384082,0.1,136204.13583972,626398.0796967125576847488388,0.0004274598290473405,4.59896519173129,,,363034811.62179458,2167,465
2020-09-28,154,5302,1741755433,1741755433,2987,1100.449715229562423119,1537796229.18972965110373509887792,0.097,329788.674964438,1395716.44749504319216874713556,0.00039451906370543494,4.23215396236862,,,363360180.859079016,1542,400
2020-09-29,142,5343,1741755450,1741755450,4377,1004.243474294518593677,1505078117.05050162575347980931872,0.099,126416.47694116,523488.0189712839756580691152,0.00038196889713617806,4.14097933780372,,,363459460.739246376,2238,430
2020-09-30,147,5406,1741755467,1741755467,5467,1017.622931481701033596,1574354248.9972748690443333555635,0.103,435578.994572513,1884489.9400245069566036196795,0.0004016209587960273,4.3264022450715,,,363894561.766818889,2785,334
