time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,FeeTotNtv,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2014-10-09,18,18,1614335169,1614335169,629,,,,0,125800000,,,,,,,,,,,125800000,0,0,
2014-10-10,1121,124,1614335169,1614335169,1414,,,,115,282800000,,,,,,,,,,,408600000,1036,4172,
2014-10-11,2340,185,1614335169,1614335169,1399,,,,242.130623,279800000,,,,,,,,,,,688400000,2206,7112,
2014-10-12,1817,222,1614335170,1614335170,1411,,,,189.228694,282200000,,,,,,,,,,,970600000,1704,5449,
2014-10-13,2335,248,1614335170,1614335170,1362,,,,236.422078,272400000,,,,,,,,,,,1243000000,2203,7484,
2014-10-14,2439,287,1614335170,1614335170,1429,,,,242.206172,285800000,,,,,,,,,,,1528800000,2313,7744,
2014-10-15,2968,320,1614335170,1614335170,1399,,,,312.449054,279800000,,,,,,,,,,,1808600000,2826,8303,
2014-10-16,3004,358,1614335170,1614335170,1413,,,,298.761627,282600000,,,,,,,,,,,2091200000,2856,8296,
2014-10-17,3209,377,1614335170,1614335170,1424,,,,318.510333,284800000,,,,,,,,,,,2376000000,3077,7635,
2014-10-18,2486,389,1614335170,1614335170,1386,,,,248.660947,277200000,,,,,,,,,,,2653200000,2381,6451,
2014-10-19,3037,397,1614335170,1614335170,1400,,,,294.462238,213400000,,,,,,,,,,,2866600000,2900,7174,
2014-10-20,2511,432,1614335171,1614335171,1329,,,,250.960834,132900000,,,,,,,,,,,2999500000,2373,6166,
2014-10-21,1249,472,1614335171,1614335171,1289,,,,122.237274,128900000,,,,,,,,,,,3128400000,1068,3111,
2014-10-22,1245,594,1614335171,1614335171,942,,,,245.913407,94200000,,,,,,,,,,,3222600000,1024,3274,
2014-10-23,1120,608,1614335171,1614335171,967,,,,121.521524,96700000,,,,,,,,,,,3319300000,1006,3547,
2014-10-24,1329,644,1614335171,1614335171,1094,,,,157.6187,109400000,,,,,,,,,,,3428700000,1224,3978,
2014-10-25,839,684,1614335171,1614335171,730,,,,99.338301,73000000,,,,,,,,,,,3501700000,737,1918,
2014-10-26,723,733,1614335171,1614335171,709,,,,72.673717,70900000,,,,,,,,,,,3572600000,599,1759,
2014-10-27,754,755,1614335171,1614335171,761,,,,92.68777001,76100000,,,,,,,,,,,3648699999.99999999,607,1623,
2014-10-28,1245,795,1614335172,1614335172,751,,,,121.731987,75100000,,,,,,,,,,,3723799999.99999999,1179,2217,
2014-10-29,1261,802,1614335172,1614335172,761,,,,123.411069,76100000,,,,,,,,,,,3799899999.99999999,1154,2177,
2014-10-30,1066,822,1614335172,1614335172,931,,,,119.974336,93100000,,,,,,,,,,,3892999999.99999999,999,1879,
2014-10-31,1627,846,1614335172,1614335172,902,,,,158.193491,90200000,,,,,,,,,,,3983199999.99999999,1548,2977,
2014-11-01,1536,850,1614335172,1614335172,887,,,,163.79750599,88700000,,,,,,,,,,,4071900000,1504,2872,
2014-11-02,1735,860,1614335172,1614335172,891,,,,174.597362,89100000,,,,,,,,,,,4161000000,1673,3218,
2014-11-03,1747,886,1614335172,1614335172,874,,,,172.754062,63200000,,,,,,,,,,,4224200000,1649,3250,
2014-11-04,1858,895,1614335172,1614335172,879,,,,186.149323,43950000,,,,,,,,,,,4268150000,1777,3422,
2014-11-05,2494,911,1614335173,1614335173,1007,,,,256.355301,50350000,,,,,,,,,,,4318500000,2478,4831,
2014-11-06,2000,946,1614335173,1614335173,905,,,,211.922852,45250000,,,,,,,,,,,4363750000,1998,3855,
2014-11-07,1788,914,1614335173,1614335173,855,,,,184.632087,42750000,,,,,,,,,,,4406500000,1761,3375,
2014-11-08,1580,957,1614335173,1614335173,896,,,,165.727712,44800000,,,,,,,,,,,4451300000,1461,2841,
2014-11-09,2017,964,1614335173,1614335173,1027,,,,207.771457,51350000,,,,,,,,,,,4502650000,1907,3730,
2014-11-10,3111,966,1614335173,1614335173,1221,,,,309.031122,61050000,,,,,,,,,,,4563700000,3016,5965,
2014-11-11,2257,965,1614335173,1614335173,971,,,,233.62159,48550000,,,,,,,,,,,4612250000,2150,4226,
2014-11-12,2055,999,1614335174,1614335174,923,,,,213.344176,46150000,,,,,,,,,,,4658400000,1987,3903,
2014-11-13,2638,999,1614335174,1614335174,1149,,,,271.338584,57450000,,,,,,,,,,,4715850000,2470,4915,
2014-11-14,2610,1019,1614335174,1614335174,1168,,,,257.564312,58400000,,,,,,,,,,,4774250000,2503,4982,
2014-11-15,2766,1029,1614335174,1614335174,1073,,,,276.239175,53650000,,,,,,,,,,,4827900000,2637,5244,
2014-11-16,2203,1017,1614335174,1614335174,919,,,,221.510948,45950000,,,,,,,,,,,4873850000,2115,4184,
2014-11-17,2175,1025,1614335174,1614335174,968,,,,216.405204,37275000,,,,,,,,,,,4911125000,2080,4115,
2014-11-18,2373,1032,1614335174,1614335174,1138,,,,230.850645,28450000,,,,,,,,,,,4939575000,2263,4569,
2014-11-19,1760,1027,1614335174,1614335174,992,,,,190.62322,24800000,,,,,,,,,,,4964375000,1711,3336,
2014-11-20,1576,1044,1614335174,1614335174,904,,,,229.671081,22600000,,,,,,,,,,,4986975000,1561,3029,
2014-11-21,1588,1058,1614335175,1614335175,861,,,,188.315543,21525000,,,,,,,,,,,5008500000,1580,3068,
2014-11-22,1488,1046,1614335175,1614335175,917,,,,157.564748,22925000,,,,,,,,,,,5031425000,1456,2845,
2014-11-23,2400,1059,1614335175,1614335175,1259,,,,232.824872,31475000,,,,,,,,,,,5062900000,2291,4920,
2014-11-24,2787,1066,1614335175,1614335175,1429,,,,268.802709,35725000,,,,,,,,,,,5098625000,2655,5296,
2014-11-25,2806,1079,1614335175,1614335175,1490,,,,292.448116,37250000,,,,,,,,,,,5135875000,2714,5429,
2014-11-26,3200,1099,1614335175,1614335175,1394,,,,314.137346,34850000,,,,,,,,,,,5170725000,3091,6239,
2014-11-27,1972,1113,1614335175,1614335175,1076,,,,187.926649,26900000,,,,,,,,,,,5197625000,1853,3740,
2014-11-28,2980,1116,1614335176,1614335176,1524,,,,292.632057,38100000,,,,,,,,,,,5235725000,2882,6095,
2014-11-29,1385,1119,1614335176,1614335176,970,,,,140.453816,24275000,,,,,,,,,,,5259975000,1326,2806,
2014-11-30,1523,1117,1614335176,1614335176,1029,,,,145.281372,25750000,,,,,,,,,,,5285700000,1413,3012,
2014-12-01,1126,1128,1614335176,1614335176,857,,,,104.257503,21425000,,,,,,,,,,,5307125000,1006,2369,
2014-12-02,1351,1151,1614335176,1614335176,918,,,,132.107188,22950000,,,,,,,,,,,5330075000,1207,2661,
2014-12-03,947,1157,1614335176,1614335176,722,,,,89.973412,18050000,,,,,,,,,,,5348125000,868,1859,
2014-12-04,1289,1146,1614335176,1614335176,879,,,,120.902036,22025000,,,,,,,,,,,5370110690.045389,1125,2616,
2014-12-05,989,1192,1614335176,1614335176,669,,,,98.250405,16825000,,,,,,,,,,,5386825000,868,1868,
