time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2023-12-02,0.797657326632487,0.0000206094079418417,0.0003823661469187,0.733294200545684,0.797657326632487,0.7996987444713386,mexc-pol-usdt-spot
2023-12-03,0.817667873625786,0.0000207202390519119,0.000377719380598593,0.751803919496315,0.817667873625786,0.8189271564437633,mexc-pol-usdt-spot
2023-12-04,0.812754739133498,0.0000203299368021632,0.000370519441431201,0.746540734606911,0.812754739133498,0.8107785998893735,bybit-pol-usdt-spot
2023-12-05,0.805163462821024,0.0000192115893415344,0.000359765905568104,0.743729120391511,0.805163462821024,0.8066421562008671,bybit-pol-usdt-spot
2023-12-06,0.811686328208658,0.0000184193665858383,0.000354214849997229,0.75247622413674,0.811686328208658,0.8132658446170603,bybit-pol-usdt-spot
2023-12-07,0.818614726628687,0.0000187129754873891,0.000366824750499548,0.760831018808156,0.818614726628687,0.8184241049374964,bybit-pol-usdt-spot
2023-12-08,0.838243555977183,0.0000193667479078263,0.000356033179514698,0.777323573328882,0.838243555977183,0.8389225784764707,mexc-pol-usdt-spot
2023-12-09,0.905765476638181,0.0000204900895118716,0.000383913236753231,0.842779745550286,0.905765476638181,0.9096501643273108,mexc-pol-usdt-spot
2023-12-10,0.884359156741465,0.0000202185420093581,0.000377614909947807,0.822955014023167,0.884359156741465,0.8835353905471499,bybit-pol-usdt-spot
2023-12-11,0.919122562192181,0.0000210168205507251,0.000390941803263887,0.854623369147556,0.919122562192181,0.9210770230081918,bybit-pol-usdt-spot
2023-12-12,0.838380100002978,0.0000203441456054576,0.000377331781866474,0.779903603287879,0.838380100002978,0.8383947508699068,mexc-pol-usdt-spot
2023-12-13,0.885784952078182,0.0000213610608034377,0.000402402669460975,0.821056927219228,0.885784952078182,0.8809972431571187,bybit-pol-usdt-spot
2023-12-14,0.887442457126159,0.0000206674864669468,0.000392522794275111,0.816698569972078,0.887442457126159,0.8918519734103519,gate.io-pol-usdt-spot
2023-12-15,0.883078308365436,0.0000205208908001099,0.000380710147189595,0.803422389706486,0.883078308365436,0.8852594413355879,mexc-pol-usdt-spot
2023-12-16,0.839364272391371,0.0000199952911633865,0.000377842905876987,0.771142735262845,0.839364272391371,0.8356236732128169,mexc-pol-usdt-spot
2023-12-17,0.844687811488873,0.000020014774481113,0.000379686402545687,0.775139016431796,0.844687811488873,0.8427368059336744,bybit-pol-usdt-spot
2023-12-18,0.818333731783101,0.0000197528381922791,0.000371958388697496,0.7515579704082,0.818333731783101,0.8159604640764332,mexc-pol-usdt-spot
2023-12-19,0.798064867867043,0.0000187182161097051,0.000360154693989679,0.730598234916993,0.798064867867043,0.7967253305783866,mexc-pol-usdt-spot
2023-12-20,0.76897995893606,0.0000181912956726855,0.000353379075899051,0.700629321784225,0.76897995893606,0.770221778030088,mexc-pol-usdt-spot
2023-12-21,0.774111275216635,0.0000177527465586339,0.000352527010690864,0.707893966383666,0.774111275216635,0.7733348852615936,mexc-pol-usdt-spot
2023-12-22,0.814377503880235,0.0000185633253125969,0.000363932135636728,0.740377749083209,0.814377503880235,0.8151992415043633,kucoin-pol-usdt-spot
2023-12-23,0.874209228674581,0.0000198641019733482,0.000375793617992762,0.795188149893286,0.874209228674581,0.8796797957572154,kucoin-pol-usdt-spot
2023-12-24,0.856439168764437,0.000019567341043111,0.000370588613778434,0.781663171572338,0.856439168764437,0.8565462851264102,mexc-pol-usdt-spot
2023-12-25,0.853337888887812,0.0000198000293341202,0.000376214817681496,0.78112978202148,0.853337888887812,0.8511718224996101,mexc-pol-usdt-spot
2023-12-26,0.914503968600696,0.0000209634421651699,0.000402110762674371,0.83305798687664,0.914503968600696,0.9187282868159592,kucoin-pol-usdt-spot
2023-12-27,1.01314881706826,0.0000238437760108884,0.000454439761284143,0.919049639446019,1.01314881706826,1.020994267395157,kucoin-pol-usdt-spot
2023-12-28,1.04254847483564,0.0000240014146613807,0.000438309515188365,0.939220588438342,1.04254847483564,1.0404762733004045,bybit-pol-usdt-spot
2023-12-29,0.999671155264643,0.0000234275891987471,0.000425132039606433,0.905205141946722,0.999671155264643,0.9982097746086753,mexc-pol-usdt-spot
